Year,Series,Enfermedad no transmisible,Sexo,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2012,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,,,,Por 100.000 habitantes,,628.5
2018,Tasa de mortalidad,Diabetes,,,,,Por 100.000 habitantes,,20.6
2017,Tasa de mortalidad,Cáncer,,,,,Por 100.000 habitantes,,282.4
2016,Tasa de mortalidad,Diabetes,,,,,Por 100.000 habitantes,,19.5
2014,Tasa de mortalidad,Enfermedades cardiovasculares,,,,,Por 100.000 habitantes,,248.1
2020,Tasa de mortalidad,Diabetes,,,,,Por 100.000 habitantes,,22.8
2019,Tasa de mortalidad,Diabetes,,,,,Por 100.000 habitantes,,20.7
2023,Tasa de mortalidad,Enfermedades cardiovasculares,,,,,Por 100.000 habitantes,,257.1
2018,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,,,,Por 100.000 habitantes,,648.9
2020,Tasa de mortalidad,Cáncer,,,,,Por 100.000 habitantes,,273.5
2014,Tasa de mortalidad,Cáncer,,,,,Por 100.000 habitantes,,283.9
2010,Tasa de mortalidad,Enfermedades cardiovasculares,,,,,Por 100.000 habitantes,,261.3
2012,Tasa de mortalidad,Enfermedades cardiovasculares,,,,,Por 100.000 habitantes,,263.2
2021,Tasa de mortalidad,Cáncer,,,,,Por 100.000 habitantes,,276.7
2018,Tasa de mortalidad,Enfermedades cardiovasculares,,,,,Por 100.000 habitantes,,265.0
2015,Tasa de mortalidad prematura (entre 30 y 70 años),"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,,,,Porcentaje,,10.3
2015,Tasa de mortalidad,Diabetes,,,,,Por 100.000 habitantes,,22.2
2010,Tasa de mortalidad prematura (entre 30 y 70 años),"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,,,,Porcentaje,,11.0
2018,Tasa de mortalidad,Enfermedades respiratorias crónicas,,,,,Por 100.000 habitantes,,81.7
2013,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,,,,Por 100.000 habitantes,,613.0
2013,Tasa de mortalidad,Diabetes,,,,,Por 100.000 habitantes,,23.2
2013,Tasa de mortalidad,Enfermedades cardiovasculares,,,,,Por 100.000 habitantes,,248.6
2019,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,,,,Por 100.000 habitantes,,631.2
2022,Tasa de mortalidad,Diabetes,,,,,Por 100.000 habitantes,,22.1
2014,Tasa de mortalidad,Diabetes,,,,,Por 100.000 habitantes,,20.1
2010,Tasa de mortalidad,Enfermedades respiratorias crónicas,,,,,Por 100.000 habitantes,,63.5
2013,Tasa de mortalidad,Cáncer,,,,,Por 100.000 habitantes,,272.0
2011,Tasa de mortalidad,Enfermedades cardiovasculares,,,,,Por 100.000 habitantes,,259.7
2011,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,,,,Por 100.000 habitantes,,626.2
2021,Tasa de mortalidad,Diabetes,,,,,Por 100.000 habitantes,,21.0
2021,Tasa de mortalidad,Enfermedades respiratorias crónicas,,,,,Por 100.000 habitantes,,54.6
2017,Tasa de mortalidad,Diabetes,,,,,Por 100.000 habitantes,,17.4
2021,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,,,,Por 100.000 habitantes,,622.4
2016,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,,,,Por 100.000 habitantes,,641.2
2015,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,,,,Por 100.000 habitantes,,651.4
2012,Tasa de mortalidad,Cáncer,,,,,Por 100.000 habitantes,,272.4
2021,Tasa de mortalidad,Enfermedades cardiovasculares,,,,,Por 100.000 habitantes,,270.2
2015,Tasa de mortalidad,Enfermedades cardiovasculares,,,,,Por 100.000 habitantes,,266.4
2022,Tasa de mortalidad,Enfermedades cardiovasculares,,,,,Por 100.000 habitantes,,263.1
2023,Tasa de mortalidad,Enfermedades respiratorias crónicas,,,,,Por 100.000 habitantes,,59.1
2017,Tasa de mortalidad,Enfermedades respiratorias crónicas,,,,,Por 100.000 habitantes,,82.8
2022,Tasa de mortalidad,Enfermedades respiratorias crónicas,,,,,Por 100.000 habitantes,,58.3
2011,Tasa de mortalidad,Cáncer,,,,,Por 100.000 habitantes,,279.1
2016,Tasa de mortalidad,Cáncer,,,,,Por 100.000 habitantes,,281.6
2010,Tasa de mortalidad,Cáncer,,,,,Por 100.000 habitantes,,267.5
2012,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,524.5
2014,Tasa de mortalidad,Enfermedades respiratorias crónicas,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,57.6
2022,Tasa de mortalidad,Enfermedades cardiovasculares,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,218.9
2017,Tasa de mortalidad,Diabetes,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,16.9
2010,Tasa de mortalidad,Enfermedades cardiovasculares,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,216.1
2023,Tasa de mortalidad,Enfermedades cardiovasculares,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,232.4
2011,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,539.2
2020,Tasa de mortalidad,Diabetes,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,19.4
2019,Tasa de mortalidad,Cáncer,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,250.4
2020,Tasa de mortalidad,Enfermedades respiratorias crónicas,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,57.8
2016,Tasa de mortalidad,Enfermedades cardiovasculares,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,218.3
2019,Tasa de mortalidad,Enfermedades cardiovasculares,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,204.2
2014,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,496.1
2012,Tasa de mortalidad,Enfermedades respiratorias crónicas,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,66.0
2013,Tasa de mortalidad,Diabetes,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,21.2
2016,Tasa de mortalidad,Diabetes,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,17.3
2016,Tasa de mortalidad,Cáncer,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,250.5
2018,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,538.3
2010,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,521.0
2020,Tasa de mortalidad,Enfermedades cardiovasculares,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,190.5
2013,Tasa de mortalidad,Enfermedades cardiovasculares,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,206.2
2018,Tasa de mortalidad,Diabetes,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,17.1
2023,Tasa de mortalidad,Cáncer,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,241.4
2010,Tasa de mortalidad,Cáncer,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,224.0
2021,Tasa de mortalidad,Cáncer,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,250.6
2014,Tasa de mortalidad,Cáncer,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,234.3
2021,Tasa de mortalidad,Enfermedades respiratorias crónicas,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,45.1
2017,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,567.5
2015,Tasa de mortalidad,Enfermedades cardiovasculares,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,220.1
2022,Tasa de mortalidad,Enfermedades respiratorias crónicas,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,56.0
2023,Tasa de mortalidad,Diabetes,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,19.5
2011,Tasa de mortalidad,Enfermedades cardiovasculares,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,201.4
2017,Tasa de mortalidad,Enfermedades respiratorias crónicas,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,68.7
2018,Tasa de mortalidad,Enfermedades respiratorias crónicas,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,68.9
2019,Tasa de mortalidad,Diabetes,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,14.0
2017,Tasa de mortalidad,Enfermedades cardiovasculares,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,213.2
2018,Tasa de mortalidad,Cáncer,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,243.0
2020,Tasa de mortalidad,Cáncer,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,224.1
2021,Tasa de mortalidad,Enfermedades cardiovasculares,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,217.6
2019,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,546.4
2012,Tasa de mortalidad,Cáncer,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,232.0
2011,Tasa de mortalidad,Cáncer,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,257.9
2023,Tasa de mortalidad,Enfermedades respiratorias crónicas,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,51.5
2021,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,536.3
2022,Tasa de mortalidad,Cáncer,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,243.6
2016,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,553.9
2022,Tasa de mortalidad,Diabetes,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,19.6
2019,Tasa de mortalidad,Enfermedades respiratorias crónicas,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,77.8
2015,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,574.1
2013,Tasa de mortalidad,Cáncer,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,247.7
2010,Tasa de mortalidad,Enfermedades respiratorias crónicas,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,55.4
2016,Tasa de mortalidad,Enfermedades respiratorias crónicas,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,67.8
2012,Tasa de mortalidad,Enfermedades cardiovasculares,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,207.1
2017,Tasa de mortalidad,Cáncer,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,268.7
2013,Tasa de mortalidad,Enfermedades respiratorias crónicas,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,71.5
2022,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,538.1
2013,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,546.6
2015,Tasa de mortalidad,Diabetes,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,21.1
2012,Tasa de mortalidad,Diabetes,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,19.3
2018,Tasa de mortalidad,Enfermedades cardiovasculares,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,209.3
2014,Tasa de mortalidad,Enfermedades cardiovasculares,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,191.6
2021,Tasa de mortalidad,Diabetes,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,23.0
2020,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,491.8
2014,Tasa de mortalidad,Diabetes,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,12.5
2023,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,544.7
2011,Tasa de mortalidad,Diabetes,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,22.5
2015,Tasa de mortalidad,Cáncer,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,263.6
2011,Tasa de mortalidad,Enfermedades respiratorias crónicas,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,57.4
2010,Tasa de mortalidad,Diabetes,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,25.5
2015,Tasa de mortalidad,Enfermedades respiratorias crónicas,,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,69.2
2017,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Bizkaia,,,Por 100.000 habitantes,Bizkaia,684.1
2022,Tasa de mortalidad,Cáncer,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,301.6
2016,Tasa de mortalidad,Enfermedades cardiovasculares,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,285.3
2012,Tasa de mortalidad,Enfermedades respiratorias crónicas,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,72.9
2018,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Bizkaia,,,Por 100.000 habitantes,Bizkaia,691.0
2023,Tasa de mortalidad,Enfermedades cardiovasculares,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,259.4
2016,Tasa de mortalidad,Cáncer,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,303.7
2012,Tasa de mortalidad,Enfermedades cardiovasculares,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,285.8
2016,Tasa de mortalidad,Enfermedades respiratorias crónicas,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,79.5
2020,Tasa de mortalidad,Cáncer,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,292.3
2015,Tasa de mortalidad,Diabetes,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,23.8
2020,Tasa de mortalidad,Diabetes,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,24.4
2013,Tasa de mortalidad,Enfermedades cardiovasculares,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,263.0
2015,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Bizkaia,,,Por 100.000 habitantes,Bizkaia,696.8
2015,Tasa de mortalidad,Enfermedades respiratorias crónicas,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,83.8
2013,Tasa de mortalidad,Diabetes,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,22.4
2020,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Bizkaia,,,Por 100.000 habitantes,Bizkaia,651.0
2022,Tasa de mortalidad,Enfermedades respiratorias crónicas,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,61.3
2018,Tasa de mortalidad,Enfermedades respiratorias crónicas,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,89.1
2019,Tasa de mortalidad,Enfermedades cardiovasculares,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,276.2
2014,Tasa de mortalidad,Enfermedades cardiovasculares,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,274.4
2018,Tasa de mortalidad,Cáncer,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,293.8
2012,Tasa de mortalidad,Diabetes,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,21.8
2022,Tasa de mortalidad,Enfermedades cardiovasculares,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,275.1
2020,Tasa de mortalidad,Enfermedades cardiovasculares,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,277.0
2017,Tasa de mortalidad,Enfermedades cardiovasculares,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,285.9
2014,Tasa de mortalidad,Diabetes,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,22.3
2019,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Bizkaia,,,Por 100.000 habitantes,Bizkaia,676.6
2010,Tasa de mortalidad,Cáncer,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,287.6
2012,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Bizkaia,,,Por 100.000 habitantes,Bizkaia,669.6
2018,Tasa de mortalidad,Enfermedades cardiovasculares,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,287.8
2016,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Bizkaia,,,Por 100.000 habitantes,Bizkaia,689.2
2013,Tasa de mortalidad,Cáncer,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,285.8
2015,Tasa de mortalidad,Cáncer,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,295.8
2019,Tasa de mortalidad,Enfermedades respiratorias crónicas,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,79.1
2023,Tasa de mortalidad,Diabetes,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,20.1
2014,Tasa de mortalidad,Cáncer,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,303.4
2013,Tasa de mortalidad,Enfermedades respiratorias crónicas,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,71.0
2017,Tasa de mortalidad,Cáncer,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,291.2
2012,Tasa de mortalidad,Cáncer,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,289.1
2023,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Bizkaia,,,Por 100.000 habitantes,Bizkaia,623.5
2021,Tasa de mortalidad,Diabetes,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,22.1
2014,Tasa de mortalidad,Enfermedades respiratorias crónicas,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,68.9
2017,Tasa de mortalidad,Enfermedades respiratorias crónicas,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,89.0
2021,Tasa de mortalidad,Enfermedades cardiovasculares,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,276.1
2016,Tasa de mortalidad,Diabetes,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,20.7
2023,Tasa de mortalidad,Enfermedades respiratorias crónicas,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,61.7
2015,Tasa de mortalidad,Enfermedades cardiovasculares,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,293.5
2010,Tasa de mortalidad,Enfermedades cardiovasculares,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,280.5
2017,Tasa de mortalidad,Diabetes,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,18.0
2011,Tasa de mortalidad,Cáncer,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,291.5
2021,Tasa de mortalidad,Cáncer,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,291.9
2010,Tasa de mortalidad,Enfermedades respiratorias crónicas,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,64.1
2023,Tasa de mortalidad,Cáncer,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,282.4
2019,Tasa de mortalidad,Diabetes,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,23.4
2013,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Bizkaia,,,Por 100.000 habitantes,Bizkaia,642.3
2011,Tasa de mortalidad,Diabetes,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,21.9
2019,Tasa de mortalidad,Cáncer,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,297.8
2010,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Bizkaia,,,Por 100.000 habitantes,Bizkaia,654.2
2018,Tasa de mortalidad,Diabetes,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,20.4
2014,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Bizkaia,,,Por 100.000 habitantes,Bizkaia,669.0
2022,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Bizkaia,,,Por 100.000 habitantes,Bizkaia,659.6
2011,Tasa de mortalidad,Enfermedades cardiovasculares,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,282.1
2021,Tasa de mortalidad,Enfermedades respiratorias crónicas,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,57.9
2021,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Bizkaia,,,Por 100.000 habitantes,Bizkaia,648.0
2011,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Bizkaia,,,Por 100.000 habitantes,Bizkaia,662.9
2022,Tasa de mortalidad,Diabetes,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,21.6
2020,Tasa de mortalidad,Enfermedades respiratorias crónicas,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,57.2
2010,Tasa de mortalidad,Diabetes,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,22.0
2011,Tasa de mortalidad,Enfermedades respiratorias crónicas,,Bizkaia,,,Por 100.000 habitantes,Bizkaia,67.4
2010,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,596.9
2011,Tasa de mortalidad,Cáncer,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,268.4
2018,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,631.8
2017,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,624.4
2018,Tasa de mortalidad,Diabetes,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,22.2
2020,Tasa de mortalidad,Enfermedades respiratorias crónicas,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,53.2
2019,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,597.6
2010,Tasa de mortalidad,Enfermedades respiratorias crónicas,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,66.3
2018,Tasa de mortalidad,Cáncer,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,280.0
2012,Tasa de mortalidad,Enfermedades respiratorias crónicas,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,70.5
2014,Tasa de mortalidad,Cáncer,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,274.9
2020,Tasa de mortalidad,Enfermedades cardiovasculares,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,251.1
2011,Tasa de mortalidad,Enfermedades respiratorias crónicas,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,65.7
2018,Tasa de mortalidad,Enfermedades respiratorias crónicas,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,75.7
2016,Tasa de mortalidad,Cáncer,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,260.3
2015,Tasa de mortalidad,Enfermedades cardiovasculares,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,244.0
2016,Tasa de mortalidad,Enfermedades respiratorias crónicas,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,75.0
2017,Tasa de mortalidad,Diabetes,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,16.7
