Year,Series,Income group,Province,Units,Value
2013,Growth rate of household expenditure per capita,,Gipuzkoa,PT,1.0
2021,Growth rate of household expenditure per capita,,Gipuzkoa,PT,-0.3
2012,Growth rate of household expenditure per capita,,Gipuzkoa,PT,0.7
2017,Growth rate of household expenditure per capita,,Gipuzkoa,PT,1.9
2018,Growth rate of household expenditure per capita,,Gipuzkoa,PT,1.5
2011,Growth rate of household expenditure per capita,,Gipuzkoa,PT,2.0
2014,Growth rate of household expenditure per capita,,Gipuzkoa,PT,-0.4
2020,Growth rate of household expenditure per capita,,Gipuzkoa,PT,-0.1
2012,Growth rate of household income per capita,The poorest 40%,,PT,-0.7
2018,Growth rate of household income per capita,The poorest 40%,,PT,1.7
2020,Growth rate of household income per capita,The poorest 40%,,PT,2.9
2016,Growth rate of household income per capita,The poorest 40%,,PT,1.0
2014,Growth rate of household income per capita,The poorest 40%,,PT,-1.7
2008,Growth rate of household income per capita,The poorest 40%,,PT,4.8
2015,Growth rate of household expenditure per capita,The poorest 40%,,PT,0.3
2017,Growth rate of household expenditure per capita,The poorest 40%,,PT,0.6
2013,Growth rate of household expenditure per capita,The poorest 40%,,PT,-0.3
2020,Growth rate of household expenditure per capita,The poorest 40%,,PT,-1.3
2012,Growth rate of household expenditure per capita,The poorest 40%,,PT,0.1
2021,Growth rate of household expenditure per capita,The poorest 40%,,PT,-0.1
2022,Growth rate of household expenditure per capita,The poorest 40%,,PT,1.3
2019,Growth rate of household expenditure per capita,The poorest 40%,,PT,1.3
2022,Growth rate of household income per capita,The poorest 40%,,PT,4.2
2011,Growth rate of household expenditure per capita,The poorest 40%,,PT,1.6
2018,Growth rate of household expenditure per capita,The poorest 40%,,PT,1.0
2014,Growth rate of household expenditure per capita,The poorest 40%,,PT,-0.2
2016,Growth rate of household expenditure per capita,The poorest 40%,,PT,-0.1
2014,Growth rate of household expenditure per capita,The poorest 40%,Araba/Álava,PT,-3.3
2020,Growth rate of household expenditure per capita,The poorest 40%,Araba/Álava,PT,-2.0
2016,Growth rate of household expenditure per capita,The poorest 40%,Araba/Álava,PT,0.2
2011,Growth rate of household expenditure per capita,The poorest 40%,Araba/Álava,PT,1.3
2021,Growth rate of household expenditure per capita,The poorest 40%,Araba/Álava,PT,-0.1
2018,Growth rate of household expenditure per capita,The poorest 40%,Araba/Álava,PT,1.6
2015,Growth rate of household expenditure per capita,The poorest 40%,Araba/Álava,PT,-0.1
2013,Growth rate of household expenditure per capita,The poorest 40%,Araba/Álava,PT,-2.3
2019,Growth rate of household expenditure per capita,The poorest 40%,Araba/Álava,PT,-0.8
2012,Growth rate of household expenditure per capita,The poorest 40%,Araba/Álava,PT,0.2
2022,Growth rate of household expenditure per capita,The poorest 40%,Araba/Álava,PT,2.4
2017,Growth rate of household expenditure per capita,The poorest 40%,Araba/Álava,PT,-0.6
2012,Growth rate of household expenditure per capita,The poorest 40%,Bizkaia,PT,0.6
2011,Growth rate of household expenditure per capita,The poorest 40%,Bizkaia,PT,1.5
2022,Growth rate of household expenditure per capita,The poorest 40%,Bizkaia,PT,1.3
2021,Growth rate of household expenditure per capita,The poorest 40%,Bizkaia,PT,-0.5
2020,Growth rate of household expenditure per capita,The poorest 40%,Bizkaia,PT,-1.4
2019,Growth rate of household expenditure per capita,The poorest 40%,Bizkaia,PT,1.6
2018,Growth rate of household expenditure per capita,The poorest 40%,Bizkaia,PT,0.4
2017,Growth rate of household expenditure per capita,The poorest 40%,Bizkaia,PT,-0.1
2016,Growth rate of household expenditure per capita,The poorest 40%,Bizkaia,PT,-0.3
2015,Growth rate of household expenditure per capita,The poorest 40%,Bizkaia,PT,0.9
2014,Growth rate of household expenditure per capita,The poorest 40%,Bizkaia,PT,0.9
2013,Growth rate of household expenditure per capita,The poorest 40%,Bizkaia,PT,-0.1
2012,Growth rate of household expenditure per capita,The poorest 40%,Gipuzkoa,PT,-0.7
2011,Growth rate of household expenditure per capita,The poorest 40%,Gipuzkoa,PT,1.9
2022,Growth rate of household expenditure per capita,The poorest 40%,Gipuzkoa,PT,0.8
2021,Growth rate of household expenditure per capita,The poorest 40%,Gipuzkoa,PT,0.2
2020,Growth rate of household expenditure per capita,The poorest 40%,Gipuzkoa,PT,-0.5
2019,Growth rate of household expenditure per capita,The poorest 40%,Gipuzkoa,PT,1.6
2018,Growth rate of household expenditure per capita,The poorest 40%,Gipuzkoa,PT,1.5
2017,Growth rate of household expenditure per capita,The poorest 40%,Gipuzkoa,PT,2.0
2016,Growth rate of household expenditure per capita,The poorest 40%,Gipuzkoa,PT,0.7
2015,Growth rate of household expenditure per capita,The poorest 40%,Gipuzkoa,PT,-0.8
2014,Growth rate of household expenditure per capita,The poorest 40%,Gipuzkoa,PT,-0.9
2013,Growth rate of household expenditure per capita,The poorest 40%,Gipuzkoa,PT,0.2
