Year,Series,Waste treatment operation,Province,Units,Value
2012,Proportion of municipal waste collected and managed in controlled facilities,,Gipuzkoa,PT,100.0
2017,Proportion of municipal waste collected and managed in controlled facilities,,Gipuzkoa,PT,100.0
2013,Proportion of municipal waste collected and managed in controlled facilities,,Gipuzkoa,PT,100.0
2020,Proportion of municipal waste collected and managed in controlled facilities,,Gipuzkoa,PT,100.0
2022,Proportion of municipal waste collected and managed in controlled facilities,,Gipuzkoa,PT,100.0
2014,"Proportion of municipal waste treated, broken down by treatment type",Recycling,,PT,33.3
2010,"Proportion of municipal waste treated, broken down by treatment type",Recycling,,PT,24.7
2020,"Proportion of municipal waste treated, broken down by treatment type",Recycling,,PT,47.2
2013,"Proportion of municipal waste treated, broken down by treatment type",Recycling,,PT,28.2
2016,"Proportion of municipal waste treated, broken down by treatment type",Recycling,,PT,38.0
2015,"Proportion of municipal waste treated, broken down by treatment type",Recycling,,PT,36.4
2022,"Proportion of municipal waste treated, broken down by treatment type",Recycling,,PT,47.4
2018,"Proportion of municipal waste treated, broken down by treatment type",Recycling,,PT,41.5
2012,"Proportion of municipal waste treated, broken down by treatment type",Recycling,,PT,28.5
2019,"Proportion of municipal waste treated, broken down by treatment type",Recycling,,PT,44.7
2021,"Proportion of municipal waste treated, broken down by treatment type",Recycling,,PT,45.4
2011,"Proportion of municipal waste treated, broken down by treatment type",Recycling,,PT,25.6
2017,"Proportion of municipal waste treated, broken down by treatment type",Recycling,,PT,39.3
2013,"Proportion of municipal waste treated, broken down by treatment type",Recycling,Araba/Álava,PT,24.2
2019,"Proportion of municipal waste treated, broken down by treatment type",Recycling,Araba/Álava,PT,38.4
2018,"Proportion of municipal waste treated, broken down by treatment type",Recycling,Araba/Álava,PT,31.5
2021,"Proportion of municipal waste treated, broken down by treatment type",Recycling,Araba/Álava,PT,38.9
2020,"Proportion of municipal waste treated, broken down by treatment type",Recycling,Araba/Álava,PT,39.2
2015,"Proportion of municipal waste treated, broken down by treatment type",Recycling,Araba/Álava,PT,30.6
2014,"Proportion of municipal waste treated, broken down by treatment type",Recycling,Araba/Álava,PT,27.0
2016,"Proportion of municipal waste treated, broken down by treatment type",Recycling,Araba/Álava,PT,33.7
2017,"Proportion of municipal waste treated, broken down by treatment type",Recycling,Araba/Álava,PT,31.3
2022,"Proportion of municipal waste treated, broken down by treatment type",Recycling,Araba/Álava,PT,44.9
2013,"Proportion of municipal waste treated, broken down by treatment type",Recycling,Bizkaia,PT,26.6
2019,"Proportion of municipal waste treated, broken down by treatment type",Recycling,Bizkaia,PT,37.9
2021,"Proportion of municipal waste treated, broken down by treatment type",Recycling,Bizkaia,PT,37.1
2015,"Proportion of municipal waste treated, broken down by treatment type",Recycling,Bizkaia,PT,28.7
2016,"Proportion of municipal waste treated, broken down by treatment type",Recycling,Bizkaia,PT,31.2
2022,"Proportion of municipal waste treated, broken down by treatment type",Recycling,Bizkaia,PT,39.2
2020,"Proportion of municipal waste treated, broken down by treatment type",Recycling,Bizkaia,PT,38.1
2017,"Proportion of municipal waste treated, broken down by treatment type",Recycling,Bizkaia,PT,34.8
2018,"Proportion of municipal waste treated, broken down by treatment type",Recycling,Bizkaia,PT,35.8
2014,"Proportion of municipal waste treated, broken down by treatment type",Recycling,Bizkaia,PT,28.2
2020,"Proportion of municipal waste treated, broken down by treatment type",Recycling,Gipuzkoa,PT,69.3
2018,"Proportion of municipal waste treated, broken down by treatment type",Recycling,Gipuzkoa,PT,52.9
2015,"Proportion of municipal waste treated, broken down by treatment type",Recycling,Gipuzkoa,PT,48.3
2017,"Proportion of municipal waste treated, broken down by treatment type",Recycling,Gipuzkoa,PT,48.7
2019,"Proportion of municipal waste treated, broken down by treatment type",Recycling,Gipuzkoa,PT,59.3
2021,"Proportion of municipal waste treated, broken down by treatment type",Recycling,Gipuzkoa,PT,63.4
2022,"Proportion of municipal waste treated, broken down by treatment type",Recycling,Gipuzkoa,PT,63.5
2013,"Proportion of municipal waste treated, broken down by treatment type",Recycling,Gipuzkoa,PT,31.9
2014,"Proportion of municipal waste treated, broken down by treatment type",Recycling,Gipuzkoa,PT,41.9
2016,"Proportion of municipal waste treated, broken down by treatment type",Recycling,Gipuzkoa,PT,48.4
2021,"Proportion of municipal waste treated, broken down by treatment type",Incineration with energy recovery,,PT,32.5
2012,"Proportion of municipal waste treated, broken down by treatment type",Incineration with energy recovery,,PT,20.9
2011,"Proportion of municipal waste treated, broken down by treatment type",Incineration with energy recovery,,PT,23.3
2022,"Proportion of municipal waste treated, broken down by treatment type",Incineration with energy recovery,,PT,33.9
2013,"Proportion of municipal waste treated, broken down by treatment type",Incineration with energy recovery,,PT,26.6
2017,"Proportion of municipal waste treated, broken down by treatment type",Incineration with energy recovery,,PT,24.3
2014,"Proportion of municipal waste treated, broken down by treatment type",Incineration with energy recovery,,PT,25.6
2018,"Proportion of municipal waste treated, broken down by treatment type",Incineration with energy recovery,,PT,22.8
2015,"Proportion of municipal waste treated, broken down by treatment type",Incineration with energy recovery,,PT,27.9
2020,"Proportion of municipal waste treated, broken down by treatment type",Incineration with energy recovery,,PT,30.8
2019,"Proportion of municipal waste treated, broken down by treatment type",Incineration with energy recovery,,PT,23.5
2010,"Proportion of municipal waste treated, broken down by treatment type",Incineration with energy recovery,,PT,21.4
2016,"Proportion of municipal waste treated, broken down by treatment type",Incineration with energy recovery,,PT,24.7
2013,"Proportion of municipal waste treated, broken down by treatment type",Incineration with energy recovery,Araba/Álava,PT,3.7
2019,"Proportion of municipal waste treated, broken down by treatment type",Incineration with energy recovery,Araba/Álava,PT,2.9
2015,"Proportion of municipal waste treated, broken down by treatment type",Incineration with energy recovery,Araba/Álava,PT,4.3
2016,"Proportion of municipal waste treated, broken down by treatment type",Incineration with energy recovery,Araba/Álava,PT,4.4
2017,"Proportion of municipal waste treated, broken down by treatment type",Incineration with energy recovery,Araba/Álava,PT,4.2
2021,"Proportion of municipal waste treated, broken down by treatment type",Incineration with energy recovery,Araba/Álava,PT,1.6
2014,"Proportion of municipal waste treated, broken down by treatment type",Incineration with energy recovery,Araba/Álava,PT,3.5
2022,"Proportion of municipal waste treated, broken down by treatment type",Incineration with energy recovery,Araba/Álava,PT,1.3
2018,"Proportion of municipal waste treated, broken down by treatment type",Incineration with energy recovery,Araba/Álava,PT,4.4
2020,"Proportion of municipal waste treated, broken down by treatment type",Incineration with energy recovery,Araba/Álava,PT,2.1
2020,"Proportion of municipal waste treated, broken down by treatment type",Incineration with energy recovery,Bizkaia,PT,42.2
2015,"Proportion of municipal waste treated, broken down by treatment type",Incineration with energy recovery,Bizkaia,PT,49.4
2014,"Proportion of municipal waste treated, broken down by treatment type",Incineration with energy recovery,Bizkaia,PT,44.2
2013,"Proportion of municipal waste treated, broken down by treatment type",Incineration with energy recovery,Bizkaia,PT,43.0
2022,"Proportion of municipal waste treated, broken down by treatment type",Incineration with energy recovery,Bizkaia,PT,43.8
2018,"Proportion of municipal waste treated, broken down by treatment type",Incineration with energy recovery,Bizkaia,PT,39.6
2019,"Proportion of municipal waste treated, broken down by treatment type",Incineration with energy recovery,Bizkaia,PT,41.2
2016,"Proportion of municipal waste treated, broken down by treatment type",Incineration with energy recovery,Bizkaia,PT,42.5
2017,"Proportion of municipal waste treated, broken down by treatment type",Incineration with energy recovery,Bizkaia,PT,41.9
2021,"Proportion of municipal waste treated, broken down by treatment type",Incineration with energy recovery,Bizkaia,PT,41.2
2020,"Proportion of municipal waste treated, broken down by treatment type",Incineration with energy recovery,Gipuzkoa,PT,21.9
2016,"Proportion of municipal waste treated, broken down by treatment type",Incineration with energy recovery,Gipuzkoa,PT,6.9
2014,"Proportion of municipal waste treated, broken down by treatment type",Incineration with energy recovery,Gipuzkoa,PT,7.4
2015,"Proportion of municipal waste treated, broken down by treatment type",Incineration with energy recovery,Gipuzkoa,PT,6.9
2013,"Proportion of municipal waste treated, broken down by treatment type",Incineration with energy recovery,Gipuzkoa,PT,9.3
2022,"Proportion of municipal waste treated, broken down by treatment type",Incineration with energy recovery,Gipuzkoa,PT,29.8
2021,"Proportion of municipal waste treated, broken down by treatment type",Incineration with energy recovery,Gipuzkoa,PT,30.1
2018,"Proportion of municipal waste treated, broken down by treatment type",Incineration with energy recovery,Gipuzkoa,PT,5.6
2017,"Proportion of municipal waste treated, broken down by treatment type",Incineration with energy recovery,Gipuzkoa,PT,5.4
2019,"Proportion of municipal waste treated, broken down by treatment type",Incineration with energy recovery,Gipuzkoa,PT,1.1
2010,"Proportion of municipal waste treated, broken down by treatment type",Landfill,,PT,53.9
2016,"Proportion of municipal waste treated, broken down by treatment type",Landfill,,PT,37.3
2020,"Proportion of municipal waste treated, broken down by treatment type",Landfill,,PT,21.9
2011,"Proportion of municipal waste treated, broken down by treatment type",Landfill,,PT,51.1
2017,"Proportion of municipal waste treated, broken down by treatment type",Landfill,,PT,36.4
2014,"Proportion of municipal waste treated, broken down by treatment type",Landfill,,PT,41.2
2013,"Proportion of municipal waste treated, broken down by treatment type",Landfill,,PT,45.2
2022,"Proportion of municipal waste treated, broken down by treatment type",Landfill,,PT,18.6
2019,"Proportion of municipal waste treated, broken down by treatment type",Landfill,,PT,31.7
2021,"Proportion of municipal waste treated, broken down by treatment type",Landfill,,PT,22.1
2018,"Proportion of municipal waste treated, broken down by treatment type",Landfill,,PT,35.7
2012,"Proportion of municipal waste treated, broken down by treatment type",Landfill,,PT,50.7
2015,"Proportion of municipal waste treated, broken down by treatment type",Landfill,,PT,35.6
2019,"Proportion of municipal waste treated, broken down by treatment type",Landfill,Araba/Álava,PT,58.7
2016,"Proportion of municipal waste treated, broken down by treatment type",Landfill,Araba/Álava,PT,61.8
2020,"Proportion of municipal waste treated, broken down by treatment type",Landfill,Araba/Álava,PT,58.8
2013,"Proportion of municipal waste treated, broken down by treatment type",Landfill,Araba/Álava,PT,72.1
2018,"Proportion of municipal waste treated, broken down by treatment type",Landfill,Araba/Álava,PT,64.0
2015,"Proportion of municipal waste treated, broken down by treatment type",Landfill,Araba/Álava,PT,65.1
2021,"Proportion of municipal waste treated, broken down by treatment type",Landfill,Araba/Álava,PT,59.5
2022,"Proportion of municipal waste treated, broken down by treatment type",Landfill,Araba/Álava,PT,53.8
2014,"Proportion of municipal waste treated, broken down by treatment type",Landfill,Araba/Álava,PT,69.5
2017,"Proportion of municipal waste treated, broken down by treatment type",Landfill,Araba/Álava,PT,64.5
2018,"Proportion of municipal waste treated, broken down by treatment type",Landfill,Bizkaia,PT,24.5
2019,"Proportion of municipal waste treated, broken down by treatment type",Landfill,Bizkaia,PT,21.0
2016,"Proportion of municipal waste treated, broken down by treatment type",Landfill,Bizkaia,PT,26.4
2014,"Proportion of municipal waste treated, broken down by treatment type",Landfill,Bizkaia,PT,27.6
2015,"Proportion of municipal waste treated, broken down by treatment type",Landfill,Bizkaia,PT,21.9
2017,"Proportion of municipal waste treated, broken down by treatment type",Landfill,Bizkaia,PT,23.3
2021,"Proportion of municipal waste treated, broken down by treatment type",Landfill,Bizkaia,PT,21.7
2022,"Proportion of municipal waste treated, broken down by treatment type",Landfill,Bizkaia,PT,17.0
2020,"Proportion of municipal waste treated, broken down by treatment type",Landfill,Bizkaia,PT,19.7
2013,"Proportion of municipal waste treated, broken down by treatment type",Landfill,Bizkaia,PT,30.4
2022,"Proportion of municipal waste treated, broken down by treatment type",Landfill,Gipuzkoa,PT,6.6
2020,"Proportion of municipal waste treated, broken down by treatment type",Landfill,Gipuzkoa,PT,8.8
2021,"Proportion of municipal waste treated, broken down by treatment type",Landfill,Gipuzkoa,PT,6.6
2018,"Proportion of municipal waste treated, broken down by treatment type",Landfill,Gipuzkoa,PT,41.4
2016,"Proportion of municipal waste treated, broken down by treatment type",Landfill,Gipuzkoa,PT,44.7
2019,"Proportion of municipal waste treated, broken down by treatment type",Landfill,Gipuzkoa,PT,39.6
2014,"Proportion of municipal waste treated, broken down by treatment type",Landfill,Gipuzkoa,PT,50.7
2017,"Proportion of municipal waste treated, broken down by treatment type",Landfill,Gipuzkoa,PT,45.9
2013,"Proportion of municipal waste treated, broken down by treatment type",Landfill,Gipuzkoa,PT,58.8
2015,"Proportion of municipal waste treated, broken down by treatment type",Landfill,Gipuzkoa,PT,44.8
