Year,Sex,Province,Units,Value
2016,Female,Bizkaia,"Per 1,000 live births",2.92
2017,Female,Bizkaia,"Per 1,000 live births",2.44
2014,Female,Bizkaia,"Per 1,000 live births",2.93
2021,Female,Bizkaia,"Per 1,000 live births",2.7
2013,Female,Bizkaia,"Per 1,000 live births",2.75
2012,Female,Bizkaia,"Per 1,000 live births",3.2
2015,Female,Bizkaia,"Per 1,000 live births",5.42
2011,Female,Bizkaia,"Per 1,000 live births",4.72
2010,Female,Bizkaia,"Per 1,000 live births",4.24
2020,Female,Bizkaia,"Per 1,000 live births",3.14
2022,Female,Gipuzkoa,"Per 1,000 live births",2.8
2021,Female,Gipuzkoa,"Per 1,000 live births",2.51
2020,Female,Gipuzkoa,"Per 1,000 live births",2.87
2019,Female,Gipuzkoa,"Per 1,000 live births",2.77
2018,Female,Gipuzkoa,"Per 1,000 live births",3.41
2017,Female,Gipuzkoa,"Per 1,000 live births",1.49
2023,Female,Gipuzkoa,"Per 1,000 live births",2.22
2016,Female,Gipuzkoa,"Per 1,000 live births",2.73
2015,Female,Gipuzkoa,"Per 1,000 live births",1.58
2014,Female,Gipuzkoa,"Per 1,000 live births",2.88
2013,Female,Gipuzkoa,"Per 1,000 live births",2.61
2012,Female,Gipuzkoa,"Per 1,000 live births",3.7
2011,Female,Gipuzkoa,"Per 1,000 live births",2.91
2010,Female,Gipuzkoa,"Per 1,000 live births",3.66
2021,Male,,"Per 1,000 live births",3.1
2023,Male,,"Per 1,000 live births",3.19
2019,Male,,"Per 1,000 live births",3.8
2013,Male,,"Per 1,000 live births",2.95
2020,Male,,"Per 1,000 live births",3.27
2016,Male,,"Per 1,000 live births",3.43
2015,Male,,"Per 1,000 live births",3.49
2010,Male,,"Per 1,000 live births",3.24
2018,Male,,"Per 1,000 live births",3.52
2017,Male,,"Per 1,000 live births",3.29
2012,Male,,"Per 1,000 live births",2.8
2022,Male,,"Per 1,000 live births",4.7
2014,Male,,"Per 1,000 live births",2.94
2011,Male,,"Per 1,000 live births",2.51
2021,Male,Araba/Álava,"Per 1,000 live births",4.05
2022,Male,Araba/Álava,"Per 1,000 live births",6.8
2012,Male,Araba/Álava,"Per 1,000 live births",2.3
2015,Male,Araba/Álava,"Per 1,000 live births",3.67
2013,Male,Araba/Álava,"Per 1,000 live births",4.33
2020,Male,Araba/Álava,"Per 1,000 live births",4.85
2011,Male,Araba/Álava,"Per 1,000 live births",2.29
2018,Male,Araba/Álava,"Per 1,000 live births",5.77
2016,Male,Araba/Álava,"Per 1,000 live births",3.88
2014,Male,Araba/Álava,"Per 1,000 live births",3.58
2010,Male,Araba/Álava,"Per 1,000 live births",3.45
2023,Male,Araba/Álava,"Per 1,000 live births",6.85
2017,Male,Araba/Álava,"Per 1,000 live births",3.34
2019,Male,Araba/Álava,"Per 1,000 live births",2.29
2023,Male,Bizkaia,"Per 1,000 live births",3.22
2022,Male,Bizkaia,"Per 1,000 live births",4.31
2021,Male,Bizkaia,"Per 1,000 live births",2.76
2020,Male,Bizkaia,"Per 1,000 live births",2.88
2019,Male,Bizkaia,"Per 1,000 live births",3.76
2018,Male,Bizkaia,"Per 1,000 live births",3.22
2016,Male,Bizkaia,"Per 1,000 live births",3.83
2017,Male,Bizkaia,"Per 1,000 live births",3.17
2015,Male,Bizkaia,"Per 1,000 live births",3.47
2014,Male,Bizkaia,"Per 1,000 live births",2.22
2013,Male,Bizkaia,"Per 1,000 live births",2.2
2012,Male,Bizkaia,"Per 1,000 live births",3.19
2011,Male,Bizkaia,"Per 1,000 live births",2.78
2010,Male,Bizkaia,"Per 1,000 live births",4.07
2020,Male,Gipuzkoa,"Per 1,000 live births",3.09
2019,Male,Gipuzkoa,"Per 1,000 live births",4.61
2018,Male,Gipuzkoa,"Per 1,000 live births",2.83
2017,Male,Gipuzkoa,"Per 1,000 live births",3.44
2016,Male,Gipuzkoa,"Per 1,000 live births",2.6
2015,Male,Gipuzkoa,"Per 1,000 live births",3.44
2011,Male,Gipuzkoa,"Per 1,000 live births",2.2
2014,Male,Gipuzkoa,"Per 1,000 live births",3.71
2012,Male,Gipuzkoa,"Per 1,000 live births",2.46
2013,Male,Gipuzkoa,"Per 1,000 live births",3.42
2010,Male,Gipuzkoa,"Per 1,000 live births",1.91
2023,Male,Gipuzkoa,"Per 1,000 live births",1.3
2022,Male,Gipuzkoa,"Per 1,000 live births",4.22
2021,Male,Gipuzkoa,"Per 1,000 live births",3.15
