Year,Access technology,Province,Units,Value
2018,DSL,Araba/Álava,Per 100 people,7.5
2021,DSL,Bizkaia,Per 100 people,1.7
2022,DSL,Bizkaia,Per 100 people,1.2
2018,DSL,Bizkaia,Per 100 people,4.8
2014,DSL,Bizkaia,Per 100 people,15.4
2017,DSL,Bizkaia,Per 100 people,7.2
2015,DSL,Bizkaia,Per 100 people,14.3
2011,DSL,Bizkaia,Per 100 people,13.3
2010,DSL,Bizkaia,Per 100 people,12.7
2020,DSL,Bizkaia,Per 100 people,2.2
2016,DSL,Bizkaia,Per 100 people,10.1
2019,DSL,Bizkaia,Per 100 people,3.2
2013,DSL,Bizkaia,Per 100 people,15.6
2012,DSL,Bizkaia,Per 100 people,14.1
2020,DSL,Gipuzkoa,Per 100 people,3.2
2021,DSL,Gipuzkoa,Per 100 people,2.3
2010,DSL,Gipuzkoa,Per 100 people,14.9
2019,DSL,Gipuzkoa,Per 100 people,4.4
2018,DSL,Gipuzkoa,Per 100 people,6.5
2017,DSL,Gipuzkoa,Per 100 people,9.4
2016,DSL,Gipuzkoa,Per 100 people,12.2
2014,DSL,Gipuzkoa,Per 100 people,17.4
2013,DSL,Gipuzkoa,Per 100 people,17.3
2012,DSL,Gipuzkoa,Per 100 people,16.3
2011,DSL,Gipuzkoa,Per 100 people,15.3
2015,DSL,Gipuzkoa,Per 100 people,16.5
2022,DSL,Gipuzkoa,Per 100 people,1.6
2012,Fiber optic cable (FTTH),,Per 100 people,0.2
2020,Fiber optic cable (FTTH),,Per 100 people,22.5
2015,Fiber optic cable (FTTH),,Per 100 people,4.1
2014,Fiber optic cable (FTTH),,Per 100 people,1.9
2022,Fiber optic cable (FTTH),,Per 100 people,30.2
2019,Fiber optic cable (FTTH),,Per 100 people,19.9
2011,Fiber optic cable (FTTH),,Per 100 people,0.2
2016,Fiber optic cable (FTTH),,Per 100 people,9.4
2010,Fiber optic cable (FTTH),,Per 100 people,0.1
2018,Fiber optic cable (FTTH),,Per 100 people,16.8
2021,Fiber optic cable (FTTH),,Per 100 people,26.5
2013,Fiber optic cable (FTTH),,Per 100 people,0.5
2017,Fiber optic cable (FTTH),,Per 100 people,12.7
2021,Fiber optic cable (FTTH),Araba/Álava,Per 100 people,29.9
2018,Fiber optic cable (FTTH),Araba/Álava,Per 100 people,19.4
2013,Fiber optic cable (FTTH),Araba/Álava,Per 100 people,0.9
2010,Fiber optic cable (FTTH),Araba/Álava,Per 100 people,0.3
2011,Fiber optic cable (FTTH),Araba/Álava,Per 100 people,0.4
2012,Fiber optic cable (FTTH),Araba/Álava,Per 100 people,0.5
2020,Fiber optic cable (FTTH),Araba/Álava,Per 100 people,26.4
2019,Fiber optic cable (FTTH),Araba/Álava,Per 100 people,22.4
2022,Fiber optic cable (FTTH),Araba/Álava,Per 100 people,33.0
2017,Fiber optic cable (FTTH),Araba/Álava,Per 100 people,16.1
2016,Fiber optic cable (FTTH),Araba/Álava,Per 100 people,11.5
2015,Fiber optic cable (FTTH),Araba/Álava,Per 100 people,5.3
2014,Fiber optic cable (FTTH),Araba/Álava,Per 100 people,2.3
2015,Fiber optic cable (FTTH),Bizkaia,Per 100 people,3.7
2012,Fiber optic cable (FTTH),Bizkaia,Per 100 people,0.1
2011,Fiber optic cable (FTTH),Bizkaia,Per 100 people,0.1
2013,Fiber optic cable (FTTH),Bizkaia,Per 100 people,0.3
2016,Fiber optic cable (FTTH),Bizkaia,Per 100 people,8.8
2014,Fiber optic cable (FTTH),Bizkaia,Per 100 people,1.7
2010,Fiber optic cable (FTTH),Bizkaia,Per 100 people,0.0
2018,Fiber optic cable (FTTH),Bizkaia,Per 100 people,16.1
2019,Fiber optic cable (FTTH),Bizkaia,Per 100 people,19.2
2022,Fiber optic cable (FTTH),Bizkaia,Per 100 people,29.6
2017,Fiber optic cable (FTTH),Bizkaia,Per 100 people,11.3
2021,Fiber optic cable (FTTH),Bizkaia,Per 100 people,25.5
2020,Fiber optic cable (FTTH),Bizkaia,Per 100 people,21.4
2021,Fiber optic cable (FTTH),Gipuzkoa,Per 100 people,26.6
2018,Fiber optic cable (FTTH),Gipuzkoa,Per 100 people,16.7
2022,Fiber optic cable (FTTH),Gipuzkoa,Per 100 people,29.8
2020,Fiber optic cable (FTTH),Gipuzkoa,Per 100 people,22.3
2019,Fiber optic cable (FTTH),Gipuzkoa,Per 100 people,20.0
2017,Fiber optic cable (FTTH),Gipuzkoa,Per 100 people,13.4
2016,Fiber optic cable (FTTH),Gipuzkoa,Per 100 people,9.3
2014,Fiber optic cable (FTTH),Gipuzkoa,Per 100 people,2.2
2013,Fiber optic cable (FTTH),Gipuzkoa,Per 100 people,0.7
2012,Fiber optic cable (FTTH),Gipuzkoa,Per 100 people,0.2
2011,Fiber optic cable (FTTH),Gipuzkoa,Per 100 people,0.1
2010,Fiber optic cable (FTTH),Gipuzkoa,Per 100 people,0.0
2015,Fiber optic cable (FTTH),Gipuzkoa,Per 100 people,4.0
2019,Hybrid fiber-coaxial cable (HFC),,Per 100 people,12.5
2021,Hybrid fiber-coaxial cable (HFC),,Per 100 people,10.1
2011,Hybrid fiber-coaxial cable (HFC),,Per 100 people,11.1
2015,Hybrid fiber-coaxial cable (HFC),,Per 100 people,12.2
2013,Hybrid fiber-coaxial cable (HFC),,Per 100 people,11.7
2014,Hybrid fiber-coaxial cable (HFC),,Per 100 people,11.9
2020,Hybrid fiber-coaxial cable (HFC),,Per 100 people,11.9
2022,Hybrid fiber-coaxial cable (HFC),,Per 100 people,7.5
2017,Hybrid fiber-coaxial cable (HFC),,Per 100 people,12.6
2018,Hybrid fiber-coaxial cable (HFC),,Per 100 people,12.5
2016,Hybrid fiber-coaxial cable (HFC),,Per 100 people,12.5
2012,Hybrid fiber-coaxial cable (HFC),,Per 100 people,11.2
2010,Hybrid fiber-coaxial cable (HFC),,Per 100 people,10.2
2018,Hybrid fiber-coaxial cable (HFC),Araba/Álava,Per 100 people,8.6
2016,Hybrid fiber-coaxial cable (HFC),Araba/Álava,Per 100 people,9.2
2014,Hybrid fiber-coaxial cable (HFC),Araba/Álava,Per 100 people,9.2
2020,Hybrid fiber-coaxial cable (HFC),Araba/Álava,Per 100 people,7.2
2022,Hybrid fiber-coaxial cable (HFC),Araba/Álava,Per 100 people,4.8
2021,Hybrid fiber-coaxial cable (HFC),Araba/Álava,Per 100 people,7.3
2019,Hybrid fiber-coaxial cable (HFC),Araba/Álava,Per 100 people,8.5
2017,Hybrid fiber-coaxial cable (HFC),Araba/Álava,Per 100 people,8.7
2015,Hybrid fiber-coaxial cable (HFC),Araba/Álava,Per 100 people,9.1
2013,Hybrid fiber-coaxial cable (HFC),Araba/Álava,Per 100 people,8.9
2012,Hybrid fiber-coaxial cable (HFC),Araba/Álava,Per 100 people,8.2
2010,Hybrid fiber-coaxial cable (HFC),Araba/Álava,Per 100 people,6.7
2011,Hybrid fiber-coaxial cable (HFC),Araba/Álava,Per 100 people,8.0
2021,Hybrid fiber-coaxial cable (HFC),Bizkaia,Per 100 people,11.0
2020,Hybrid fiber-coaxial cable (HFC),Bizkaia,Per 100 people,13.4
2019,Hybrid fiber-coaxial cable (HFC),Bizkaia,Per 100 people,13.8
2018,Hybrid fiber-coaxial cable (HFC),Bizkaia,Per 100 people,13.9
2017,Hybrid fiber-coaxial cable (HFC),Bizkaia,Per 100 people,14.0
2016,Hybrid fiber-coaxial cable (HFC),Bizkaia,Per 100 people,13.7
2015,Hybrid fiber-coaxial cable (HFC),Bizkaia,Per 100 people,13.3
2014,Hybrid fiber-coaxial cable (HFC),Bizkaia,Per 100 people,12.9
2013,Hybrid fiber-coaxial cable (HFC),Bizkaia,Per 100 people,12.7
2012,Hybrid fiber-coaxial cable (HFC),Bizkaia,Per 100 people,12.1
2011,Hybrid fiber-coaxial cable (HFC),Bizkaia,Per 100 people,12.1
2010,Hybrid fiber-coaxial cable (HFC),Bizkaia,Per 100 people,11.3
2022,Hybrid fiber-coaxial cable (HFC),Bizkaia,Per 100 people,7.9
2019,Hybrid fiber-coaxial cable (HFC),Gipuzkoa,Per 100 people,12.1
2018,Hybrid fiber-coaxial cable (HFC),Gipuzkoa,Per 100 people,12.1
2017,Hybrid fiber-coaxial cable (HFC),Gipuzkoa,Per 100 people,12.2
2016,Hybrid fiber-coaxial cable (HFC),Gipuzkoa,Per 100 people,12.1
2015,Hybrid fiber-coaxial cable (HFC),Gipuzkoa,Per 100 people,11.9
2014,Hybrid fiber-coaxial cable (HFC),Gipuzkoa,Per 100 people,11.6
2013,Hybrid fiber-coaxial cable (HFC),Gipuzkoa,Per 100 people,11.3
2012,Hybrid fiber-coaxial cable (HFC),Gipuzkoa,Per 100 people,10.9
2011,Hybrid fiber-coaxial cable (HFC),Gipuzkoa,Per 100 people,10.7
2010,Hybrid fiber-coaxial cable (HFC),Gipuzkoa,Per 100 people,10.0
2022,Hybrid fiber-coaxial cable (HFC),Gipuzkoa,Per 100 people,8.1
2021,Hybrid fiber-coaxial cable (HFC),Gipuzkoa,Per 100 people,10.0
2020,Hybrid fiber-coaxial cable (HFC),Gipuzkoa,Per 100 people,11.7
2010,Other technology,,Per 100 people,0.2
2018,Other technology,,Per 100 people,0.3
2020,Other technology,,Per 100 people,0.3
2019,Other technology,,Per 100 people,0.3
2014,Other technology,,Per 100 people,0.2
2012,Other technology,,Per 100 people,0.2
2011,Other technology,,Per 100 people,0.2
2017,Other technology,,Per 100 people,0.3
2013,Other technology,,Per 100 people,0.2
2022,Other technology,,Per 100 people,0.3
2021,Other technology,,Per 100 people,0.3
2016,Other technology,,Per 100 people,0.3
2015,Other technology,,Per 100 people,0.2
2012,Other technology,Araba/Álava,Per 100 people,0.4
2010,Other technology,Araba/Álava,Per 100 people,0.5
2011,Other technology,Araba/Álava,Per 100 people,0.4
2015,Other technology,Araba/Álava,Per 100 people,0.4
2016,Other technology,Araba/Álava,Per 100 people,0.4
2017,Other technology,Araba/Álava,Per 100 people,0.4
2020,Other technology,Araba/Álava,Per 100 people,0.3
2019,Other technology,Araba/Álava,Per 100 people,0.4
2022,Other technology,Araba/Álava,Per 100 people,0.3
2021,Other technology,Araba/Álava,Per 100 people,0.3
2018,Other technology,Araba/Álava,Per 100 people,0.5
2014,Other technology,Araba/Álava,Per 100 people,0.4
2013,Other technology,Araba/Álava,Per 100 people,0.4
2013,Other technology,Bizkaia,Per 100 people,0.1
2022,Other technology,Bizkaia,Per 100 people,0.3
2021,Other technology,Bizkaia,Per 100 people,0.3
2020,Other technology,Bizkaia,Per 100 people,0.4
2019,Other technology,Bizkaia,Per 100 people,0.3
2018,Other technology,Bizkaia,Per 100 people,0.3
2017,Other technology,Bizkaia,Per 100 people,0.3
2016,Other technology,Bizkaia,Per 100 people,0.2
2015,Other technology,Bizkaia,Per 100 people,0.2
2014,Other technology,Bizkaia,Per 100 people,0.2
2012,Other technology,Bizkaia,Per 100 people,0.1
2011,Other technology,Bizkaia,Per 100 people,0.2
2010,Other technology,Bizkaia,Per 100 people,0.2
2014,Other technology,Gipuzkoa,Per 100 people,0.2
2010,Other technology,Gipuzkoa,Per 100 people,0.3
2018,Other technology,Gipuzkoa,Per 100 people,0.3
2022,Other technology,Gipuzkoa,Per 100 people,0.4
2021,Other technology,Gipuzkoa,Per 100 people,0.3
2020,Other technology,Gipuzkoa,Per 100 people,0.3
2019,Other technology,Gipuzkoa,Per 100 people,0.3
2017,Other technology,Gipuzkoa,Per 100 people,0.3
2016,Other technology,Gipuzkoa,Per 100 people,0.2
2015,Other technology,Gipuzkoa,Per 100 people,0.2
2013,Other technology,Gipuzkoa,Per 100 people,0.2
2012,Other technology,Gipuzkoa,Per 100 people,0.2
2011,Other technology,Gipuzkoa,Per 100 people,0.2
