Year,Sex,Province,Units,Value
2019,Female,Araba/Álava,PT,89.2
2020,Female,Bizkaia,PT,91.6
2023,Female,Bizkaia,PT,96.7
2021,Female,Bizkaia,PT,94.5
2019,Female,Bizkaia,PT,88.2
2015,Female,Bizkaia,PT,76.7
2010,Female,Bizkaia,PT,52.4
2013,Female,Bizkaia,PT,69.6
2012,Female,Bizkaia,PT,59.1
2011,Female,Bizkaia,PT,57.9
2009,Female,Bizkaia,PT,54.4
2008,Female,Bizkaia,PT,51.7
2017,Female,Bizkaia,PT,83.1
2016,Female,Bizkaia,PT,83.1
2014,Female,Bizkaia,PT,75.3
2018,Female,Bizkaia,PT,85.5
2022,Female,Bizkaia,PT,94.9
2023,Female,Gipuzkoa,PT,97.2
2020,Female,Gipuzkoa,PT,92.7
2019,Female,Gipuzkoa,PT,89.1
2017,Female,Gipuzkoa,PT,84.3
2016,Female,Gipuzkoa,PT,82.5
2015,Female,Gipuzkoa,PT,78.1
2014,Female,Gipuzkoa,PT,72.7
2013,Female,Gipuzkoa,PT,70.1
2012,Female,Gipuzkoa,PT,63.8
2011,Female,Gipuzkoa,PT,64.9
2010,Female,Gipuzkoa,PT,59.0
2009,Female,Gipuzkoa,PT,56.2
2008,Female,Gipuzkoa,PT,53.4
2022,Female,Gipuzkoa,PT,95.9
2018,Female,Gipuzkoa,PT,87.5
2021,Female,Gipuzkoa,PT,94.4
2019,Male,,PT,89.6
2012,Male,,PT,67.5
2023,Male,,PT,95.7
2020,Male,,PT,91.3
2018,Male,,PT,89.2
2010,Male,,PT,61.2
2017,Male,,PT,84.5
2008,Male,,PT,58.3
2016,Male,,PT,84.6
2009,Male,,PT,60.5
2014,Male,,PT,78.4
2015,Male,,PT,83.1
2011,Male,,PT,66.5
2022,Male,,PT,93.8
2013,Male,,PT,77.4
2021,Male,,PT,93.4
2022,Male,Araba/Álava,PT,95.0
2014,Male,Araba/Álava,PT,77.8
2021,Male,Araba/Álava,PT,93.0
2023,Male,Araba/Álava,PT,95.5
2010,Male,Araba/Álava,PT,62.9
2013,Male,Araba/Álava,PT,77.9
2009,Male,Araba/Álava,PT,58.4
2017,Male,Araba/Álava,PT,85.9
2012,Male,Araba/Álava,PT,66.5
2016,Male,Araba/Álava,PT,86.0
2008,Male,Araba/Álava,PT,57.5
2018,Male,Araba/Álava,PT,92.2
2011,Male,Araba/Álava,PT,62.1
2019,Male,Araba/Álava,PT,89.2
2015,Male,Araba/Álava,PT,84.2
2020,Male,Araba/Álava,PT,89.8
2023,Male,Bizkaia,PT,96.3
2022,Male,Bizkaia,PT,94.1
2021,Male,Bizkaia,PT,93.6
2020,Male,Bizkaia,PT,91.2
2019,Male,Bizkaia,PT,91.3
2018,Male,Bizkaia,PT,89.6
2014,Male,Bizkaia,PT,79.1
2017,Male,Bizkaia,PT,83.9
2016,Male,Bizkaia,PT,85.0
2015,Male,Bizkaia,PT,83.8
2013,Male,Bizkaia,PT,78.5
2012,Male,Bizkaia,PT,65.3
2011,Male,Bizkaia,PT,67.3
2010,Male,Bizkaia,PT,58.1
2009,Male,Bizkaia,PT,61.2
2008,Male,Bizkaia,PT,58.8
2014,Male,Gipuzkoa,PT,77.5
2009,Male,Gipuzkoa,PT,60.1
2013,Male,Gipuzkoa,PT,75.4
2012,Male,Gipuzkoa,PT,71.6
2011,Male,Gipuzkoa,PT,67.2
2010,Male,Gipuzkoa,PT,65.4
2023,Male,Gipuzkoa,PT,94.8
2022,Male,Gipuzkoa,PT,92.9
2021,Male,Gipuzkoa,PT,93.2
2020,Male,Gipuzkoa,PT,92.3
2019,Male,Gipuzkoa,PT,87.2
2018,Male,Gipuzkoa,PT,87.3
2008,Male,Gipuzkoa,PT,57.9
2017,Male,Gipuzkoa,PT,84.8
2016,Male,Gipuzkoa,PT,83.4
2015,Male,Gipuzkoa,PT,81.5
