Year,Series,Sex,Province,Units,Value
2013,Fatal occupational injuries,,Gipuzkoa,"Per 100,000 employees",0.7
2019,Fatal occupational injuries,,Gipuzkoa,"Per 100,000 employees",0.6
2014,Fatal occupational injuries,,Gipuzkoa,"Per 100,000 employees",0.3
2021,Fatal occupational injuries,,Gipuzkoa,"Per 100,000 employees",0.3
2024,Fatal occupational injuries,,Gipuzkoa,"Per 100,000 employees",0.6
2023,Fatal occupational injuries,,Gipuzkoa,"Per 100,000 employees",0.6
2022,Fatal occupational injuries,,Gipuzkoa,"Per 100,000 employees",0.3
2017,Fatal occupational injuries,Female,,"Per 100,000 employees",0.2
2020,Fatal occupational injuries,Female,,"Per 100,000 employees",0.2
2013,Fatal occupational injuries,Female,,"Per 100,000 employees",0.0
2019,Fatal occupational injuries,Female,,"Per 100,000 employees",0.0
2022,Fatal occupational injuries,Female,,"Per 100,000 employees",0.4
2023,Fatal occupational injuries,Female,,"Per 100,000 employees",0.0
2016,Fatal occupational injuries,Female,,"Per 100,000 employees",0.2
2018,Fatal occupational injuries,Female,,"Per 100,000 employees",0.0
2015,Fatal occupational injuries,Female,,"Per 100,000 employees",0.2
2024,Fatal occupational injuries,Female,,"Per 100,000 employees",0.2
2021,Fatal occupational injuries,Female,,"Per 100,000 employees",0.2
2014,Fatal occupational injuries,Female,,"Per 100,000 employees",0.0
2023,Fatal occupational injuries,Female,Araba/Álava,"Per 100,000 employees",0.0
2024,Fatal occupational injuries,Female,Araba/Álava,"Per 100,000 employees",0.0
2013,Fatal occupational injuries,Female,Araba/Álava,"Per 100,000 employees",0.0
2019,Fatal occupational injuries,Female,Araba/Álava,"Per 100,000 employees",0.0
2018,Fatal occupational injuries,Female,Araba/Álava,"Per 100,000 employees",0.0
2020,Fatal occupational injuries,Female,Araba/Álava,"Per 100,000 employees",0.0
2022,Fatal occupational injuries,Female,Araba/Álava,"Per 100,000 employees",0.0
2015,Fatal occupational injuries,Female,Araba/Álava,"Per 100,000 employees",0.0
2017,Fatal occupational injuries,Female,Araba/Álava,"Per 100,000 employees",1.6
2014,Fatal occupational injuries,Female,Araba/Álava,"Per 100,000 employees",0.0
2021,Fatal occupational injuries,Female,Araba/Álava,"Per 100,000 employees",1.5
2016,Fatal occupational injuries,Female,Araba/Álava,"Per 100,000 employees",0.0
2013,Fatal occupational injuries,Female,Bizkaia,"Per 100,000 employees",0.0
2024,Fatal occupational injuries,Female,Bizkaia,"Per 100,000 employees",0.0
2020,Fatal occupational injuries,Female,Bizkaia,"Per 100,000 employees",0.0
2023,Fatal occupational injuries,Female,Bizkaia,"Per 100,000 employees",0.0
2015,Fatal occupational injuries,Female,Bizkaia,"Per 100,000 employees",0.0
2017,Fatal occupational injuries,Female,Bizkaia,"Per 100,000 employees",0.0
2018,Fatal occupational injuries,Female,Bizkaia,"Per 100,000 employees",0.0
2016,Fatal occupational injuries,Female,Bizkaia,"Per 100,000 employees",0.4
2014,Fatal occupational injuries,Female,Bizkaia,"Per 100,000 employees",0.0
2021,Fatal occupational injuries,Female,Bizkaia,"Per 100,000 employees",0.0
2022,Fatal occupational injuries,Female,Bizkaia,"Per 100,000 employees",0.4
2019,Fatal occupational injuries,Female,Bizkaia,"Per 100,000 employees",0.0
2018,Fatal occupational injuries,Female,Gipuzkoa,"Per 100,000 employees",0.0
2019,Fatal occupational injuries,Female,Gipuzkoa,"Per 100,000 employees",0.0
2024,Fatal occupational injuries,Female,Gipuzkoa,"Per 100,000 employees",0.6
2023,Fatal occupational injuries,Female,Gipuzkoa,"Per 100,000 employees",0.0
2016,Fatal occupational injuries,Female,Gipuzkoa,"Per 100,000 employees",0.0
2021,Fatal occupational injuries,Female,Gipuzkoa,"Per 100,000 employees",0.0
2020,Fatal occupational injuries,Female,Gipuzkoa,"Per 100,000 employees",0.7
2017,Fatal occupational injuries,Female,Gipuzkoa,"Per 100,000 employees",0.0
2022,Fatal occupational injuries,Female,Gipuzkoa,"Per 100,000 employees",0.7
2015,Fatal occupational injuries,Female,Gipuzkoa,"Per 100,000 employees",0.7
2014,Fatal occupational injuries,Female,Gipuzkoa,"Per 100,000 employees",0.0
2013,Fatal occupational injuries,Female,Gipuzkoa,"Per 100,000 employees",0.0
2014,Fatal occupational injuries,Male,,"Per 100,000 employees",0.4
2013,Fatal occupational injuries,Male,,"Per 100,000 employees",1.3
2020,Fatal occupational injuries,Male,,"Per 100,000 employees",1.0
2024,Fatal occupational injuries,Male,,"Per 100,000 employees",0.8
2023,Fatal occupational injuries,Male,,"Per 100,000 employees",0.8
2022,Fatal occupational injuries,Male,,"Per 100,000 employees",0.6
2021,Fatal occupational injuries,Male,,"Per 100,000 employees",0.6
2019,Fatal occupational injuries,Male,,"Per 100,000 employees",0.8
2016,Fatal occupational injuries,Male,,"Per 100,000 employees",1.0
2018,Fatal occupational injuries,Male,,"Per 100,000 employees",0.6
2017,Fatal occupational injuries,Male,,"Per 100,000 employees",1.2
2015,Fatal occupational injuries,Male,,"Per 100,000 employees",0.8
2015,Fatal occupational injuries,Male,Araba/Álava,"Per 100,000 employees",0.0
2021,Fatal occupational injuries,Male,Araba/Álava,"Per 100,000 employees",0.0
2014,Fatal occupational injuries,Male,Araba/Álava,"Per 100,000 employees",0.0
2016,Fatal occupational injuries,Male,Araba/Álava,"Per 100,000 employees",1.4
2020,Fatal occupational injuries,Male,Araba/Álava,"Per 100,000 employees",1.3
2022,Fatal occupational injuries,Male,Araba/Álava,"Per 100,000 employees",1.3
2017,Fatal occupational injuries,Male,Araba/Álava,"Per 100,000 employees",1.3
2023,Fatal occupational injuries,Male,Araba/Álava,"Per 100,000 employees",0.0
2024,Fatal occupational injuries,Male,Araba/Álava,"Per 100,000 employees",1.2
2019,Fatal occupational injuries,Male,Araba/Álava,"Per 100,000 employees",1.3
2018,Fatal occupational injuries,Male,Araba/Álava,"Per 100,000 employees",1.3
2013,Fatal occupational injuries,Male,Araba/Álava,"Per 100,000 employees",1.4
2013,Fatal occupational injuries,Male,Bizkaia,"Per 100,000 employees",1.2
2019,Fatal occupational injuries,Male,Bizkaia,"Per 100,000 employees",0.4
2024,Fatal occupational injuries,Male,Bizkaia,"Per 100,000 employees",0.8
2021,Fatal occupational injuries,Male,Bizkaia,"Per 100,000 employees",0.8
2018,Fatal occupational injuries,Male,Bizkaia,"Per 100,000 employees",0.4
2023,Fatal occupational injuries,Male,Bizkaia,"Per 100,000 employees",0.8
2022,Fatal occupational injuries,Male,Bizkaia,"Per 100,000 employees",0.8
2017,Fatal occupational injuries,Male,Bizkaia,"Per 100,000 employees",0.8
2020,Fatal occupational injuries,Male,Bizkaia,"Per 100,000 employees",0.8
2016,Fatal occupational injuries,Male,Bizkaia,"Per 100,000 employees",1.2
2015,Fatal occupational injuries,Male,Bizkaia,"Per 100,000 employees",0.4
2014,Fatal occupational injuries,Male,Bizkaia,"Per 100,000 employees",0.4
2020,Fatal occupational injuries,Male,Gipuzkoa,"Per 100,000 employees",1.2
2016,Fatal occupational injuries,Male,Gipuzkoa,"Per 100,000 employees",0.6
2023,Fatal occupational injuries,Male,Gipuzkoa,"Per 100,000 employees",1.2
2013,Fatal occupational injuries,Male,Gipuzkoa,"Per 100,000 employees",1.3
2021,Fatal occupational injuries,Male,Gipuzkoa,"Per 100,000 employees",0.6
2022,Fatal occupational injuries,Male,Gipuzkoa,"Per 100,000 employees",0.0
2017,Fatal occupational injuries,Male,Gipuzkoa,"Per 100,000 employees",1.8
2019,Fatal occupational injuries,Male,Gipuzkoa,"Per 100,000 employees",1.2
2014,Fatal occupational injuries,Male,Gipuzkoa,"Per 100,000 employees",0.6
2018,Fatal occupational injuries,Male,Gipuzkoa,"Per 100,000 employees",0.6
2024,Fatal occupational injuries,Male,Gipuzkoa,"Per 100,000 employees",0.6
2015,Fatal occupational injuries,Male,Gipuzkoa,"Per 100,000 employees",1.9
2018,Non-fatal occupational injuries,,,"Per 100,000 employees",6849.5
2013,Non-fatal occupational injuries,,,"Per 100,000 employees",5944.2
2023,Non-fatal occupational injuries,,,"Per 100,000 employees",6988.6
2014,Non-fatal occupational injuries,,,"Per 100,000 employees",6008.3
2017,Non-fatal occupational injuries,,,"Per 100,000 employees",6868.8
2021,Non-fatal occupational injuries,,,"Per 100,000 employees",7026.7
2022,Non-fatal occupational injuries,,,"Per 100,000 employees",7178.9
2015,Non-fatal occupational injuries,,,"Per 100,000 employees",6356.3
2016,Non-fatal occupational injuries,,,"Per 100,000 employees",6598.8
2020,Non-fatal occupational injuries,,,"Per 100,000 employees",6150.9
2024,Non-fatal occupational injuries,,,"Per 100,000 employees",7304.1
2019,Non-fatal occupational injuries,,,"Per 100,000 employees",7370.6
2018,Non-fatal occupational injuries,,Araba/Álava,"Per 100,000 employees",8200.6
2024,Non-fatal occupational injuries,,Araba/Álava,"Per 100,000 employees",9923.7
2013,Non-fatal occupational injuries,,Araba/Álava,"Per 100,000 employees",7277.4
2014,Non-fatal occupational injuries,,Araba/Álava,"Per 100,000 employees",7569.5
2019,Non-fatal occupational injuries,,Araba/Álava,"Per 100,000 employees",9053.3
2021,Non-fatal occupational injuries,,Araba/Álava,"Per 100,000 employees",8565.9
2023,Non-fatal occupational injuries,,Araba/Álava,"Per 100,000 employees",6950.6
2016,Non-fatal occupational injuries,,Araba/Álava,"Per 100,000 employees",8196.2
2017,Non-fatal occupational injuries,,Araba/Álava,"Per 100,000 employees",8154.9
2020,Non-fatal occupational injuries,,Araba/Álava,"Per 100,000 employees",7085.0
2022,Non-fatal occupational injuries,,Araba/Álava,"Per 100,000 employees",8421.5
2015,Non-fatal occupational injuries,,Araba/Álava,"Per 100,000 employees",7914.8
2018,Non-fatal occupational injuries,,Bizkaia,"Per 100,000 employees",6854.7
2020,Non-fatal occupational injuries,,Bizkaia,"Per 100,000 employees",6072.1
2021,Non-fatal occupational injuries,,Bizkaia,"Per 100,000 employees",6853.3
2015,Non-fatal occupational injuries,,Bizkaia,"Per 100,000 employees",6220.8
2019,Non-fatal occupational injuries,,Bizkaia,"Per 100,000 employees",7319.3
2024,Non-fatal occupational injuries,,Bizkaia,"Per 100,000 employees",6991.3
2013,Non-fatal occupational injuries,,Bizkaia,"Per 100,000 employees",5831.4
2014,Non-fatal occupational injuries,,Bizkaia,"Per 100,000 employees",5835.8
2017,Non-fatal occupational injuries,,Bizkaia,"Per 100,000 employees",6948.6
2022,Non-fatal occupational injuries,,Bizkaia,"Per 100,000 employees",7180.5
2016,Non-fatal occupational injuries,,Bizkaia,"Per 100,000 employees",6558.8
2023,Non-fatal occupational injuries,,Bizkaia,"Per 100,000 employees",7201.9
2020,Non-fatal occupational injuries,,Gipuzkoa,"Per 100,000 employees",5844.2
2013,Non-fatal occupational injuries,,Gipuzkoa,"Per 100,000 employees",5524.2
2022,Non-fatal occupational injuries,,Gipuzkoa,"Per 100,000 employees",6618.1
2018,Non-fatal occupational injuries,,Gipuzkoa,"Per 100,000 employees",6223.8
2024,Non-fatal occupational injuries,,Gipuzkoa,"Per 100,000 employees",6597.6
2014,Non-fatal occupational injuries,,Gipuzkoa,"Per 100,000 employees",5562.8
2021,Non-fatal occupational injuries,,Gipuzkoa,"Per 100,000 employees",6587.1
2023,Non-fatal occupational injuries,,Gipuzkoa,"Per 100,000 employees",6675.8
2016,Non-fatal occupational injuries,,Gipuzkoa,"Per 100,000 employees",5942.3
2019,Non-fatal occupational injuries,,Gipuzkoa,"Per 100,000 employees",6686.1
2015,Non-fatal occupational injuries,,Gipuzkoa,"Per 100,000 employees",5861.2
2017,Non-fatal occupational injuries,,Gipuzkoa,"Per 100,000 employees",6165.6
2016,Non-fatal occupational injuries,Female,,"Per 100,000 employees",3918.2
2024,Non-fatal occupational injuries,Female,,"Per 100,000 employees",4212.9
2015,Non-fatal occupational injuries,Female,,"Per 100,000 employees",3845.6
2019,Non-fatal occupational injuries,Female,,"Per 100,000 employees",4084.5
2017,Non-fatal occupational injuries,Female,,"Per 100,000 employees",4012.8
2020,Non-fatal occupational injuries,Female,,"Per 100,000 employees",3465.3
2023,Non-fatal occupational injuries,Female,,"Per 100,000 employees",3978.4
2014,Non-fatal occupational injuries,Female,,"Per 100,000 employees",3626.9
2018,Non-fatal occupational injuries,Female,,"Per 100,000 employees",4007.9
2021,Non-fatal occupational injuries,Female,,"Per 100,000 employees",4361.3
2013,Non-fatal occupational injuries,Female,,"Per 100,000 employees",3673.5
2022,Non-fatal occupational injuries,Female,,"Per 100,000 employees",4289.3
2024,Non-fatal occupational injuries,Female,Araba/Álava,"Per 100,000 employees",5878.4
2021,Non-fatal occupational injuries,Female,Araba/Álava,"Per 100,000 employees",5917.8
2020,Non-fatal occupational injuries,Female,Araba/Álava,"Per 100,000 employees",4131.4
2023,Non-fatal occupational injuries,Female,Araba/Álava,"Per 100,000 employees",4375.4
2022,Non-fatal occupational injuries,Female,Araba/Álava,"Per 100,000 employees",5025.1
2017,Non-fatal occupational injuries,Female,Araba/Álava,"Per 100,000 employees",4724.7
2015,Non-fatal occupational injuries,Female,Araba/Álava,"Per 100,000 employees",5205.3
2019,Non-fatal occupational injuries,Female,Araba/Álava,"Per 100,000 employees",5003.0
2014,Non-fatal occupational injuries,Female,Araba/Álava,"Per 100,000 employees",4709.6
2018,Non-fatal occupational injuries,Female,Araba/Álava,"Per 100,000 employees",4531.4
2016,Non-fatal occupational injuries,Female,Araba/Álava,"Per 100,000 employees",5000.0
2013,Non-fatal occupational injuries,Female,Araba/Álava,"Per 100,000 employees",4591.6
2019,Non-fatal occupational injuries,Female,Bizkaia,"Per 100,000 employees",4146.2
2015,Non-fatal occupational injuries,Female,Bizkaia,"Per 100,000 employees",3840.3
2021,Non-fatal occupational injuries,Female,Bizkaia,"Per 100,000 employees",4246.0
2014,Non-fatal occupational injuries,Female,Bizkaia,"Per 100,000 employees",3579.0
2017,Non-fatal occupational injuries,Female,Bizkaia,"Per 100,000 employees",4204.2
2020,Non-fatal occupational injuries,Female,Bizkaia,"Per 100,000 employees",3469.1
2022,Non-fatal occupational injuries,Female,Bizkaia,"Per 100,000 employees",4328.5
2024,Non-fatal occupational injuries,Female,Bizkaia,"Per 100,000 employees",4017.7
2023,Non-fatal occupational injuries,Female,Bizkaia,"Per 100,000 employees",3996.3
2018,Non-fatal occupational injuries,Female,Bizkaia,"Per 100,000 employees",4183.5
2016,Non-fatal occupational injuries,Female,Bizkaia,"Per 100,000 employees",3907.5
2013,Non-fatal occupational injuries,Female,Bizkaia,"Per 100,000 employees",3736.0
2013,Non-fatal occupational injuries,Female,Gipuzkoa,"Per 100,000 employees",3188.0
2014,Non-fatal occupational injuries,Female,Gipuzkoa,"Per 100,000 employees",3227.0
2017,Non-fatal occupational injuries,Female,Gipuzkoa,"Per 100,000 employees",3395.2
2018,Non-fatal occupational injuries,Female,Gipuzkoa,"Per 100,000 employees",3490.7
2019,Non-fatal occupational injuries,Female,Gipuzkoa,"Per 100,000 employees",3579.6
2021,Non-fatal occupational injuries,Female,Gipuzkoa,"Per 100,000 employees",3845.4
2022,Non-fatal occupational injuries,Female,Gipuzkoa,"Per 100,000 employees",3900.8
2024,Non-fatal occupational injuries,Female,Gipuzkoa,"Per 100,000 employees",3781.6
2020,Non-fatal occupational injuries,Female,Gipuzkoa,"Per 100,000 employees",3168.2
2016,Non-fatal occupational injuries,Female,Gipuzkoa,"Per 100,000 employees",3454.7
2015,Non-fatal occupational injuries,Female,Gipuzkoa,"Per 100,000 employees",3261.3
2023,Non-fatal occupational injuries,Female,Gipuzkoa,"Per 100,000 employees",3776.6
2015,Non-fatal occupational injuries,Male,,"Per 100,000 employees",8601.7
2020,Non-fatal occupational injuries,Male,,"Per 100,000 employees",8606.3
2014,Non-fatal occupational injuries,Male,,"Per 100,000 employees",8125.1
2019,Non-fatal occupational injuries,Male,,"Per 100,000 employees",10333.0
2021,Non-fatal occupational injuries,Male,,"Per 100,000 employees",9472.5
2017,Non-fatal occupational injuries,Male,,"Per 100,000 employees",9442.0
2018,Non-fatal occupational injuries,Male,,"Per 100,000 employees",9401.4
2022,Non-fatal occupational injuries,Male,,"Per 100,000 employees",9806.7
2024,Non-fatal occupational injuries,Male,,"Per 100,000 employees",10149.5
2016,Non-fatal occupational injuries,Male,,"Per 100,000 employees",9007.6
2013,Non-fatal occupational injuries,Male,,"Per 100,000 employees",7924.2
2023,Non-fatal occupational injuries,Male,,"Per 100,000 employees",9758.5
2015,Non-fatal occupational injuries,Male,Araba/Álava,"Per 100,000 employees",10155.4
2014,Non-fatal occupational injuries,Male,Araba/Álava,"Per 100,000 employees",9964.5
2019,Non-fatal occupational injuries,Male,Araba/Álava,"Per 100,000 employees",12530.8
2022,Non-fatal occupational injuries,Male,Araba/Álava,"Per 100,000 employees",11421.9
2020,Non-fatal occupational injuries,Male,Araba/Álava,"Per 100,000 employees",9547.7
2013,Non-fatal occupational injuries,Male,Araba/Álava,"Per 100,000 employees",9472.5
2024,Non-fatal occupational injuries,Male,Araba/Álava,"Per 100,000 employees",13494.4
2016,Non-fatal occupational injuries,Male,Araba/Álava,"Per 100,000 employees",10880.6
2023,Non-fatal occupational injuries,Male,Araba/Álava,"Per 100,000 employees",9205.6
2018,Non-fatal occupational injuries,Male,Araba/Álava,"Per 100,000 employees",11434.0
2017,Non-fatal occupational injuries,Male,Araba/Álava,"Per 100,000 employees",11100.5
2021,Non-fatal occupational injuries,Male,Araba/Álava,"Per 100,000 employees",10857.7
2013,Non-fatal occupational injuries,Male,Bizkaia,"Per 100,000 employees",7673.6
2014,Non-fatal occupational injuries,Male,Bizkaia,"Per 100,000 employees",7871.4
2015,Non-fatal occupational injuries,Male,Bizkaia,"Per 100,000 employees",8426.4
2016,Non-fatal occupational injuries,Male,Bizkaia,"Per 100,000 employees",9062.4
2017,Non-fatal occupational injuries,Male,Bizkaia,"Per 100,000 employees",9471.9
2018,Non-fatal occupational injuries,Male,Bizkaia,"Per 100,000 employees",9301.5
2019,Non-fatal occupational injuries,Male,Bizkaia,"Per 100,000 employees",10243.5
2020,Non-fatal occupational injuries,Male,Bizkaia,"Per 100,000 employees",8531.5
2021,Non-fatal occupational injuries,Male,Bizkaia,"Per 100,000 employees",9291.6
2022,Non-fatal occupational injuries,Male,Bizkaia,"Per 100,000 employees",9836.4
2023,Non-fatal occupational injuries,Male,Bizkaia,"Per 100,000 employees",10203.9
2024,Non-fatal occupational injuries,Male,Bizkaia,"Per 100,000 employees",9722.1
2022,Non-fatal occupational injuries,Male,Gipuzkoa,"Per 100,000 employees",9041.0
2017,Non-fatal occupational injuries,Male,Gipuzkoa,"Per 100,000 employees",8633.8
2013,Non-fatal occupational injuries,Male,Gipuzkoa,"Per 100,000 employees",7594.0
2015,Non-fatal occupational injuries,Male,Gipuzkoa,"Per 100,000 employees",8142.6
2016,Non-fatal occupational injuries,Male,Gipuzkoa,"Per 100,000 employees",8075.8
2019,Non-fatal occupational injuries,Male,Gipuzkoa,"Per 100,000 employees",9448.5
2020,Non-fatal occupational injuries,Male,Gipuzkoa,"Per 100,000 employees",8270.8
2023,Non-fatal occupational injuries,Male,Gipuzkoa,"Per 100,000 employees",9332.9
2024,Non-fatal occupational injuries,Male,Gipuzkoa,"Per 100,000 employees",9250.7
2014,Non-fatal occupational injuries,Male,Gipuzkoa,"Per 100,000 employees",7649.1
2018,Non-fatal occupational injuries,Male,Gipuzkoa,"Per 100,000 employees",8624.9
2021,Non-fatal occupational injuries,Male,Gipuzkoa,"Per 100,000 employees",9100.4
