Year,Series,Province,Units,Value
2014,Proportion of households covered by 4G mobile networks,Araba/Álava,%,76.0
2019,Proportion of households covered by 4G mobile networks,Bizkaia,%,99.97
2020,Proportion of households covered by 4G mobile networks,Bizkaia,%,99.99
2017,Proportion of households covered by 4G mobile networks,Bizkaia,%,99.52
2016,Proportion of households covered by 4G mobile networks,Bizkaia,%,95.37
2015,Proportion of households covered by 4G mobile networks,Bizkaia,%,85.25
2025,Proportion of households covered by 4G mobile networks,Bizkaia,%,99.99
2024,Proportion of households covered by 4G mobile networks,Bizkaia,%,99.99
2023,Proportion of households covered by 4G mobile networks,Bizkaia,%,99.98
2014,Proportion of households covered by 4G mobile networks,Bizkaia,%,68.5
2018,Proportion of households covered by 4G mobile networks,Bizkaia,%,99.97
2022,Proportion of households covered by 4G mobile networks,Bizkaia,%,99.98
2021,Proportion of households covered by 4G mobile networks,Bizkaia,%,100.0
2023,Proportion of households covered by 4G mobile networks,Gipuzkoa,%,99.93
2022,Proportion of households covered by 4G mobile networks,Gipuzkoa,%,99.96
2021,Proportion of households covered by 4G mobile networks,Gipuzkoa,%,99.98
2020,Proportion of households covered by 4G mobile networks,Gipuzkoa,%,99.95
2019,Proportion of households covered by 4G mobile networks,Gipuzkoa,%,99.94
2018,Proportion of households covered by 4G mobile networks,Gipuzkoa,%,99.94
2017,Proportion of households covered by 4G mobile networks,Gipuzkoa,%,98.71
2015,Proportion of households covered by 4G mobile networks,Gipuzkoa,%,70.63
2014,Proportion of households covered by 4G mobile networks,Gipuzkoa,%,23.7
2016,Proportion of households covered by 4G mobile networks,Gipuzkoa,%,92.01
2025,Proportion of households covered by 4G mobile networks,Gipuzkoa,%,99.92
2024,Proportion of households covered by 4G mobile networks,Gipuzkoa,%,99.92
2022,Proportion of households covered by 5G mobile networks,,%,84.6
2025,Proportion of households covered by 5G mobile networks,,%,99.62
2021,Proportion of households covered by 5G mobile networks,,%,66.8
2023,Proportion of households covered by 5G mobile networks,,%,95.8
2024,Proportion of households covered by 5G mobile networks,,%,97.2
2024,Proportion of households covered by 5G mobile networks,Araba/Álava,%,94.14
2025,Proportion of households covered by 5G mobile networks,Araba/Álava,%,99.19
2023,Proportion of households covered by 5G mobile networks,Araba/Álava,%,92.67
2025,Proportion of households covered by 5G mobile networks,Bizkaia,%,99.82
2024,Proportion of households covered by 5G mobile networks,Bizkaia,%,98.1
2023,Proportion of households covered by 5G mobile networks,Bizkaia,%,97.58
2024,Proportion of households covered by 5G mobile networks,Gipuzkoa,%,97.18
2023,Proportion of households covered by 5G mobile networks,Gipuzkoa,%,94.44
2025,Proportion of households covered by 5G mobile networks,Gipuzkoa,%,99.5
