Year,Sexo,Territorio histórico,Units,Value
2015,Mujer,Araba/Álava,Por 1.000 nacidos vivos,1.31
2016,Mujer,Araba/Álava,Por 1.000 nacidos vivos,2.62
2013,Mujer,Araba/Álava,Por 1.000 nacidos vivos,2.03
2012,Mujer,Araba/Álava,Por 1.000 nacidos vivos,4.5
2011,Mujer,Araba/Álava,Por 1.000 nacidos vivos,5.34
2014,Mujer,Araba/Álava,Por 1.000 nacidos vivos,2.5
2023,Mujer,Araba/Álava,Por 1.000 nacidos vivos,2.86
2022,Mujer,Bizkaia,Por 1.000 nacidos vivos,2.37
2023,Mujer,Bizkaia,Por 1.000 nacidos vivos,3.68
2019,Mujer,Bizkaia,Por 1.000 nacidos vivos,4.02
2018,Mujer,Bizkaia,Por 1.000 nacidos vivos,4.1
2016,Mujer,Bizkaia,Por 1.000 nacidos vivos,2.92
2017,Mujer,Bizkaia,Por 1.000 nacidos vivos,2.44
2014,Mujer,Bizkaia,Por 1.000 nacidos vivos,2.93
2021,Mujer,Bizkaia,Por 1.000 nacidos vivos,2.7
2013,Mujer,Bizkaia,Por 1.000 nacidos vivos,2.75
2012,Mujer,Bizkaia,Por 1.000 nacidos vivos,3.2
2015,Mujer,Bizkaia,Por 1.000 nacidos vivos,5.42
2011,Mujer,Bizkaia,Por 1.000 nacidos vivos,4.72
2010,Mujer,Bizkaia,Por 1.000 nacidos vivos,4.24
2020,Mujer,Bizkaia,Por 1.000 nacidos vivos,3.14
2022,Mujer,Gipuzkoa,Por 1.000 nacidos vivos,2.8
2021,Mujer,Gipuzkoa,Por 1.000 nacidos vivos,2.51
2020,Mujer,Gipuzkoa,Por 1.000 nacidos vivos,2.87
2019,Mujer,Gipuzkoa,Por 1.000 nacidos vivos,2.77
2018,Mujer,Gipuzkoa,Por 1.000 nacidos vivos,3.41
2017,Mujer,Gipuzkoa,Por 1.000 nacidos vivos,1.49
2023,Mujer,Gipuzkoa,Por 1.000 nacidos vivos,2.22
2016,Mujer,Gipuzkoa,Por 1.000 nacidos vivos,2.73
2015,Mujer,Gipuzkoa,Por 1.000 nacidos vivos,1.58
2014,Mujer,Gipuzkoa,Por 1.000 nacidos vivos,2.88
2013,Mujer,Gipuzkoa,Por 1.000 nacidos vivos,2.61
2012,Mujer,Gipuzkoa,Por 1.000 nacidos vivos,3.7
2011,Mujer,Gipuzkoa,Por 1.000 nacidos vivos,2.91
2010,Mujer,Gipuzkoa,Por 1.000 nacidos vivos,3.66
2021,Hombre,,Por 1.000 nacidos vivos,3.1
2023,Hombre,,Por 1.000 nacidos vivos,3.19
2019,Hombre,,Por 1.000 nacidos vivos,3.8
2013,Hombre,,Por 1.000 nacidos vivos,2.95
2020,Hombre,,Por 1.000 nacidos vivos,3.27
2016,Hombre,,Por 1.000 nacidos vivos,3.43
2015,Hombre,,Por 1.000 nacidos vivos,3.49
2010,Hombre,,Por 1.000 nacidos vivos,3.24
2018,Hombre,,Por 1.000 nacidos vivos,3.52
2017,Hombre,,Por 1.000 nacidos vivos,3.29
2012,Hombre,,Por 1.000 nacidos vivos,2.8
2022,Hombre,,Por 1.000 nacidos vivos,4.7
2014,Hombre,,Por 1.000 nacidos vivos,2.94
2011,Hombre,,Por 1.000 nacidos vivos,2.51
2021,Hombre,Araba/Álava,Por 1.000 nacidos vivos,4.05
2022,Hombre,Araba/Álava,Por 1.000 nacidos vivos,6.8
2012,Hombre,Araba/Álava,Por 1.000 nacidos vivos,2.3
2015,Hombre,Araba/Álava,Por 1.000 nacidos vivos,3.67
2013,Hombre,Araba/Álava,Por 1.000 nacidos vivos,4.33
2020,Hombre,Araba/Álava,Por 1.000 nacidos vivos,4.85
2011,Hombre,Araba/Álava,Por 1.000 nacidos vivos,2.29
2018,Hombre,Araba/Álava,Por 1.000 nacidos vivos,5.77
2016,Hombre,Araba/Álava,Por 1.000 nacidos vivos,3.88
2014,Hombre,Araba/Álava,Por 1.000 nacidos vivos,3.58
2010,Hombre,Araba/Álava,Por 1.000 nacidos vivos,3.45
2023,Hombre,Araba/Álava,Por 1.000 nacidos vivos,6.85
2017,Hombre,Araba/Álava,Por 1.000 nacidos vivos,3.34
2019,Hombre,Araba/Álava,Por 1.000 nacidos vivos,2.29
2023,Hombre,Bizkaia,Por 1.000 nacidos vivos,3.22
2022,Hombre,Bizkaia,Por 1.000 nacidos vivos,4.31
2021,Hombre,Bizkaia,Por 1.000 nacidos vivos,2.76
2020,Hombre,Bizkaia,Por 1.000 nacidos vivos,2.88
2019,Hombre,Bizkaia,Por 1.000 nacidos vivos,3.76
2018,Hombre,Bizkaia,Por 1.000 nacidos vivos,3.22
2016,Hombre,Bizkaia,Por 1.000 nacidos vivos,3.83
2017,Hombre,Bizkaia,Por 1.000 nacidos vivos,3.17
2015,Hombre,Bizkaia,Por 1.000 nacidos vivos,3.47
2014,Hombre,Bizkaia,Por 1.000 nacidos vivos,2.22
2013,Hombre,Bizkaia,Por 1.000 nacidos vivos,2.2
2012,Hombre,Bizkaia,Por 1.000 nacidos vivos,3.19
2011,Hombre,Bizkaia,Por 1.000 nacidos vivos,2.78
2010,Hombre,Bizkaia,Por 1.000 nacidos vivos,4.07
2020,Hombre,Gipuzkoa,Por 1.000 nacidos vivos,3.09
2019,Hombre,Gipuzkoa,Por 1.000 nacidos vivos,4.61
2018,Hombre,Gipuzkoa,Por 1.000 nacidos vivos,2.83
2017,Hombre,Gipuzkoa,Por 1.000 nacidos vivos,3.44
2016,Hombre,Gipuzkoa,Por 1.000 nacidos vivos,2.6
2015,Hombre,Gipuzkoa,Por 1.000 nacidos vivos,3.44
2011,Hombre,Gipuzkoa,Por 1.000 nacidos vivos,2.2
2014,Hombre,Gipuzkoa,Por 1.000 nacidos vivos,3.71
2012,Hombre,Gipuzkoa,Por 1.000 nacidos vivos,2.46
2013,Hombre,Gipuzkoa,Por 1.000 nacidos vivos,3.42
2010,Hombre,Gipuzkoa,Por 1.000 nacidos vivos,1.91
2023,Hombre,Gipuzkoa,Por 1.000 nacidos vivos,1.3
2022,Hombre,Gipuzkoa,Por 1.000 nacidos vivos,4.22
2021,Hombre,Gipuzkoa,Por 1.000 nacidos vivos,3.15
