Year,Occupation,Province,Units,Value
2019,Senior management,Gipuzkoa,%,29.6
2015,Senior management,Gipuzkoa,%,26.1
2014,Senior management,Gipuzkoa,%,32.4
2011,Senior management,Gipuzkoa,%,25.4
2012,Senior management,Gipuzkoa,%,27.0
2010,Senior management,Gipuzkoa,%,28.4
2013,Senior management,Gipuzkoa,%,33.8
2016,Senior management,Gipuzkoa,%,33.2
2020,Senior management,Gipuzkoa,%,26.9
2021,Senior management,Gipuzkoa,%,29.1
2023,Senior management,Gipuzkoa,%,26.2
2011,Businesswoman,,%,34.5
2019,Businesswoman,,%,35.1
2020,Businesswoman,,%,34.4
2014,Businesswoman,,%,35.2
2024,Businesswoman,,%,37.2
2021,Businesswoman,,%,33.5
2017,Businesswoman,,%,34.5
2015,Businesswoman,,%,33.7
2023,Businesswoman,,%,35.1
2016,Businesswoman,,%,34.7
2012,Businesswoman,,%,36.0
2022,Businesswoman,,%,33.1
2010,Businesswoman,,%,32.6
2018,Businesswoman,,%,35.4
2013,Businesswoman,,%,34.7
2020,Businesswoman,Araba/Álava,%,30.9
2019,Businesswoman,Araba/Álava,%,34.6
2018,Businesswoman,Araba/Álava,%,36.0
2011,Businesswoman,Araba/Álava,%,31.8
2015,Businesswoman,Araba/Álava,%,36.7
2013,Businesswoman,Araba/Álava,%,31.8
2017,Businesswoman,Araba/Álava,%,32.8
2024,Businesswoman,Araba/Álava,%,27.3
2022,Businesswoman,Araba/Álava,%,30.7
2016,Businesswoman,Araba/Álava,%,34.9
2010,Businesswoman,Araba/Álava,%,35.2
2012,Businesswoman,Araba/Álava,%,33.6
2014,Businesswoman,Araba/Álava,%,33.3
2021,Businesswoman,Araba/Álava,%,31.3
2023,Businesswoman,Araba/Álava,%,27.7
2015,Businesswoman,Bizkaia,%,33.0
2024,Businesswoman,Bizkaia,%,37.7
2023,Businesswoman,Bizkaia,%,37.0
2022,Businesswoman,Bizkaia,%,34.6
2021,Businesswoman,Bizkaia,%,33.5
2020,Businesswoman,Bizkaia,%,35.8
2019,Businesswoman,Bizkaia,%,34.9
2017,Businesswoman,Bizkaia,%,33.8
2016,Businesswoman,Bizkaia,%,34.0
2014,Businesswoman,Bizkaia,%,34.9
2013,Businesswoman,Bizkaia,%,35.7
2012,Businesswoman,Bizkaia,%,36.9
2011,Businesswoman,Bizkaia,%,36.6
2018,Businesswoman,Bizkaia,%,35.0
2010,Businesswoman,Bizkaia,%,33.5
2022,Businesswoman,Gipuzkoa,%,32.0
2021,Businesswoman,Gipuzkoa,%,34.3
2019,Businesswoman,Gipuzkoa,%,35.6
2018,Businesswoman,Gipuzkoa,%,35.7
2024,Businesswoman,Gipuzkoa,%,40.0
2017,Businesswoman,Gipuzkoa,%,36.2
2013,Businesswoman,Gipuzkoa,%,34.5
2016,Businesswoman,Gipuzkoa,%,35.6
2012,Businesswoman,Gipuzkoa,%,35.6
2010,Businesswoman,Gipuzkoa,%,30.5
2011,Businesswoman,Gipuzkoa,%,32.6
2020,Businesswoman,Gipuzkoa,%,33.4
2014,Businesswoman,Gipuzkoa,%,36.4
2015,Businesswoman,Gipuzkoa,%,33.2
2023,Businesswoman,Gipuzkoa,%,35.3
