Year,Lanbidea,Sexua,Lurralde historikoa,Units,Value
2016,,Emakumea,Araba / Álava,10.000 biztanleko,247.5
2021,,Emakumea,Araba / Álava,10.000 biztanleko,259.5
2017,,Emakumea,Araba / Álava,10.000 biztanleko,250.5
2019,,Emakumea,Araba / Álava,10.000 biztanleko,253.0
2018,,Emakumea,Araba / Álava,10.000 biztanleko,253.1
2010,,Emakumea,Araba / Álava,10.000 biztanleko,217.6
2011,,Emakumea,Araba / Álava,10.000 biztanleko,224.6
2016,,Emakumea,Bizkaia,10.000 biztanleko,225.9
2010,,Emakumea,Bizkaia,10.000 biztanleko,196.1
2013,,Emakumea,Bizkaia,10.000 biztanleko,210.4
2021,,Emakumea,Bizkaia,10.000 biztanleko,248.8
2015,,Emakumea,Bizkaia,10.000 biztanleko,220.7
2023,,Emakumea,Bizkaia,10.000 biztanleko,258.6
2012,,Emakumea,Bizkaia,10.000 biztanleko,207.8
2020,,Emakumea,Bizkaia,10.000 biztanleko,244.0
2022,,Emakumea,Bizkaia,10.000 biztanleko,253.7
2018,,Emakumea,Bizkaia,10.000 biztanleko,234.7
2014,,Emakumea,Bizkaia,10.000 biztanleko,215.0
2017,,Emakumea,Bizkaia,10.000 biztanleko,230.0
2019,,Emakumea,Bizkaia,10.000 biztanleko,239.2
2011,,Emakumea,Bizkaia,10.000 biztanleko,202.6
2021,,Emakumea,Gipuzkoa,10.000 biztanleko,244.7
2016,,Emakumea,Gipuzkoa,10.000 biztanleko,224.7
2011,,Emakumea,Gipuzkoa,10.000 biztanleko,204.6
2023,,Emakumea,Gipuzkoa,10.000 biztanleko,298.4
2013,,Emakumea,Gipuzkoa,10.000 biztanleko,214.0
2012,,Emakumea,Gipuzkoa,10.000 biztanleko,208.5
2019,,Emakumea,Gipuzkoa,10.000 biztanleko,233.7
2020,,Emakumea,Gipuzkoa,10.000 biztanleko,240.1
2022,,Emakumea,Gipuzkoa,10.000 biztanleko,249.6
2014,,Emakumea,Gipuzkoa,10.000 biztanleko,219.0
2018,,Emakumea,Gipuzkoa,10.000 biztanleko,229.3
2017,,Emakumea,Gipuzkoa,10.000 biztanleko,227.0
2015,,Emakumea,Gipuzkoa,10.000 biztanleko,222.0
2010,,Emakumea,Gipuzkoa,10.000 biztanleko,204.2
2010,,Gizona,,10.000 biztanleko,82.4
2014,,Gizona,,10.000 biztanleko,84.6
2017,,Gizona,,10.000 biztanleko,87.0
2015,,Gizona,,10.000 biztanleko,85.1
2023,,Gizona,,10.000 biztanleko,97.1
2021,,Gizona,,10.000 biztanleko,92.6
2022,,Gizona,,10.000 biztanleko,94.1
2016,,Gizona,,10.000 biztanleko,86.4
2013,,Gizona,,10.000 biztanleko,83.3
2019,,Gizona,,10.000 biztanleko,90.2
2012,,Gizona,,10.000 biztanleko,83.7
2020,,Gizona,,10.000 biztanleko,91.6
2018,,Gizona,,10.000 biztanleko,88.5
2011,,Gizona,,10.000 biztanleko,85.0
2023,,Gizona,Araba / Álava,10.000 biztanleko,86.7
2021,,Gizona,Araba / Álava,10.000 biztanleko,86.4
2015,,Gizona,Araba / Álava,10.000 biztanleko,79.4
2014,,Gizona,Araba / Álava,10.000 biztanleko,79.0
2011,,Gizona,Araba / Álava,10.000 biztanleko,77.0
2019,,Gizona,Araba / Álava,10.000 biztanleko,84.4
2010,,Gizona,Araba / Álava,10.000 biztanleko,75.5
2022,,Gizona,Araba / Álava,10.000 biztanleko,86.2
2017,,Gizona,Araba / Álava,10.000 biztanleko,82.1
2013,,Gizona,Araba / Álava,10.000 biztanleko,76.7
2016,,Gizona,Araba / Álava,10.000 biztanleko,80.8
2012,,Gizona,Araba / Álava,10.000 biztanleko,75.7
2018,,Gizona,Araba / Álava,10.000 biztanleko,83.2
2020,,Gizona,Araba / Álava,10.000 biztanleko,85.1
2021,,Gizona,Bizkaia,10.000 biztanleko,102.5
2010,,Gizona,Bizkaia,10.000 biztanleko,89.3
2022,,Gizona,Bizkaia,10.000 biztanleko,104.2
2019,,Gizona,Bizkaia,10.000 biztanleko,99.0
2012,,Gizona,Bizkaia,10.000 biztanleko,89.2
2018,,Gizona,Bizkaia,10.000 biztanleko,97.2
2016,,Gizona,Bizkaia,10.000 biztanleko,94.1
2015,,Gizona,Bizkaia,10.000 biztanleko,92.7
2011,,Gizona,Bizkaia,10.000 biztanleko,90.6
2014,,Gizona,Bizkaia,10.000 biztanleko,91.9
2023,,Gizona,Bizkaia,10.000 biztanleko,106.4
2013,,Gizona,Bizkaia,10.000 biztanleko,90.2
2017,,Gizona,Bizkaia,10.000 biztanleko,95.2
2020,,Gizona,Bizkaia,10.000 biztanleko,101.2
2021,,Gizona,Gipuzkoa,10.000 biztanleko,80.0
2017,,Gizona,Gipuzkoa,10.000 biztanleko,76.2
2011,,Gizona,Gipuzkoa,10.000 biztanleko,79.7
2018,,Gizona,Gipuzkoa,10.000 biztanleko,77.1
2019,,Gizona,Gipuzkoa,10.000 biztanleko,78.9
2020,,Gizona,Gipuzkoa,10.000 biztanleko,79.4
2023,,Gizona,Gipuzkoa,10.000 biztanleko,87.5
2014,,Gizona,Gipuzkoa,10.000 biztanleko,75.6
2016,,Gizona,Gipuzkoa,10.000 biztanleko,76.6
2022,,Gizona,Gipuzkoa,10.000 biztanleko,82.0
2010,,Gizona,Gipuzkoa,10.000 biztanleko,74.4
2015,,Gizona,Gipuzkoa,10.000 biztanleko,75.8
2013,,Gizona,Gipuzkoa,10.000 biztanleko,75.1
2012,,Gizona,Gipuzkoa,10.000 biztanleko,78.6
2021,Medikua,,,10.000 biztanleko,68.7
2014,Medikua,,,10.000 biztanleko,59.3
2015,Medikua,,,10.000 biztanleko,60.0
2023,Medikua,,,10.000 biztanleko,72.1
2017,Medikua,,,10.000 biztanleko,62.2
2013,Medikua,,,10.000 biztanleko,58.1
2018,Medikua,,,10.000 biztanleko,63.6
2020,Medikua,,,10.000 biztanleko,66.9
2010,Medikua,,,10.000 biztanleko,54.5
2011,Medikua,,,10.000 biztanleko,55.8
2022,Medikua,,,10.000 biztanleko,70.6
2016,Medikua,,,10.000 biztanleko,61.1
2019,Medikua,,,10.000 biztanleko,65.4
2012,Medikua,,,10.000 biztanleko,57.0
2022,Medikua,,Araba / Álava,10.000 biztanleko,63.9
2016,Medikua,,Araba / Álava,10.000 biztanleko,58.8
2011,Medikua,,Araba / Álava,10.000 biztanleko,54.0
2019,Medikua,,Araba / Álava,10.000 biztanleko,60.7
2023,Medikua,,Araba / Álava,10.000 biztanleko,65.1
2014,Medikua,,Araba / Álava,10.000 biztanleko,57.9
2012,Medikua,,Araba / Álava,10.000 biztanleko,55.1
2015,Medikua,,Araba / Álava,10.000 biztanleko,58.0
2017,Medikua,,Araba / Álava,10.000 biztanleko,59.4
2020,Medikua,,Araba / Álava,10.000 biztanleko,61.3
2013,Medikua,,Araba / Álava,10.000 biztanleko,56.5
2021,Medikua,,Araba / Álava,10.000 biztanleko,62.7
2010,Medikua,,Araba / Álava,10.000 biztanleko,51.9
2018,Medikua,,Araba / Álava,10.000 biztanleko,59.7
2012,Medikua,,Bizkaia,10.000 biztanleko,59.9
2019,Medikua,,Bizkaia,10.000 biztanleko,70.4
2017,Medikua,,Bizkaia,10.000 biztanleko,66.2
2022,Medikua,,Bizkaia,10.000 biztanleko,76.2
2013,Medikua,,Bizkaia,10.000 biztanleko,61.2
2018,Medikua,,Bizkaia,10.000 biztanleko,68.2
2021,Medikua,,Bizkaia,10.000 biztanleko,74.1
2023,Medikua,,Bizkaia,10.000 biztanleko,78.4
2014,Medikua,,Bizkaia,10.000 biztanleko,62.4
2010,Medikua,,Bizkaia,10.000 biztanleko,57.2
2015,Medikua,,Bizkaia,10.000 biztanleko,63.4
2020,Medikua,,Bizkaia,10.000 biztanleko,72.2
2016,Medikua,,Bizkaia,10.000 biztanleko,64.9
2011,Medikua,,Bizkaia,10.000 biztanleko,58.6
2010,Medikua,,Gipuzkoa,10.000 biztanleko,51.1
2017,Medikua,,Gipuzkoa,10.000 biztanleko,57.0
2012,Medikua,,Gipuzkoa,10.000 biztanleko,53.0
2011,Medikua,,Gipuzkoa,10.000 biztanleko,52.0
2014,Medikua,,Gipuzkoa,10.000 biztanleko,54.9
2013,Medikua,,Gipuzkoa,10.000 biztanleko,53.8
2018,Medikua,,Gipuzkoa,10.000 biztanleko,58.1
2015,Medikua,,Gipuzkoa,10.000 biztanleko,55.4
2022,Medikua,,Gipuzkoa,10.000 biztanleko,64.7
2021,Medikua,,Gipuzkoa,10.000 biztanleko,62.8
2019,Medikua,,Gipuzkoa,10.000 biztanleko,59.6
2023,Medikua,,Gipuzkoa,10.000 biztanleko,65.5
2020,Medikua,,Gipuzkoa,10.000 biztanleko,61.1
2016,Medikua,,Gipuzkoa,10.000 biztanleko,56.1
2017,Medikua,Emakumea,,10.000 biztanleko,65.1
2019,Medikua,Emakumea,,10.000 biztanleko,69.8
2014,Medikua,Emakumea,,10.000 biztanleko,60.1
2012,Medikua,Emakumea,,10.000 biztanleko,56.8
2023,Medikua,Emakumea,,10.000 biztanleko,80.7
2022,Medikua,Emakumea,,10.000 biztanleko,78.1
2011,Medikua,Emakumea,,10.000 biztanleko,54.6
2015,Medikua,Emakumea,,10.000 biztanleko,61.6
2016,Medikua,Emakumea,,10.000 biztanleko,63.3
2021,Medikua,Emakumea,,10.000 biztanleko,75.2
2010,Medikua,Emakumea,,10.000 biztanleko,52.5
2013,Medikua,Emakumea,,10.000 biztanleko,58.5
2018,Medikua,Emakumea,,10.000 biztanleko,67.1
2020,Medikua,Emakumea,,10.000 biztanleko,72.3
2012,Medikua,Emakumea,Araba / Álava,10.000 biztanleko,57.4
2019,Medikua,Emakumea,Araba / Álava,10.000 biztanleko,66.3
2020,Medikua,Emakumea,Araba / Álava,10.000 biztanleko,67.6
2023,Medikua,Emakumea,Araba / Álava,10.000 biztanleko,74.7
2015,Medikua,Emakumea,Araba / Álava,10.000 biztanleko,62.1
2016,Medikua,Emakumea,Araba / Álava,10.000 biztanleko,63.6
2013,Medikua,Emakumea,Araba / Álava,10.000 biztanleko,59.6
2017,Medikua,Emakumea,Araba / Álava,10.000 biztanleko,63.9
2014,Medikua,Emakumea,Araba / Álava,10.000 biztanleko,61.4
2022,Medikua,Emakumea,Araba / Álava,10.000 biztanleko,72.5
2011,Medikua,Emakumea,Araba / Álava,10.000 biztanleko,55.2
2010,Medikua,Emakumea,Araba / Álava,10.000 biztanleko,52.8
2018,Medikua,Emakumea,Araba / Álava,10.000 biztanleko,64.5
2021,Medikua,Emakumea,Araba / Álava,10.000 biztanleko,70.5
2015,Medikua,Emakumea,Bizkaia,10.000 biztanleko,64.2
2018,Medikua,Emakumea,Bizkaia,10.000 biztanleko,70.8
2017,Medikua,Emakumea,Bizkaia,10.000 biztanleko,68.4
2022,Medikua,Emakumea,Bizkaia,10.000 biztanleko,82.7
2011,Medikua,Emakumea,Bizkaia,10.000 biztanleko,56.5
2013,Medikua,Emakumea,Bizkaia,10.000 biztanleko,60.8
2014,Medikua,Emakumea,Bizkaia,10.000 biztanleko,62.3
2021,Medikua,Emakumea,Bizkaia,10.000 biztanleko,79.4
2012,Medikua,Emakumea,Bizkaia,10.000 biztanleko,59.1
2020,Medikua,Emakumea,Bizkaia,10.000 biztanleko,76.8
2023,Medikua,Emakumea,Bizkaia,10.000 biztanleko,85.7
2019,Medikua,Emakumea,Bizkaia,10.000 biztanleko,74.1
2016,Medikua,Emakumea,Bizkaia,10.000 biztanleko,66.3
2010,Medikua,Emakumea,Bizkaia,10.000 biztanleko,54.5
2015,Medikua,Emakumea,Gipuzkoa,10.000 biztanleko,57.2
2011,Medikua,Emakumea,Gipuzkoa,10.000 biztanleko,51.0
2010,Medikua,Emakumea,Gipuzkoa,10.000 biztanleko,49.1
2013,Medikua,Emakumea,Gipuzkoa,10.000 biztanleko,54.2
2012,Medikua,Emakumea,Gipuzkoa,10.000 biztanleko,52.6
2017,Medikua,Emakumea,Gipuzkoa,10.000 biztanleko,60.3
2018,Medikua,Emakumea,Gipuzkoa,10.000 biztanleko,62.3
2016,Medikua,Emakumea,Gipuzkoa,10.000 biztanleko,58.4
2019,Medikua,Emakumea,Gipuzkoa,10.000 biztanleko,64.5
2020,Medikua,Emakumea,Gipuzkoa,10.000 biztanleko,67.3
2023,Medikua,Emakumea,Gipuzkoa,10.000 biztanleko,75.3
2014,Medikua,Emakumea,Gipuzkoa,10.000 biztanleko,55.9
2021,Medikua,Emakumea,Gipuzkoa,10.000 biztanleko,70.4
2022,Medikua,Emakumea,Gipuzkoa,10.000 biztanleko,73.3
2021,Medikua,Gizona,,10.000 biztanleko,61.8
2020,Medikua,Gizona,,10.000 biztanleko,61.2
2013,Medikua,Gizona,,10.000 biztanleko,57.6
2011,Medikua,Gizona,,10.000 biztanleko,57.1
2014,Medikua,Gizona,,10.000 biztanleko,58.4
2018,Medikua,Gizona,,10.000 biztanleko,59.9
2019,Medikua,Gizona,,10.000 biztanleko,60.7
2023,Medikua,Gizona,,10.000 biztanleko,63.1
2016,Medikua,Gizona,,10.000 biztanleko,58.8
2010,Medikua,Gizona,,10.000 biztanleko,56.5
2017,Medikua,Gizona,,10.000 biztanleko,59.1
2015,Medikua,Gizona,,10.000 biztanleko,58.3
2022,Medikua,Gizona,,10.000 biztanleko,62.6
2012,Medikua,Gizona,,10.000 biztanleko,57.2
2014,Medikua,Gizona,Araba / Álava,10.000 biztanleko,54.3
2010,Medikua,Gizona,Araba / Álava,10.000 biztanleko,51.1
2011,Medikua,Gizona,Araba / Álava,10.000 biztanleko,52.7
2016,Medikua,Gizona,Araba / Álava,10.000 biztanleko,53.9
2012,Medikua,Gizona,Araba / Álava,10.000 biztanleko,52.7
2023,Medikua,Gizona,Araba / Álava,10.000 biztanleko,55.1
2022,Medikua,Gizona,Araba / Álava,10.000 biztanleko,55.1
2015,Medikua,Gizona,Araba / Álava,10.000 biztanleko,53.9
2019,Medikua,Gizona,Araba / Álava,10.000 biztanleko,55.0
2021,Medikua,Gizona,Araba / Álava,10.000 biztanleko,54.7
2020,Medikua,Gizona,Araba / Álava,10.000 biztanleko,54.8
2018,Medikua,Gizona,Araba / Álava,10.000 biztanleko,54.7
2017,Medikua,Gizona,Araba / Álava,10.000 biztanleko,54.8
2013,Medikua,Gizona,Araba / Álava,10.000 biztanleko,53.2
2017,Medikua,Gizona,Bizkaia,10.000 biztanleko,63.9
2020,Medikua,Gizona,Bizkaia,10.000 biztanleko,67.3
2011,Medikua,Gizona,Bizkaia,10.000 biztanleko,60.7
2012,Medikua,Gizona,Bizkaia,10.000 biztanleko,60.8
2013,Medikua,Gizona,Bizkaia,10.000 biztanleko,61.5
2010,Medikua,Gizona,Bizkaia,10.000 biztanleko,60.2
2015,Medikua,Gizona,Bizkaia,10.000 biztanleko,62.6
2019,Medikua,Gizona,Bizkaia,10.000 biztanleko,66.4
2021,Medikua,Gizona,Bizkaia,10.000 biztanleko,68.3
2018,Medikua,Gizona,Bizkaia,10.000 biztanleko,65.4
2022,Medikua,Gizona,Bizkaia,10.000 biztanleko,69.3
2016,Medikua,Gizona,Bizkaia,10.000 biztanleko,63.3
2023,Medikua,Gizona,Bizkaia,10.000 biztanleko,70.5
2014,Medikua,Gizona,Bizkaia,10.000 biztanleko,62.5
2022,Medikua,Gizona,Gipuzkoa,10.000 biztanleko,55.6
2020,Medikua,Gizona,Gipuzkoa,10.000 biztanleko,54.6
2019,Medikua,Gizona,Gipuzkoa,10.000 biztanleko,54.4
2018,Medikua,Gizona,Gipuzkoa,10.000 biztanleko,53.7
2010,Medikua,Gizona,Gipuzkoa,10.000 biztanleko,53.1
2015,Medikua,Gizona,Gipuzkoa,10.000 biztanleko,53.5
2016,Medikua,Gizona,Gipuzkoa,10.000 biztanleko,53.7
2017,Medikua,Gizona,Gipuzkoa,10.000 biztanleko,53.6
2021,Medikua,Gizona,Gipuzkoa,10.000 biztanleko,54.9
2014,Medikua,Gizona,Gipuzkoa,10.000 biztanleko,53.9
2023,Medikua,Gizona,Gipuzkoa,10.000 biztanleko,55.2
2013,Medikua,Gizona,Gipuzkoa,10.000 biztanleko,53.4
2012,Medikua,Gizona,Gipuzkoa,10.000 biztanleko,53.5
2011,Medikua,Gizona,Gipuzkoa,10.000 biztanleko,53.1
2019,Erizaintzako eta obstetriziako profesionalak,,,10.000 biztanleko,76.9
2014,Erizaintzako eta obstetriziako profesionalak,,,10.000 biztanleko,72.1
2022,Erizaintzako eta obstetriziako profesionalak,,,10.000 biztanleko,80.0
2012,Erizaintzako eta obstetriziako profesionalak,,,10.000 biztanleko,70.3
2013,Erizaintzako eta obstetriziako profesionalak,,,10.000 biztanleko,70.5
2010,Erizaintzako eta obstetriziako profesionalak,,,10.000 biztanleko,68.1
2018,Erizaintzako eta obstetriziako profesionalak,,,10.000 biztanleko,76.1
2021,Erizaintzako eta obstetriziako profesionalak,,,10.000 biztanleko,79.1
2015,Erizaintzako eta obstetriziako profesionalak,,,10.000 biztanleko,73.5
2017,Erizaintzako eta obstetriziako profesionalak,,,10.000 biztanleko,75.3
2023,Erizaintzako eta obstetriziako profesionalak,,,10.000 biztanleko,89.6
2016,Erizaintzako eta obstetriziako profesionalak,,,10.000 biztanleko,74.7
2020,Erizaintzako eta obstetriziako profesionalak,,,10.000 biztanleko,78.4
2011,Erizaintzako eta obstetriziako profesionalak,,,10.000 biztanleko,70.2
2011,Erizaintzako eta obstetriziako profesionalak,,Araba / Álava,10.000 biztanleko,77.2
2017,Erizaintzako eta obstetriziako profesionalak,,Araba / Álava,10.000 biztanleko,86.0
2020,Erizaintzako eta obstetriziako profesionalak,,Araba / Álava,10.000 biztanleko,87.5
2022,Erizaintzako eta obstetriziako profesionalak,,Araba / Álava,10.000 biztanleko,89.0
2016,Erizaintzako eta obstetriziako profesionalak,,Araba / Álava,10.000 biztanleko,84.2
2018,Erizaintzako eta obstetriziako profesionalak,,Araba / Álava,10.000 biztanleko,87.4
2021,Erizaintzako eta obstetriziako profesionalak,,Araba / Álava,10.000 biztanleko,88.6
2013,Erizaintzako eta obstetriziako profesionalak,,Araba / Álava,10.000 biztanleko,78.4
2012,Erizaintzako eta obstetriziako profesionalak,,Araba / Álava,10.000 biztanleko,77.6
2023,Erizaintzako eta obstetriziako profesionalak,,Araba / Álava,10.000 biztanleko,89.5
2014,Erizaintzako eta obstetriziako profesionalak,,Araba / Álava,10.000 biztanleko,81.1
2010,Erizaintzako eta obstetriziako profesionalak,,Araba / Álava,10.000 biztanleko,75.4
2019,Erizaintzako eta obstetriziako profesionalak,,Araba / Álava,10.000 biztanleko,86.4
2015,Erizaintzako eta obstetriziako profesionalak,,Araba / Álava,10.000 biztanleko,82.7
2023,Erizaintzako eta obstetriziako profesionalak,,Bizkaia,10.000 biztanleko,81.2
2013,Erizaintzako eta obstetriziako profesionalak,,Bizkaia,10.000 biztanleko,68.6
2021,Erizaintzako eta obstetriziako profesionalak,,Bizkaia,10.000 biztanleko,78.7
2015,Erizaintzako eta obstetriziako profesionalak,,Bizkaia,10.000 biztanleko,71.9
2017,Erizaintzako eta obstetriziako profesionalak,,Bizkaia,10.000 biztanleko,74.2
2022,Erizaintzako eta obstetriziako profesionalak,,Bizkaia,10.000 biztanleko,79.6
2011,Erizaintzako eta obstetriziako profesionalak,,Bizkaia,10.000 biztanleko,67.9
2010,Erizaintzako eta obstetriziako profesionalak,,Bizkaia,10.000 biztanleko,65.4
2014,Erizaintzako eta obstetriziako profesionalak,,Bizkaia,10.000 biztanleko,70.1
2020,Erizaintzako eta obstetriziako profesionalak,,Bizkaia,10.000 biztanleko,77.9
2012,Erizaintzako eta obstetriziako profesionalak,,Bizkaia,10.000 biztanleko,68.4
2016,Erizaintzako eta obstetriziako profesionalak,,Bizkaia,10.000 biztanleko,73.3
2019,Erizaintzako eta obstetriziako profesionalak,,Bizkaia,10.000 biztanleko,76.2
2018,Erizaintzako eta obstetriziako profesionalak,,Bizkaia,10.000 biztanleko,75.3
2010,Erizaintzako eta obstetriziako profesionalak,,Gipuzkoa,10.000 biztanleko,69.3
2015,Erizaintzako eta obstetriziako profesionalak,,Gipuzkoa,10.000 biztanleko,72.0
2014,Erizaintzako eta obstetriziako profesionalak,,Gipuzkoa,10.000 biztanleko,71.3
2022,Erizaintzako eta obstetriziako profesionalak,,Gipuzkoa,10.000 biztanleko,76.4
2023,Erizaintzako eta obstetriziako profesionalak,,Gipuzkoa,10.000 biztanleko,103.2
2021,Erizaintzako eta obstetriziako profesionalak,,Gipuzkoa,10.000 biztanleko,75.4
2017,Erizaintzako eta obstetriziako profesionalak,,Gipuzkoa,10.000 biztanleko,72.3
2012,Erizaintzako eta obstetriziako profesionalak,,Gipuzkoa,10.000 biztanleko,70.1
2011,Erizaintzako eta obstetriziako profesionalak,,Gipuzkoa,10.000 biztanleko,70.8
2018,Erizaintzako eta obstetriziako profesionalak,,Gipuzkoa,10.000 biztanleko,72.3
2019,Erizaintzako eta obstetriziako profesionalak,,Gipuzkoa,10.000 biztanleko,73.7
2016,Erizaintzako eta obstetriziako profesionalak,,Gipuzkoa,10.000 biztanleko,72.6
2020,Erizaintzako eta obstetriziako profesionalak,,Gipuzkoa,10.000 biztanleko,75.0
2013,Erizaintzako eta obstetriziako profesionalak,,Gipuzkoa,10.000 biztanleko,70.0
2011,Erizaintzako eta obstetriziako profesionalak,Emakumea,,10.000 biztanleko,123.3
2015,Erizaintzako eta obstetriziako profesionalak,Emakumea,,10.000 biztanleko,129.6
2022,Erizaintzako eta obstetriziako profesionalak,Emakumea,,10.000 biztanleko,138.1
2017,Erizaintzako eta obstetriziako profesionalak,Emakumea,,10.000 biztanleko,132.2
2020,Erizaintzako eta obstetriziako profesionalak,Emakumea,,10.000 biztanleko,135.8
2018,Erizaintzako eta obstetriziako profesionalak,Emakumea,,10.000 biztanleko,133.1
2012,Erizaintzako eta obstetriziako profesionalak,Emakumea,,10.000 biztanleko,123.5
2010,Erizaintzako eta obstetriziako profesionalak,Emakumea,,10.000 biztanleko,121.2
2014,Erizaintzako eta obstetriziako profesionalak,Emakumea,,10.000 biztanleko,127.4
2021,Erizaintzako eta obstetriziako profesionalak,Emakumea,,10.000 biztanleko,136.9
2019,Erizaintzako eta obstetriziako profesionalak,Emakumea,,10.000 biztanleko,134.0
2023,Erizaintzako eta obstetriziako profesionalak,Emakumea,,10.000 biztanleko,154.4
2013,Erizaintzako eta obstetriziako profesionalak,Emakumea,,10.000 biztanleko,124.8
2016,Erizaintzako eta obstetriziako profesionalak,Emakumea,,10.000 biztanleko,131.2
2020,Erizaintzako eta obstetriziako profesionalak,Emakumea,Araba / Álava,10.000 biztanleko,154.7
2022,Erizaintzako eta obstetriziako profesionalak,Emakumea,Araba / Álava,10.000 biztanleko,155.9
2019,Erizaintzako eta obstetriziako profesionalak,Emakumea,Araba / Álava,10.000 biztanleko,153.5
2017,Erizaintzako eta obstetriziako profesionalak,Emakumea,Araba / Álava,10.000 biztanleko,154.5
2021,Erizaintzako eta obstetriziako profesionalak,Emakumea,Araba / Álava,10.000 biztanleko,155.3
2013,Erizaintzako eta obstetriziako profesionalak,Emakumea,Araba / Álava,10.000 biztanleko,143.3
2012,Erizaintzako eta obstetriziako profesionalak,Emakumea,Araba / Álava,10.000 biztanleko,142.4
2014,Erizaintzako eta obstetriziako profesionalak,Emakumea,Araba / Álava,10.000 biztanleko,147.2
2018,Erizaintzako eta obstetriziako profesionalak,Emakumea,Araba / Álava,10.000 biztanleko,156.3
2015,Erizaintzako eta obstetriziako profesionalak,Emakumea,Araba / Álava,10.000 biztanleko,150.0
2023,Erizaintzako eta obstetriziako profesionalak,Emakumea,Araba / Álava,10.000 biztanleko,156.3
