Year,Series,Sex,Type of contract,Province,County,Municipality,Units,GeoCode,Value
2019,Employment rate,,,,,Albiztur,%,Albiztur,83.4
2023,Employment rate,,,,,Albiztur,%,Albiztur,84.7
2023,Employment rate,,,,,Alegia,%,Alegia,73.5
2016,Employment rate,,,,,Alegia,%,Alegia,66.7
2019,Employment rate,,,,,Alegia,%,Alegia,72.3
2015,Employment rate,,,,,Alegia,%,Alegia,66.5
2010,Employment rate,,,,,Alegia,%,Alegia,68.7
2020,Employment rate,,,,,Alegia,%,Alegia,72.9
2022,Employment rate,,,,,Alegia,%,Alegia,75.0
2021,Employment rate,,,,,Alegia,%,Alegia,71.6
2018,Employment rate,,,,,Alegia,%,Alegia,71.7
2010,Employment rate,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,76.0
2020,Employment rate,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,77.1
2021,Employment rate,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,74.1
2015,Employment rate,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,75.5
2022,Employment rate,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,75.6
2023,Employment rate,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,77.8
2018,Employment rate,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,76.8
2019,Employment rate,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,76.3
2016,Employment rate,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,74.2
2021,Employment rate,,,,,Alkiza,%,Alkiza,76.3
2018,Employment rate,,,,,Alkiza,%,Alkiza,82.1
2010,Employment rate,,,,,Alkiza,%,Alkiza,77.5
2022,Employment rate,,,,,Alkiza,%,Alkiza,82.4
2019,Employment rate,,,,,Alkiza,%,Alkiza,80.1
2015,Employment rate,,,,,Alkiza,%,Alkiza,79.5
2023,Employment rate,,,,,Alkiza,%,Alkiza,78.9
2020,Employment rate,,,,,Alkiza,%,Alkiza,79.9
2016,Employment rate,,,,,Alkiza,%,Alkiza,78.6
2010,Employment rate,,,,,Alonsotegi,%,Alonsotegi,64.2
2022,Employment rate,,,,,Alonsotegi,%,Alonsotegi,70.1
2023,Employment rate,,,,,Alonsotegi,%,Alonsotegi,71.4
2020,Employment rate,,,,,Alonsotegi,%,Alonsotegi,68.8
2019,Employment rate,,,,,Alonsotegi,%,Alonsotegi,66.3
2016,Employment rate,,,,,Alonsotegi,%,Alonsotegi,62.9
2015,Employment rate,,,,,Alonsotegi,%,Alonsotegi,62.3
2018,Employment rate,,,,,Alonsotegi,%,Alonsotegi,67.5
2021,Employment rate,,,,,Alonsotegi,%,Alonsotegi,68.1
2021,Employment rate,,,,,Altzaga,%,Altzaga,74.4
2010,Employment rate,,,,,Altzaga,%,Altzaga,80.0
2019,Employment rate,,,,,Altzaga,%,Altzaga,76.3
2023,Employment rate,,,,,Altzaga,%,Altzaga,79.8
2018,Employment rate,,,,,Altzaga,%,Altzaga,71.9
2022,Employment rate,,,,,Altzaga,%,Altzaga,81.7
2020,Employment rate,,,,,Altzaga,%,Altzaga,71.9
2016,Employment rate,,,,,Altzaga,%,Altzaga,76.7
2015,Employment rate,,,,,Altzaga,%,Altzaga,70.0
2010,Employment rate,,,,,Altzo,%,Altzo,71.2
2020,Employment rate,,,,,Altzo,%,Altzo,70.7
2023,Employment rate,,,,,Altzo,%,Altzo,77.0
2016,Employment rate,,,,,Altzo,%,Altzo,71.0
2015,Employment rate,,,,,Altzo,%,Altzo,71.2
2022,Employment rate,,,,,Altzo,%,Altzo,79.5
2018,Employment rate,,,,,Altzo,%,Altzo,73.0
2021,Employment rate,,,,,Altzo,%,Altzo,73.0
2019,Employment rate,,,,,Altzo,%,Altzo,76.1
2010,Employment rate,,,,,Amezketa,%,Amezketa,71.8
2023,Employment rate,,,,,Amezketa,%,Amezketa,75.9
2018,Employment rate,,,,,Amezketa,%,Amezketa,73.1
2022,Employment rate,,,,,Amezketa,%,Amezketa,76.2
2019,Employment rate,,,,,Amezketa,%,Amezketa,74.0
2015,Employment rate,,,,,Amezketa,%,Amezketa,71.8
2020,Employment rate,,,,,Amezketa,%,Amezketa,73.7
2016,Employment rate,,,,,Amezketa,%,Amezketa,70.3
2021,Employment rate,,,,,Amezketa,%,Amezketa,73.0
2020,Employment rate,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,74.3
2021,Employment rate,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,73.5
2023,Employment rate,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,78.4
2015,Employment rate,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,69.2
2019,Employment rate,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,73.8
2016,Employment rate,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,70.1
2018,Employment rate,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,72.8
2010,Employment rate,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,67.6
2022,Employment rate,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,76.0
2019,Employment rate,,,,,Amoroto,%,Amoroto,69.6
2020,Employment rate,,,,,Amoroto,%,Amoroto,68.7
2023,Employment rate,,,,,Amoroto,%,Amoroto,74.0
2021,Employment rate,,,,,Amoroto,%,Amoroto,70.1
2010,Employment rate,,,,,Amoroto,%,Amoroto,69.7
2016,Employment rate,,,,,Amoroto,%,Amoroto,74.6
2018,Employment rate,,,,,Amoroto,%,Amoroto,71.2
2022,Employment rate,,,,,Amoroto,%,Amoroto,69.8
2015,Employment rate,,,,,Amoroto,%,Amoroto,76.3
2018,Employment rate,,,,,Amurrio,%,Amurrio,68.6
2010,Employment rate,,,,,Amurrio,%,Amurrio,65.4
2022,Employment rate,,,,,Amurrio,%,Amurrio,73.7
2023,Employment rate,,,,,Amurrio,%,Amurrio,74.4
2021,Employment rate,,,,,Amurrio,%,Amurrio,70.5
2020,Employment rate,,,,,Amurrio,%,Amurrio,70.7
2016,Employment rate,,,,,Amurrio,%,Amurrio,65.5
2015,Employment rate,,,,,Amurrio,%,Amurrio,65.6
2019,Employment rate,,,,,Amurrio,%,Amurrio,70.5
2019,Employment rate,,,,,Andoain,%,Andoain,73.5
2010,Employment rate,,,,,Andoain,%,Andoain,66.8
2021,Employment rate,,,,,Andoain,%,Andoain,73.7
2023,Employment rate,,,,,Andoain,%,Andoain,77.3
2020,Employment rate,,,,,Andoain,%,Andoain,74.6
2022,Employment rate,,,,,Andoain,%,Andoain,75.2
2015,Employment rate,,,,,Andoain,%,Andoain,68.5
2018,Employment rate,,,,,Andoain,%,Andoain,71.7
2016,Employment rate,,,,,Andoain,%,Andoain,68.4
2022,Employment rate,,,,,Anoeta,%,Anoeta,76.0
2010,Employment rate,,,,,Anoeta,%,Anoeta,68.7
2020,Employment rate,,,,,Anoeta,%,Anoeta,75.1
2019,Employment rate,,,,,Anoeta,%,Anoeta,74.6
2023,Employment rate,,,,,Anoeta,%,Anoeta,77.7
2015,Employment rate,,,,,Anoeta,%,Anoeta,69.2
2016,Employment rate,,,,,Anoeta,%,Anoeta,69.4
2021,Employment rate,,,,,Anoeta,%,Anoeta,73.7
2018,Employment rate,,,,,Anoeta,%,Anoeta,73.9
2018,Employment rate,,,,,Antzuola,%,Antzuola,78.5
2023,Employment rate,,,,,Antzuola,%,Antzuola,81.1
2015,Employment rate,,,,,Antzuola,%,Antzuola,74.3
2021,Employment rate,,,,,Antzuola,%,Antzuola,78.7
2019,Employment rate,,,,,Antzuola,%,Antzuola,79.3
2010,Employment rate,,,,,Antzuola,%,Antzuola,71.5
2016,Employment rate,,,,,Antzuola,%,Antzuola,74.9
2020,Employment rate,,,,,Antzuola,%,Antzuola,79.6
2022,Employment rate,,,,,Antzuola,%,Antzuola,81.5
2023,Employment rate,,,,,Añana,%,Añana,76.5
2021,Employment rate,,,,,Añana,%,Añana,76.1
2019,Employment rate,,,,,Añana,%,Añana,78.3
2015,Employment rate,,,,,Añana,%,Añana,66.3
2010,Employment rate,,,,,Añana,%,Añana,71.2
2016,Employment rate,,,,,Añana,%,Añana,74.8
2020,Employment rate,,,,,Añana,%,Añana,78.6
2018,Employment rate,,,,,Añana,%,Añana,75.2
2022,Employment rate,,,,,Añana,%,Añana,75.2
2019,Employment rate,,,,,Arakaldo,%,Arakaldo,77.4
2022,Employment rate,,,,,Arakaldo,%,Arakaldo,78.8
2020,Employment rate,,,,,Arakaldo,%,Arakaldo,73.8
2023,Employment rate,,,,,Arakaldo,%,Arakaldo,80.5
2016,Employment rate,,,,,Arakaldo,%,Arakaldo,80.6
2010,Employment rate,,,,,Arakaldo,%,Arakaldo,82.5
2015,Employment rate,,,,,Arakaldo,%,Arakaldo,70.5
2021,Employment rate,,,,,Arakaldo,%,Arakaldo,73.4
2018,Employment rate,,,,,Arakaldo,%,Arakaldo,75.5
2020,Employment rate,,,,,Arama,%,Arama,76.6
2018,Employment rate,,,,,Arama,%,Arama,82.6
2010,Employment rate,,,,,Arama,%,Arama,72.4
2022,Employment rate,,,,,Arama,%,Arama,74.4
2016,Employment rate,,,,,Arama,%,Arama,80.7
2015,Employment rate,,,,,Arama,%,Arama,75.6
2023,Employment rate,,,,,Arama,%,Arama,80.7
2019,Employment rate,,,,,Arama,%,Arama,78.8
2021,Employment rate,,,,,Arama,%,Arama,76.1
2016,Employment rate,,,,,Aramaio,%,Aramaio,72.3
2015,Employment rate,,,,,Aramaio,%,Aramaio,72.0
2022,Employment rate,,,,,Aramaio,%,Aramaio,77.4
2021,Employment rate,,,,,Aramaio,%,Aramaio,73.7
2023,Employment rate,,,,,Aramaio,%,Aramaio,78.6
2020,Employment rate,,,,,Aramaio,%,Aramaio,76.1
2019,Employment rate,,,,,Aramaio,%,Aramaio,77.2
2010,Employment rate,,,,,Aramaio,%,Aramaio,74.0
2018,Employment rate,,,,,Aramaio,%,Aramaio,77.3
2020,Employment rate,,,,,Arantzazu,%,Arantzazu,71.6
2019,Employment rate,,,,,Arantzazu,%,Arantzazu,72.0
2016,Employment rate,,,,,Arantzazu,%,Arantzazu,71.6
2018,Employment rate,,,,,Arantzazu,%,Arantzazu,70.7
2022,Employment rate,,,,,Arantzazu,%,Arantzazu,73.3
2010,Employment rate,,,,,Arantzazu,%,Arantzazu,67.6
2015,Employment rate,,,,,Arantzazu,%,Arantzazu,68.3
2023,Employment rate,,,,,Arantzazu,%,Arantzazu,77.7
2021,Employment rate,,,,,Arantzazu,%,Arantzazu,70.0
2020,Employment rate,,,,,Areatza,%,Areatza,71.7
2023,Employment rate,,,,,Areatza,%,Areatza,75.2
2019,Employment rate,,,,,Areatza,%,Areatza,73.8
2018,Employment rate,,,,,Areatza,%,Areatza,71.5
2016,Employment rate,,,,,Areatza,%,Areatza,69.5
2021,Employment rate,,,,,Areatza,%,Areatza,69.1
2022,Employment rate,,,,,Areatza,%,Areatza,72.0
2015,Employment rate,,,,,Areatza,%,Areatza,68.1
2010,Employment rate,,,,,Areatza,%,Areatza,68.3
2020,Employment rate,,,,,Aretxabaleta,%,Aretxabaleta,77.0
2023,Employment rate,,,,,Aretxabaleta,%,Aretxabaleta,79.2
2016,Employment rate,,,,,Aretxabaleta,%,Aretxabaleta,72.7
2018,Employment rate,,,,,Aretxabaleta,%,Aretxabaleta,75.4
2010,Employment rate,,,,,Aretxabaleta,%,Aretxabaleta,70.3
2021,Employment rate,,,,,Aretxabaleta,%,Aretxabaleta,75.8
2019,Employment rate,,,,,Aretxabaleta,%,Aretxabaleta,75.5
2022,Employment rate,,,,,Aretxabaleta,%,Aretxabaleta,77.7
2015,Employment rate,,,,,Aretxabaleta,%,Aretxabaleta,70.8
2023,Employment rate,,,,,Armiñón,%,Armiñón,76.3
2020,Employment rate,,,,,Armiñón,%,Armiñón,73.3
2019,Employment rate,,,,,Armiñón,%,Armiñón,77.0
2021,Employment rate,,,,,Armiñón,%,Armiñón,72.1
2022,Employment rate,,,,,Armiñón,%,Armiñón,77.7
2018,Employment rate,,,,,Armiñón,%,Armiñón,78.8
2010,Employment rate,,,,,Armiñón,%,Armiñón,69.0
2015,Employment rate,,,,,Armiñón,%,Armiñón,75.8
2016,Employment rate,,,,,Armiñón,%,Armiñón,73.2
2021,Employment rate,,,,,Arraia-Maeztu,%,Arraia-Maeztu,79.5
2022,Employment rate,,,,,Arraia-Maeztu,%,Arraia-Maeztu,82.9
2010,Employment rate,,,,,Arraia-Maeztu,%,Arraia-Maeztu,75.0
2015,Employment rate,,,,,Arraia-Maeztu,%,Arraia-Maeztu,76.4
2016,Employment rate,,,,,Arraia-Maeztu,%,Arraia-Maeztu,76.7
2020,Employment rate,,,,,Arraia-Maeztu,%,Arraia-Maeztu,81.7
2018,Employment rate,,,,,Arraia-Maeztu,%,Arraia-Maeztu,79.4
2019,Employment rate,,,,,Arraia-Maeztu,%,Arraia-Maeztu,79.8
2023,Employment rate,,,,,Arraia-Maeztu,%,Arraia-Maeztu,83.4
2019,Employment rate,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,74.0
2023,Employment rate,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,79.0
2021,Employment rate,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,74.7
2020,Employment rate,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,73.6
2018,Employment rate,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,74.7
2015,Employment rate,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,68.8
2016,Employment rate,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,72.1
2010,Employment rate,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,70.1
2022,Employment rate,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,77.2
2019,Employment rate,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,69.3
2015,Employment rate,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,64.8
2023,Employment rate,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,73.6
2018,Employment rate,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,69.3
2020,Employment rate,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,70.2
2022,Employment rate,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,71.8
2016,Employment rate,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,65.3
2010,Employment rate,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,66.3
2021,Employment rate,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,69.6
2022,Employment rate,,,,,Arratzu,%,Arratzu,75.5
2018,Employment rate,,,,,Arratzu,%,Arratzu,75.3
2015,Employment rate,,,,,Arratzu,%,Arratzu,75.1
2016,Employment rate,,,,,Arratzu,%,Arratzu,74.5
2010,Employment rate,,,,,Arratzu,%,Arratzu,74.1
2019,Employment rate,,,,,Arratzu,%,Arratzu,72.2
2020,Employment rate,,,,,Arratzu,%,Arratzu,76.3
2021,Employment rate,,,,,Arratzu,%,Arratzu,72.4
2023,Employment rate,,,,,Arratzu,%,Arratzu,83.3
2023,Employment rate,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,77.5
2010,Employment rate,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,74.0
2021,Employment rate,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,73.8
2018,Employment rate,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,76.3
2015,Employment rate,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,74.4
2016,Employment rate,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,77.2
2019,Employment rate,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,77.3
2022,Employment rate,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,77.4
2020,Employment rate,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,75.7
2022,Employment rate,,,,,Arrieta,%,Arrieta,75.6
2023,Employment rate,,,,,Arrieta,%,Arrieta,77.1
2010,Employment rate,,,,,Arrieta,%,Arrieta,73.5
2018,Employment rate,,,,,Arrieta,%,Arrieta,72.0
2020,Employment rate,,,,,Arrieta,%,Arrieta,69.5
2015,Employment rate,,,,,Arrieta,%,Arrieta,72.4
2016,Employment rate,,,,,Arrieta,%,Arrieta,72.0
2021,Employment rate,,,,,Arrieta,%,Arrieta,74.1
2019,Employment rate,,,,,Arrieta,%,Arrieta,72.4
2020,Employment rate,,,,,Arrigorriaga,%,Arrigorriaga,70.9
2016,Employment rate,,,,,Arrigorriaga,%,Arrigorriaga,66.5
2023,Employment rate,,,,,Arrigorriaga,%,Arrigorriaga,76.2
2019,Employment rate,,,,,Arrigorriaga,%,Arrigorriaga,70.4
2015,Employment rate,,,,,Arrigorriaga,%,Arrigorriaga,66.6
2010,Employment rate,,,,,Arrigorriaga,%,Arrigorriaga,68.2
2022,Employment rate,,,,,Arrigorriaga,%,Arrigorriaga,73.0
2018,Employment rate,,,,,Arrigorriaga,%,Arrigorriaga,68.7
2021,Employment rate,,,,,Arrigorriaga,%,Arrigorriaga,70.5
2019,Employment rate,,,,,Artea,%,Artea,73.2
2016,Employment rate,,,,,Artea,%,Artea,67.5
2018,Employment rate,,,,,Artea,%,Artea,71.9
2010,Employment rate,,,,,Artea,%,Artea,71.9
2020,Employment rate,,,,,Artea,%,Artea,71.7
2023,Employment rate,,,,,Artea,%,Artea,76.1
2022,Employment rate,,,,,Artea,%,Artea,71.2
2021,Employment rate,,,,,Artea,%,Artea,68.7
2015,Employment rate,,,,,Artea,%,Artea,68.5
2022,Employment rate,,,,,Artzentales,%,Artzentales,61.8
2021,Employment rate,,,,,Artzentales,%,Artzentales,62.7
2018,Employment rate,,,,,Artzentales,%,Artzentales,63.8
2015,Employment rate,,,,,Artzentales,%,Artzentales,65.6
2020,Employment rate,,,,,Artzentales,%,Artzentales,65.3
2016,Employment rate,,,,,Artzentales,%,Artzentales,61.1
2010,Employment rate,,,,,Artzentales,%,Artzentales,67.6
2023,Employment rate,,,,,Artzentales,%,Artzentales,67.6
2019,Employment rate,,,,,Artzentales,%,Artzentales,62.4
2015,Employment rate,,,,,Artziniega,%,Artziniega,68.0
2023,Employment rate,,,,,Artziniega,%,Artziniega,74.4
2019,Employment rate,,,,,Artziniega,%,Artziniega,70.1
2022,Employment rate,,,,,Artziniega,%,Artziniega,72.8
2018,Employment rate,,,,,Artziniega,%,Artziniega,70.3
2021,Employment rate,,,,,Artziniega,%,Artziniega,71.8
2020,Employment rate,,,,,Artziniega,%,Artziniega,71.2
2010,Employment rate,,,,,Artziniega,%,Artziniega,67.9
2016,Employment rate,,,,,Artziniega,%,Artziniega,67.0
2010,Employment rate,,,,,Asparrena,%,Asparrena,70.1
2015,Employment rate,,,,,Asparrena,%,Asparrena,66.0
2022,Employment rate,,,,,Asparrena,%,Asparrena,69.7
2018,Employment rate,,,,,Asparrena,%,Asparrena,69.1
2019,Employment rate,,,,,Asparrena,%,Asparrena,68.2
2020,Employment rate,,,,,Asparrena,%,Asparrena,68.3
2021,Employment rate,,,,,Asparrena,%,Asparrena,67.5
2016,Employment rate,,,,,Asparrena,%,Asparrena,68.2
2023,Employment rate,,,,,Asparrena,%,Asparrena,72.8
2016,Employment rate,,,,,Asteasu,%,Asteasu,74.7
2010,Employment rate,,,,,Asteasu,%,Asteasu,75.0
2020,Employment rate,,,,,Asteasu,%,Asteasu,79.3
2018,Employment rate,,,,,Asteasu,%,Asteasu,79.0
2023,Employment rate,,,,,Asteasu,%,Asteasu,80.8
2021,Employment rate,,,,,Asteasu,%,Asteasu,77.9
2022,Employment rate,,,,,Asteasu,%,Asteasu,79.4
2019,Employment rate,,,,,Asteasu,%,Asteasu,78.2
2015,Employment rate,,,,,Asteasu,%,Asteasu,75.5
2023,Employment rate,,,,,Astigarraga,%,Astigarraga,85.2
2015,Employment rate,,,,,Astigarraga,%,Astigarraga,76.4
2016,Employment rate,,,,,Astigarraga,%,Astigarraga,77.3
2019,Employment rate,,,,,Astigarraga,%,Astigarraga,82.0
2021,Employment rate,,,,,Astigarraga,%,Astigarraga,82.5
2020,Employment rate,,,,,Astigarraga,%,Astigarraga,82.3
2018,Employment rate,,,,,Astigarraga,%,Astigarraga,79.8
2022,Employment rate,,,,,Astigarraga,%,Astigarraga,83.7
2010,Employment rate,,,,,Astigarraga,%,Astigarraga,73.6
2020,Employment rate,,,,,Ataun,%,Ataun,76.4
2022,Employment rate,,,,,Ataun,%,Ataun,79.2
2015,Employment rate,,,,,Ataun,%,Ataun,74.5
2023,Employment rate,,,,,Ataun,%,Ataun,79.0
2018,Employment rate,,,,,Ataun,%,Ataun,77.9
2021,Employment rate,,,,,Ataun,%,Ataun,76.4
2010,Employment rate,,,,,Ataun,%,Ataun,74.1
2019,Employment rate,,,,,Ataun,%,Ataun,76.9
2016,Employment rate,,,,,Ataun,%,Ataun,73.0
2018,Employment rate,,,,,Atxondo,%,Atxondo,70.7
2021,Employment rate,,,,,Atxondo,%,Atxondo,72.2
2016,Employment rate,,,,,Atxondo,%,Atxondo,68.5
2023,Employment rate,,,,,Atxondo,%,Atxondo,76.9
2010,Employment rate,,,,,Atxondo,%,Atxondo,65.8
