Year,Series,Territorio histórico,Units,Value
2014,Tasa de crecimiento del PIB generado por el turismo,,%,0.0
2015,Tasa de crecimiento del PIB generado por el turismo,,%,6.8
2018,Tasa de crecimiento del PIB generado por el turismo,,%,-1.6
2022,Tasa de crecimiento del PIB generado por el turismo,Araba/Álava,%,27.0
2020,Tasa de crecimiento del PIB generado por el turismo,Araba/Álava,%,-33.3
2018,Tasa de crecimiento del PIB generado por el turismo,Araba/Álava,%,-1.9
2010,Tasa de crecimiento del PIB generado por el turismo,Araba/Álava,%,7.0
2014,Tasa de crecimiento del PIB generado por el turismo,Araba/Álava,%,0.0
2013,Tasa de crecimiento del PIB generado por el turismo,Araba/Álava,%,-1.9
2017,Tasa de crecimiento del PIB generado por el turismo,Araba/Álava,%,-1.9
2015,Tasa de crecimiento del PIB generado por el turismo,Araba/Álava,%,3.9
2021,Tasa de crecimiento del PIB generado por el turismo,Araba/Álava,%,8.8
2023,Tasa de crecimiento del PIB generado por el turismo,Araba/Álava,%,21.3
2011,Tasa de crecimiento del PIB generado por el turismo,Araba/Álava,%,4.3
2012,Tasa de crecimiento del PIB generado por el turismo,Araba/Álava,%,8.3
2016,Tasa de crecimiento del PIB generado por el turismo,Araba/Álava,%,1.9
2019,Tasa de crecimiento del PIB generado por el turismo,Araba/Álava,%,-1.9
2020,Tasa de crecimiento del PIB generado por el turismo,Bizkaia,%,-43.9
2023,Tasa de crecimiento del PIB generado por el turismo,Bizkaia,%,21.3
2022,Tasa de crecimiento del PIB generado por el turismo,Bizkaia,%,38.2
2021,Tasa de crecimiento del PIB generado por el turismo,Bizkaia,%,6.3
2017,Tasa de crecimiento del PIB generado por el turismo,Bizkaia,%,0.0
2011,Tasa de crecimiento del PIB generado por el turismo,Bizkaia,%,2.1
2010,Tasa de crecimiento del PIB generado por el turismo,Bizkaia,%,2.2
2015,Tasa de crecimiento del PIB generado por el turismo,Bizkaia,%,5.7
2012,Tasa de crecimiento del PIB generado por el turismo,Bizkaia,%,4.2
2014,Tasa de crecimiento del PIB generado por el turismo,Bizkaia,%,1.9
2013,Tasa de crecimiento del PIB generado por el turismo,Bizkaia,%,4.0
2019,Tasa de crecimiento del PIB generado por el turismo,Bizkaia,%,0.0
2016,Tasa de crecimiento del PIB generado por el turismo,Bizkaia,%,3.6
2018,Tasa de crecimiento del PIB generado por el turismo,Bizkaia,%,-1.7
2010,Tasa de crecimiento del PIB generado por el turismo,Gipuzkoa,%,-1.4
2018,Tasa de crecimiento del PIB generado por el turismo,Gipuzkoa,%,-2.5
2020,Tasa de crecimiento del PIB generado por el turismo,Gipuzkoa,%,-39.7
2016,Tasa de crecimiento del PIB generado por el turismo,Gipuzkoa,%,3.8
2013,Tasa de crecimiento del PIB generado por el turismo,Gipuzkoa,%,1.4
2022,Tasa de crecimiento del PIB generado por el turismo,Gipuzkoa,%,34.6
2015,Tasa de crecimiento del PIB generado por el turismo,Gipuzkoa,%,5.4
2017,Tasa de crecimiento del PIB generado por el turismo,Gipuzkoa,%,-2.5
2014,Tasa de crecimiento del PIB generado por el turismo,Gipuzkoa,%,2.8
2023,Tasa de crecimiento del PIB generado por el turismo,Gipuzkoa,%,20.0
2011,Tasa de crecimiento del PIB generado por el turismo,Gipuzkoa,%,0.0
2019,Tasa de crecimiento del PIB generado por el turismo,Gipuzkoa,%,1.3
2021,Tasa de crecimiento del PIB generado por el turismo,Gipuzkoa,%,10.6
2012,Tasa de crecimiento del PIB generado por el turismo,Gipuzkoa,%,4.4
