Year,ServPub,Units,Value
2021,EU_PSR_SATIS_PENSN,PT,39.2
2014,EU_PSR_SATIS_PENSN,PT,21.3
2015,EU_PSR_SATIS_PENSN,PT,21.5
2016,EU_PSR_SATIS_PENSN,PT,23.5
2018,EU_PSR_SATIS_PENSN,PT,19.1
2019,EU_PSR_SATIS_PENSN,PT,30.9
2020,EU_PSR_SATIS_PENSN,PT,42.2
2022,EU_PSR_SATIS_PENSN,PT,37.0
2023,EU_PSR_SATIS_PENSN,PT,52.4
2024,EU_PSR_SATIS_PENSN,PT,40.0
2011,EU_PSR_SATIS_PENSN,PT,32.0
2012,EU_PSR_SATIS_PENSN,PT,36.0
2013,EU_PSR_SATIS_PENSN,PT,21.2
2017,EU_PSR_SATIS_PENSN,PT,40.2
2017,EU_PSR_SATIS_JUST,PT,19.4
2025,EU_PSR_SATIS_JUST,PT,17.2
2012,EU_PSR_SATIS_JUST,PT,9.5
2023,EU_PSR_SATIS_JUST,PT,22.4
2018,EU_PSR_SATIS_JUST,PT,19.4
2022,EU_PSR_SATIS_JUST,PT,20.6
2016,EU_PSR_SATIS_JUST,PT,11.4
2020,EU_PSR_SATIS_JUST,PT,17.5
2019,EU_PSR_SATIS_JUST,PT,19.4
2021,EU_PSR_SATIS_JUST,PT,16.9
2024,EU_PSR_SATIS_JUST,PT,21.7
2011,EU_PSR_SATIS_JUST,PT,15.0
2015,EU_PSR_SATIS_JUST,PT,11.2
2014,EU_PSR_SATIS_JUST,PT,12.0
2013,EU_PSR_SATIS_JUST,PT,13.5
2013,EU_PSR_SATIS_SEC,PT,53.6
2011,EU_PSR_SATIS_SEC,PT,32.2
2012,EU_PSR_SATIS_SEC,PT,59.3
2014,EU_PSR_SATIS_SEC,PT,46.1
2015,EU_PSR_SATIS_SEC,PT,60.2
2016,EU_PSR_SATIS_SEC,PT,61.7
2017,EU_PSR_SATIS_SEC,PT,66.9
2018,EU_PSR_SATIS_SEC,PT,72.6
2019,EU_PSR_SATIS_SEC,PT,60.2
2020,EU_PSR_SATIS_SEC,PT,55.3
2021,EU_PSR_SATIS_SEC,PT,61.5
2022,EU_PSR_SATIS_SEC,PT,56.2
2023,EU_PSR_SATIS_SEC,PT,59.5
2024,EU_PSR_SATIS_SEC,PT,53.2
2025,EU_PSR_SATIS_SEC,PT,52.5
2020,EU_PSR_SATIS_SOCSERV,PT,58.3
2011,EU_PSR_SATIS_SOCSERV,PT,35.2
2013,EU_PSR_SATIS_SOCSERV,PT,32.7
2014,EU_PSR_SATIS_SOCSERV,PT,30.3
2015,EU_PSR_SATIS_SOCSERV,PT,36.4
2017,EU_PSR_SATIS_SOCSERV,PT,57.1
2018,EU_PSR_SATIS_SOCSERV,PT,60.5
2019,EU_PSR_SATIS_SOCSERV,PT,57.5
2021,EU_PSR_SATIS_SOCSERV,PT,59.6
2022,EU_PSR_SATIS_SOCSERV,PT,51.6
2023,EU_PSR_SATIS_SOCSERV,PT,62.2
2024,EU_PSR_SATIS_SOCSERV,PT,50.7
2025,EU_PSR_SATIS_SOCSERV,PT,50.9
2016,EU_PSR_SATIS_SOCSERV,PT,60.2
2012,EU_PSR_SATIS_SOCSERV,PT,47.6
2020,EU_PSR_SATIS_TRANSPORT,PT,82.9
2021,EU_PSR_SATIS_TRANSPORT,PT,85.2
2022,EU_PSR_SATIS_TRANSPORT,PT,81.0
2023,EU_PSR_SATIS_TRANSPORT,PT,81.2
2024,EU_PSR_SATIS_TRANSPORT,PT,76.4
2025,EU_PSR_SATIS_TRANSPORT,PT,83.5
2019,EU_PSR_SATIS_TRANSPORT,PT,86.3
2011,EU_PSR_SATIS_TRANSPORT,PT,78.1
2012,EU_PSR_SATIS_TRANSPORT,PT,78.0
2013,EU_PSR_SATIS_TRANSPORT,PT,70.2
2014,EU_PSR_SATIS_TRANSPORT,PT,72.6
2015,EU_PSR_SATIS_TRANSPORT,PT,83.2
2016,EU_PSR_SATIS_TRANSPORT,PT,83.9
2017,EU_PSR_SATIS_TRANSPORT,PT,87.9
2018,EU_PSR_SATIS_TRANSPORT,PT,83.1
2023,EU_PSR_SATIS_OBRA,PT,66.5
2024,EU_PSR_SATIS_OBRA,PT,50.5
2025,EU_PSR_SATIS_OBRA,PT,60.7
2011,EU_PSR_SATIS_OBRA,PT,59.8
2012,EU_PSR_SATIS_OBRA,PT,57.3
2013,EU_PSR_SATIS_OBRA,PT,50.0
2014,EU_PSR_SATIS_OBRA,PT,52.3
2015,EU_PSR_SATIS_OBRA,PT,55.0
2016,EU_PSR_SATIS_OBRA,PT,58.2
2017,EU_PSR_SATIS_OBRA,PT,66.4
2018,EU_PSR_SATIS_OBRA,PT,62.8
2019,EU_PSR_SATIS_OBRA,PT,65.2
2020,EU_PSR_SATIS_OBRA,PT,56.9
2021,EU_PSR_SATIS_OBRA,PT,63.4
2022,EU_PSR_SATIS_OBRA,PT,51.2
2014,EU_PSR_SATIS_DPDNT,PT,12.6
2024,EU_PSR_SATIS_DPDNT,PT,35.0
2020,EU_PSR_SATIS_DPDNT,PT,40.5
2025,EU_PSR_SATIS_DPDNT,PT,41.5
2019,EU_PSR_SATIS_DPDNT,PT,42.2
2016,EU_PSR_SATIS_DPDNT,PT,27.0
2012,EU_PSR_SATIS_DPDNT,PT,28.7
2011,EU_PSR_SATIS_DPDNT,PT,37.3
2021,EU_PSR_SATIS_DPDNT,PT,40.5
2015,EU_PSR_SATIS_DPDNT,PT,22.3
2022,EU_PSR_SATIS_DPDNT,PT,40.8
2013,EU_PSR_SATIS_DPDNT,PT,24.8
2023,EU_PSR_SATIS_DPDNT,PT,38.7
2018,EU_PSR_SATIS_DPDNT,PT,43.6
2017,EU_PSR_SATIS_DPDNT,PT,29.8
