Year,Series,Province,Units,Value
2019,Value added by the manufacturing sector as a proportion of GDP,,%,19.8
2020,Value added by the manufacturing sector as a proportion of GDP,,%,19.0
2021,Value added by the manufacturing sector as a proportion of GDP,,%,19.5
2022,Value added by the manufacturing sector as a proportion of GDP,,%,19.3
2023,Value added by the manufacturing sector as a proportion of GDP,,%,19.1
2024,Value added by the manufacturing sector as a proportion of GDP,,%,18.9
2010,Value added by the manufacturing sector per capita,Araba/Álava,Euro per capita,9735.7
2011,Value added by the manufacturing sector per capita,Araba/Álava,Euro per capita,10121.6
2012,Value added by the manufacturing sector per capita,Araba/Álava,Euro per capita,9536.6
2013,Value added by the manufacturing sector per capita,Araba/Álava,Euro per capita,9608.3
2014,Value added by the manufacturing sector per capita,Araba/Álava,Euro per capita,9938.6
2015,Value added by the manufacturing sector per capita,Araba/Álava,Euro per capita,10224.2
2016,Value added by the manufacturing sector per capita,Araba/Álava,Euro per capita,10505.2
2017,Value added by the manufacturing sector per capita,Araba/Álava,Euro per capita,10744.1
2018,Value added by the manufacturing sector per capita,Araba/Álava,Euro per capita,10671.7
2019,Value added by the manufacturing sector per capita,Araba/Álava,Euro per capita,10481.8
2020,Value added by the manufacturing sector per capita,Araba/Álava,Euro per capita,8926.7
2021,Value added by the manufacturing sector per capita,Araba/Álava,Euro per capita,9745.2
2022,Value added by the manufacturing sector per capita,Araba/Álava,Euro per capita,10030.6
2023,Value added by the manufacturing sector per capita,Araba/Álava,Euro per capita,10404.4
2024,Value added by the manufacturing sector per capita,Araba/Álava,Euro per capita,10584.1
2010,Value added by the manufacturing sector per capita,Gipuzkoa,Euro per capita,8118.4
2011,Value added by the manufacturing sector per capita,Gipuzkoa,Euro per capita,8344.2
2012,Value added by the manufacturing sector per capita,Gipuzkoa,Euro per capita,8012.3
2013,Value added by the manufacturing sector per capita,Gipuzkoa,Euro per capita,7629.4
2014,Value added by the manufacturing sector per capita,Gipuzkoa,Euro per capita,7743.6
2015,Value added by the manufacturing sector per capita,Gipuzkoa,Euro per capita,8123.6
2016,Value added by the manufacturing sector per capita,Gipuzkoa,Euro per capita,8435.5
2017,Value added by the manufacturing sector per capita,Gipuzkoa,Euro per capita,8527.6
2018,Value added by the manufacturing sector per capita,Gipuzkoa,Euro per capita,8832.1
2019,Value added by the manufacturing sector per capita,Gipuzkoa,Euro per capita,8940.6
2020,Value added by the manufacturing sector per capita,Gipuzkoa,Euro per capita,7912.1
2021,Value added by the manufacturing sector per capita,Gipuzkoa,Euro per capita,8769.1
2022,Value added by the manufacturing sector per capita,Gipuzkoa,Euro per capita,9195.3
2023,Value added by the manufacturing sector per capita,Gipuzkoa,Euro per capita,9492.5
2024,Value added by the manufacturing sector per capita,Gipuzkoa,Euro per capita,9647.8
2010,Value added by the manufacturing sector per capita,Bizkaia,Euro per capita,5660.0
2011,Value added by the manufacturing sector per capita,Bizkaia,Euro per capita,5693.5
2012,Value added by the manufacturing sector per capita,Bizkaia,Euro per capita,5246.0
2013,Value added by the manufacturing sector per capita,Bizkaia,Euro per capita,5178.0
2014,Value added by the manufacturing sector per capita,Bizkaia,Euro per capita,5354.3
2015,Value added by the manufacturing sector per capita,Bizkaia,Euro per capita,5527.2
2016,Value added by the manufacturing sector per capita,Bizkaia,Euro per capita,5834.6
2017,Value added by the manufacturing sector per capita,Bizkaia,Euro per capita,6020.7
2018,Value added by the manufacturing sector per capita,Bizkaia,Euro per capita,6031.7
2019,Value added by the manufacturing sector per capita,Bizkaia,Euro per capita,6136.2
2020,Value added by the manufacturing sector per capita,Bizkaia,Euro per capita,5305.3
2021,Value added by the manufacturing sector per capita,Bizkaia,Euro per capita,5714.5
2022,Value added by the manufacturing sector per capita,Bizkaia,Euro per capita,5994.9
2023,Value added by the manufacturing sector per capita,Bizkaia,Euro per capita,6529.7
2024,Value added by the manufacturing sector per capita,Bizkaia,Euro per capita,7022.4
2010,Value added by the manufacturing sector per capita,,Euro per capita,7033.8
2011,Value added by the manufacturing sector per capita,,Euro per capita,7190.6
2012,Value added by the manufacturing sector per capita,,Euro per capita,6772.9
2013,Value added by the manufacturing sector per capita,,Euro per capita,6623.1
2014,Value added by the manufacturing sector per capita,,Euro per capita,6804.9
2015,Value added by the manufacturing sector per capita,,Euro per capita,7069.6
2016,Value added by the manufacturing sector per capita,,Euro per capita,7372.0
2017,Value added by the manufacturing sector per capita,,Euro per capita,7533.8
2018,Value added by the manufacturing sector per capita,,Euro per capita,7637.4
2019,Value added by the manufacturing sector per capita,,Euro per capita,7696.3
2020,Value added by the manufacturing sector per capita,,Euro per capita,6697.6
2021,Value added by the manufacturing sector per capita,,Euro per capita,7325.0
2022,Value added by the manufacturing sector per capita,,Euro per capita,7654.4
2023,Value added by the manufacturing sector per capita,,Euro per capita,7753.9
2024,Value added by the manufacturing sector per capita,,Euro per capita,7858.9
