Year,Series,Profession,Sex,Province,Units,Value
2021,Density and distribution of health care workers.,Physician,Female,Gipuzkoa,"Per 10,000 inhabitants",70.4
2012,Density and distribution of health care workers.,Physician,Male,,"Per 10,000 inhabitants",57.2
2016,Density and distribution of health care workers.,Physician,Male,,"Per 10,000 inhabitants",58.8
2022,Density and distribution of health care workers.,Physician,Male,,"Per 10,000 inhabitants",62.6
2023,Density and distribution of health care workers.,Physician,Male,,"Per 10,000 inhabitants",63.1
2020,Density and distribution of health care workers.,Physician,Male,,"Per 10,000 inhabitants",61.2
2015,Density and distribution of health care workers.,Physician,Male,,"Per 10,000 inhabitants",58.3
2010,Density and distribution of health care workers.,Physician,Male,,"Per 10,000 inhabitants",56.5
2013,Density and distribution of health care workers.,Physician,Male,,"Per 10,000 inhabitants",57.6
2018,Density and distribution of health care workers.,Physician,Male,,"Per 10,000 inhabitants",59.9
2019,Density and distribution of health care workers.,Physician,Male,,"Per 10,000 inhabitants",60.7
2021,Density and distribution of health care workers.,Physician,Male,,"Per 10,000 inhabitants",61.8
2014,Density and distribution of health care workers.,Physician,Male,,"Per 10,000 inhabitants",58.4
2017,Density and distribution of health care workers.,Physician,Male,,"Per 10,000 inhabitants",59.1
2011,Density and distribution of health care workers.,Physician,Male,,"Per 10,000 inhabitants",57.1
2021,Density and distribution of health care workers.,Physician,Male,Araba/Álava,"Per 10,000 inhabitants",54.7
2018,Density and distribution of health care workers.,Physician,Male,Araba/Álava,"Per 10,000 inhabitants",54.7
2011,Density and distribution of health care workers.,Physician,Male,Araba/Álava,"Per 10,000 inhabitants",52.7
2012,Density and distribution of health care workers.,Physician,Male,Araba/Álava,"Per 10,000 inhabitants",52.7
2013,Density and distribution of health care workers.,Physician,Male,Araba/Álava,"Per 10,000 inhabitants",53.2
2015,Density and distribution of health care workers.,Physician,Male,Araba/Álava,"Per 10,000 inhabitants",53.9
2022,Density and distribution of health care workers.,Physician,Male,Araba/Álava,"Per 10,000 inhabitants",55.1
2014,Density and distribution of health care workers.,Physician,Male,Araba/Álava,"Per 10,000 inhabitants",54.3
2019,Density and distribution of health care workers.,Physician,Male,Araba/Álava,"Per 10,000 inhabitants",55.0
2017,Density and distribution of health care workers.,Physician,Male,Araba/Álava,"Per 10,000 inhabitants",54.8
2023,Density and distribution of health care workers.,Physician,Male,Araba/Álava,"Per 10,000 inhabitants",55.1
2010,Density and distribution of health care workers.,Physician,Male,Araba/Álava,"Per 10,000 inhabitants",51.1
2016,Density and distribution of health care workers.,Physician,Male,Araba/Álava,"Per 10,000 inhabitants",53.9
2020,Density and distribution of health care workers.,Physician,Male,Araba/Álava,"Per 10,000 inhabitants",54.8
2023,Density and distribution of health care workers.,Physician,Male,Bizkaia,"Per 10,000 inhabitants",70.5
2013,Density and distribution of health care workers.,Physician,Male,Bizkaia,"Per 10,000 inhabitants",61.5
2010,Density and distribution of health care workers.,Physician,Male,Bizkaia,"Per 10,000 inhabitants",60.2
2012,Density and distribution of health care workers.,Physician,Male,Bizkaia,"Per 10,000 inhabitants",60.8
2022,Density and distribution of health care workers.,Physician,Male,Bizkaia,"Per 10,000 inhabitants",69.3
2011,Density and distribution of health care workers.,Physician,Male,Bizkaia,"Per 10,000 inhabitants",60.7
2020,Density and distribution of health care workers.,Physician,Male,Bizkaia,"Per 10,000 inhabitants",67.3
2016,Density and distribution of health care workers.,Physician,Male,Bizkaia,"Per 10,000 inhabitants",63.3
2018,Density and distribution of health care workers.,Physician,Male,Bizkaia,"Per 10,000 inhabitants",65.4
2017,Density and distribution of health care workers.,Physician,Male,Bizkaia,"Per 10,000 inhabitants",63.9
2015,Density and distribution of health care workers.,Physician,Male,Bizkaia,"Per 10,000 inhabitants",62.6
2014,Density and distribution of health care workers.,Physician,Male,Bizkaia,"Per 10,000 inhabitants",62.5
2019,Density and distribution of health care workers.,Physician,Male,Bizkaia,"Per 10,000 inhabitants",66.4
2021,Density and distribution of health care workers.,Physician,Male,Bizkaia,"Per 10,000 inhabitants",68.3
2019,Density and distribution of health care workers.,Physician,Male,Gipuzkoa,"Per 10,000 inhabitants",54.4
2016,Density and distribution of health care workers.,Physician,Male,Gipuzkoa,"Per 10,000 inhabitants",53.7
2018,Density and distribution of health care workers.,Physician,Male,Gipuzkoa,"Per 10,000 inhabitants",53.7
2020,Density and distribution of health care workers.,Physician,Male,Gipuzkoa,"Per 10,000 inhabitants",54.6
2011,Density and distribution of health care workers.,Physician,Male,Gipuzkoa,"Per 10,000 inhabitants",53.1
2014,Density and distribution of health care workers.,Physician,Male,Gipuzkoa,"Per 10,000 inhabitants",53.9
2023,Density and distribution of health care workers.,Physician,Male,Gipuzkoa,"Per 10,000 inhabitants",55.2
2010,Density and distribution of health care workers.,Physician,Male,Gipuzkoa,"Per 10,000 inhabitants",53.1
2012,Density and distribution of health care workers.,Physician,Male,Gipuzkoa,"Per 10,000 inhabitants",53.5
2022,Density and distribution of health care workers.,Physician,Male,Gipuzkoa,"Per 10,000 inhabitants",55.6
2021,Density and distribution of health care workers.,Physician,Male,Gipuzkoa,"Per 10,000 inhabitants",54.9
2013,Density and distribution of health care workers.,Physician,Male,Gipuzkoa,"Per 10,000 inhabitants",53.4
2015,Density and distribution of health care workers.,Physician,Male,Gipuzkoa,"Per 10,000 inhabitants",53.5
2017,Density and distribution of health care workers.,Physician,Male,Gipuzkoa,"Per 10,000 inhabitants",53.6
2013,Density and distribution of health care workers.,Nursing and midwifery professionals,,,"Per 10,000 inhabitants",70.5
2019,Density and distribution of health care workers.,Nursing and midwifery professionals,,,"Per 10,000 inhabitants",76.9
2018,Density and distribution of health care workers.,Nursing and midwifery professionals,,,"Per 10,000 inhabitants",76.1
2016,Density and distribution of health care workers.,Nursing and midwifery professionals,,,"Per 10,000 inhabitants",74.7
2015,Density and distribution of health care workers.,Nursing and midwifery professionals,,,"Per 10,000 inhabitants",73.5
2020,Density and distribution of health care workers.,Nursing and midwifery professionals,,,"Per 10,000 inhabitants",78.4
2022,Density and distribution of health care workers.,Nursing and midwifery professionals,,,"Per 10,000 inhabitants",80.0
2021,Density and distribution of health care workers.,Nursing and midwifery professionals,,,"Per 10,000 inhabitants",79.1
2010,Density and distribution of health care workers.,Nursing and midwifery professionals,,,"Per 10,000 inhabitants",68.1
2014,Density and distribution of health care workers.,Nursing and midwifery professionals,,,"Per 10,000 inhabitants",72.1
2017,Density and distribution of health care workers.,Nursing and midwifery professionals,,,"Per 10,000 inhabitants",75.3
2023,Density and distribution of health care workers.,Nursing and midwifery professionals,,,"Per 10,000 inhabitants",89.6
2012,Density and distribution of health care workers.,Nursing and midwifery professionals,,,"Per 10,000 inhabitants",70.3
2011,Density and distribution of health care workers.,Nursing and midwifery professionals,,,"Per 10,000 inhabitants",70.2
2022,Density and distribution of health care workers.,Nursing and midwifery professionals,,Araba/Álava,"Per 10,000 inhabitants",89.0
2023,Density and distribution of health care workers.,Nursing and midwifery professionals,,Araba/Álava,"Per 10,000 inhabitants",89.5
2016,Density and distribution of health care workers.,Nursing and midwifery professionals,,Araba/Álava,"Per 10,000 inhabitants",84.2
2012,Density and distribution of health care workers.,Nursing and midwifery professionals,,Araba/Álava,"Per 10,000 inhabitants",77.6
2010,Density and distribution of health care workers.,Nursing and midwifery professionals,,Araba/Álava,"Per 10,000 inhabitants",75.4
2019,Density and distribution of health care workers.,Nursing and midwifery professionals,,Araba/Álava,"Per 10,000 inhabitants",86.4
2018,Density and distribution of health care workers.,Nursing and midwifery professionals,,Araba/Álava,"Per 10,000 inhabitants",87.4
2014,Density and distribution of health care workers.,Nursing and midwifery professionals,,Araba/Álava,"Per 10,000 inhabitants",81.1
2020,Density and distribution of health care workers.,Nursing and midwifery professionals,,Araba/Álava,"Per 10,000 inhabitants",87.5
2011,Density and distribution of health care workers.,Nursing and midwifery professionals,,Araba/Álava,"Per 10,000 inhabitants",77.2
2021,Density and distribution of health care workers.,Nursing and midwifery professionals,,Araba/Álava,"Per 10,000 inhabitants",88.6
2013,Density and distribution of health care workers.,Nursing and midwifery professionals,,Araba/Álava,"Per 10,000 inhabitants",78.4
2015,Density and distribution of health care workers.,Nursing and midwifery professionals,,Araba/Álava,"Per 10,000 inhabitants",82.7
2017,Density and distribution of health care workers.,Nursing and midwifery professionals,,Araba/Álava,"Per 10,000 inhabitants",86.0
2017,Density and distribution of health care workers.,Nursing and midwifery professionals,,Bizkaia,"Per 10,000 inhabitants",74.2
2021,Density and distribution of health care workers.,Nursing and midwifery professionals,,Bizkaia,"Per 10,000 inhabitants",78.7
2010,Density and distribution of health care workers.,Nursing and midwifery professionals,,Bizkaia,"Per 10,000 inhabitants",65.4
2015,Density and distribution of health care workers.,Nursing and midwifery professionals,,Bizkaia,"Per 10,000 inhabitants",71.9
2022,Density and distribution of health care workers.,Nursing and midwifery professionals,,Bizkaia,"Per 10,000 inhabitants",79.6
2019,Density and distribution of health care workers.,Nursing and midwifery professionals,,Bizkaia,"Per 10,000 inhabitants",76.2
2013,Density and distribution of health care workers.,Nursing and midwifery professionals,,Bizkaia,"Per 10,000 inhabitants",68.6
2014,Density and distribution of health care workers.,Nursing and midwifery professionals,,Bizkaia,"Per 10,000 inhabitants",70.1
2020,Density and distribution of health care workers.,Nursing and midwifery professionals,,Bizkaia,"Per 10,000 inhabitants",77.9
2016,Density and distribution of health care workers.,Nursing and midwifery professionals,,Bizkaia,"Per 10,000 inhabitants",73.3
2011,Density and distribution of health care workers.,Nursing and midwifery professionals,,Bizkaia,"Per 10,000 inhabitants",67.9
2012,Density and distribution of health care workers.,Nursing and midwifery professionals,,Bizkaia,"Per 10,000 inhabitants",68.4
2018,Density and distribution of health care workers.,Nursing and midwifery professionals,,Bizkaia,"Per 10,000 inhabitants",75.3
2023,Density and distribution of health care workers.,Nursing and midwifery professionals,,Bizkaia,"Per 10,000 inhabitants",81.2
2016,Density and distribution of health care workers.,Nursing and midwifery professionals,,Gipuzkoa,"Per 10,000 inhabitants",72.6
2014,Density and distribution of health care workers.,Nursing and midwifery professionals,,Gipuzkoa,"Per 10,000 inhabitants",71.3
2010,Density and distribution of health care workers.,Nursing and midwifery professionals,,Gipuzkoa,"Per 10,000 inhabitants",69.3
2019,Density and distribution of health care workers.,Nursing and midwifery professionals,,Gipuzkoa,"Per 10,000 inhabitants",73.7
2011,Density and distribution of health care workers.,Nursing and midwifery professionals,,Gipuzkoa,"Per 10,000 inhabitants",70.8
2023,Density and distribution of health care workers.,Nursing and midwifery professionals,,Gipuzkoa,"Per 10,000 inhabitants",103.2
2018,Density and distribution of health care workers.,Nursing and midwifery professionals,,Gipuzkoa,"Per 10,000 inhabitants",72.3
2022,Density and distribution of health care workers.,Nursing and midwifery professionals,,Gipuzkoa,"Per 10,000 inhabitants",76.4
2012,Density and distribution of health care workers.,Nursing and midwifery professionals,,Gipuzkoa,"Per 10,000 inhabitants",70.1
2017,Density and distribution of health care workers.,Nursing and midwifery professionals,,Gipuzkoa,"Per 10,000 inhabitants",72.3
2013,Density and distribution of health care workers.,Nursing and midwifery professionals,,Gipuzkoa,"Per 10,000 inhabitants",70.0
2015,Density and distribution of health care workers.,Nursing and midwifery professionals,,Gipuzkoa,"Per 10,000 inhabitants",72.0
2020,Density and distribution of health care workers.,Nursing and midwifery professionals,,Gipuzkoa,"Per 10,000 inhabitants",75.0
2021,Density and distribution of health care workers.,Nursing and midwifery professionals,,Gipuzkoa,"Per 10,000 inhabitants",75.4
2015,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,,"Per 10,000 inhabitants",129.6
2018,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,,"Per 10,000 inhabitants",133.1
2016,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,,"Per 10,000 inhabitants",131.2
2019,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,,"Per 10,000 inhabitants",134.0
2017,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,,"Per 10,000 inhabitants",132.2
2020,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,,"Per 10,000 inhabitants",135.8
2013,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,,"Per 10,000 inhabitants",124.8
2012,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,,"Per 10,000 inhabitants",123.5
2023,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,,"Per 10,000 inhabitants",154.4
2010,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,,"Per 10,000 inhabitants",121.2
2014,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,,"Per 10,000 inhabitants",127.4
2021,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,,"Per 10,000 inhabitants",136.9
2022,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,,"Per 10,000 inhabitants",138.1
2011,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,,"Per 10,000 inhabitants",123.3
2016,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,Araba/Álava,"Per 10,000 inhabitants",151.9
2022,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,Araba/Álava,"Per 10,000 inhabitants",155.9
2023,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,Araba/Álava,"Per 10,000 inhabitants",156.3
2021,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,Araba/Álava,"Per 10,000 inhabitants",155.3
2013,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,Araba/Álava,"Per 10,000 inhabitants",143.3
2018,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,Araba/Álava,"Per 10,000 inhabitants",156.3
2020,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,Araba/Álava,"Per 10,000 inhabitants",154.7
2019,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,Araba/Álava,"Per 10,000 inhabitants",153.5
2011,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,Araba/Álava,"Per 10,000 inhabitants",141.7
2015,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,Araba/Álava,"Per 10,000 inhabitants",150.0
2010,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,Araba/Álava,"Per 10,000 inhabitants",138.2
2012,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,Araba/Álava,"Per 10,000 inhabitants",142.4
2017,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,Araba/Álava,"Per 10,000 inhabitants",154.5
2014,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,Araba/Álava,"Per 10,000 inhabitants",147.2
2021,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,Bizkaia,"Per 10,000 inhabitants",132.2
2023,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,Bizkaia,"Per 10,000 inhabitants",135.6
2020,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,Bizkaia,"Per 10,000 inhabitants",130.9
2011,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,Bizkaia,"Per 10,000 inhabitants",116.6
2022,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,Bizkaia,"Per 10,000 inhabitants",133.4
2019,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,Bizkaia,"Per 10,000 inhabitants",128.9
2013,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,Bizkaia,"Per 10,000 inhabitants",117.7
2017,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,Bizkaia,"Per 10,000 inhabitants",126.4
2012,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,Bizkaia,"Per 10,000 inhabitants",117.4
2010,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,Bizkaia,"Per 10,000 inhabitants",112.5
2016,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,Bizkaia,"Per 10,000 inhabitants",125.0
2015,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,Bizkaia,"Per 10,000 inhabitants",122.9
2018,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,Bizkaia,"Per 10,000 inhabitants",128.0
2014,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,Bizkaia,"Per 10,000 inhabitants",120.1
2022,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,Gipuzkoa,"Per 10,000 inhabitants",137.4
2010,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,Gipuzkoa,"Per 10,000 inhabitants",128.2
2015,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,Gipuzkoa,"Per 10,000 inhabitants",131.4
2011,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,Gipuzkoa,"Per 10,000 inhabitants",126.1
2013,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,Gipuzkoa,"Per 10,000 inhabitants",128.3
2019,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,Gipuzkoa,"Per 10,000 inhabitants",133.4
2023,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,Gipuzkoa,"Per 10,000 inhabitants",183.7
2020,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,Gipuzkoa,"Per 10,000 inhabitants",135.2
2016,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,Gipuzkoa,"Per 10,000 inhabitants",132.2
2017,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,Gipuzkoa,"Per 10,000 inhabitants",131.4
2012,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,Gipuzkoa,"Per 10,000 inhabitants",125.1
2018,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,Gipuzkoa,"Per 10,000 inhabitants",131.0
