Year,Tecnología de acceso,Territorio histórico,Units,Value
2011,,Gipuzkoa,Por 100 personas,26.4
2018,DSL,,Por 100 personas,5.8
2020,DSL,,Por 100 personas,2.5
2014,DSL,,Por 100 personas,16.6
2013,DSL,,Por 100 personas,16.6
2017,DSL,,Por 100 personas,8.3
2015,DSL,,Por 100 personas,15.4
2012,DSL,,Por 100 personas,15.3
2022,DSL,,Por 100 personas,1.3
2021,DSL,,Por 100 personas,1.9
2011,DSL,,Por 100 personas,14.5
2016,DSL,,Por 100 personas,11.3
2010,DSL,,Por 100 personas,14.1
2019,DSL,,Por 100 personas,3.8
2012,DSL,Araba/Álava,Por 100 personas,17.5
2020,DSL,Araba/Álava,Por 100 personas,2.3
2019,DSL,Araba/Álava,Por 100 personas,4.6
2016,DSL,Araba/Álava,Por 100 personas,13.2
2011,DSL,Araba/Álava,Por 100 personas,17.2
2010,DSL,Araba/Álava,Por 100 personas,17.4
2021,DSL,Araba/Álava,Por 100 personas,1.5
2013,DSL,Araba/Álava,Por 100 personas,18.9
2014,DSL,Araba/Álava,Por 100 personas,18.8
2017,DSL,Araba/Álava,Por 100 personas,9.6
2015,DSL,Araba/Álava,Por 100 personas,17.2
2022,DSL,Araba/Álava,Por 100 personas,1.0
2018,DSL,Araba/Álava,Por 100 personas,7.5
2021,DSL,Bizkaia,Por 100 personas,1.7
2022,DSL,Bizkaia,Por 100 personas,1.2
2018,DSL,Bizkaia,Por 100 personas,4.8
2014,DSL,Bizkaia,Por 100 personas,15.4
2017,DSL,Bizkaia,Por 100 personas,7.2
2015,DSL,Bizkaia,Por 100 personas,14.3
2011,DSL,Bizkaia,Por 100 personas,13.3
2010,DSL,Bizkaia,Por 100 personas,12.7
2020,DSL,Bizkaia,Por 100 personas,2.2
2016,DSL,Bizkaia,Por 100 personas,10.1
2019,DSL,Bizkaia,Por 100 personas,3.2
2013,DSL,Bizkaia,Por 100 personas,15.6
2012,DSL,Bizkaia,Por 100 personas,14.1
2020,DSL,Gipuzkoa,Por 100 personas,3.2
2021,DSL,Gipuzkoa,Por 100 personas,2.3
2010,DSL,Gipuzkoa,Por 100 personas,14.9
2019,DSL,Gipuzkoa,Por 100 personas,4.4
2018,DSL,Gipuzkoa,Por 100 personas,6.5
2017,DSL,Gipuzkoa,Por 100 personas,9.4
2016,DSL,Gipuzkoa,Por 100 personas,12.2
2014,DSL,Gipuzkoa,Por 100 personas,17.4
2013,DSL,Gipuzkoa,Por 100 personas,17.3
2012,DSL,Gipuzkoa,Por 100 personas,16.3
2011,DSL,Gipuzkoa,Por 100 personas,15.3
2015,DSL,Gipuzkoa,Por 100 personas,16.5
2022,DSL,Gipuzkoa,Por 100 personas,1.6
2012,Fibra óptica (FTTH),,Por 100 personas,0.2
2020,Fibra óptica (FTTH),,Por 100 personas,22.5
2015,Fibra óptica (FTTH),,Por 100 personas,4.1
2014,Fibra óptica (FTTH),,Por 100 personas,1.9
2022,Fibra óptica (FTTH),,Por 100 personas,30.2
2019,Fibra óptica (FTTH),,Por 100 personas,19.9
2011,Fibra óptica (FTTH),,Por 100 personas,0.2
2016,Fibra óptica (FTTH),,Por 100 personas,9.4
2010,Fibra óptica (FTTH),,Por 100 personas,0.1
2018,Fibra óptica (FTTH),,Por 100 personas,16.8
2021,Fibra óptica (FTTH),,Por 100 personas,26.5
2013,Fibra óptica (FTTH),,Por 100 personas,0.5
2017,Fibra óptica (FTTH),,Por 100 personas,12.7
2021,Fibra óptica (FTTH),Araba/Álava,Por 100 personas,29.9
2018,Fibra óptica (FTTH),Araba/Álava,Por 100 personas,19.4
2013,Fibra óptica (FTTH),Araba/Álava,Por 100 personas,0.9
2010,Fibra óptica (FTTH),Araba/Álava,Por 100 personas,0.3
2011,Fibra óptica (FTTH),Araba/Álava,Por 100 personas,0.4
2012,Fibra óptica (FTTH),Araba/Álava,Por 100 personas,0.5
2020,Fibra óptica (FTTH),Araba/Álava,Por 100 personas,26.4
2019,Fibra óptica (FTTH),Araba/Álava,Por 100 personas,22.4
2022,Fibra óptica (FTTH),Araba/Álava,Por 100 personas,33.0
2017,Fibra óptica (FTTH),Araba/Álava,Por 100 personas,16.1
2016,Fibra óptica (FTTH),Araba/Álava,Por 100 personas,11.5
2015,Fibra óptica (FTTH),Araba/Álava,Por 100 personas,5.3
2014,Fibra óptica (FTTH),Araba/Álava,Por 100 personas,2.3
2015,Fibra óptica (FTTH),Bizkaia,Por 100 personas,3.7
2012,Fibra óptica (FTTH),Bizkaia,Por 100 personas,0.1
2011,Fibra óptica (FTTH),Bizkaia,Por 100 personas,0.1
2013,Fibra óptica (FTTH),Bizkaia,Por 100 personas,0.3
2016,Fibra óptica (FTTH),Bizkaia,Por 100 personas,8.8
2014,Fibra óptica (FTTH),Bizkaia,Por 100 personas,1.7
2010,Fibra óptica (FTTH),Bizkaia,Por 100 personas,0.0
2018,Fibra óptica (FTTH),Bizkaia,Por 100 personas,16.1
2019,Fibra óptica (FTTH),Bizkaia,Por 100 personas,19.2
2022,Fibra óptica (FTTH),Bizkaia,Por 100 personas,29.6
2017,Fibra óptica (FTTH),Bizkaia,Por 100 personas,11.3
2021,Fibra óptica (FTTH),Bizkaia,Por 100 personas,25.5
2020,Fibra óptica (FTTH),Bizkaia,Por 100 personas,21.4
2021,Fibra óptica (FTTH),Gipuzkoa,Por 100 personas,26.6
2018,Fibra óptica (FTTH),Gipuzkoa,Por 100 personas,16.7
2022,Fibra óptica (FTTH),Gipuzkoa,Por 100 personas,29.8
2020,Fibra óptica (FTTH),Gipuzkoa,Por 100 personas,22.3
2019,Fibra óptica (FTTH),Gipuzkoa,Por 100 personas,20.0
2017,Fibra óptica (FTTH),Gipuzkoa,Por 100 personas,13.4
2016,Fibra óptica (FTTH),Gipuzkoa,Por 100 personas,9.3
2014,Fibra óptica (FTTH),Gipuzkoa,Por 100 personas,2.2
2013,Fibra óptica (FTTH),Gipuzkoa,Por 100 personas,0.7
2012,Fibra óptica (FTTH),Gipuzkoa,Por 100 personas,0.2
2011,Fibra óptica (FTTH),Gipuzkoa,Por 100 personas,0.1
2010,Fibra óptica (FTTH),Gipuzkoa,Por 100 personas,0.0
2015,Fibra óptica (FTTH),Gipuzkoa,Por 100 personas,4.0
2019,Híbrido de Fibra Coaxial (HFC),,Por 100 personas,12.5
2021,Híbrido de Fibra Coaxial (HFC),,Por 100 personas,10.1
2011,Híbrido de Fibra Coaxial (HFC),,Por 100 personas,11.1
2015,Híbrido de Fibra Coaxial (HFC),,Por 100 personas,12.2
2013,Híbrido de Fibra Coaxial (HFC),,Por 100 personas,11.7
2014,Híbrido de Fibra Coaxial (HFC),,Por 100 personas,11.9
2020,Híbrido de Fibra Coaxial (HFC),,Por 100 personas,11.9
2022,Híbrido de Fibra Coaxial (HFC),,Por 100 personas,7.5
2017,Híbrido de Fibra Coaxial (HFC),,Por 100 personas,12.6
2018,Híbrido de Fibra Coaxial (HFC),,Por 100 personas,12.5
2016,Híbrido de Fibra Coaxial (HFC),,Por 100 personas,12.5
2012,Híbrido de Fibra Coaxial (HFC),,Por 100 personas,11.2
2010,Híbrido de Fibra Coaxial (HFC),,Por 100 personas,10.2
2018,Híbrido de Fibra Coaxial (HFC),Araba/Álava,Por 100 personas,8.6
2016,Híbrido de Fibra Coaxial (HFC),Araba/Álava,Por 100 personas,9.2
2014,Híbrido de Fibra Coaxial (HFC),Araba/Álava,Por 100 personas,9.2
2020,Híbrido de Fibra Coaxial (HFC),Araba/Álava,Por 100 personas,7.2
2022,Híbrido de Fibra Coaxial (HFC),Araba/Álava,Por 100 personas,4.8
2021,Híbrido de Fibra Coaxial (HFC),Araba/Álava,Por 100 personas,7.3
2019,Híbrido de Fibra Coaxial (HFC),Araba/Álava,Por 100 personas,8.5
2017,Híbrido de Fibra Coaxial (HFC),Araba/Álava,Por 100 personas,8.7
2015,Híbrido de Fibra Coaxial (HFC),Araba/Álava,Por 100 personas,9.1
2013,Híbrido de Fibra Coaxial (HFC),Araba/Álava,Por 100 personas,8.9
2012,Híbrido de Fibra Coaxial (HFC),Araba/Álava,Por 100 personas,8.2
2010,Híbrido de Fibra Coaxial (HFC),Araba/Álava,Por 100 personas,6.7
2011,Híbrido de Fibra Coaxial (HFC),Araba/Álava,Por 100 personas,8.0
2021,Híbrido de Fibra Coaxial (HFC),Bizkaia,Por 100 personas,11.0
2020,Híbrido de Fibra Coaxial (HFC),Bizkaia,Por 100 personas,13.4
2019,Híbrido de Fibra Coaxial (HFC),Bizkaia,Por 100 personas,13.8
2018,Híbrido de Fibra Coaxial (HFC),Bizkaia,Por 100 personas,13.9
2017,Híbrido de Fibra Coaxial (HFC),Bizkaia,Por 100 personas,14.0
2016,Híbrido de Fibra Coaxial (HFC),Bizkaia,Por 100 personas,13.7
2015,Híbrido de Fibra Coaxial (HFC),Bizkaia,Por 100 personas,13.3
2014,Híbrido de Fibra Coaxial (HFC),Bizkaia,Por 100 personas,12.9
2013,Híbrido de Fibra Coaxial (HFC),Bizkaia,Por 100 personas,12.7
2012,Híbrido de Fibra Coaxial (HFC),Bizkaia,Por 100 personas,12.1
2011,Híbrido de Fibra Coaxial (HFC),Bizkaia,Por 100 personas,12.1
2010,Híbrido de Fibra Coaxial (HFC),Bizkaia,Por 100 personas,11.3
2022,Híbrido de Fibra Coaxial (HFC),Bizkaia,Por 100 personas,7.9
2019,Híbrido de Fibra Coaxial (HFC),Gipuzkoa,Por 100 personas,12.1
2018,Híbrido de Fibra Coaxial (HFC),Gipuzkoa,Por 100 personas,12.1
2017,Híbrido de Fibra Coaxial (HFC),Gipuzkoa,Por 100 personas,12.2
2016,Híbrido de Fibra Coaxial (HFC),Gipuzkoa,Por 100 personas,12.1
2015,Híbrido de Fibra Coaxial (HFC),Gipuzkoa,Por 100 personas,11.9
2014,Híbrido de Fibra Coaxial (HFC),Gipuzkoa,Por 100 personas,11.6
2013,Híbrido de Fibra Coaxial (HFC),Gipuzkoa,Por 100 personas,11.3
2012,Híbrido de Fibra Coaxial (HFC),Gipuzkoa,Por 100 personas,10.9
2011,Híbrido de Fibra Coaxial (HFC),Gipuzkoa,Por 100 personas,10.7
2010,Híbrido de Fibra Coaxial (HFC),Gipuzkoa,Por 100 personas,10.0
2022,Híbrido de Fibra Coaxial (HFC),Gipuzkoa,Por 100 personas,8.1
2021,Híbrido de Fibra Coaxial (HFC),Gipuzkoa,Por 100 personas,10.0
2020,Híbrido de Fibra Coaxial (HFC),Gipuzkoa,Por 100 personas,11.7
2010,Otra tecnología,,Por 100 personas,0.2
2018,Otra tecnología,,Por 100 personas,0.3
2020,Otra tecnología,,Por 100 personas,0.3
2019,Otra tecnología,,Por 100 personas,0.3
2014,Otra tecnología,,Por 100 personas,0.2
2012,Otra tecnología,,Por 100 personas,0.2
2011,Otra tecnología,,Por 100 personas,0.2
2017,Otra tecnología,,Por 100 personas,0.3
2013,Otra tecnología,,Por 100 personas,0.2
2022,Otra tecnología,,Por 100 personas,0.3
2021,Otra tecnología,,Por 100 personas,0.3
2016,Otra tecnología,,Por 100 personas,0.3
2015,Otra tecnología,,Por 100 personas,0.2
2012,Otra tecnología,Araba/Álava,Por 100 personas,0.4
2010,Otra tecnología,Araba/Álava,Por 100 personas,0.5
2011,Otra tecnología,Araba/Álava,Por 100 personas,0.4
2015,Otra tecnología,Araba/Álava,Por 100 personas,0.4
2016,Otra tecnología,Araba/Álava,Por 100 personas,0.4
2017,Otra tecnología,Araba/Álava,Por 100 personas,0.4
2020,Otra tecnología,Araba/Álava,Por 100 personas,0.3
2019,Otra tecnología,Araba/Álava,Por 100 personas,0.4
2022,Otra tecnología,Araba/Álava,Por 100 personas,0.3
2021,Otra tecnología,Araba/Álava,Por 100 personas,0.3
2018,Otra tecnología,Araba/Álava,Por 100 personas,0.5
2014,Otra tecnología,Araba/Álava,Por 100 personas,0.4
2013,Otra tecnología,Araba/Álava,Por 100 personas,0.4
2013,Otra tecnología,Bizkaia,Por 100 personas,0.1
2022,Otra tecnología,Bizkaia,Por 100 personas,0.3
2021,Otra tecnología,Bizkaia,Por 100 personas,0.3
2020,Otra tecnología,Bizkaia,Por 100 personas,0.4
2019,Otra tecnología,Bizkaia,Por 100 personas,0.3
2018,Otra tecnología,Bizkaia,Por 100 personas,0.3
2017,Otra tecnología,Bizkaia,Por 100 personas,0.3
2016,Otra tecnología,Bizkaia,Por 100 personas,0.2
2015,Otra tecnología,Bizkaia,Por 100 personas,0.2
2014,Otra tecnología,Bizkaia,Por 100 personas,0.2
2012,Otra tecnología,Bizkaia,Por 100 personas,0.1
2011,Otra tecnología,Bizkaia,Por 100 personas,0.2
2010,Otra tecnología,Bizkaia,Por 100 personas,0.2
2014,Otra tecnología,Gipuzkoa,Por 100 personas,0.2
2010,Otra tecnología,Gipuzkoa,Por 100 personas,0.3
2018,Otra tecnología,Gipuzkoa,Por 100 personas,0.3
2022,Otra tecnología,Gipuzkoa,Por 100 personas,0.4
2021,Otra tecnología,Gipuzkoa,Por 100 personas,0.3
2020,Otra tecnología,Gipuzkoa,Por 100 personas,0.3
2019,Otra tecnología,Gipuzkoa,Por 100 personas,0.3
2017,Otra tecnología,Gipuzkoa,Por 100 personas,0.3
2016,Otra tecnología,Gipuzkoa,Por 100 personas,0.2
2015,Otra tecnología,Gipuzkoa,Por 100 personas,0.2
2013,Otra tecnología,Gipuzkoa,Por 100 personas,0.2
2012,Otra tecnología,Gipuzkoa,Por 100 personas,0.2
2011,Otra tecnología,Gipuzkoa,Por 100 personas,0.2
