Year,Series,Lurralde historikoa,Units,Value
2019,Elikagaien ekoizle handien batez besteko diru-sarrerak,,Euro konstanteak,17862.3
2020,Elikagaien ekoizle handien batez besteko diru-sarrerak,,Euro konstanteak,16492.3
2021,Elikagaien ekoizle handien batez besteko diru-sarrerak,,Euro konstanteak,18226.4
2017,Elikagaien ekoizle handien batez besteko diru-sarrerak,,Euro konstanteak,19387.5
2016,Elikagaien ekoizle handien batez besteko diru-sarrerak,,Euro konstanteak,15834.3
2016,Elikagaien ekoizle handien batez besteko diru-sarrerak,Araba / Álava,Euro konstanteak,17472.5
2015,Elikagaien ekoizle handien batez besteko diru-sarrerak,Araba / Álava,Euro konstanteak,9404.4
2020,Elikagaien ekoizle handien batez besteko diru-sarrerak,Araba / Álava,Euro konstanteak,20197.8
2018,Elikagaien ekoizle handien batez besteko diru-sarrerak,Araba / Álava,Euro konstanteak,18254.9
2017,Elikagaien ekoizle handien batez besteko diru-sarrerak,Araba / Álava,Euro konstanteak,19983.4
2019,Elikagaien ekoizle handien batez besteko diru-sarrerak,Araba / Álava,Euro konstanteak,22051.5
2021,Elikagaien ekoizle handien batez besteko diru-sarrerak,Araba / Álava,Euro konstanteak,33766.7
2021,Elikagaien ekoizle handien batez besteko diru-sarrerak,Bizkaia,Euro konstanteak,14025.1
2020,Elikagaien ekoizle handien batez besteko diru-sarrerak,Bizkaia,Euro konstanteak,20190.1
2018,Elikagaien ekoizle handien batez besteko diru-sarrerak,Bizkaia,Euro konstanteak,12988.9
2015,Elikagaien ekoizle handien batez besteko diru-sarrerak,Bizkaia,Euro konstanteak,14542.8
2017,Elikagaien ekoizle handien batez besteko diru-sarrerak,Bizkaia,Euro konstanteak,18102.8
2016,Elikagaien ekoizle handien batez besteko diru-sarrerak,Bizkaia,Euro konstanteak,15362.7
2019,Elikagaien ekoizle handien batez besteko diru-sarrerak,Bizkaia,Euro konstanteak,17973.2
2021,Elikagaien ekoizle handien batez besteko diru-sarrerak,Gipuzkoa,Euro konstanteak,11246.8
2015,Elikagaien ekoizle handien batez besteko diru-sarrerak,Gipuzkoa,Euro konstanteak,15465.7
2019,Elikagaien ekoizle handien batez besteko diru-sarrerak,Gipuzkoa,Euro konstanteak,15346.9
2018,Elikagaien ekoizle handien batez besteko diru-sarrerak,Gipuzkoa,Euro konstanteak,15629.8
2017,Elikagaien ekoizle handien batez besteko diru-sarrerak,Gipuzkoa,Euro konstanteak,19512.8
2016,Elikagaien ekoizle handien batez besteko diru-sarrerak,Gipuzkoa,Euro konstanteak,15024.3
2020,Elikagaien ekoizle handien batez besteko diru-sarrerak,Gipuzkoa,Euro konstanteak,13018.2
