Year,Sexua,Lurralde historikoa,Units,Value
2010,Gizona,,%,61.2
2017,Gizona,,%,84.5
2008,Gizona,,%,58.3
2016,Gizona,,%,84.6
2009,Gizona,,%,60.5
2014,Gizona,,%,78.4
2015,Gizona,,%,83.1
2011,Gizona,,%,66.5
2022,Gizona,,%,93.8
2013,Gizona,,%,77.4
2021,Gizona,,%,93.4
2022,Gizona,Araba / Álava,%,95.0
2014,Gizona,Araba / Álava,%,77.8
2021,Gizona,Araba / Álava,%,93.0
2023,Gizona,Araba / Álava,%,95.5
2010,Gizona,Araba / Álava,%,62.9
2013,Gizona,Araba / Álava,%,77.9
2009,Gizona,Araba / Álava,%,58.4
2017,Gizona,Araba / Álava,%,85.9
2012,Gizona,Araba / Álava,%,66.5
2016,Gizona,Araba / Álava,%,86.0
2008,Gizona,Araba / Álava,%,57.5
2018,Gizona,Araba / Álava,%,92.2
2011,Gizona,Araba / Álava,%,62.1
2019,Gizona,Araba / Álava,%,89.2
2015,Gizona,Araba / Álava,%,84.2
2020,Gizona,Araba / Álava,%,89.8
2023,Gizona,Bizkaia,%,96.3
2022,Gizona,Bizkaia,%,94.1
2021,Gizona,Bizkaia,%,93.6
2020,Gizona,Bizkaia,%,91.2
2019,Gizona,Bizkaia,%,91.3
2018,Gizona,Bizkaia,%,89.6
2014,Gizona,Bizkaia,%,79.1
2017,Gizona,Bizkaia,%,83.9
2016,Gizona,Bizkaia,%,85.0
2015,Gizona,Bizkaia,%,83.8
2013,Gizona,Bizkaia,%,78.5
2012,Gizona,Bizkaia,%,65.3
2011,Gizona,Bizkaia,%,67.3
2010,Gizona,Bizkaia,%,58.1
2009,Gizona,Bizkaia,%,61.2
2008,Gizona,Bizkaia,%,58.8
2014,Gizona,Gipuzkoa,%,77.5
2009,Gizona,Gipuzkoa,%,60.1
2013,Gizona,Gipuzkoa,%,75.4
2012,Gizona,Gipuzkoa,%,71.6
2011,Gizona,Gipuzkoa,%,67.2
2010,Gizona,Gipuzkoa,%,65.4
2023,Gizona,Gipuzkoa,%,94.8
2022,Gizona,Gipuzkoa,%,92.9
2021,Gizona,Gipuzkoa,%,93.2
2020,Gizona,Gipuzkoa,%,92.3
2019,Gizona,Gipuzkoa,%,87.2
2018,Gizona,Gipuzkoa,%,87.3
2008,Gizona,Gipuzkoa,%,57.9
2017,Gizona,Gipuzkoa,%,84.8
2016,Gizona,Gipuzkoa,%,83.4
2015,Gizona,Gipuzkoa,%,81.5
