Year,Series,Sexua,Lurralde historikoa,Units,Value
2020,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,Araba / Álava,%,78.6
2022,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,Araba / Álava,%,68.1
2023,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,Araba / Álava,%,90.7
2019,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,Araba / Álava,%,53.4
2018,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,Araba / Álava,%,47.0
2024,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,Araba / Álava,%,90.9
2020,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,Bizkaia,%,100.0
2019,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,Bizkaia,%,50.3
2022,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,Bizkaia,%,60.7
2017,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,Bizkaia,%,45.5
2018,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,Bizkaia,%,45.6
2021,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,Bizkaia,%,64.0
2024,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,Bizkaia,%,70.5
2023,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,Bizkaia,%,69.2
2021,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,Gipuzkoa,%,74.9
2024,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,Gipuzkoa,%,92.1
2020,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,Gipuzkoa,%,100.0
2019,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,Gipuzkoa,%,74.5
2018,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,Gipuzkoa,%,61.8
2023,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,Gipuzkoa,%,78.7
2017,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,Gipuzkoa,%,57.2
2022,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,Gipuzkoa,%,72.5
2023,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,,%,58.4
2022,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,,%,57.5
2019,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,,%,50.3
2018,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,,%,43.4
2024,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,,%,61.4
2021,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,,%,53.1
2020,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,,%,84.7
2017,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,,%,42.8
2019,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,Araba / Álava,%,47.4
2021,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,Araba / Álava,%,54.7
2018,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,Araba / Álava,%,41.5
2017,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,Araba / Álava,%,46.6
2024,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,Araba / Álava,%,55.6
2023,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,Araba / Álava,%,51.6
2022,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,Araba / Álava,%,47.3
2020,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,Araba / Álava,%,100.0
2017,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,Bizkaia,%,40.3
2019,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,Bizkaia,%,48.9
2018,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,Bizkaia,%,41.1
2022,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,Bizkaia,%,61.4
2024,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,Bizkaia,%,60.5
2020,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,Bizkaia,%,71.9
2023,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,Bizkaia,%,59.8
2021,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,Bizkaia,%,50.0
2019,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,Gipuzkoa,%,55.9
2017,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,Gipuzkoa,%,46.8
2020,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,Gipuzkoa,%,100.0
2018,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,Gipuzkoa,%,50.6
2021,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,Gipuzkoa,%,59.2
2022,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,Gipuzkoa,%,56.9
2023,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,Gipuzkoa,%,59.3
2024,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Gizona,Gipuzkoa,%,67.0
2019,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,,%,83.0
2024,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,,%,82.5
2020,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,,%,82.9
2015,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,,%,82.7
2023,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,,%,81.8
2013,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,,%,82.8
2011,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,,%,82.4
2010,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,,%,82.4
2017,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,,%,82.8
2014,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,,%,82.9
2022,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,,%,82.1
2018,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,,%,82.9
2016,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,,%,82.8
2021,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,,%,82.5
2012,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,,%,82.3
2013,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Araba / Álava,%,80.6
2024,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Araba / Álava,%,81.4
2017,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Araba / Álava,%,81.5
2022,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Araba / Álava,%,80.7
2015,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Araba / Álava,%,80.8
2014,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Araba / Álava,%,80.9
2016,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Araba / Álava,%,81.0
2010,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Araba / Álava,%,79.9
2018,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Araba / Álava,%,81.7
2019,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Araba / Álava,%,82.0
2012,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Araba / Álava,%,80.0
2023,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Araba / Álava,%,80.3
2020,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Araba / Álava,%,81.7
2011,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Araba / Álava,%,80.0
2021,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Araba / Álava,%,81.3
2015,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Bizkaia,%,81.2
2017,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Bizkaia,%,81.2
2010,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Bizkaia,%,80.8
2019,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Bizkaia,%,81.3
2014,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Bizkaia,%,81.4
2020,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Bizkaia,%,81.1
2013,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Bizkaia,%,81.4
2024,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Bizkaia,%,81.0
2021,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Bizkaia,%,80.9
2018,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Bizkaia,%,81.2
2023,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Bizkaia,%,80.3
2012,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Bizkaia,%,80.9
2022,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Bizkaia,%,80.5
2011,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Bizkaia,%,80.9
2016,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Bizkaia,%,81.2
2015,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Gipuzkoa,%,86.1
2017,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Gipuzkoa,%,86.0
2013,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Gipuzkoa,%,86.1
2022,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Gipuzkoa,%,85.4
2019,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Gipuzkoa,%,86.2
2012,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Gipuzkoa,%,85.8
2016,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Gipuzkoa,%,86.2
2018,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Gipuzkoa,%,86.1
2010,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Gipuzkoa,%,86.1
2023,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Gipuzkoa,%,85.0
2021,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Gipuzkoa,%,85.6
2014,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Gipuzkoa,%,86.2
2024,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Gipuzkoa,%,85.4
2011,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Gipuzkoa,%,85.9
2020,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,,Gipuzkoa,%,86.2
2018,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,,%,70.5
2019,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,,%,71.0
2013,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,,%,69.6
2016,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,,%,69.9
2022,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,,%,71.6
2010,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,,%,69.1
2021,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,,%,71.5
2014,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,,%,69.6
2020,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,,%,71.2
2024,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,,%,72.8
2017,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,,%,70.1
2023,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,,%,71.9
2011,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,,%,69.2
2015,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,,%,69.7
2012,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,,%,69.2
2014,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Araba / Álava,%,66.2
2012,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Araba / Álava,%,65.5
2022,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Araba / Álava,%,69.5
2019,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Araba / Álava,%,68.8
2015,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Araba / Álava,%,66.3
2018,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Araba / Álava,%,68.0
2020,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Araba / Álava,%,69.0
2013,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Araba / Álava,%,66.0
2016,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Araba / Álava,%,66.8
2010,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Araba / Álava,%,65.4
2011,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Araba / Álava,%,65.5
2021,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Araba / Álava,%,69.5
2023,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Araba / Álava,%,69.9
2024,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Araba / Álava,%,71.2
2017,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Araba / Álava,%,67.4
2023,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Bizkaia,%,69.7
2021,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Bizkaia,%,69.3
2018,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Bizkaia,%,68.2
2011,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Bizkaia,%,67.0
2016,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Bizkaia,%,67.6
2017,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Bizkaia,%,67.9
2014,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Bizkaia,%,67.5
2013,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Bizkaia,%,67.5
2010,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Bizkaia,%,66.9
2020,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Bizkaia,%,68.9
2019,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Bizkaia,%,68.6
2012,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Bizkaia,%,67.1
2015,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Bizkaia,%,67.5
2024,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Bizkaia,%,70.6
2022,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Bizkaia,%,69.2
2018,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Gipuzkoa,%,75.4
2023,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Gipuzkoa,%,76.4
2022,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Gipuzkoa,%,76.3
2019,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Gipuzkoa,%,75.9
2020,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Gipuzkoa,%,76.1
2017,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Gipuzkoa,%,75.1
2015,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Gipuzkoa,%,74.8
2010,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Gipuzkoa,%,74.4
2024,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Gipuzkoa,%,77.1
2013,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Gipuzkoa,%,74.5
2014,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Gipuzkoa,%,74.6
2012,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Gipuzkoa,%,74.2
2011,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Gipuzkoa,%,74.3
2016,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Gipuzkoa,%,75.0
2021,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Emakumea,Gipuzkoa,%,76.2
2018,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,,%,99.7
2013,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,,%,100.0
2020,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,,%,98.6
2021,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,,%,97.2
2014,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,,%,100.0
2016,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,,%,100.0
2015,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,,%,100.0
2023,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,,%,95.0
2011,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,,%,100.0
2012,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,,%,100.0
2017,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,,%,100.0
2024,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,,%,95.4
2022,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,,%,96.2
2019,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,,%,99.3
2010,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,,%,100.0
2018,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Araba / Álava,%,98.8
2011,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Araba / Álava,%,98.2
2010,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Araba / Álava,%,98.1
2015,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Araba / Álava,%,98.7
2012,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Araba / Álava,%,98.1
2016,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Araba / Álava,%,98.7
2019,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Araba / Álava,%,98.6
2014,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Araba / Álava,%,99.2
2017,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Araba / Álava,%,99.2
2013,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Araba / Álava,%,98.8
2021,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Araba / Álava,%,96.0
2024,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Araba / Álava,%,94.2
2023,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Araba / Álava,%,93.3
2020,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Araba / Álava,%,97.6
2022,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Araba / Álava,%,94.7
2012,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Bizkaia,%,100.0
2024,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Bizkaia,%,95.3
2022,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Bizkaia,%,96.0
2020,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Bizkaia,%,98.2
2018,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Bizkaia,%,99.5
2021,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Bizkaia,%,97.0
