Year,Series,Elikagai mota,Lurralde historikoa,Units,Value
2023,Elikagaien prezioen anomalien adierazlea,,Gipuzkoa,Indizea,1.9
2004,Elikagaien prezioen anomalien adierazlea,,Gipuzkoa,Indizea,0.3
2016,Elikagaien prezioen anomalien adierazlea,,Gipuzkoa,Indizea,-0.5
2011,Elikagaien prezioen anomalien adierazlea,,Gipuzkoa,Indizea,-0.4
2013,Elikagaien prezioen anomalien adierazlea,,Gipuzkoa,Indizea,-0.2
2009,Elikagaien prezioen anomalien adierazlea,,Gipuzkoa,Indizea,-1.0
2022,Elikagaien prezioen anomalien adierazlea,,Gipuzkoa,Indizea,2.6
2012,Elikagaien prezioen anomalien adierazlea,,Gipuzkoa,Indizea,0.0
2021,Elikagaien prezioen anomalien adierazlea,,Gipuzkoa,Indizea,-0.3
2008,Elikagaien prezioen anomalien adierazlea,,Gipuzkoa,Indizea,0.7
2007,Elikagaien prezioen anomalien adierazlea,,Gipuzkoa,Indizea,0.5
2005,Elikagaien prezioen anomalien adierazlea,,Gipuzkoa,Indizea,0.1
2006,Elikagaien prezioen anomalien adierazlea,,Gipuzkoa,Indizea,0.2
2014,Elikagaien prezioen anomalien adierazlea,,Gipuzkoa,Indizea,-0.9
2012,Elikagaien prezioen anomalien adierazlea,Ogia,,Indizea,-0.3
2004,Elikagaien prezioen anomalien adierazlea,Ogia,,Indizea,1.0
2020,Elikagaien prezioen anomalien adierazlea,Ogia,,Indizea,-0.3
2008,Elikagaien prezioen anomalien adierazlea,Ogia,,Indizea,0.9
2003,Elikagaien prezioen anomalien adierazlea,Ogia,,Indizea,0.8
2010,Elikagaien prezioen anomalien adierazlea,Ogia,,Indizea,-0.6
2024,Elikagaien prezioen anomalien adierazlea,Ogia,,Indizea,0.0
2014,Elikagaien prezioen anomalien adierazlea,Ogia,,Indizea,-0.8
2016,Elikagaien prezioen anomalien adierazlea,Ogia,,Indizea,-0.9
2009,Elikagaien prezioen anomalien adierazlea,Ogia,,Indizea,-0.6
2005,Elikagaien prezioen anomalien adierazlea,Ogia,,Indizea,0.6
2018,Elikagaien prezioen anomalien adierazlea,Ogia,,Indizea,-0.3
2015,Elikagaien prezioen anomalien adierazlea,Ogia,,Indizea,-0.7
2013,Elikagaien prezioen anomalien adierazlea,Ogia,,Indizea,-0.6
2019,Elikagaien prezioen anomalien adierazlea,Ogia,,Indizea,0.1
2006,Elikagaien prezioen anomalien adierazlea,Ogia,,Indizea,0.3
2022,Elikagaien prezioen anomalien adierazlea,Ogia,,Indizea,2.0
2023,Elikagaien prezioen anomalien adierazlea,Ogia,,Indizea,0.6
2021,Elikagaien prezioen anomalien adierazlea,Ogia,,Indizea,-0.9
2011,Elikagaien prezioen anomalien adierazlea,Ogia,,Indizea,-0.1
2017,Elikagaien prezioen anomalien adierazlea,Ogia,,Indizea,-1.0
2007,Elikagaien prezioen anomalien adierazlea,Ogia,,Indizea,1.3
2010,Elikagaien prezioen anomalien adierazlea,Zerealak eta deribatuak,,Indizea,-0.7
2003,Elikagaien prezioen anomalien adierazlea,Zerealak eta deribatuak,,Indizea,-0.4
2014,Elikagaien prezioen anomalien adierazlea,Zerealak eta deribatuak,,Indizea,-0.8
2007,Elikagaien prezioen anomalien adierazlea,Zerealak eta deribatuak,,Indizea,0.1
2004,Elikagaien prezioen anomalien adierazlea,Zerealak eta deribatuak,,Indizea,-0.2
2022,Elikagaien prezioen anomalien adierazlea,Zerealak eta deribatuak,,Indizea,2.6
2009,Elikagaien prezioen anomalien adierazlea,Zerealak eta deribatuak,,Indizea,-0.4
2011,Elikagaien prezioen anomalien adierazlea,Zerealak eta deribatuak,,Indizea,0.3
2020,Elikagaien prezioen anomalien adierazlea,Zerealak eta deribatuak,,Indizea,-0.3
2015,Elikagaien prezioen anomalien adierazlea,Zerealak eta deribatuak,,Indizea,-0.5
2021,Elikagaien prezioen anomalien adierazlea,Zerealak eta deribatuak,,Indizea,-0.1
2013,Elikagaien prezioen anomalien adierazlea,Zerealak eta deribatuak,,Indizea,-0.1
2016,Elikagaien prezioen anomalien adierazlea,Zerealak eta deribatuak,,Indizea,-0.2
2024,Elikagaien prezioen anomalien adierazlea,Zerealak eta deribatuak,,Indizea,0.0
2005,Elikagaien prezioen anomalien adierazlea,Zerealak eta deribatuak,,Indizea,-0.2
2018,Elikagaien prezioen anomalien adierazlea,Zerealak eta deribatuak,,Indizea,-0.2
2019,Elikagaien prezioen anomalien adierazlea,Zerealak eta deribatuak,,Indizea,-0.4
2012,Elikagaien prezioen anomalien adierazlea,Zerealak eta deribatuak,,Indizea,-0.1
2008,Elikagaien prezioen anomalien adierazlea,Zerealak eta deribatuak,,Indizea,1.2
2017,Elikagaien prezioen anomalien adierazlea,Zerealak eta deribatuak,,Indizea,-0.7
2006,Elikagaien prezioen anomalien adierazlea,Zerealak eta deribatuak,,Indizea,-0.1
2023,Elikagaien prezioen anomalien adierazlea,Zerealak eta deribatuak,,Indizea,1.6
2016,Elikagaien prezioen anomalien adierazlea,Arrautzak,,Indizea,-0.6
2020,Elikagaien prezioen anomalien adierazlea,Arrautzak,,Indizea,-0.4
2019,Elikagaien prezioen anomalien adierazlea,Arrautzak,,Indizea,-0.4
2017,Elikagaien prezioen anomalien adierazlea,Arrautzak,,Indizea,-0.5
2021,Elikagaien prezioen anomalien adierazlea,Arrautzak,,Indizea,-0.1
2015,Elikagaien prezioen anomalien adierazlea,Arrautzak,,Indizea,-0.5
2014,Elikagaien prezioen anomalien adierazlea,Arrautzak,,Indizea,-0.7
2022,Elikagaien prezioen anomalien adierazlea,Arrautzak,,Indizea,1.9
2024,Elikagaien prezioen anomalien adierazlea,Arrautzak,,Indizea,-0.3
2013,Elikagaien prezioen anomalien adierazlea,Arrautzak,,Indizea,0.1
2004,Elikagaien prezioen anomalien adierazlea,Arrautzak,,Indizea,0.6
2006,Elikagaien prezioen anomalien adierazlea,Arrautzak,,Indizea,-0.4
2003,Elikagaien prezioen anomalien adierazlea,Arrautzak,,Indizea,0.6
2018,Elikagaien prezioen anomalien adierazlea,Arrautzak,,Indizea,0.2
2007,Elikagaien prezioen anomalien adierazlea,Arrautzak,,Indizea,0.6
2011,Elikagaien prezioen anomalien adierazlea,Arrautzak,,Indizea,-0.3
2009,Elikagaien prezioen anomalien adierazlea,Arrautzak,,Indizea,-0.5
2012,Elikagaien prezioen anomalien adierazlea,Arrautzak,,Indizea,1.3
2010,Elikagaien prezioen anomalien adierazlea,Arrautzak,,Indizea,-0.6
2005,Elikagaien prezioen anomalien adierazlea,Arrautzak,,Indizea,-0.8
2008,Elikagaien prezioen anomalien adierazlea,Arrautzak,,Indizea,0.6
2023,Elikagaien prezioen anomalien adierazlea,Arrautzak,,Indizea,0.5
2016,Elikagaien prezioen anomalien adierazlea,Esnea,,Indizea,-0.7
2006,Elikagaien prezioen anomalien adierazlea,Esnea,,Indizea,0.1
2004,Elikagaien prezioen anomalien adierazlea,Esnea,,Indizea,0.2
2008,Elikagaien prezioen anomalien adierazlea,Esnea,,Indizea,0.8
2010,Elikagaien prezioen anomalien adierazlea,Esnea,,Indizea,-1.1
2003,Elikagaien prezioen anomalien adierazlea,Esnea,,Indizea,0.1
2007,Elikagaien prezioen anomalien adierazlea,Esnea,,Indizea,1.1
2014,Elikagaien prezioen anomalien adierazlea,Esnea,,Indizea,-0.2
2013,Elikagaien prezioen anomalien adierazlea,Esnea,,Indizea,-0.1
2020,Elikagaien prezioen anomalien adierazlea,Esnea,,Indizea,-0.2
2012,Elikagaien prezioen anomalien adierazlea,Esnea,,Indizea,0.0
2022,Elikagaien prezioen anomalien adierazlea,Esnea,,Indizea,2.1
2011,Elikagaien prezioen anomalien adierazlea,Esnea,,Indizea,-0.3
2021,Elikagaien prezioen anomalien adierazlea,Esnea,,Indizea,-0.1
2017,Elikagaien prezioen anomalien adierazlea,Esnea,,Indizea,-0.4
2024,Elikagaien prezioen anomalien adierazlea,Esnea,,Indizea,-0.4
2009,Elikagaien prezioen anomalien adierazlea,Esnea,,Indizea,-0.9
2023,Elikagaien prezioen anomalien adierazlea,Esnea,,Indizea,1.3
2019,Elikagaien prezioen anomalien adierazlea,Esnea,,Indizea,-0.2
2005,Elikagaien prezioen anomalien adierazlea,Esnea,,Indizea,0.0
2018,Elikagaien prezioen anomalien adierazlea,Esnea,,Indizea,-0.4
2015,Elikagaien prezioen anomalien adierazlea,Esnea,,Indizea,-0.5
2004,Elikagaien prezioen anomalien adierazlea,Olioak eta koipeak,,Indizea,0.4
2008,Elikagaien prezioen anomalien adierazlea,Olioak eta koipeak,,Indizea,-0.2
2022,Elikagaien prezioen anomalien adierazlea,Olioak eta koipeak,,Indizea,1.4
2017,Elikagaien prezioen anomalien adierazlea,Olioak eta koipeak,,Indizea,-0.2
2013,Elikagaien prezioen anomalien adierazlea,Olioak eta koipeak,,Indizea,0.4
2023,Elikagaien prezioen anomalien adierazlea,Olioak eta koipeak,,Indizea,1.3
2007,Elikagaien prezioen anomalien adierazlea,Olioak eta koipeak,,Indizea,-1.1
2019,Elikagaien prezioen anomalien adierazlea,Olioak eta koipeak,,Indizea,-1.0
2020,Elikagaien prezioen anomalien adierazlea,Olioak eta koipeak,,Indizea,-0.6
2016,Elikagaien prezioen anomalien adierazlea,Olioak eta koipeak,,Indizea,0.0
2011,Elikagaien prezioen anomalien adierazlea,Olioak eta koipeak,,Indizea,-0.3
2024,Elikagaien prezioen anomalien adierazlea,Olioak eta koipeak,,Indizea,0.9
2018,Elikagaien prezioen anomalien adierazlea,Olioak eta koipeak,,Indizea,-0.6
2012,Elikagaien prezioen anomalien adierazlea,Olioak eta koipeak,,Indizea,0.2
2015,Elikagaien prezioen anomalien adierazlea,Olioak eta koipeak,,Indizea,0.8
2005,Elikagaien prezioen anomalien adierazlea,Olioak eta koipeak,,Indizea,0.2
2003,Elikagaien prezioen anomalien adierazlea,Olioak eta koipeak,,Indizea,-0.2
2009,Elikagaien prezioen anomalien adierazlea,Olioak eta koipeak,,Indizea,-0.8
2010,Elikagaien prezioen anomalien adierazlea,Olioak eta koipeak,,Indizea,-0.6
2014,Elikagaien prezioen anomalien adierazlea,Olioak eta koipeak,,Indizea,-0.8
2006,Elikagaien prezioen anomalien adierazlea,Olioak eta koipeak,,Indizea,0.7
2021,Elikagaien prezioen anomalien adierazlea,Olioak eta koipeak,,Indizea,0.6
2020,Elikagaien prezioen anomalien adierazlea,Fruta freskoak,,Indizea,0.7
2012,Elikagaien prezioen anomalien adierazlea,Fruta freskoak,,Indizea,-0.1
2006,Elikagaien prezioen anomalien adierazlea,Fruta freskoak,,Indizea,-0.8
2010,Elikagaien prezioen anomalien adierazlea,Fruta freskoak,,Indizea,-0.7
2024,Elikagaien prezioen anomalien adierazlea,Fruta freskoak,,Indizea,0.1
2015,Elikagaien prezioen anomalien adierazlea,Fruta freskoak,,Indizea,-0.3
2003,Elikagaien prezioen anomalien adierazlea,Fruta freskoak,,Indizea,0.7
2021,Elikagaien prezioen anomalien adierazlea,Fruta freskoak,,Indizea,0.1
2013,Elikagaien prezioen anomalien adierazlea,Fruta freskoak,,Indizea,0.6
2009,Elikagaien prezioen anomalien adierazlea,Fruta freskoak,,Indizea,-0.4
2008,Elikagaien prezioen anomalien adierazlea,Fruta freskoak,,Indizea,0.6
2022,Elikagaien prezioen anomalien adierazlea,Fruta freskoak,,Indizea,0.7
2019,Elikagaien prezioen anomalien adierazlea,Fruta freskoak,,Indizea,-0.5
2011,Elikagaien prezioen anomalien adierazlea,Fruta freskoak,,Indizea,-0.4
2007,Elikagaien prezioen anomalien adierazlea,Fruta freskoak,,Indizea,-0.2
2018,Elikagaien prezioen anomalien adierazlea,Fruta freskoak,,Indizea,0.0
2005,Elikagaien prezioen anomalien adierazlea,Fruta freskoak,,Indizea,0.1
2016,Elikagaien prezioen anomalien adierazlea,Fruta freskoak,,Indizea,-0.2
2017,Elikagaien prezioen anomalien adierazlea,Fruta freskoak,,Indizea,0.4
2014,Elikagaien prezioen anomalien adierazlea,Fruta freskoak,,Indizea,-0.8
2004,Elikagaien prezioen anomalien adierazlea,Fruta freskoak,,Indizea,0.7
2023,Elikagaien prezioen anomalien adierazlea,Fruta freskoak,,Indizea,0.2
2019,Elikagaien prezioen anomalien adierazlea,Lekale eta barazki freskoak,,Indizea,0.1
2011,Elikagaien prezioen anomalien adierazlea,Lekale eta barazki freskoak,,Indizea,-0.7
2023,Elikagaien prezioen anomalien adierazlea,Lekale eta barazki freskoak,,Indizea,0.8
2021,Elikagaien prezioen anomalien adierazlea,Lekale eta barazki freskoak,,Indizea,-0.3
2005,Elikagaien prezioen anomalien adierazlea,Lekale eta barazki freskoak,,Indizea,0.3
2016,Elikagaien prezioen anomalien adierazlea,Lekale eta barazki freskoak,,Indizea,-0.4
2009,Elikagaien prezioen anomalien adierazlea,Lekale eta barazki freskoak,,Indizea,-0.1
2015,Elikagaien prezioen anomalien adierazlea,Lekale eta barazki freskoak,,Indizea,0.5
2020,Elikagaien prezioen anomalien adierazlea,Lekale eta barazki freskoak,,Indizea,0.1
2018,Elikagaien prezioen anomalien adierazlea,Lekale eta barazki freskoak,,Indizea,-0.3
2024,Elikagaien prezioen anomalien adierazlea,Lekale eta barazki freskoak,,Indizea,-0.3
2006,Elikagaien prezioen anomalien adierazlea,Lekale eta barazki freskoak,,Indizea,-0.3
2010,Elikagaien prezioen anomalien adierazlea,Lekale eta barazki freskoak,,Indizea,-0.4
2022,Elikagaien prezioen anomalien adierazlea,Lekale eta barazki freskoak,,Indizea,1.4
2007,Elikagaien prezioen anomalien adierazlea,Lekale eta barazki freskoak,,Indizea,0.2
2003,Elikagaien prezioen anomalien adierazlea,Lekale eta barazki freskoak,,Indizea,0.3
2014,Elikagaien prezioen anomalien adierazlea,Lekale eta barazki freskoak,,Indizea,-0.7
2017,Elikagaien prezioen anomalien adierazlea,Lekale eta barazki freskoak,,Indizea,0.7
2008,Elikagaien prezioen anomalien adierazlea,Lekale eta barazki freskoak,,Indizea,0.0
2012,Elikagaien prezioen anomalien adierazlea,Lekale eta barazki freskoak,,Indizea,-0.2
2004,Elikagaien prezioen anomalien adierazlea,Lekale eta barazki freskoak,,Indizea,0.0
2013,Elikagaien prezioen anomalien adierazlea,Lekale eta barazki freskoak,,Indizea,-0.3
2024,Elikagaien prezioaren indizea,,,Indizea,129.1
2019,Elikagaien prezioaren indizea,,,Indizea,95.6
2009,Elikagaien prezioaren indizea,,,Indizea,83.9
2012,Elikagaien prezioaren indizea,,,Indizea,87.3
2021,Elikagaien prezioaren indizea,,,Indizea,100.0
2016,Elikagaien prezioaren indizea,,,Indizea,92.1
2002,Elikagaien prezioaren indizea,,,Indizea,64.9
2004,Elikagaien prezioaren indizea,,,Indizea,70.6
2003,Elikagaien prezioaren indizea,,,Indizea,67.7
2018,Elikagaien prezioaren indizea,,,Indizea,94.7
2011,Elikagaien prezioaren indizea,,,Indizea,85.0
2020,Elikagaien prezioaren indizea,,,Indizea,98.2
2008,Elikagaien prezioaren indizea,,,Indizea,84.1
2023,Elikagaien prezioaren indizea,,,Indizea,123.7
2005,Elikagaien prezioaren indizea,,,Indizea,73.2
2010,Elikagaien prezioaren indizea,,,Indizea,83.3
2015,Elikagaien prezioaren indizea,,,Indizea,90.6
2017,Elikagaien prezioaren indizea,,,Indizea,93.3
2007,Elikagaien prezioaren indizea,,,Indizea,79.1
2013,Elikagaien prezioaren indizea,,,Indizea,89.9
2006,Elikagaien prezioaren indizea,,,Indizea,76.2
2022,Elikagaien prezioaren indizea,,,Indizea,111.4
2014,Elikagaien prezioaren indizea,,,Indizea,89.3
2009,Elikagaien prezioaren indizea,Ogia eta zerealak,,Indizea,92.7
2014,Elikagaien prezioaren indizea,Ogia eta zerealak,,Indizea,97.1
2019,Elikagaien prezioaren indizea,Ogia eta zerealak,,Indizea,98.4
2017,Elikagaien prezioaren indizea,Ogia eta zerealak,,Indizea,95.5
2020,Elikagaien prezioaren indizea,Ogia eta zerealak,,Indizea,99.9
2002,Elikagaien prezioaren indizea,Ogia eta zerealak,,Indizea,70.2
2004,Elikagaien prezioaren indizea,Ogia eta zerealak,,Indizea,75.3
2012,Elikagaien prezioaren indizea,Ogia eta zerealak,,Indizea,97.0
2010,Elikagaien prezioaren indizea,Ogia eta zerealak,,Indizea,92.2
2007,Elikagaien prezioaren indizea,Ogia eta zerealak,,Indizea,84.1
2022,Elikagaien prezioaren indizea,Ogia eta zerealak,,Indizea,113.9
2003,Elikagaien prezioaren indizea,Ogia eta zerealak,,Indizea,72.4
2018,Elikagaien prezioaren indizea,Ogia eta zerealak,,Indizea,96.9
2016,Elikagaien prezioaren indizea,Ogia eta zerealak,,Indizea,97.2
2021,Elikagaien prezioaren indizea,Ogia eta zerealak,,Indizea,100.0
2011,Elikagaien prezioaren indizea,Ogia eta zerealak,,Indizea,95.0
2008,Elikagaien prezioaren indizea,Ogia eta zerealak,,Indizea,91.9
2013,Elikagaien prezioaren indizea,Ogia eta zerealak,,Indizea,98.3
2006,Elikagaien prezioaren indizea,Ogia eta zerealak,,Indizea,80.4
2023,Elikagaien prezioaren indizea,Ogia eta zerealak,,Indizea,126.4
2024,Elikagaien prezioaren indizea,Ogia eta zerealak,,Indizea,129.5
2015,Elikagaien prezioaren indizea,Ogia eta zerealak,,Indizea,96.8
2005,Elikagaien prezioaren indizea,Ogia eta zerealak,,Indizea,78.0
