Year,Series,Diru-sarreren taldea,Lurralde historikoa,Units,Value
2018,Familiako biztanle bakoitzeko diru-sarreraren hazkunde-tasa,% 40 pobreena,,%,1.7
2020,Familiako biztanle bakoitzeko diru-sarreraren hazkunde-tasa,% 40 pobreena,,%,2.9
2016,Familiako biztanle bakoitzeko diru-sarreraren hazkunde-tasa,% 40 pobreena,,%,1.0
2014,Familiako biztanle bakoitzeko diru-sarreraren hazkunde-tasa,% 40 pobreena,,%,-1.7
2008,Familiako biztanle bakoitzeko diru-sarreraren hazkunde-tasa,% 40 pobreena,,%,4.8
2015,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,,%,0.3
2017,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,,%,0.6
2013,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,,%,-0.3
2020,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,,%,-1.3
2012,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,,%,0.1
2021,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,,%,-0.1
2022,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,,%,1.3
2019,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,,%,1.3
2022,Familiako biztanle bakoitzeko diru-sarreraren hazkunde-tasa,% 40 pobreena,,%,4.2
2011,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,,%,1.6
2018,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,,%,1.0
2014,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,,%,-0.2
2016,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,,%,-0.1
2014,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Araba / Álava,%,-3.3
2020,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Araba / Álava,%,-2.0
2016,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Araba / Álava,%,0.2
2011,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Araba / Álava,%,1.3
2021,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Araba / Álava,%,-0.1
2018,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Araba / Álava,%,1.6
2015,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Araba / Álava,%,-0.1
2013,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Araba / Álava,%,-2.3
2019,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Araba / Álava,%,-0.8
2012,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Araba / Álava,%,0.2
2022,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Araba / Álava,%,2.4
2017,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Araba / Álava,%,-0.6
2012,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Bizkaia,%,0.6
2011,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Bizkaia,%,1.5
2022,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Bizkaia,%,1.3
2021,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Bizkaia,%,-0.5
2020,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Bizkaia,%,-1.4
2019,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Bizkaia,%,1.6
2018,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Bizkaia,%,0.4
2017,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Bizkaia,%,-0.1
2016,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Bizkaia,%,-0.3
2015,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Bizkaia,%,0.9
2014,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Bizkaia,%,0.9
2013,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Bizkaia,%,-0.1
2012,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Gipuzkoa,%,-0.7
2011,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Gipuzkoa,%,1.9
2022,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Gipuzkoa,%,0.8
2021,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Gipuzkoa,%,0.2
2020,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Gipuzkoa,%,-0.5
2019,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Gipuzkoa,%,1.6
2018,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Gipuzkoa,%,1.5
2017,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Gipuzkoa,%,2.0
2016,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Gipuzkoa,%,0.7
2015,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Gipuzkoa,%,-0.8
2014,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Gipuzkoa,%,-0.9
2013,Familiako gastuaren hazkunde-tasa per capita,% 40 pobreena,Gipuzkoa,%,0.2
