Year,Sexua,Lurralde historikoa,Units,Value
2012,Gizona,Bizkaia,%,92.3
2011,Gizona,Bizkaia,%,91.8
2010,Gizona,Bizkaia,%,90.7
2009,Gizona,Bizkaia,%,87.9
2008,Gizona,Bizkaia,%,88.4
2008,Gizona,Gipuzkoa,%,85.7
2025,Gizona,Gipuzkoa,%,98.9
2024,Gizona,Gipuzkoa,%,97.8
2023,Gizona,Gipuzkoa,%,99.0
2022,Gizona,Gipuzkoa,%,97.6
2021,Gizona,Gipuzkoa,%,98.0
2020,Gizona,Gipuzkoa,%,96.4
2019,Gizona,Gipuzkoa,%,94.9
2018,Gizona,Gipuzkoa,%,94.4
2017,Gizona,Gipuzkoa,%,94.3
2016,Gizona,Gipuzkoa,%,94.6
2015,Gizona,Gipuzkoa,%,95.7
2014,Gizona,Gipuzkoa,%,91.7
2013,Gizona,Gipuzkoa,%,91.8
2011,Gizona,Gipuzkoa,%,89.7
2010,Gizona,Gipuzkoa,%,89.1
2009,Gizona,Gipuzkoa,%,87.5
2012,Gizona,Gipuzkoa,%,91.2
