Year,Okupazioa,Lurralde historikoa,Units,Value
2014,Goi-zuzendaritza,,%,27.2
2023,Goi-zuzendaritza,,%,29.5
2019,Goi-zuzendaritza,,%,31.4
2020,Goi-zuzendaritza,,%,29.8
2012,Goi-zuzendaritza,,%,25.7
2017,Goi-zuzendaritza,,%,32.3
2011,Goi-zuzendaritza,,%,28.1
2018,Goi-zuzendaritza,,%,31.9
2024,Goi-zuzendaritza,,%,30.0
2013,Goi-zuzendaritza,,%,30.6
2015,Goi-zuzendaritza,,%,29.5
2021,Goi-zuzendaritza,,%,28.6
2016,Goi-zuzendaritza,,%,30.2
2010,Goi-zuzendaritza,,%,32.5
2022,Goi-zuzendaritza,,%,27.7
2020,Goi-zuzendaritza,Araba / Álava,%,25.1
2017,Goi-zuzendaritza,Araba / Álava,%,38.7
2024,Goi-zuzendaritza,Araba / Álava,%,31.5
2015,Goi-zuzendaritza,Araba / Álava,%,25.5
2023,Goi-zuzendaritza,Araba / Álava,%,30.2
2022,Goi-zuzendaritza,Araba / Álava,%,24.6
2021,Goi-zuzendaritza,Araba / Álava,%,24.3
2018,Goi-zuzendaritza,Araba / Álava,%,42.3
2016,Goi-zuzendaritza,Araba / Álava,%,26.0
2013,Goi-zuzendaritza,Araba / Álava,%,20.1
2019,Goi-zuzendaritza,Araba / Álava,%,23.3
2011,Goi-zuzendaritza,Araba / Álava,%,29.6
2010,Goi-zuzendaritza,Araba / Álava,%,34.6
2012,Goi-zuzendaritza,Araba / Álava,%,11.7
2014,Goi-zuzendaritza,Araba / Álava,%,19.9
2023,Goi-zuzendaritza,Bizkaia,%,31.7
2024,Goi-zuzendaritza,Bizkaia,%,29.9
2021,Goi-zuzendaritza,Bizkaia,%,29.5
2020,Goi-zuzendaritza,Bizkaia,%,32.8
2019,Goi-zuzendaritza,Bizkaia,%,34.5
2013,Goi-zuzendaritza,Bizkaia,%,30.9
2018,Goi-zuzendaritza,Bizkaia,%,27.8
2017,Goi-zuzendaritza,Bizkaia,%,29.3
2015,Goi-zuzendaritza,Bizkaia,%,32.3
2012,Goi-zuzendaritza,Bizkaia,%,27.8
2010,Goi-zuzendaritza,Bizkaia,%,34.9
2014,Goi-zuzendaritza,Bizkaia,%,25.2
2022,Goi-zuzendaritza,Bizkaia,%,31.1
2011,Goi-zuzendaritza,Bizkaia,%,29.3
2016,Goi-zuzendaritza,Bizkaia,%,29.9
2024,Goi-zuzendaritza,Gipuzkoa,%,29.4
2022,Goi-zuzendaritza,Gipuzkoa,%,24.9
2017,Goi-zuzendaritza,Gipuzkoa,%,33.7
2018,Goi-zuzendaritza,Gipuzkoa,%,33.8
2019,Goi-zuzendaritza,Gipuzkoa,%,29.6
2015,Goi-zuzendaritza,Gipuzkoa,%,26.1
2014,Goi-zuzendaritza,Gipuzkoa,%,32.4
2011,Goi-zuzendaritza,Gipuzkoa,%,25.4
2012,Goi-zuzendaritza,Gipuzkoa,%,27.0
2010,Goi-zuzendaritza,Gipuzkoa,%,28.4
2013,Goi-zuzendaritza,Gipuzkoa,%,33.8
2016,Goi-zuzendaritza,Gipuzkoa,%,33.2
2020,Goi-zuzendaritza,Gipuzkoa,%,26.9
2021,Goi-zuzendaritza,Gipuzkoa,%,29.1
2023,Goi-zuzendaritza,Gipuzkoa,%,26.2
2011,Enpresaria,,%,34.5
2019,Enpresaria,,%,35.1
2020,Enpresaria,,%,34.4
2014,Enpresaria,,%,35.2
2024,Enpresaria,,%,37.2
2021,Enpresaria,,%,33.5
2017,Enpresaria,,%,34.5
2015,Enpresaria,,%,33.7
2023,Enpresaria,,%,35.1
2016,Enpresaria,,%,34.7
2012,Enpresaria,,%,36.0
2022,Enpresaria,,%,33.1
2010,Enpresaria,,%,32.6
2018,Enpresaria,,%,35.4
2013,Enpresaria,,%,34.7
2020,Enpresaria,Araba / Álava,%,30.9
2019,Enpresaria,Araba / Álava,%,34.6
2018,Enpresaria,Araba / Álava,%,36.0
2011,Enpresaria,Araba / Álava,%,31.8
2015,Enpresaria,Araba / Álava,%,36.7
2013,Enpresaria,Araba / Álava,%,31.8
2017,Enpresaria,Araba / Álava,%,32.8
2024,Enpresaria,Araba / Álava,%,27.3
2022,Enpresaria,Araba / Álava,%,30.7
2016,Enpresaria,Araba / Álava,%,34.9
2010,Enpresaria,Araba / Álava,%,35.2
2012,Enpresaria,Araba / Álava,%,33.6
2014,Enpresaria,Araba / Álava,%,33.3
2021,Enpresaria,Araba / Álava,%,31.3
2023,Enpresaria,Araba / Álava,%,27.7
2015,Enpresaria,Bizkaia,%,33.0
2024,Enpresaria,Bizkaia,%,37.7
2023,Enpresaria,Bizkaia,%,37.0
2022,Enpresaria,Bizkaia,%,34.6
2021,Enpresaria,Bizkaia,%,33.5
2020,Enpresaria,Bizkaia,%,35.8
2019,Enpresaria,Bizkaia,%,34.9
2017,Enpresaria,Bizkaia,%,33.8
2016,Enpresaria,Bizkaia,%,34.0
2014,Enpresaria,Bizkaia,%,34.9
2013,Enpresaria,Bizkaia,%,35.7
2012,Enpresaria,Bizkaia,%,36.9
2011,Enpresaria,Bizkaia,%,36.6
2018,Enpresaria,Bizkaia,%,35.0
2010,Enpresaria,Bizkaia,%,33.5
2022,Enpresaria,Gipuzkoa,%,32.0
2021,Enpresaria,Gipuzkoa,%,34.3
2019,Enpresaria,Gipuzkoa,%,35.6
2018,Enpresaria,Gipuzkoa,%,35.7
2024,Enpresaria,Gipuzkoa,%,40.0
2017,Enpresaria,Gipuzkoa,%,36.2
2013,Enpresaria,Gipuzkoa,%,34.5
2016,Enpresaria,Gipuzkoa,%,35.6
2012,Enpresaria,Gipuzkoa,%,35.6
2010,Enpresaria,Gipuzkoa,%,30.5
2011,Enpresaria,Gipuzkoa,%,32.6
2020,Enpresaria,Gipuzkoa,%,33.4
2014,Enpresaria,Gipuzkoa,%,36.4
2015,Enpresaria,Gipuzkoa,%,33.2
2023,Enpresaria,Gipuzkoa,%,35.3
