Year,Sexua,Lurralde historikoa,Units,Value
2013,Gizona,Araba / Álava,100.000 biztanleko,11.3
2011,Gizona,Araba / Álava,100.000 biztanleko,9.4
2024,Gizona,Bizkaia,100.000 biztanleko,12.5
2023,Gizona,Bizkaia,100.000 biztanleko,7.4
2022,Gizona,Bizkaia,100.000 biztanleko,11.8
2021,Gizona,Bizkaia,100.000 biztanleko,8.7
2014,Gizona,Bizkaia,100.000 biztanleko,12.9
2020,Gizona,Bizkaia,100.000 biztanleko,14.1
2016,Gizona,Bizkaia,100.000 biztanleko,11.3
2019,Gizona,Bizkaia,100.000 biztanleko,10.0
2018,Gizona,Bizkaia,100.000 biztanleko,11.7
2017,Gizona,Bizkaia,100.000 biztanleko,13.5
2015,Gizona,Bizkaia,100.000 biztanleko,13.3
2013,Gizona,Bizkaia,100.000 biztanleko,11.9
2012,Gizona,Bizkaia,100.000 biztanleko,11.3
2011,Gizona,Bizkaia,100.000 biztanleko,11.3
2010,Gizona,Bizkaia,100.000 biztanleko,8.4
2018,Gizona,Gipuzkoa,100.000 biztanleko,9.7
2017,Gizona,Gipuzkoa,100.000 biztanleko,13.5
2016,Gizona,Gipuzkoa,100.000 biztanleko,14.9
2015,Gizona,Gipuzkoa,100.000 biztanleko,11.5
2011,Gizona,Gipuzkoa,100.000 biztanleko,13.0
2014,Gizona,Gipuzkoa,100.000 biztanleko,10.4
2013,Gizona,Gipuzkoa,100.000 biztanleko,12.7
2012,Gizona,Gipuzkoa,100.000 biztanleko,15.3
2010,Gizona,Gipuzkoa,100.000 biztanleko,10.2
2024,Gizona,Gipuzkoa,100.000 biztanleko,9.9
2023,Gizona,Gipuzkoa,100.000 biztanleko,13.1
2022,Gizona,Gipuzkoa,100.000 biztanleko,10.3
2021,Gizona,Gipuzkoa,100.000 biztanleko,11.4
2020,Gizona,Gipuzkoa,100.000 biztanleko,11.7
2019,Gizona,Gipuzkoa,100.000 biztanleko,11.7
