Year,Sexua,Lurralde historikoa,Units,Value
2018,Emakumea,Araba / Álava,100.000 biztanleko,1.2
2023,Emakumea,Bizkaia,100.000 biztanleko,0.8
2024,Emakumea,Bizkaia,100.000 biztanleko,0.8
2021,Emakumea,Bizkaia,100.000 biztanleko,0.8
2020,Emakumea,Bizkaia,100.000 biztanleko,2.2
2017,Emakumea,Bizkaia,100.000 biztanleko,1.5
2019,Emakumea,Bizkaia,100.000 biztanleko,0.8
2018,Emakumea,Bizkaia,100.000 biztanleko,1.4
2015,Emakumea,Bizkaia,100.000 biztanleko,1.5
2013,Emakumea,Bizkaia,100.000 biztanleko,1.3
2012,Emakumea,Bizkaia,100.000 biztanleko,1.8
2011,Emakumea,Bizkaia,100.000 biztanleko,1.8
2014,Emakumea,Bizkaia,100.000 biztanleko,1.0
2010,Emakumea,Bizkaia,100.000 biztanleko,1.7
2022,Emakumea,Bizkaia,100.000 biztanleko,1.7
2016,Emakumea,Bizkaia,100.000 biztanleko,1.7
2023,Emakumea,Gipuzkoa,100.000 biztanleko,1.1
2022,Emakumea,Gipuzkoa,100.000 biztanleko,1.4
2021,Emakumea,Gipuzkoa,100.000 biztanleko,0.5
2020,Emakumea,Gipuzkoa,100.000 biztanleko,0.8
2019,Emakumea,Gipuzkoa,100.000 biztanleko,1.1
2018,Emakumea,Gipuzkoa,100.000 biztanleko,1.6
2017,Emakumea,Gipuzkoa,100.000 biztanleko,1.6
2016,Emakumea,Gipuzkoa,100.000 biztanleko,1.4
2010,Emakumea,Gipuzkoa,100.000 biztanleko,1.4
2015,Emakumea,Gipuzkoa,100.000 biztanleko,1.4
2014,Emakumea,Gipuzkoa,100.000 biztanleko,1.4
2013,Emakumea,Gipuzkoa,100.000 biztanleko,1.4
2012,Emakumea,Gipuzkoa,100.000 biztanleko,1.7
2011,Emakumea,Gipuzkoa,100.000 biztanleko,2.5
2024,Emakumea,Gipuzkoa,100.000 biztanleko,3.0
2012,Gizona,,100.000 biztanleko,6.2
2015,Gizona,,100.000 biztanleko,5.6
2022,Gizona,,100.000 biztanleko,6.0
2020,Gizona,,100.000 biztanleko,3.9
2013,Gizona,,100.000 biztanleko,6.0
2021,Gizona,,100.000 biztanleko,4.9
2016,Gizona,,100.000 biztanleko,6.3
2018,Gizona,,100.000 biztanleko,4.3
2019,Gizona,,100.000 biztanleko,5.4
2011,Gizona,,100.000 biztanleko,5.6
2014,Gizona,,100.000 biztanleko,4.2
2023,Gizona,,100.000 biztanleko,5.2
2024,Gizona,,100.000 biztanleko,3.9
2017,Gizona,,100.000 biztanleko,4.5
2010,Gizona,,100.000 biztanleko,6.6
2024,Gizona,Araba / Álava,100.000 biztanleko,4.9
2016,Gizona,Araba / Álava,100.000 biztanleko,4.4
2019,Gizona,Araba / Álava,100.000 biztanleko,8.7
2023,Gizona,Araba / Álava,100.000 biztanleko,3.1
2022,Gizona,Araba / Álava,100.000 biztanleko,6.1
2012,Gizona,Araba / Álava,100.000 biztanleko,6.3
2015,Gizona,Araba / Álava,100.000 biztanleko,3.1
2021,Gizona,Araba / Álava,100.000 biztanleko,2.5
2020,Gizona,Araba / Álava,100.000 biztanleko,2.5
2010,Gizona,Araba / Álava,100.000 biztanleko,4.4
2017,Gizona,Araba / Álava,100.000 biztanleko,3.8
2014,Gizona,Araba / Álava,100.000 biztanleko,6.3
2018,Gizona,Araba / Álava,100.000 biztanleko,5.6
2013,Gizona,Araba / Álava,100.000 biztanleko,6.3
2011,Gizona,Araba / Álava,100.000 biztanleko,3.8
2024,Gizona,Bizkaia,100.000 biztanleko,3.1
2023,Gizona,Bizkaia,100.000 biztanleko,3.6
2022,Gizona,Bizkaia,100.000 biztanleko,5.3
2021,Gizona,Bizkaia,100.000 biztanleko,5.5
2014,Gizona,Bizkaia,100.000 biztanleko,3.8
2020,Gizona,Bizkaia,100.000 biztanleko,3.6
2016,Gizona,Bizkaia,100.000 biztanleko,6.7
2019,Gizona,Bizkaia,100.000 biztanleko,5.3
2018,Gizona,Bizkaia,100.000 biztanleko,3.8
2017,Gizona,Bizkaia,100.000 biztanleko,2.4
2015,Gizona,Bizkaia,100.000 biztanleko,3.8
2013,Gizona,Bizkaia,100.000 biztanleko,5.2
2012,Gizona,Bizkaia,100.000 biztanleko,7.2
2011,Gizona,Bizkaia,100.000 biztanleko,5.6
2010,Gizona,Bizkaia,100.000 biztanleko,6.6
2018,Gizona,Gipuzkoa,100.000 biztanleko,4.6
2017,Gizona,Gipuzkoa,100.000 biztanleko,8.3
2016,Gizona,Gipuzkoa,100.000 biztanleko,6.6
2015,Gizona,Gipuzkoa,100.000 biztanleko,9.5
2011,Gizona,Gipuzkoa,100.000 biztanleko,6.4
2014,Gizona,Gipuzkoa,100.000 biztanleko,3.7
2013,Gizona,Gipuzkoa,100.000 biztanleko,7.2
2012,Gizona,Gipuzkoa,100.000 biztanleko,4.6
2010,Gizona,Gipuzkoa,100.000 biztanleko,7.6
2024,Gizona,Gipuzkoa,100.000 biztanleko,4.8
2023,Gizona,Gipuzkoa,100.000 biztanleko,8.5
2022,Gizona,Gipuzkoa,100.000 biztanleko,7.1
2021,Gizona,Gipuzkoa,100.000 biztanleko,5.1
2020,Gizona,Gipuzkoa,100.000 biztanleko,5.1
2019,Gizona,Gipuzkoa,100.000 biztanleko,4.0
