Year,Series,Lurralde historikoa,Units,Value
2013,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Araba / Álava,Milioi biztanleko,4682.2
2017,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Araba / Álava,Milioi biztanleko,5233.3
2020,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Araba / Álava,Milioi biztanleko,4863.1
2022,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Araba / Álava,Milioi biztanleko,5091.9
2010,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Araba / Álava,Milioi biztanleko,3631.3
2011,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Araba / Álava,Milioi biztanleko,3879.2
2016,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Araba / Álava,Milioi biztanleko,4651.0
2019,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Araba / Álava,Milioi biztanleko,4782.0
2016,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Bizkaia,Milioi biztanleko,4889.7
2022,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Bizkaia,Milioi biztanleko,6287.9
2010,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Bizkaia,Milioi biztanleko,4751.5
2013,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Bizkaia,Milioi biztanleko,5116.9
2019,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Bizkaia,Milioi biztanleko,5507.4
2017,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Bizkaia,Milioi biztanleko,4989.5
2015,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Bizkaia,Milioi biztanleko,5109.1
2014,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Bizkaia,Milioi biztanleko,5167.9
2018,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Bizkaia,Milioi biztanleko,5230.3
2021,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Bizkaia,Milioi biztanleko,5837.9
2020,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Bizkaia,Milioi biztanleko,5535.1
2012,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Bizkaia,Milioi biztanleko,5045.7
2011,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Bizkaia,Milioi biztanleko,4782.9
2016,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Gipuzkoa,Milioi biztanleko,6805.1
2020,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Gipuzkoa,Milioi biztanleko,7887.6
2012,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Gipuzkoa,Milioi biztanleko,6543.7
2013,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Gipuzkoa,Milioi biztanleko,6478.7
2011,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Gipuzkoa,Milioi biztanleko,6424.6
2015,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Gipuzkoa,Milioi biztanleko,6633.7
2018,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Gipuzkoa,Milioi biztanleko,7658.9
2017,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Gipuzkoa,Milioi biztanleko,7317.1
2019,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Gipuzkoa,Milioi biztanleko,7839.7
2010,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Gipuzkoa,Milioi biztanleko,6331.9
2022,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Gipuzkoa,Milioi biztanleko,8859.8
2021,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Gipuzkoa,Milioi biztanleko,8478.4
2014,Ikertzaileen kopurua (lanaldi osoaren baliokidean) milioi bat biztanleko,Gipuzkoa,Milioi biztanleko,6547.1
