Year,Erakundea,Lurralde historikoa,Units,Value
2022,Foru-gobernuetako sailburuak,,%,51.7
2019,Foru-gobernuetako sailburuak,,%,55.2
2012,Foru-gobernuetako sailburuak,,%,42.3
2014,Foru-gobernuetako sailburuak,,%,42.3
2010,Foru-gobernuetako sailburuak,,%,36.4
2018,Foru-gobernuetako sailburuak,Araba / Álava,%,50.0
2022,Foru-gobernuetako sailburuak,Araba / Álava,%,55.6
2021,Foru-gobernuetako sailburuak,Araba / Álava,%,66.7
2019,Foru-gobernuetako sailburuak,Araba / Álava,%,66.7
2016,Foru-gobernuetako sailburuak,Araba / Álava,%,50.0
2017,Foru-gobernuetako sailburuak,Araba / Álava,%,50.0
2015,Foru-gobernuetako sailburuak,Araba / Álava,%,50.0
2013,Foru-gobernuetako sailburuak,Araba / Álava,%,50.0
2010,Foru-gobernuetako sailburuak,Araba / Álava,%,40.0
2014,Foru-gobernuetako sailburuak,Araba / Álava,%,50.0
2012,Foru-gobernuetako sailburuak,Araba / Álava,%,50.0
2020,Foru-gobernuetako sailburuak,Araba / Álava,%,66.7
2011,Foru-gobernuetako sailburuak,Araba / Álava,%,50.0
2017,Foru-gobernuetako sailburuak,Bizkaia,%,55.6
2014,Foru-gobernuetako sailburuak,Bizkaia,%,40.0
2018,Foru-gobernuetako sailburuak,Bizkaia,%,55.6
2012,Foru-gobernuetako sailburuak,Bizkaia,%,40.0
2020,Foru-gobernuetako sailburuak,Bizkaia,%,50.0
2021,Foru-gobernuetako sailburuak,Bizkaia,%,50.0
2019,Foru-gobernuetako sailburuak,Bizkaia,%,50.0
2016,Foru-gobernuetako sailburuak,Bizkaia,%,55.6
2015,Foru-gobernuetako sailburuak,Bizkaia,%,55.6
2013,Foru-gobernuetako sailburuak,Bizkaia,%,40.0
2010,Foru-gobernuetako sailburuak,Bizkaia,%,33.3
2022,Foru-gobernuetako sailburuak,Bizkaia,%,50.0
2011,Foru-gobernuetako sailburuak,Bizkaia,%,40.0
2021,Foru-gobernuetako sailburuak,Gipuzkoa,%,50.0
2019,Foru-gobernuetako sailburuak,Gipuzkoa,%,50.0
2017,Foru-gobernuetako sailburuak,Gipuzkoa,%,44.4
2011,Foru-gobernuetako sailburuak,Gipuzkoa,%,37.5
2010,Foru-gobernuetako sailburuak,Gipuzkoa,%,36.4
2014,Foru-gobernuetako sailburuak,Gipuzkoa,%,37.5
2015,Foru-gobernuetako sailburuak,Gipuzkoa,%,44.4
2018,Foru-gobernuetako sailburuak,Gipuzkoa,%,44.4
2012,Foru-gobernuetako sailburuak,Gipuzkoa,%,37.5
2016,Foru-gobernuetako sailburuak,Gipuzkoa,%,44.4
2013,Foru-gobernuetako sailburuak,Gipuzkoa,%,37.5
2020,Foru-gobernuetako sailburuak,Gipuzkoa,%,50.0
2022,Foru-gobernuetako sailburuak,Gipuzkoa,%,50.0
2010,Batzar Nagusietako hautetsiak,,%,41.2
2021,Batzar Nagusietako hautetsiak,,%,54.2
2015,Batzar Nagusietako hautetsiak,,%,48.1
2020,Batzar Nagusietako hautetsiak,,%,54.2
2017,Batzar Nagusietako hautetsiak,,%,48.1
2018,Batzar Nagusietako hautetsiak,,%,48.1
2012,Batzar Nagusietako hautetsiak,,%,48.4
2022,Batzar Nagusietako hautetsiak,,%,54.2
2019,Batzar Nagusietako hautetsiak,,%,54.2
2016,Batzar Nagusietako hautetsiak,,%,48.1
2011,Batzar Nagusietako hautetsiak,,%,48.4
2013,Batzar Nagusietako hautetsiak,,%,48.4
2014,Batzar Nagusietako hautetsiak,,%,48.4
2010,Batzar Nagusietako hautetsiak,Araba / Álava,%,41.2
2014,Batzar Nagusietako hautetsiak,Araba / Álava,%,51.0
2012,Batzar Nagusietako hautetsiak,Araba / Álava,%,51.0
2020,Batzar Nagusietako hautetsiak,Araba / Álava,%,56.9
2022,Batzar Nagusietako hautetsiak,Araba / Álava,%,56.9
2021,Batzar Nagusietako hautetsiak,Araba / Álava,%,56.9
2019,Batzar Nagusietako hautetsiak,Araba / Álava,%,56.9
2018,Batzar Nagusietako hautetsiak,Araba / Álava,%,45.1
2017,Batzar Nagusietako hautetsiak,Araba / Álava,%,45.1
2016,Batzar Nagusietako hautetsiak,Araba / Álava,%,45.1
2015,Batzar Nagusietako hautetsiak,Araba / Álava,%,45.1
2013,Batzar Nagusietako hautetsiak,Araba / Álava,%,51.0
2011,Batzar Nagusietako hautetsiak,Araba / Álava,%,51.0
2022,Batzar Nagusietako hautetsiak,Bizkaia,%,51.0
2021,Batzar Nagusietako hautetsiak,Bizkaia,%,51.0
2019,Batzar Nagusietako hautetsiak,Bizkaia,%,51.0
2018,Batzar Nagusietako hautetsiak,Bizkaia,%,49.0
2017,Batzar Nagusietako hautetsiak,Bizkaia,%,49.0
2015,Batzar Nagusietako hautetsiak,Bizkaia,%,49.0
2014,Batzar Nagusietako hautetsiak,Bizkaia,%,45.1
2013,Batzar Nagusietako hautetsiak,Bizkaia,%,45.1
2012,Batzar Nagusietako hautetsiak,Bizkaia,%,45.1
2011,Batzar Nagusietako hautetsiak,Bizkaia,%,45.1
2010,Batzar Nagusietako hautetsiak,Bizkaia,%,39.2
2020,Batzar Nagusietako hautetsiak,Bizkaia,%,51.0
2016,Batzar Nagusietako hautetsiak,Bizkaia,%,49.0
2010,Batzar Nagusietako hautetsiak,Gipuzkoa,%,43.1
2011,Batzar Nagusietako hautetsiak,Gipuzkoa,%,49.0
2013,Batzar Nagusietako hautetsiak,Gipuzkoa,%,49.0
2017,Batzar Nagusietako hautetsiak,Gipuzkoa,%,50.0
2019,Batzar Nagusietako hautetsiak,Gipuzkoa,%,54.9
2022,Batzar Nagusietako hautetsiak,Gipuzkoa,%,54.9
2018,Batzar Nagusietako hautetsiak,Gipuzkoa,%,50.0
2020,Batzar Nagusietako hautetsiak,Gipuzkoa,%,54.9
2021,Batzar Nagusietako hautetsiak,Gipuzkoa,%,54.9
2016,Batzar Nagusietako hautetsiak,Gipuzkoa,%,50.0
2015,Batzar Nagusietako hautetsiak,Gipuzkoa,%,50.0
2014,Batzar Nagusietako hautetsiak,Gipuzkoa,%,49.0
2012,Batzar Nagusietako hautetsiak,Gipuzkoa,%,49.0
2013,Alkatetzak,,%,22.3
2022,Alkatetzak,,%,30.3
2014,Alkatetzak,,%,23.1
2017,Alkatetzak,,%,25.2
2011,Alkatetzak,,%,22.0
2023,Alkatetzak,,%,33.1
2012,Alkatetzak,,%,22.0
2024,Alkatetzak,,%,34.3
2019,Alkatetzak,,%,29.2
2015,Alkatetzak,,%,25.2
2010,Alkatetzak,,%,19.9
2021,Alkatetzak,,%,30.3
2018,Alkatetzak,,%,25.2
2016,Alkatetzak,,%,25.2
2020,Alkatetzak,,%,29.2
2020,Zinegotziak,,%,47.8
2024,Zinegotziak,,%,46.5
2022,Zinegotziak,,%,47.5
2016,Zinegotziak,,%,41.4
2017,Zinegotziak,,%,41.4
2010,Zinegotziak,,%,27.8
2015,Zinegotziak,,%,41.4
2011,Zinegotziak,,%,40.4
2012,Zinegotziak,,%,40.4
2021,Zinegotziak,,%,47.5
2018,Zinegotziak,,%,41.4
2013,Zinegotziak,,%,40.5
2023,Zinegotziak,,%,48.3
2019,Zinegotziak,,%,47.8
2014,Zinegotziak,,%,40.3
