Year,Series,Grupo de ingresos,Territorio histórico,Units,Value
2020,Tasa de crecimiento del gasto familiar per cápita,,Araba/Álava,Porcentaje,-1.9
2016,Tasa de crecimiento del gasto familiar per cápita,,Araba/Álava,Porcentaje,1.0
2022,Tasa de crecimiento del gasto familiar per cápita,,Bizkaia,Porcentaje,1.0
2016,Tasa de crecimiento del gasto familiar per cápita,,Bizkaia,Porcentaje,0.1
2020,Tasa de crecimiento del gasto familiar per cápita,,Bizkaia,Porcentaje,-1.5
2021,Tasa de crecimiento del gasto familiar per cápita,,Bizkaia,Porcentaje,-0.5
2011,Tasa de crecimiento del gasto familiar per cápita,,Bizkaia,Porcentaje,1.9
2017,Tasa de crecimiento del gasto familiar per cápita,,Bizkaia,Porcentaje,0.3
2014,Tasa de crecimiento del gasto familiar per cápita,,Bizkaia,Porcentaje,1.0
2012,Tasa de crecimiento del gasto familiar per cápita,,Bizkaia,Porcentaje,0.5
2015,Tasa de crecimiento del gasto familiar per cápita,,Bizkaia,Porcentaje,0.3
2018,Tasa de crecimiento del gasto familiar per cápita,,Bizkaia,Porcentaje,1.0
2013,Tasa de crecimiento del gasto familiar per cápita,,Bizkaia,Porcentaje,-0.2
2019,Tasa de crecimiento del gasto familiar per cápita,,Bizkaia,Porcentaje,1.5
2019,Tasa de crecimiento del gasto familiar per cápita,,Gipuzkoa,Porcentaje,2.5
2016,Tasa de crecimiento del gasto familiar per cápita,,Gipuzkoa,Porcentaje,1.2
2015,Tasa de crecimiento del gasto familiar per cápita,,Gipuzkoa,Porcentaje,1.0
2022,Tasa de crecimiento del gasto familiar per cápita,,Gipuzkoa,Porcentaje,1.2
2013,Tasa de crecimiento del gasto familiar per cápita,,Gipuzkoa,Porcentaje,1.0
2021,Tasa de crecimiento del gasto familiar per cápita,,Gipuzkoa,Porcentaje,-0.3
2012,Tasa de crecimiento del gasto familiar per cápita,,Gipuzkoa,Porcentaje,0.7
2017,Tasa de crecimiento del gasto familiar per cápita,,Gipuzkoa,Porcentaje,1.9
2018,Tasa de crecimiento del gasto familiar per cápita,,Gipuzkoa,Porcentaje,1.5
2011,Tasa de crecimiento del gasto familiar per cápita,,Gipuzkoa,Porcentaje,2.0
2014,Tasa de crecimiento del gasto familiar per cápita,,Gipuzkoa,Porcentaje,-0.4
2020,Tasa de crecimiento del gasto familiar per cápita,,Gipuzkoa,Porcentaje,-0.1
2012,Tasa de crecimiento del ingreso familiar per cápita,El 40 % más pobre,,Porcentaje,-0.7
2018,Tasa de crecimiento del ingreso familiar per cápita,El 40 % más pobre,,Porcentaje,1.7
2020,Tasa de crecimiento del ingreso familiar per cápita,El 40 % más pobre,,Porcentaje,2.9
2016,Tasa de crecimiento del ingreso familiar per cápita,El 40 % más pobre,,Porcentaje,1.0
2014,Tasa de crecimiento del ingreso familiar per cápita,El 40 % más pobre,,Porcentaje,-1.7
2008,Tasa de crecimiento del ingreso familiar per cápita,El 40 % más pobre,,Porcentaje,4.8
2015,Tasa de crecimiento del gasto familiar per cápita,El 40 % más pobre,,Porcentaje,0.3
2017,Tasa de crecimiento del gasto familiar per cápita,El 40 % más pobre,,Porcentaje,0.6
2013,Tasa de crecimiento del gasto familiar per cápita,El 40 % más pobre,,Porcentaje,-0.3
2020,Tasa de crecimiento del gasto familiar per cápita,El 40 % más pobre,,Porcentaje,-1.3
2012,Tasa de crecimiento del gasto familiar per cápita,El 40 % más pobre,,Porcentaje,0.1
2021,Tasa de crecimiento del gasto familiar per cápita,El 40 % más pobre,,Porcentaje,-0.1
2022,Tasa de crecimiento del gasto familiar per cápita,El 40 % más pobre,,Porcentaje,1.3
2019,Tasa de crecimiento del gasto familiar per cápita,El 40 % más pobre,,Porcentaje,1.3
2022,Tasa de crecimiento del ingreso familiar per cápita,El 40 % más pobre,,Porcentaje,4.2
2011,Tasa de crecimiento del gasto familiar per cápita,El 40 % más pobre,,Porcentaje,1.6
2018,Tasa de crecimiento del gasto familiar per cápita,El 40 % más pobre,,Porcentaje,1.0
2014,Tasa de crecimiento del gasto familiar per cápita,El 40 % más pobre,,Porcentaje,-0.2
2016,Tasa de crecimiento del gasto familiar per cápita,El 40 % más pobre,,Porcentaje,-0.1
2014,Tasa de crecimiento del gasto familiar per cápita,El 40 % más pobre,Araba/Álava,Porcentaje,-3.3
2020,Tasa de crecimiento del gasto familiar per cápita,El 40 % más pobre,Araba/Álava,Porcentaje,-2.0
2016,Tasa de crecimiento del gasto familiar per cápita,El 40 % más pobre,Araba/Álava,Porcentaje,0.2
2011,Tasa de crecimiento del gasto familiar per cápita,El 40 % más pobre,Araba/Álava,Porcentaje,1.3
2021,Tasa de crecimiento del gasto familiar per cápita,El 40 % más pobre,Araba/Álava,Porcentaje,-0.1
2018,Tasa de crecimiento del gasto familiar per cápita,El 40 % más pobre,Araba/Álava,Porcentaje,1.6
2015,Tasa de crecimiento del gasto familiar per cápita,El 40 % más pobre,Araba/Álava,Porcentaje,-0.1
2013,Tasa de crecimiento del gasto familiar per cápita,El 40 % más pobre,Araba/Álava,Porcentaje,-2.3
2019,Tasa de crecimiento del gasto familiar per cápita,El 40 % más pobre,Araba/Álava,Porcentaje,-0.8
2012,Tasa de crecimiento del gasto familiar per cápita,El 40 % más pobre,Araba/Álava,Porcentaje,0.2
2022,Tasa de crecimiento del gasto familiar per cápita,El 40 % más pobre,Araba/Álava,Porcentaje,2.4
2017,Tasa de crecimiento del gasto familiar per cápita,El 40 % más pobre,Araba/Álava,Porcentaje,-0.6
2012,Tasa de crecimiento del gasto familiar per cápita,El 40 % más pobre,Bizkaia,Porcentaje,0.6
2011,Tasa de crecimiento del gasto familiar per cápita,El 40 % más pobre,Bizkaia,Porcentaje,1.5
2022,Tasa de crecimiento del gasto familiar per cápita,El 40 % más pobre,Bizkaia,Porcentaje,1.3
2021,Tasa de crecimiento del gasto familiar per cápita,El 40 % más pobre,Bizkaia,Porcentaje,-0.5
2020,Tasa de crecimiento del gasto familiar per cápita,El 40 % más pobre,Bizkaia,Porcentaje,-1.4
2019,Tasa de crecimiento del gasto familiar per cápita,El 40 % más pobre,Bizkaia,Porcentaje,1.6
2018,Tasa de crecimiento del gasto familiar per cápita,El 40 % más pobre,Bizkaia,Porcentaje,0.4
2017,Tasa de crecimiento del gasto familiar per cápita,El 40 % más pobre,Bizkaia,Porcentaje,-0.1
2016,Tasa de crecimiento del gasto familiar per cápita,El 40 % más pobre,Bizkaia,Porcentaje,-0.3
2015,Tasa de crecimiento del gasto familiar per cápita,El 40 % más pobre,Bizkaia,Porcentaje,0.9
2014,Tasa de crecimiento del gasto familiar per cápita,El 40 % más pobre,Bizkaia,Porcentaje,0.9
2013,Tasa de crecimiento del gasto familiar per cápita,El 40 % más pobre,Bizkaia,Porcentaje,-0.1
2012,Tasa de crecimiento del gasto familiar per cápita,El 40 % más pobre,Gipuzkoa,Porcentaje,-0.7
2011,Tasa de crecimiento del gasto familiar per cápita,El 40 % más pobre,Gipuzkoa,Porcentaje,1.9
2022,Tasa de crecimiento del gasto familiar per cápita,El 40 % más pobre,Gipuzkoa,Porcentaje,0.8
2021,Tasa de crecimiento del gasto familiar per cápita,El 40 % más pobre,Gipuzkoa,Porcentaje,0.2
2020,Tasa de crecimiento del gasto familiar per cápita,El 40 % más pobre,Gipuzkoa,Porcentaje,-0.5
2019,Tasa de crecimiento del gasto familiar per cápita,El 40 % más pobre,Gipuzkoa,Porcentaje,1.6
2018,Tasa de crecimiento del gasto familiar per cápita,El 40 % más pobre,Gipuzkoa,Porcentaje,1.5
2017,Tasa de crecimiento del gasto familiar per cápita,El 40 % más pobre,Gipuzkoa,Porcentaje,2.0
2016,Tasa de crecimiento del gasto familiar per cápita,El 40 % más pobre,Gipuzkoa,Porcentaje,0.7
2015,Tasa de crecimiento del gasto familiar per cápita,El 40 % más pobre,Gipuzkoa,Porcentaje,-0.8
2014,Tasa de crecimiento del gasto familiar per cápita,El 40 % más pobre,Gipuzkoa,Porcentaje,-0.9
2013,Tasa de crecimiento del gasto familiar per cápita,El 40 % más pobre,Gipuzkoa,Porcentaje,0.2
