Year,Sexua,Lurralde historikoa,Units,Value
2022,Emakumea,Bizkaia,%,0.0
2021,Emakumea,Bizkaia,%,0.0
2018,Emakumea,Bizkaia,%,0.0
2017,Emakumea,Bizkaia,%,0.0
2014,Emakumea,Bizkaia,%,0.0
2013,Emakumea,Bizkaia,%,0.0
2020,Emakumea,Bizkaia,%,0.0
2024,Emakumea,Bizkaia,%,0.0
2012,Emakumea,Bizkaia,%,0.0
2024,Emakumea,Gipuzkoa,%,20.0
2023,Emakumea,Gipuzkoa,%,12.5
2022,Emakumea,Gipuzkoa,%,16.7
2021,Emakumea,Gipuzkoa,%,13.8
2020,Emakumea,Gipuzkoa,%,9.5
2019,Emakumea,Gipuzkoa,%,12.5
2018,Emakumea,Gipuzkoa,%,11.1
2017,Emakumea,Gipuzkoa,%,17.2
2016,Emakumea,Gipuzkoa,%,10.5
2015,Emakumea,Gipuzkoa,%,0.0
2014,Emakumea,Gipuzkoa,%,0.0
2013,Emakumea,Gipuzkoa,%,13.9
2012,Emakumea,Gipuzkoa,%,13.8
2018,Gizona,,%,13.4
2023,Gizona,,%,13.5
2019,Gizona,,%,13.1
2024,Gizona,,%,12.8
2016,Gizona,,%,10.6
2015,Gizona,,%,10.1
2022,Gizona,,%,11.5
2013,Gizona,,%,9.2
2014,Gizona,,%,8.3
2012,Gizona,,%,13.3
2017,Gizona,,%,10.5
2020,Gizona,,%,12.8
2021,Gizona,,%,10.7
2021,Gizona,Araba / Álava,%,8.1
2014,Gizona,Araba / Álava,%,5.3
2023,Gizona,Araba / Álava,%,9.8
2022,Gizona,Araba / Álava,%,7.8
2016,Gizona,Araba / Álava,%,6.1
2012,Gizona,Araba / Álava,%,9.8
2018,Gizona,Araba / Álava,%,8.4
2020,Gizona,Araba / Álava,%,8.2
2024,Gizona,Araba / Álava,%,9.7
2019,Gizona,Araba / Álava,%,9.0
2017,Gizona,Araba / Álava,%,6.1
2013,Gizona,Araba / Álava,%,6.0
2015,Gizona,Araba / Álava,%,5.7
2016,Gizona,Bizkaia,%,15.7
2015,Gizona,Bizkaia,%,15.4
2014,Gizona,Bizkaia,%,11.9
2013,Gizona,Bizkaia,%,14.2
2012,Gizona,Bizkaia,%,18.1
2024,Gizona,Bizkaia,%,16.3
2023,Gizona,Bizkaia,%,16.8
2022,Gizona,Bizkaia,%,16.1
2021,Gizona,Bizkaia,%,13.7
2020,Gizona,Bizkaia,%,14.3
2019,Gizona,Bizkaia,%,19.3
2018,Gizona,Bizkaia,%,16.8
2017,Gizona,Bizkaia,%,13.4
2020,Gizona,Gipuzkoa,%,22.2
2019,Gizona,Gipuzkoa,%,16.9
2018,Gizona,Gipuzkoa,%,21.1
2017,Gizona,Gipuzkoa,%,17.7
2016,Gizona,Gipuzkoa,%,17.2
2015,Gizona,Gipuzkoa,%,15.0
2014,Gizona,Gipuzkoa,%,10.2
2013,Gizona,Gipuzkoa,%,10.0
2012,Gizona,Gipuzkoa,%,15.6
2024,Gizona,Gipuzkoa,%,15.9
2023,Gizona,Gipuzkoa,%,18.3
2022,Gizona,Gipuzkoa,%,15.3
2021,Gizona,Gipuzkoa,%,13.9
