Year,Series,Territorio,Units,Value
2019,ST_GDP_ZS,ES212,PT,7.8
2021,ST_GDP_ZS,ES212,PT,5.2
2018,ST_GDP_ZS,ES212,PT,7.7
2016,ST_GDP_ZS,ES212,PT,8.1
2014,ST_GDP_ZS,ES212,PT,7.4
2010,EU_GDP_ZS_GR,,PT,1.9
2019,EU_GDP_ZS_GR,,PT,0.0
2022,EU_GDP_ZS_GR,,PT,37.5
2016,EU_GDP_ZS_GR,,PT,3.2
2020,EU_GDP_ZS_GR,,PT,-39.7
2012,EU_GDP_ZS_GR,,PT,3.6
2021,EU_GDP_ZS_GR,,PT,5.3
2011,EU_GDP_ZS_GR,,PT,1.9
2013,EU_GDP_ZS_GR,,PT,3.5
2023,EU_GDP_ZS_GR,,PT,20.0
2017,EU_GDP_ZS_GR,,PT,-1.5
2014,EU_GDP_ZS_GR,,PT,0.0
2015,EU_GDP_ZS_GR,,PT,6.8
2018,EU_GDP_ZS_GR,,PT,-1.6
2022,EU_GDP_ZS_GR,ES211,PT,27.0
2020,EU_GDP_ZS_GR,ES211,PT,-33.3
2018,EU_GDP_ZS_GR,ES211,PT,-1.9
2010,EU_GDP_ZS_GR,ES211,PT,7.0
2014,EU_GDP_ZS_GR,ES211,PT,0.0
2013,EU_GDP_ZS_GR,ES211,PT,-1.9
2017,EU_GDP_ZS_GR,ES211,PT,-1.9
2015,EU_GDP_ZS_GR,ES211,PT,3.9
2021,EU_GDP_ZS_GR,ES211,PT,8.8
2023,EU_GDP_ZS_GR,ES211,PT,21.3
2011,EU_GDP_ZS_GR,ES211,PT,4.3
2012,EU_GDP_ZS_GR,ES211,PT,8.3
2016,EU_GDP_ZS_GR,ES211,PT,1.9
2019,EU_GDP_ZS_GR,ES211,PT,-1.9
2020,EU_GDP_ZS_GR,ES213,PT,-43.9
2023,EU_GDP_ZS_GR,ES213,PT,21.3
2022,EU_GDP_ZS_GR,ES213,PT,38.2
2021,EU_GDP_ZS_GR,ES213,PT,6.3
2017,EU_GDP_ZS_GR,ES213,PT,0.0
2011,EU_GDP_ZS_GR,ES213,PT,2.1
2010,EU_GDP_ZS_GR,ES213,PT,2.2
2015,EU_GDP_ZS_GR,ES213,PT,5.7
2012,EU_GDP_ZS_GR,ES213,PT,4.2
2014,EU_GDP_ZS_GR,ES213,PT,1.9
2013,EU_GDP_ZS_GR,ES213,PT,4.0
2019,EU_GDP_ZS_GR,ES213,PT,0.0
2016,EU_GDP_ZS_GR,ES213,PT,3.6
2018,EU_GDP_ZS_GR,ES213,PT,-1.7
2010,EU_GDP_ZS_GR,ES212,PT,-1.4
2018,EU_GDP_ZS_GR,ES212,PT,-2.5
2020,EU_GDP_ZS_GR,ES212,PT,-39.7
2016,EU_GDP_ZS_GR,ES212,PT,3.8
2013,EU_GDP_ZS_GR,ES212,PT,1.4
2022,EU_GDP_ZS_GR,ES212,PT,34.6
2015,EU_GDP_ZS_GR,ES212,PT,5.4
2017,EU_GDP_ZS_GR,ES212,PT,-2.5
2014,EU_GDP_ZS_GR,ES212,PT,2.8
2023,EU_GDP_ZS_GR,ES212,PT,20.0
2011,EU_GDP_ZS_GR,ES212,PT,0.0
2019,EU_GDP_ZS_GR,ES212,PT,1.3
2021,EU_GDP_ZS_GR,ES212,PT,10.6
2012,EU_GDP_ZS_GR,ES212,PT,4.4
