Year,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2022,,,Albiztur,10.000 biztanleko,Albiztur,0.0
2021,,,Albiztur,10.000 biztanleko,Albiztur,0.0
2019,,,Albiztur,10.000 biztanleko,Albiztur,0.0
2023,,,Albiztur,10.000 biztanleko,Albiztur,67.1
2020,,,Albiztur,10.000 biztanleko,Albiztur,0.0
2023,,,Alegia,10.000 biztanleko,Alegia,34.9
2019,,,Alegia,10.000 biztanleko,Alegia,47.2
2022,,,Alegia,10.000 biztanleko,Alegia,23.0
2020,,,Alegia,10.000 biztanleko,Alegia,23.7
2021,,,Alegia,10.000 biztanleko,Alegia,23.4
2022,,,Alegría-Dulantzi,10.000 biztanleko,Alegría-Dulantzi,52.7
2019,,,Alegría-Dulantzi,10.000 biztanleko,Alegría-Dulantzi,26.9
2023,,,Alegría-Dulantzi,10.000 biztanleko,Alegría-Dulantzi,25.8
2021,,,Alegría-Dulantzi,10.000 biztanleko,Alegría-Dulantzi,33.1
2020,,,Alegría-Dulantzi,10.000 biztanleko,Alegría-Dulantzi,40.0
2023,,,Alkiza,10.000 biztanleko,Alkiza,0.0
2022,,,Alkiza,10.000 biztanleko,Alkiza,0.0
2019,,,Alkiza,10.000 biztanleko,Alkiza,0.0
2021,,,Alkiza,10.000 biztanleko,Alkiza,0.0
2020,,,Alkiza,10.000 biztanleko,Alkiza,0.0
2021,,,Alonsotegi,10.000 biztanleko,Alonsotegi,60.6
2020,,,Alonsotegi,10.000 biztanleko,Alonsotegi,20.1
2023,,,Alonsotegi,10.000 biztanleko,Alonsotegi,19.8
2022,,,Alonsotegi,10.000 biztanleko,Alonsotegi,26.8
2019,,,Alonsotegi,10.000 biztanleko,Alonsotegi,53.7
2019,,,Altzaga,10.000 biztanleko,Altzaga,0.0
2021,,,Altzaga,10.000 biztanleko,Altzaga,0.0
2020,,,Altzaga,10.000 biztanleko,Altzaga,0.0
2022,,,Altzaga,10.000 biztanleko,Altzaga,0.0
2023,,,Altzaga,10.000 biztanleko,Altzaga,0.0
2023,,,Altzo,10.000 biztanleko,Altzo,0.0
2020,,,Altzo,10.000 biztanleko,Altzo,0.0
2022,,,Altzo,10.000 biztanleko,Altzo,0.0
2021,,,Altzo,10.000 biztanleko,Altzo,0.0
2019,,,Altzo,10.000 biztanleko,Altzo,0.0
2019,,,Amezketa,10.000 biztanleko,Amezketa,0.0
2021,,,Amezketa,10.000 biztanleko,Amezketa,22.9
2022,,,Amezketa,10.000 biztanleko,Amezketa,0.0
2020,,,Amezketa,10.000 biztanleko,Amezketa,23.1
2023,,,Amezketa,10.000 biztanleko,Amezketa,0.0
2020,,,Amorebieta-Etxano,10.000 biztanleko,Amorebieta-Etxano,26.2
2023,,,Amorebieta-Etxano,10.000 biztanleko,Amorebieta-Etxano,33.7
2022,,,Amorebieta-Etxano,10.000 biztanleko,Amorebieta-Etxano,41.2
2021,,,Amorebieta-Etxano,10.000 biztanleko,Amorebieta-Etxano,26.0
2019,,,Amorebieta-Etxano,10.000 biztanleko,Amorebieta-Etxano,26.4
2023,,,Amoroto,10.000 biztanleko,Amoroto,0.0
2022,,,Amoroto,10.000 biztanleko,Amoroto,0.0
2020,,,Amoroto,10.000 biztanleko,Amoroto,0.0
2019,,,Amoroto,10.000 biztanleko,Amoroto,48.2
2021,,,Amoroto,10.000 biztanleko,Amoroto,0.0
2020,,,Amurrio,10.000 biztanleko,Amurrio,30.4
2021,,,Amurrio,10.000 biztanleko,Amurrio,17.1
2022,,,Amurrio,10.000 biztanleko,Amurrio,32.3
2019,,,Amurrio,10.000 biztanleko,Amurrio,26.7
2023,,,Amurrio,10.000 biztanleko,Amurrio,36.1
2020,,,Andoain,10.000 biztanleko,Andoain,32.0
2023,,,Andoain,10.000 biztanleko,Andoain,39.2
2022,,,Andoain,10.000 biztanleko,Andoain,44.1
2019,,,Andoain,10.000 biztanleko,Andoain,30.7
2021,,,Andoain,10.000 biztanleko,Andoain,25.4
2019,,,Anoeta,10.000 biztanleko,Anoeta,10.5
2022,,,Anoeta,10.000 biztanleko,Anoeta,20.0
2020,,,Anoeta,10.000 biztanleko,Anoeta,31.1
2021,,,Anoeta,10.000 biztanleko,Anoeta,30.7
2023,,,Anoeta,10.000 biztanleko,Anoeta,9.7
2021,,,Antzuola,10.000 biztanleko,Antzuola,18.2
2020,,,Antzuola,10.000 biztanleko,Antzuola,18.0
2019,,,Antzuola,10.000 biztanleko,Antzuola,36.1
2023,,,Antzuola,10.000 biztanleko,Antzuola,18.6
2022,,,Antzuola,10.000 biztanleko,Antzuola,9.2
2021,,,Añana,10.000 biztanleko,Añana,0.0
2019,,,Añana,10.000 biztanleko,Añana,0.0
2023,,,Añana,10.000 biztanleko,Añana,0.0
2020,,,Añana,10.000 biztanleko,Añana,0.0
2022,,,Añana,10.000 biztanleko,Añana,0.0
2022,,,Arakaldo,10.000 biztanleko,Arakaldo,0.0
2020,,,Arakaldo,10.000 biztanleko,Arakaldo,0.0
2019,,,Arakaldo,10.000 biztanleko,Arakaldo,0.0
2023,,,Arakaldo,10.000 biztanleko,Arakaldo,0.0
2021,,,Arakaldo,10.000 biztanleko,Arakaldo,0.0
2023,,,Arama,10.000 biztanleko,Arama,0.0
2021,,,Arama,10.000 biztanleko,Arama,0.0
2020,,,Arama,10.000 biztanleko,Arama,0.0
2022,,,Arama,10.000 biztanleko,Arama,0.0
2019,,,Arama,10.000 biztanleko,Arama,0.0
2020,,,Aramaio,10.000 biztanleko,Aramaio,0.0
2022,,,Aramaio,10.000 biztanleko,Aramaio,0.0
2019,,,Aramaio,10.000 biztanleko,Aramaio,0.0
2021,,,Aramaio,10.000 biztanleko,Aramaio,13.9
2023,,,Aramaio,10.000 biztanleko,Aramaio,14.3
2023,,,Arantzazu,10.000 biztanleko,Arantzazu,151.5
2021,,,Arantzazu,10.000 biztanleko,Arantzazu,53.9
2022,,,Arantzazu,10.000 biztanleko,Arantzazu,0.0
2020,,,Arantzazu,10.000 biztanleko,Arantzazu,0.0
2019,,,Arantzazu,10.000 biztanleko,Arantzazu,167.1
2023,,,Areatza,10.000 biztanleko,Areatza,62.5
2019,,,Areatza,10.000 biztanleko,Areatza,64.2
2021,,,Areatza,10.000 biztanleko,Areatza,32.0
2022,,,Areatza,10.000 biztanleko,Areatza,31.1
2020,,,Areatza,10.000 biztanleko,Areatza,64.1
2021,,,Aretxabaleta,10.000 biztanleko,Aretxabaleta,17.1
2019,,,Aretxabaleta,10.000 biztanleko,Aretxabaleta,5.8
2022,,,Aretxabaleta,10.000 biztanleko,Aretxabaleta,25.5
2020,,,Aretxabaleta,10.000 biztanleko,Aretxabaleta,14.4
2023,,,Aretxabaleta,10.000 biztanleko,Aretxabaleta,16.9
2019,,,Armiñón,10.000 biztanleko,Armiñón,0.0
2021,,,Armiñón,10.000 biztanleko,Armiñón,0.0
2023,,,Armiñón,10.000 biztanleko,Armiñón,94.3
2020,,,Armiñón,10.000 biztanleko,Armiñón,0.0
2022,,,Armiñón,10.000 biztanleko,Armiñón,0.0
2022,,,Arraia-Maeztu,10.000 biztanleko,Arraia-Maeztu,0.0
2021,,,Arraia-Maeztu,10.000 biztanleko,Arraia-Maeztu,62.1
2019,,,Arraia-Maeztu,10.000 biztanleko,Arraia-Maeztu,31.5
2020,,,Arraia-Maeztu,10.000 biztanleko,Arraia-Maeztu,31.1
2023,,,Arraia-Maeztu,10.000 biztanleko,Arraia-Maeztu,27.4
2019,,,Arrankudiaga-Zollo,10.000 biztanleko,Arrankudiaga-Zollo,19.7
2020,,,Arrankudiaga-Zollo,10.000 biztanleko,Arrankudiaga-Zollo,0.0
2022,,,Arrankudiaga-Zollo,10.000 biztanleko,Arrankudiaga-Zollo,38.8
2023,,,Arrankudiaga-Zollo,10.000 biztanleko,Arrankudiaga-Zollo,39.1
2021,,,Arrankudiaga-Zollo,10.000 biztanleko,Arrankudiaga-Zollo,39.2
2022,,,Arrasate / Mondragón,10.000 biztanleko,Arrasate / Mondragón,43.9
2019,,,Arrasate / Mondragón,10.000 biztanleko,Arrasate / Mondragón,32.1
2021,,,Arrasate / Mondragón,10.000 biztanleko,Arrasate / Mondragón,26.7
2020,,,Arrasate / Mondragón,10.000 biztanleko,Arrasate / Mondragón,19.6
2023,,,Arrasate / Mondragón,10.000 biztanleko,Arrasate / Mondragón,50.8
2019,,,Arratzu,10.000 biztanleko,Arratzu,0.0
2022,,,Arratzu,10.000 biztanleko,Arratzu,0.0
2020,,,Arratzu,10.000 biztanleko,Arratzu,0.0
2021,,,Arratzu,10.000 biztanleko,Arratzu,0.0
2023,,,Arratzu,10.000 biztanleko,Arratzu,0.0
2022,,,Arratzua-Ubarrundia,10.000 biztanleko,Arratzua-Ubarrundia,62.9
2020,,,Arratzua-Ubarrundia,10.000 biztanleko,Arratzua-Ubarrundia,42.6
2019,,,Arratzua-Ubarrundia,10.000 biztanleko,Arratzua-Ubarrundia,21.4
2021,,,Arratzua-Ubarrundia,10.000 biztanleko,Arratzua-Ubarrundia,0.0
2023,,,Arratzua-Ubarrundia,10.000 biztanleko,Arratzua-Ubarrundia,19.9
2022,,,Arrieta,10.000 biztanleko,Arrieta,0.0
2019,,,Arrieta,10.000 biztanleko,Arrieta,0.0
2021,,,Arrieta,10.000 biztanleko,Arrieta,0.0
2023,,,Arrieta,10.000 biztanleko,Arrieta,0.0
2020,,,Arrieta,10.000 biztanleko,Arrieta,36.6
2019,,,Arrigorriaga,10.000 biztanleko,Arrigorriaga,21.1
2023,,,Arrigorriaga,10.000 biztanleko,Arrigorriaga,49.7
2022,,,Arrigorriaga,10.000 biztanleko,Arrigorriaga,35.8
2020,,,Arrigorriaga,10.000 biztanleko,Arrigorriaga,40.7
2021,,,Arrigorriaga,10.000 biztanleko,Arrigorriaga,35.8
2020,,,Artea,10.000 biztanleko,Artea,28.3
2021,,,Artea,10.000 biztanleko,Artea,0.0
2022,,,Artea,10.000 biztanleko,Artea,111.6
2023,,,Artea,10.000 biztanleko,Artea,79.7
2019,,,Artea,10.000 biztanleko,Artea,0.0
2019,,,Artzentales,10.000 biztanleko,Artzentales,29.8
2021,,,Artzentales,10.000 biztanleko,Artzentales,30.5
2020,,,Artzentales,10.000 biztanleko,Artzentales,0.0
2022,,,Artzentales,10.000 biztanleko,Artzentales,30.1
2023,,,Artzentales,10.000 biztanleko,Artzentales,59.4
2020,,,Artziniega,10.000 biztanleko,Artziniega,20.7
2023,,,Artziniega,10.000 biztanleko,Artziniega,178.3
2022,,,Artziniega,10.000 biztanleko,Artziniega,41.8
2021,,,Artziniega,10.000 biztanleko,Artziniega,10.4
2019,,,Artziniega,10.000 biztanleko,Artziniega,41.6
2023,,,Asparrena,10.000 biztanleko,Asparrena,60.5
2021,,,Asparrena,10.000 biztanleko,Asparrena,50.0
2020,,,Asparrena,10.000 biztanleko,Asparrena,74.1
2019,,,Asparrena,10.000 biztanleko,Asparrena,24.5
2022,,,Asparrena,10.000 biztanleko,Asparrena,36.9
2021,,,Asteasu,10.000 biztanleko,Asteasu,13.1
2019,,,Asteasu,10.000 biztanleko,Asteasu,54.5
2022,,,Asteasu,10.000 biztanleko,Asteasu,26.5
2020,,,Asteasu,10.000 biztanleko,Asteasu,13.4
2023,,,Asteasu,10.000 biztanleko,Asteasu,0.0
2021,,,Astigarraga,10.000 biztanleko,Astigarraga,28.1
2020,,,Astigarraga,10.000 biztanleko,Astigarraga,43.2
2023,,,Astigarraga,10.000 biztanleko,Astigarraga,46.8
2022,,,Astigarraga,10.000 biztanleko,Astigarraga,32.4
2019,,,Astigarraga,10.000 biztanleko,Astigarraga,41.1
2021,,,Ataun,10.000 biztanleko,Ataun,11.9
2020,,,Ataun,10.000 biztanleko,Ataun,47.9
2023,,,Ataun,10.000 biztanleko,Ataun,0.0
2019,,,Ataun,10.000 biztanleko,Ataun,24.2
2022,,,Ataun,10.000 biztanleko,Ataun,12.0
2022,,,Atxondo,10.000 biztanleko,Atxondo,29.0
2020,,,Atxondo,10.000 biztanleko,Atxondo,0.0
2019,,,Atxondo,10.000 biztanleko,Atxondo,14.0
2023,,,Atxondo,10.000 biztanleko,Atxondo,29.0
2021,,,Atxondo,10.000 biztanleko,Atxondo,14.2
2020,,,Aulesti,10.000 biztanleko,Aulesti,0.0
2022,,,Aulesti,10.000 biztanleko,Aulesti,0.0
2023,,,Aulesti,10.000 biztanleko,Aulesti,0.0
2019,,,Aulesti,10.000 biztanleko,Aulesti,0.0
2021,,,Aulesti,10.000 biztanleko,Aulesti,0.0
2022,,,Ayala / Aiara,10.000 biztanleko,Ayala / Aiara,20.7
2021,,,Ayala / Aiara,10.000 biztanleko,Ayala / Aiara,20.6
2020,,,Ayala / Aiara,10.000 biztanleko,Ayala / Aiara,0.0
2023,,,Ayala / Aiara,10.000 biztanleko,Ayala / Aiara,20.9
2019,,,Ayala / Aiara,10.000 biztanleko,Ayala / Aiara,20.8
2023,,,Azkoitia,10.000 biztanleko,Azkoitia,15.3
2022,,,Azkoitia,10.000 biztanleko,Azkoitia,27.1
2021,,,Azkoitia,10.000 biztanleko,Azkoitia,11.8
2020,,,Azkoitia,10.000 biztanleko,Azkoitia,27.1
2019,,,Azkoitia,10.000 biztanleko,Azkoitia,6.8
2021,,,Azpeitia,10.000 biztanleko,Azpeitia,17.3
2019,,,Azpeitia,10.000 biztanleko,Azpeitia,10.9
2022,,,Azpeitia,10.000 biztanleko,Azpeitia,9.3
2023,,,Azpeitia,10.000 biztanleko,Azpeitia,17.2
2020,,,Azpeitia,10.000 biztanleko,Azpeitia,18.9
2020,,,Bakio,10.000 biztanleko,Bakio,61.2
2022,,,Bakio,10.000 biztanleko,Bakio,59.4
2021,,,Bakio,10.000 biztanleko,Bakio,61.0
2023,,,Bakio,10.000 biztanleko,Bakio,49.3
2019,,,Bakio,10.000 biztanleko,Bakio,38.7
2019,,,Baliarrain,10.000 biztanleko,Baliarrain,0.0
2023,,,Baliarrain,10.000 biztanleko,Baliarrain,0.0
2020,,,Baliarrain,10.000 biztanleko,Baliarrain,0.0
2022,,,Baliarrain,10.000 biztanleko,Baliarrain,0.0
2021,,,Baliarrain,10.000 biztanleko,Baliarrain,0.0
2020,,,Balmaseda,10.000 biztanleko,Balmaseda,41.0
2021,,,Balmaseda,10.000 biztanleko,Balmaseda,35.6
2023,,,Balmaseda,10.000 biztanleko,Balmaseda,47.7
2019,,,Balmaseda,10.000 biztanleko,Balmaseda,33.5
2022,,,Balmaseda,10.000 biztanleko,Balmaseda,40.3
2023,,,Baños de Ebro / Mañueta,10.000 biztanleko,Baños de Ebro / Mañueta,0.0
2022,,,Baños de Ebro / Mañueta,10.000 biztanleko,Baños de Ebro / Mañueta,0.0
2021,,,Baños de Ebro / Mañueta,10.000 biztanleko,Baños de Ebro / Mañueta,72.7
2019,,,Baños de Ebro / Mañueta,10.000 biztanleko,Baños de Ebro / Mañueta,0.0
2020,,,Baños de Ebro / Mañueta,10.000 biztanleko,Baños de Ebro / Mañueta,145.5
2019,,,Barakaldo,10.000 biztanleko,Barakaldo,42.1
2023,,,Barakaldo,10.000 biztanleko,Barakaldo,60.5
2021,,,Barakaldo,10.000 biztanleko,Barakaldo,46.0
2020,,,Barakaldo,10.000 biztanleko,Barakaldo,40.3
2022,,,Barakaldo,10.000 biztanleko,Barakaldo,47.4
2022,,,Barrika,10.000 biztanleko,Barrika,40.1
2021,,,Barrika,10.000 biztanleko,Barrika,68.3
2019,,,Barrika,10.000 biztanleko,Barrika,0.0
2020,,,Barrika,10.000 biztanleko,Barrika,13.5
2023,,,Barrika,10.000 biztanleko,Barrika,26.0
2021,,,Barrundia,10.000 biztanleko,Barrundia,23.9
2023,,,Barrundia,10.000 biztanleko,Barrundia,0.0
2022,,,Barrundia,10.000 biztanleko,Barrundia,48.3
2019,,,Barrundia,10.000 biztanleko,Barrundia,24.1
2020,,,Barrundia,10.000 biztanleko,Barrundia,48.3
2019,,,Basauri,10.000 biztanleko,Basauri,41.7
2021,,,Basauri,10.000 biztanleko,Basauri,28.4
2023,,,Basauri,10.000 biztanleko,Basauri,40.7
2022,,,Basauri,10.000 biztanleko,Basauri,31.2
2020,,,Basauri,10.000 biztanleko,Basauri,34.1
2022,,,Beasain,10.000 biztanleko,Beasain,46.5
2020,,,Beasain,10.000 biztanleko,Beasain,21.8
2021,,,Beasain,10.000 biztanleko,Beasain,34.9
2019,,,Beasain,10.000 biztanleko,Beasain,20.3
2023,,,Beasain,10.000 biztanleko,Beasain,40.9
2019,,,Bedia,10.000 biztanleko,Bedia,18.3
2021,,,Bedia,10.000 biztanleko,Bedia,35.4
2020,,,Bedia,10.000 biztanleko,Bedia,0.0
2023,,,Bedia,10.000 biztanleko,Bedia,86.5
2022,,,Bedia,10.000 biztanleko,Bedia,0.0
2023,,,Beizama,10.000 biztanleko,Beizama,0.0
2021,,,Beizama,10.000 biztanleko,Beizama,0.0
2019,,,Beizama,10.000 biztanleko,Beizama,0.0
2020,,,Beizama,10.000 biztanleko,Beizama,0.0
2022,,,Beizama,10.000 biztanleko,Beizama,0.0
2023,,,Belauntza,10.000 biztanleko,Belauntza,71.9
2022,,,Belauntza,10.000 biztanleko,Belauntza,0.0
2019,,,Belauntza,10.000 biztanleko,Belauntza,0.0
2021,,,Belauntza,10.000 biztanleko,Belauntza,0.0
2020,,,Belauntza,10.000 biztanleko,Belauntza,0.0
2021,,,Berango,10.000 biztanleko,Berango,18.8
2020,,,Berango,10.000 biztanleko,Berango,21.6
2022,,,Berango,10.000 biztanleko,Berango,29.1
2023,,,Berango,10.000 biztanleko,Berango,15.4
2019,,,Berango,10.000 biztanleko,Berango,21.8
2023,,,Berantevilla,10.000 biztanleko,Berantevilla,0.0
2020,,,Berantevilla,10.000 biztanleko,Berantevilla,133.6
2021,,,Berantevilla,10.000 biztanleko,Berantevilla,43.2
2019,,,Berantevilla,10.000 biztanleko,Berantevilla,45.1
2022,,,Berantevilla,10.000 biztanleko,Berantevilla,0.0
2019,,,Berastegi,10.000 biztanleko,Berastegi,0.0
2021,,,Berastegi,10.000 biztanleko,Berastegi,0.0
2022,,,Berastegi,10.000 biztanleko,Berastegi,19.2
2020,,,Berastegi,10.000 biztanleko,Berastegi,0.0
2023,,,Berastegi,10.000 biztanleko,Berastegi,0.0
2023,,,Bergara,10.000 biztanleko,Bergara,32.5
2020,,,Bergara,10.000 biztanleko,Bergara,16.0
2019,,,Bergara,10.000 biztanleko,Bergara,23.9
2021,,,Bergara,10.000 biztanleko,Bergara,43.8
2022,,,Bergara,10.000 biztanleko,Bergara,44.1
2020,,,Bermeo,10.000 biztanleko,Bermeo,60.8
2019,,,Bermeo,10.000 biztanleko,Bermeo,43.5
2022,,,Bermeo,10.000 biztanleko,Bermeo,33.8
2023,,,Bermeo,10.000 biztanleko,Bermeo,55.1
2021,,,Bermeo,10.000 biztanleko,Bermeo,43.1
2023,,,Bernedo,10.000 biztanleko,Bernedo,43.2
2019,,,Bernedo,10.000 biztanleko,Bernedo,0.0
2021,,,Bernedo,10.000 biztanleko,Bernedo,0.0
2022,,,Bernedo,10.000 biztanleko,Bernedo,0.0
2020,,,Bernedo,10.000 biztanleko,Bernedo,0.0
2020,,,Berriatua,10.000 biztanleko,Berriatua,17.6
2022,,,Berriatua,10.000 biztanleko,Berriatua,17.4
2021,,,Berriatua,10.000 biztanleko,Berriatua,35.1
2019,,,Berriatua,10.000 biztanleko,Berriatua,0.0
2023,,,Berriatua,10.000 biztanleko,Berriatua,0.0
2019,,,Berriz,10.000 biztanleko,Berriz,21.1
2023,,,Berriz,10.000 biztanleko,Berriz,30.8
2020,,,Berriz,10.000 biztanleko,Berriz,33.9
2022,,,Berriz,10.000 biztanleko,Berriz,30.5
2021,,,Berriz,10.000 biztanleko,Berriz,8.6
2022,,,Berrobi,10.000 biztanleko,Berrobi,0.0
2019,,,Berrobi,10.000 biztanleko,Berrobi,33.4
2020,,,Berrobi,10.000 biztanleko,Berrobi,33.3
2023,,,Berrobi,10.000 biztanleko,Berrobi,34.8
2021,,,Berrobi,10.000 biztanleko,Berrobi,33.6
2020,,,Bidania-Goiatz,10.000 biztanleko,Bidania-Goiatz,38.0
2021,,,Bidania-Goiatz,10.000 biztanleko,Bidania-Goiatz,0.0
2022,,,Bidania-Goiatz,10.000 biztanleko,Bidania-Goiatz,0.0
2023,,,Bidania-Goiatz,10.000 biztanleko,Bidania-Goiatz,0.0
2019,,,Bidania-Goiatz,10.000 biztanleko,Bidania-Goiatz,0.0
2021,,,Bilbao,10.000 biztanleko,Bilbao,30.8
2023,,,Bilbao,10.000 biztanleko,Bilbao,41.9
2022,,,Bilbao,10.000 biztanleko,Bilbao,36.4
2019,,,Bilbao,10.000 biztanleko,Bilbao,39.2
2020,,,Bilbao,10.000 biztanleko,Bilbao,35.7
2019,,,Busturia,10.000 biztanleko,Busturia,48.5
2020,,,Busturia,10.000 biztanleko,Busturia,61.1
2022,,,Busturia,10.000 biztanleko,Busturia,12.1
2023,,,Busturia,10.000 biztanleko,Busturia,23.5
2021,,,Busturia,10.000 biztanleko,Busturia,36.7
2023,,,Campezo / Kanpezu,10.000 biztanleko,Campezo / Kanpezu,37.7
2020,,,Campezo / Kanpezu,10.000 biztanleko,Campezo / Kanpezu,0.0
2022,,,Campezo / Kanpezu,10.000 biztanleko,Campezo / Kanpezu,0.0
2021,,,Campezo / Kanpezu,10.000 biztanleko,Campezo / Kanpezu,0.0
2019,,,Campezo / Kanpezu,10.000 biztanleko,Campezo / Kanpezu,0.0
2019,,,Deba,10.000 biztanleko,Deba,7.4
2022,,,Deba,10.000 biztanleko,Deba,21.9
2023,,,Deba,10.000 biztanleko,Deba,33.0
2021,,,Deba,10.000 biztanleko,Deba,25.8
2020,,,Deba,10.000 biztanleko,Deba,11.1
2022,,,Derio,10.000 biztanleko,Derio,42.9
2021,,,Derio,10.000 biztanleko,Derio,29.7
2019,,,Derio,10.000 biztanleko,Derio,27.5
2023,,,Derio,10.000 biztanleko,Derio,68.3
2020,,,Derio,10.000 biztanleko,Derio,24.1
2021,,,Dima,10.000 biztanleko,Dima,28.2
2023,,,Dima,10.000 biztanleko,Dima,41.8
2020,,,Dima,10.000 biztanleko,Dima,70.7
2022,,,Dima,10.000 biztanleko,Dima,0.0
2019,,,Dima,10.000 biztanleko,Dima,14.1
2021,,,Donostia / San Sebastián,10.000 biztanleko,Donostia / San Sebastián,30.9
2019,,,Donostia / San Sebastián,10.000 biztanleko,Donostia / San Sebastián,38.2
2023,,,Donostia / San Sebastián,10.000 biztanleko,Donostia / San Sebastián,40.6
2022,,,Donostia / San Sebastián,10.000 biztanleko,Donostia / San Sebastián,40.6
2020,,,Donostia / San Sebastián,10.000 biztanleko,Donostia / San Sebastián,33.2
2019,,,Durango,10.000 biztanleko,Durango,31.8
2022,,,Durango,10.000 biztanleko,Durango,38.9
2020,,,Durango,10.000 biztanleko,Durango,27.7
2021,,,Durango,10.000 biztanleko,Durango,28.1
2023,,,Durango,10.000 biztanleko,Durango,35.9
2021,,,Ea,10.000 biztanleko,Ea,25.2
2023,,,Ea,10.000 biztanleko,Ea,0.0
2020,,,Ea,10.000 biztanleko,Ea,49.1
2019,,,Ea,10.000 biztanleko,Ea,24.2
2022,,,Ea,10.000 biztanleko,Ea,0.0
2020,,,Eibar,10.000 biztanleko,Eibar,41.4
2019,,,Eibar,10.000 biztanleko,Eibar,28.5
2022,,,Eibar,10.000 biztanleko,Eibar,63.9
2023,,,Eibar,10.000 biztanleko,Eibar,50.3
2021,,,Eibar,10.000 biztanleko,Eibar,43.3
2021,,,Elantxobe,10.000 biztanleko,Elantxobe,0.0
2019,,,Elantxobe,10.000 biztanleko,Elantxobe,54.5
2023,,,Elantxobe,10.000 biztanleko,Elantxobe,0.0
2022,,,Elantxobe,10.000 biztanleko,Elantxobe,0.0
2020,,,Elantxobe,10.000 biztanleko,Elantxobe,0.0
2021,,,Elburgo / Burgelu,10.000 biztanleko,Elburgo / Burgelu,0.0
2020,,,Elburgo / Burgelu,10.000 biztanleko,Elburgo / Burgelu,0.0
2022,,,Elburgo / Burgelu,10.000 biztanleko,Elburgo / Burgelu,65.7
2023,,,Elburgo / Burgelu,10.000 biztanleko,Elburgo / Burgelu,0.0
2019,,,Elburgo / Burgelu,10.000 biztanleko,Elburgo / Burgelu,0.0
2023,,,Elciego,10.000 biztanleko,Elciego,19.9
2019,,,Elciego,10.000 biztanleko,Elciego,18.5
2022,,,Elciego,10.000 biztanleko,Elciego,19.2
