Year,Sex,Province,Units,Value
2013,Male,Araba/Álava,"Per 100,000 inhabitants",1.9
2011,Male,Araba/Álava,"Per 100,000 inhabitants",1.3
2024,Male,Bizkaia,"Per 100,000 inhabitants",1.6
2023,Male,Bizkaia,"Per 100,000 inhabitants",3.3
2022,Male,Bizkaia,"Per 100,000 inhabitants",2.9
2021,Male,Bizkaia,"Per 100,000 inhabitants",2.2
2014,Male,Bizkaia,"Per 100,000 inhabitants",2.5
2020,Male,Bizkaia,"Per 100,000 inhabitants",3.3
2016,Male,Bizkaia,"Per 100,000 inhabitants",2.7
2019,Male,Bizkaia,"Per 100,000 inhabitants",2.4
2018,Male,Bizkaia,"Per 100,000 inhabitants",1.8
2017,Male,Bizkaia,"Per 100,000 inhabitants",3.6
2015,Male,Bizkaia,"Per 100,000 inhabitants",2.2
2013,Male,Bizkaia,"Per 100,000 inhabitants",3.4
2012,Male,Bizkaia,"Per 100,000 inhabitants",3.1
2011,Male,Bizkaia,"Per 100,000 inhabitants",2.7
2010,Male,Bizkaia,"Per 100,000 inhabitants",3.0
2018,Male,Gipuzkoa,"Per 100,000 inhabitants",0.9
2017,Male,Gipuzkoa,"Per 100,000 inhabitants",2.9
2016,Male,Gipuzkoa,"Per 100,000 inhabitants",2.6
2015,Male,Gipuzkoa,"Per 100,000 inhabitants",2.0
2011,Male,Gipuzkoa,"Per 100,000 inhabitants",1.7
2014,Male,Gipuzkoa,"Per 100,000 inhabitants",2.0
2013,Male,Gipuzkoa,"Per 100,000 inhabitants",2.9
2012,Male,Gipuzkoa,"Per 100,000 inhabitants",0.6
2010,Male,Gipuzkoa,"Per 100,000 inhabitants",0.9
2024,Male,Gipuzkoa,"Per 100,000 inhabitants",2.3
2023,Male,Gipuzkoa,"Per 100,000 inhabitants",1.1
2022,Male,Gipuzkoa,"Per 100,000 inhabitants",1.4
2021,Male,Gipuzkoa,"Per 100,000 inhabitants",2.3
2020,Male,Gipuzkoa,"Per 100,000 inhabitants",0.9
2019,Male,Gipuzkoa,"Per 100,000 inhabitants",2.8
