Year,Series,Sexo,Tipo de contrato,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2010,Tasa de ocupación,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,65.3
2015,Tasa de ocupación,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,63.3
2016,Tasa de ocupación,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,63.0
2020,Tasa de ocupación,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,68.2
2021,Tasa de ocupación,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,67.4
2022,Tasa de ocupación,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,70.1
2023,Tasa de ocupación,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,72.8
2010,Tasa de ocupación,,,,,Aduna,%,Aduna,76.2
2016,Tasa de ocupación,,,,,Aduna,%,Aduna,80.3
2022,Tasa de ocupación,,,,,Aduna,%,Aduna,84.1
2021,Tasa de ocupación,,,,,Aduna,%,Aduna,84.8
2018,Tasa de ocupación,,,,,Aduna,%,Aduna,83.8
2015,Tasa de ocupación,,,,,Aduna,%,Aduna,77.6
2019,Tasa de ocupación,,,,,Aduna,%,Aduna,84.2
2023,Tasa de ocupación,,,,,Aduna,%,Aduna,86.0
2020,Tasa de ocupación,,,,,Aduna,%,Aduna,82.3
2020,Tasa de ocupación,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,69.2
2022,Tasa de ocupación,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,73.2
2010,Tasa de ocupación,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,68.6
2015,Tasa de ocupación,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,66.7
2023,Tasa de ocupación,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,73.5
2021,Tasa de ocupación,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,69.1
2016,Tasa de ocupación,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,66.4
2018,Tasa de ocupación,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,67.8
2019,Tasa de ocupación,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,68.2
2015,Tasa de ocupación,,,,,Aia,%,Aia,73.8
2018,Tasa de ocupación,,,,,Aia,%,Aia,76.9
2022,Tasa de ocupación,,,,,Aia,%,Aia,79.6
2016,Tasa de ocupación,,,,,Aia,%,Aia,74.5
2019,Tasa de ocupación,,,,,Aia,%,Aia,78.3
2021,Tasa de ocupación,,,,,Aia,%,Aia,78.0
2023,Tasa de ocupación,,,,,Aia,%,Aia,82.6
2020,Tasa de ocupación,,,,,Aia,%,Aia,78.2
2010,Tasa de ocupación,,,,,Aia,%,Aia,72.0
2022,Tasa de ocupación,,,,,Aizarnazabal,%,Aizarnazabal,73.3
2020,Tasa de ocupación,,,,,Aizarnazabal,%,Aizarnazabal,73.7
2016,Tasa de ocupación,,,,,Aizarnazabal,%,Aizarnazabal,64.8
2015,Tasa de ocupación,,,,,Aizarnazabal,%,Aizarnazabal,65.5
2023,Tasa de ocupación,,,,,Aizarnazabal,%,Aizarnazabal,77.4
2010,Tasa de ocupación,,,,,Aizarnazabal,%,Aizarnazabal,68.4
2018,Tasa de ocupación,,,,,Aizarnazabal,%,Aizarnazabal,69.0
2019,Tasa de ocupación,,,,,Aizarnazabal,%,Aizarnazabal,71.8
2021,Tasa de ocupación,,,,,Aizarnazabal,%,Aizarnazabal,71.0
2015,Tasa de ocupación,,,,,Ajangiz,%,Ajangiz,76.2
2018,Tasa de ocupación,,,,,Ajangiz,%,Ajangiz,78.5
2016,Tasa de ocupación,,,,,Ajangiz,%,Ajangiz,78.6
2019,Tasa de ocupación,,,,,Ajangiz,%,Ajangiz,81.5
2021,Tasa de ocupación,,,,,Ajangiz,%,Ajangiz,73.7
2010,Tasa de ocupación,,,,,Ajangiz,%,Ajangiz,76.0
2023,Tasa de ocupación,,,,,Ajangiz,%,Ajangiz,79.7
2020,Tasa de ocupación,,,,,Ajangiz,%,Ajangiz,77.5
2022,Tasa de ocupación,,,,,Ajangiz,%,Ajangiz,78.4
2010,Tasa de ocupación,,,,,Albiztur,%,Albiztur,70.8
2020,Tasa de ocupación,,,,,Albiztur,%,Albiztur,82.2
2015,Tasa de ocupación,,,,,Albiztur,%,Albiztur,79.8
2021,Tasa de ocupación,,,,,Albiztur,%,Albiztur,77.4
2018,Tasa de ocupación,,,,,Albiztur,%,Albiztur,79.6
2016,Tasa de ocupación,,,,,Albiztur,%,Albiztur,76.1
2022,Tasa de ocupación,,,,,Albiztur,%,Albiztur,80.6
2019,Tasa de ocupación,,,,,Albiztur,%,Albiztur,83.4
2023,Tasa de ocupación,,,,,Albiztur,%,Albiztur,84.7
2023,Tasa de ocupación,,,,,Alegia,%,Alegia,73.5
2016,Tasa de ocupación,,,,,Alegia,%,Alegia,66.7
2019,Tasa de ocupación,,,,,Alegia,%,Alegia,72.3
2015,Tasa de ocupación,,,,,Alegia,%,Alegia,66.5
2010,Tasa de ocupación,,,,,Alegia,%,Alegia,68.7
2020,Tasa de ocupación,,,,,Alegia,%,Alegia,72.9
2022,Tasa de ocupación,,,,,Alegia,%,Alegia,75.0
2021,Tasa de ocupación,,,,,Alegia,%,Alegia,71.6
2018,Tasa de ocupación,,,,,Alegia,%,Alegia,71.7
2010,Tasa de ocupación,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,76.0
2020,Tasa de ocupación,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,77.1
2021,Tasa de ocupación,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,74.1
2015,Tasa de ocupación,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,75.5
2022,Tasa de ocupación,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,75.6
2023,Tasa de ocupación,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,77.8
2018,Tasa de ocupación,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,76.8
2019,Tasa de ocupación,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,76.3
2016,Tasa de ocupación,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,74.2
2021,Tasa de ocupación,,,,,Alkiza,%,Alkiza,76.3
2018,Tasa de ocupación,,,,,Alkiza,%,Alkiza,82.1
2010,Tasa de ocupación,,,,,Alkiza,%,Alkiza,77.5
2022,Tasa de ocupación,,,,,Alkiza,%,Alkiza,82.4
2019,Tasa de ocupación,,,,,Alkiza,%,Alkiza,80.1
2015,Tasa de ocupación,,,,,Alkiza,%,Alkiza,79.5
2023,Tasa de ocupación,,,,,Alkiza,%,Alkiza,78.9
2020,Tasa de ocupación,,,,,Alkiza,%,Alkiza,79.9
2016,Tasa de ocupación,,,,,Alkiza,%,Alkiza,78.6
2010,Tasa de ocupación,,,,,Alonsotegi,%,Alonsotegi,64.2
2022,Tasa de ocupación,,,,,Alonsotegi,%,Alonsotegi,70.1
2023,Tasa de ocupación,,,,,Alonsotegi,%,Alonsotegi,71.4
2020,Tasa de ocupación,,,,,Alonsotegi,%,Alonsotegi,68.8
2019,Tasa de ocupación,,,,,Alonsotegi,%,Alonsotegi,66.3
2016,Tasa de ocupación,,,,,Alonsotegi,%,Alonsotegi,62.9
2015,Tasa de ocupación,,,,,Alonsotegi,%,Alonsotegi,62.3
2018,Tasa de ocupación,,,,,Alonsotegi,%,Alonsotegi,67.5
2021,Tasa de ocupación,,,,,Alonsotegi,%,Alonsotegi,68.1
2021,Tasa de ocupación,,,,,Altzaga,%,Altzaga,74.4
2010,Tasa de ocupación,,,,,Altzaga,%,Altzaga,80.0
2019,Tasa de ocupación,,,,,Altzaga,%,Altzaga,76.3
2023,Tasa de ocupación,,,,,Altzaga,%,Altzaga,79.8
2018,Tasa de ocupación,,,,,Altzaga,%,Altzaga,71.9
2022,Tasa de ocupación,,,,,Altzaga,%,Altzaga,81.7
2020,Tasa de ocupación,,,,,Altzaga,%,Altzaga,71.9
2016,Tasa de ocupación,,,,,Altzaga,%,Altzaga,76.7
2015,Tasa de ocupación,,,,,Altzaga,%,Altzaga,70.0
2010,Tasa de ocupación,,,,,Altzo,%,Altzo,71.2
2020,Tasa de ocupación,,,,,Altzo,%,Altzo,70.7
2023,Tasa de ocupación,,,,,Altzo,%,Altzo,77.0
2016,Tasa de ocupación,,,,,Altzo,%,Altzo,71.0
2015,Tasa de ocupación,,,,,Altzo,%,Altzo,71.2
2022,Tasa de ocupación,,,,,Altzo,%,Altzo,79.5
2018,Tasa de ocupación,,,,,Altzo,%,Altzo,73.0
2021,Tasa de ocupación,,,,,Altzo,%,Altzo,73.0
2019,Tasa de ocupación,,,,,Altzo,%,Altzo,76.1
2010,Tasa de ocupación,,,,,Amezketa,%,Amezketa,71.8
2023,Tasa de ocupación,,,,,Amezketa,%,Amezketa,75.9
2018,Tasa de ocupación,,,,,Amezketa,%,Amezketa,73.1
2022,Tasa de ocupación,,,,,Amezketa,%,Amezketa,76.2
2019,Tasa de ocupación,,,,,Amezketa,%,Amezketa,74.0
2015,Tasa de ocupación,,,,,Amezketa,%,Amezketa,71.8
2020,Tasa de ocupación,,,,,Amezketa,%,Amezketa,73.7
2016,Tasa de ocupación,,,,,Amezketa,%,Amezketa,70.3
2021,Tasa de ocupación,,,,,Amezketa,%,Amezketa,73.0
2020,Tasa de ocupación,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,74.3
2021,Tasa de ocupación,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,73.5
2023,Tasa de ocupación,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,78.4
2015,Tasa de ocupación,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,69.2
2019,Tasa de ocupación,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,73.8
2016,Tasa de ocupación,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,70.1
2018,Tasa de ocupación,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,72.8
2010,Tasa de ocupación,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,67.6
2022,Tasa de ocupación,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,76.0
2019,Tasa de ocupación,,,,,Amoroto,%,Amoroto,69.6
2020,Tasa de ocupación,,,,,Amoroto,%,Amoroto,68.7
2023,Tasa de ocupación,,,,,Amoroto,%,Amoroto,74.0
2021,Tasa de ocupación,,,,,Amoroto,%,Amoroto,70.1
2010,Tasa de ocupación,,,,,Amoroto,%,Amoroto,69.7
2016,Tasa de ocupación,,,,,Amoroto,%,Amoroto,74.6
2018,Tasa de ocupación,,,,,Amoroto,%,Amoroto,71.2
2022,Tasa de ocupación,,,,,Amoroto,%,Amoroto,69.8
2015,Tasa de ocupación,,,,,Amoroto,%,Amoroto,76.3
2018,Tasa de ocupación,,,,,Amurrio,%,Amurrio,68.6
2010,Tasa de ocupación,,,,,Amurrio,%,Amurrio,65.4
2022,Tasa de ocupación,,,,,Amurrio,%,Amurrio,73.7
2023,Tasa de ocupación,,,,,Amurrio,%,Amurrio,74.4
2021,Tasa de ocupación,,,,,Amurrio,%,Amurrio,70.5
2020,Tasa de ocupación,,,,,Amurrio,%,Amurrio,70.7
2016,Tasa de ocupación,,,,,Amurrio,%,Amurrio,65.5
2015,Tasa de ocupación,,,,,Amurrio,%,Amurrio,65.6
2019,Tasa de ocupación,,,,,Amurrio,%,Amurrio,70.5
2019,Tasa de ocupación,,,,,Andoain,%,Andoain,73.5
2010,Tasa de ocupación,,,,,Andoain,%,Andoain,66.8
2021,Tasa de ocupación,,,,,Andoain,%,Andoain,73.7
2023,Tasa de ocupación,,,,,Andoain,%,Andoain,77.3
2020,Tasa de ocupación,,,,,Andoain,%,Andoain,74.6
2022,Tasa de ocupación,,,,,Andoain,%,Andoain,75.2
2015,Tasa de ocupación,,,,,Andoain,%,Andoain,68.5
2018,Tasa de ocupación,,,,,Andoain,%,Andoain,71.7
2016,Tasa de ocupación,,,,,Andoain,%,Andoain,68.4
2022,Tasa de ocupación,,,,,Anoeta,%,Anoeta,76.0
2010,Tasa de ocupación,,,,,Anoeta,%,Anoeta,68.7
2020,Tasa de ocupación,,,,,Anoeta,%,Anoeta,75.1
2019,Tasa de ocupación,,,,,Anoeta,%,Anoeta,74.6
2023,Tasa de ocupación,,,,,Anoeta,%,Anoeta,77.7
2015,Tasa de ocupación,,,,,Anoeta,%,Anoeta,69.2
2016,Tasa de ocupación,,,,,Anoeta,%,Anoeta,69.4
2021,Tasa de ocupación,,,,,Anoeta,%,Anoeta,73.7
2018,Tasa de ocupación,,,,,Anoeta,%,Anoeta,73.9
2018,Tasa de ocupación,,,,,Antzuola,%,Antzuola,78.5
2023,Tasa de ocupación,,,,,Antzuola,%,Antzuola,81.1
2015,Tasa de ocupación,,,,,Antzuola,%,Antzuola,74.3
2021,Tasa de ocupación,,,,,Antzuola,%,Antzuola,78.7
2019,Tasa de ocupación,,,,,Antzuola,%,Antzuola,79.3
2010,Tasa de ocupación,,,,,Antzuola,%,Antzuola,71.5
2016,Tasa de ocupación,,,,,Antzuola,%,Antzuola,74.9
2020,Tasa de ocupación,,,,,Antzuola,%,Antzuola,79.6
2022,Tasa de ocupación,,,,,Antzuola,%,Antzuola,81.5
2023,Tasa de ocupación,,,,,Añana,%,Añana,76.5
2021,Tasa de ocupación,,,,,Añana,%,Añana,76.1
2019,Tasa de ocupación,,,,,Añana,%,Añana,78.3
2015,Tasa de ocupación,,,,,Añana,%,Añana,66.3
2010,Tasa de ocupación,,,,,Añana,%,Añana,71.2
2016,Tasa de ocupación,,,,,Añana,%,Añana,74.8
2020,Tasa de ocupación,,,,,Añana,%,Añana,78.6
2018,Tasa de ocupación,,,,,Añana,%,Añana,75.2
2022,Tasa de ocupación,,,,,Añana,%,Añana,75.2
2019,Tasa de ocupación,,,,,Arakaldo,%,Arakaldo,77.4
2022,Tasa de ocupación,,,,,Arakaldo,%,Arakaldo,78.8
2020,Tasa de ocupación,,,,,Arakaldo,%,Arakaldo,73.8
2023,Tasa de ocupación,,,,,Arakaldo,%,Arakaldo,80.5
2016,Tasa de ocupación,,,,,Arakaldo,%,Arakaldo,80.6
2010,Tasa de ocupación,,,,,Arakaldo,%,Arakaldo,82.5
2015,Tasa de ocupación,,,,,Arakaldo,%,Arakaldo,70.5
2021,Tasa de ocupación,,,,,Arakaldo,%,Arakaldo,73.4
2018,Tasa de ocupación,,,,,Arakaldo,%,Arakaldo,75.5
2020,Tasa de ocupación,,,,,Arama,%,Arama,76.6
2018,Tasa de ocupación,,,,,Arama,%,Arama,82.6
2010,Tasa de ocupación,,,,,Arama,%,Arama,72.4
2022,Tasa de ocupación,,,,,Arama,%,Arama,74.4
2016,Tasa de ocupación,,,,,Arama,%,Arama,80.7
2015,Tasa de ocupación,,,,,Arama,%,Arama,75.6
2023,Tasa de ocupación,,,,,Arama,%,Arama,80.7
2019,Tasa de ocupación,,,,,Arama,%,Arama,78.8
2021,Tasa de ocupación,,,,,Arama,%,Arama,76.1
2016,Tasa de ocupación,,,,,Aramaio,%,Aramaio,72.3
2015,Tasa de ocupación,,,,,Aramaio,%,Aramaio,72.0
2022,Tasa de ocupación,,,,,Aramaio,%,Aramaio,77.4
2021,Tasa de ocupación,,,,,Aramaio,%,Aramaio,73.7
2023,Tasa de ocupación,,,,,Aramaio,%,Aramaio,78.6
2020,Tasa de ocupación,,,,,Aramaio,%,Aramaio,76.1
2019,Tasa de ocupación,,,,,Aramaio,%,Aramaio,77.2
2010,Tasa de ocupación,,,,,Aramaio,%,Aramaio,74.0
2018,Tasa de ocupación,,,,,Aramaio,%,Aramaio,77.3
2020,Tasa de ocupación,,,,,Arantzazu,%,Arantzazu,71.6
2019,Tasa de ocupación,,,,,Arantzazu,%,Arantzazu,72.0
2016,Tasa de ocupación,,,,,Arantzazu,%,Arantzazu,71.6
2018,Tasa de ocupación,,,,,Arantzazu,%,Arantzazu,70.7
2022,Tasa de ocupación,,,,,Arantzazu,%,Arantzazu,73.3
2010,Tasa de ocupación,,,,,Arantzazu,%,Arantzazu,67.6
2015,Tasa de ocupación,,,,,Arantzazu,%,Arantzazu,68.3
2023,Tasa de ocupación,,,,,Arantzazu,%,Arantzazu,77.7
2021,Tasa de ocupación,,,,,Arantzazu,%,Arantzazu,70.0
2020,Tasa de ocupación,,,,,Areatza,%,Areatza,71.7
2023,Tasa de ocupación,,,,,Areatza,%,Areatza,75.2
2019,Tasa de ocupación,,,,,Areatza,%,Areatza,73.8
2018,Tasa de ocupación,,,,,Areatza,%,Areatza,71.5
2016,Tasa de ocupación,,,,,Areatza,%,Areatza,69.5
2021,Tasa de ocupación,,,,,Areatza,%,Areatza,69.1
2022,Tasa de ocupación,,,,,Areatza,%,Areatza,72.0
2015,Tasa de ocupación,,,,,Areatza,%,Areatza,68.1
2010,Tasa de ocupación,,,,,Areatza,%,Areatza,68.3
2020,Tasa de ocupación,,,,,Aretxabaleta,%,Aretxabaleta,77.0
2023,Tasa de ocupación,,,,,Aretxabaleta,%,Aretxabaleta,79.2
2016,Tasa de ocupación,,,,,Aretxabaleta,%,Aretxabaleta,72.7
2018,Tasa de ocupación,,,,,Aretxabaleta,%,Aretxabaleta,75.4
2010,Tasa de ocupación,,,,,Aretxabaleta,%,Aretxabaleta,70.3
2021,Tasa de ocupación,,,,,Aretxabaleta,%,Aretxabaleta,75.8
2019,Tasa de ocupación,,,,,Aretxabaleta,%,Aretxabaleta,75.5
2022,Tasa de ocupación,,,,,Aretxabaleta,%,Aretxabaleta,77.7
2015,Tasa de ocupación,,,,,Aretxabaleta,%,Aretxabaleta,70.8
2023,Tasa de ocupación,,,,,Armiñón,%,Armiñón,76.3
2020,Tasa de ocupación,,,,,Armiñón,%,Armiñón,73.3
2019,Tasa de ocupación,,,,,Armiñón,%,Armiñón,77.0
2021,Tasa de ocupación,,,,,Armiñón,%,Armiñón,72.1
2022,Tasa de ocupación,,,,,Armiñón,%,Armiñón,77.7
2018,Tasa de ocupación,,,,,Armiñón,%,Armiñón,78.8
2010,Tasa de ocupación,,,,,Armiñón,%,Armiñón,69.0
2015,Tasa de ocupación,,,,,Armiñón,%,Armiñón,75.8
2016,Tasa de ocupación,,,,,Armiñón,%,Armiñón,73.2
2021,Tasa de ocupación,,,,,Arraia-Maeztu,%,Arraia-Maeztu,79.5
2022,Tasa de ocupación,,,,,Arraia-Maeztu,%,Arraia-Maeztu,82.9
2010,Tasa de ocupación,,,,,Arraia-Maeztu,%,Arraia-Maeztu,75.0
2015,Tasa de ocupación,,,,,Arraia-Maeztu,%,Arraia-Maeztu,76.4
2016,Tasa de ocupación,,,,,Arraia-Maeztu,%,Arraia-Maeztu,76.7
2020,Tasa de ocupación,,,,,Arraia-Maeztu,%,Arraia-Maeztu,81.7
2018,Tasa de ocupación,,,,,Arraia-Maeztu,%,Arraia-Maeztu,79.4
2019,Tasa de ocupación,,,,,Arraia-Maeztu,%,Arraia-Maeztu,79.8
2023,Tasa de ocupación,,,,,Arraia-Maeztu,%,Arraia-Maeztu,83.4
2019,Tasa de ocupación,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,74.0
2023,Tasa de ocupación,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,79.0
2021,Tasa de ocupación,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,74.7
2020,Tasa de ocupación,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,73.6
2018,Tasa de ocupación,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,74.7
2015,Tasa de ocupación,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,68.8
2016,Tasa de ocupación,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,72.1
2010,Tasa de ocupación,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,70.1
2022,Tasa de ocupación,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,77.2
2019,Tasa de ocupación,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,69.3
2015,Tasa de ocupación,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,64.8
2023,Tasa de ocupación,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,73.6
2018,Tasa de ocupación,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,69.3
2020,Tasa de ocupación,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,70.2
2022,Tasa de ocupación,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,71.8
2016,Tasa de ocupación,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,65.3
2010,Tasa de ocupación,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,66.3
2021,Tasa de ocupación,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,69.6
2022,Tasa de ocupación,,,,,Arratzu,%,Arratzu,75.5
2018,Tasa de ocupación,,,,,Arratzu,%,Arratzu,75.3
2015,Tasa de ocupación,,,,,Arratzu,%,Arratzu,75.1
2016,Tasa de ocupación,,,,,Arratzu,%,Arratzu,74.5
2010,Tasa de ocupación,,,,,Arratzu,%,Arratzu,74.1
2019,Tasa de ocupación,,,,,Arratzu,%,Arratzu,72.2
2020,Tasa de ocupación,,,,,Arratzu,%,Arratzu,76.3
2021,Tasa de ocupación,,,,,Arratzu,%,Arratzu,72.4
2023,Tasa de ocupación,,,,,Arratzu,%,Arratzu,83.3
2023,Tasa de ocupación,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,77.5
2010,Tasa de ocupación,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,74.0
2021,Tasa de ocupación,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,73.8
2018,Tasa de ocupación,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,76.3
2015,Tasa de ocupación,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,74.4
2016,Tasa de ocupación,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,77.2
2019,Tasa de ocupación,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,77.3
2022,Tasa de ocupación,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,77.4
2020,Tasa de ocupación,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,75.7
2022,Tasa de ocupación,,,,,Arrieta,%,Arrieta,75.6
2023,Tasa de ocupación,,,,,Arrieta,%,Arrieta,77.1
2010,Tasa de ocupación,,,,,Arrieta,%,Arrieta,73.5
2018,Tasa de ocupación,,,,,Arrieta,%,Arrieta,72.0
2020,Tasa de ocupación,,,,,Arrieta,%,Arrieta,69.5
2015,Tasa de ocupación,,,,,Arrieta,%,Arrieta,72.4
2016,Tasa de ocupación,,,,,Arrieta,%,Arrieta,72.0
2021,Tasa de ocupación,,,,,Arrieta,%,Arrieta,74.1
2019,Tasa de ocupación,,,,,Arrieta,%,Arrieta,72.4
2020,Tasa de ocupación,,,,,Arrigorriaga,%,Arrigorriaga,70.9
2016,Tasa de ocupación,,,,,Arrigorriaga,%,Arrigorriaga,66.5
2023,Tasa de ocupación,,,,,Arrigorriaga,%,Arrigorriaga,76.2
2019,Tasa de ocupación,,,,,Arrigorriaga,%,Arrigorriaga,70.4
2015,Tasa de ocupación,,,,,Arrigorriaga,%,Arrigorriaga,66.6
2010,Tasa de ocupación,,,,,Arrigorriaga,%,Arrigorriaga,68.2
2022,Tasa de ocupación,,,,,Arrigorriaga,%,Arrigorriaga,73.0
2018,Tasa de ocupación,,,,,Arrigorriaga,%,Arrigorriaga,68.7
2021,Tasa de ocupación,,,,,Arrigorriaga,%,Arrigorriaga,70.5
2019,Tasa de ocupación,,,,,Artea,%,Artea,73.2
2016,Tasa de ocupación,,,,,Artea,%,Artea,67.5
2018,Tasa de ocupación,,,,,Artea,%,Artea,71.9
2010,Tasa de ocupación,,,,,Artea,%,Artea,71.9
2020,Tasa de ocupación,,,,,Artea,%,Artea,71.7
2023,Tasa de ocupación,,,,,Artea,%,Artea,76.1
2022,Tasa de ocupación,,,,,Artea,%,Artea,71.2
2021,Tasa de ocupación,,,,,Artea,%,Artea,68.7
2015,Tasa de ocupación,,,,,Artea,%,Artea,68.5
2022,Tasa de ocupación,,,,,Artzentales,%,Artzentales,61.8
2021,Tasa de ocupación,,,,,Artzentales,%,Artzentales,62.7
2018,Tasa de ocupación,,,,,Artzentales,%,Artzentales,63.8
2015,Tasa de ocupación,,,,,Artzentales,%,Artzentales,65.6
2020,Tasa de ocupación,,,,,Artzentales,%,Artzentales,65.3
2016,Tasa de ocupación,,,,,Artzentales,%,Artzentales,61.1
2010,Tasa de ocupación,,,,,Artzentales,%,Artzentales,67.6
2023,Tasa de ocupación,,,,,Artzentales,%,Artzentales,67.6
2019,Tasa de ocupación,,,,,Artzentales,%,Artzentales,62.4
2015,Tasa de ocupación,,,,,Artziniega,%,Artziniega,68.0
2023,Tasa de ocupación,,,,,Artziniega,%,Artziniega,74.4
