Year,Series,Non-communicable disease,Sex,Province,County,Municipality,Units,GeoCode,Value
2015,Mortality rate,Diabetes,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,25.7
2012,Mortality rate,Diabetes,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,24.2
2023,Mortality rate,Diabetes,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,22.4
2017,Mortality rate,Cancer,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,218.5
2010,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,563.5
2020,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,594.9
2020,Mortality rate,Cardiovascular diseases,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,292.8
2011,Mortality rate,Diabetes,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,21.8
2020,Mortality rate,Diabetes,Female,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,25.2
2010,Mortality rate,Cancer,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,188.0
2012,Mortality rate,Chronic respiratory diseases,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,68.0
2017,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,565.7
2020,Mortality rate,Chronic respiratory diseases,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,47.3
2010,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,530.0
2010,Mortality rate,Diabetes,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,28.8
2011,Mortality rate,Cancer,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,203.9
2017,Mortality rate,Cardiovascular diseases,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,260.4
2016,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,539.6
2011,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,546.6
2020,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,535.3
2013,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,526.4
2011,Mortality rate,Chronic respiratory diseases,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,59.6
2012,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,543.8
2019,Mortality rate,Cancer,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,209.8
2018,Mortality rate,Chronic respiratory diseases,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,71.3
2019,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,554.0
2015,Mortality rate,Cancer,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,214.6
2018,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,575.1
2011,Mortality rate,Diabetes,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,26.7
2023,Mortality rate,Cardiovascular diseases,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,274.3
2018,Mortality rate,Cardiovascular diseases,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,264.5
2016,Mortality rate,Cardiovascular diseases,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,250.5
2023,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,566.4
2022,Mortality rate,Cardiovascular diseases,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,274.6
2019,Mortality rate,Chronic respiratory diseases,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,65.0
2014,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,528.7
2021,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,572.4
2012,Mortality rate,Cardiovascular diseases,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,259.8
2023,Mortality rate,Cancer,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,209.5
2014,Mortality rate,Cardiovascular diseases,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,230.5
2015,Mortality rate,Cardiovascular diseases,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,258.1
2017,Mortality rate,Diabetes,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,16.7
2010,Mortality rate,Cardiovascular diseases,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,253.0
2020,Mortality rate,Cardiovascular diseases,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,264.7
2012,Mortality rate,Diabetes,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,26.6
2013,Mortality rate,Cardiovascular diseases,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,243.4
2022,Mortality rate,Diabetes,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,23.7
2021,Mortality rate,Diabetes,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,19.1
2017,Mortality rate,Chronic respiratory diseases,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,74.0
2015,Mortality rate,Chronic respiratory diseases,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,65.4
2018,Mortality rate,Diabetes,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,22.4
2016,Mortality rate,Diabetes,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,17.9
2013,Mortality rate,Diabetes,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,27.7
2019,Mortality rate,Cardiovascular diseases,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,257.9
2023,Mortality rate,Chronic respiratory diseases,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,55.6
2019,Mortality rate,Diabetes,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,21.2
2015,Mortality rate,Diabetes,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,22.6
2023,Mortality rate,Diabetes,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,27.1
2011,Mortality rate,Cardiovascular diseases,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,256.3
2020,Mortality rate,Diabetes,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,21.7
2022,Mortality rate,Cancer,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,208.5
2014,Mortality rate,Diabetes,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,20.7
2020,Mortality rate,Cancer,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,201.6
2021,Mortality rate,Cancer,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,213.6
2016,Mortality rate,Cancer,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,200.2
2014,Mortality rate,Cancer,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,208.7
2013,Mortality rate,Cancer,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,196.9
2022,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,553.8
2017,Mortality rate,Cancer,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,214.6
2018,Mortality rate,Cancer,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,216.9
2012,Mortality rate,Cancer,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,189.3
2022,Mortality rate,Chronic respiratory diseases,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,47.1
2021,Mortality rate,Chronic respiratory diseases,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,41.7
2016,Mortality rate,Chronic respiratory diseases,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,71.0
2014,Mortality rate,Chronic respiratory diseases,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,68.8
2010,Mortality rate,Chronic respiratory diseases,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,60.2
2013,Mortality rate,Chronic respiratory diseases,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,58.4
2015,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,560.7
2021,Mortality rate,Cardiovascular diseases,Female,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,298.0
2015,Mortality rate,Diabetes,Male,,,,"Per 100,000 inhabitants",,20.2
2019,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,,,,"Per 100,000 inhabitants",,699.3
2011,Mortality rate,Cancer,Male,,,,"Per 100,000 inhabitants",,351.9
2023,Mortality rate,Diabetes,Male,,,,"Per 100,000 inhabitants",,19.9
2018,Mortality rate,Cardiovascular diseases,Male,,,,"Per 100,000 inhabitants",,260.1
2013,Mortality rate,Diabetes,Male,,,,"Per 100,000 inhabitants",,19.2
2020,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,,,,"Per 100,000 inhabitants",,668.5
2015,Mortality rate,Cardiovascular diseases,Male,,,,"Per 100,000 inhabitants",,256.4
2018,Mortality rate,Chronic respiratory diseases,Male,,,,"Per 100,000 inhabitants",,88.8
2014,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,,,,"Per 100,000 inhabitants",,689.1
2020,Mortality rate,Cancer,Male,,,,"Per 100,000 inhabitants",,340.3
2020,Mortality rate,Chronic respiratory diseases,Male,,,,"Per 100,000 inhabitants",,62.6
2018,Mortality rate,Cancer,Male,,,,"Per 100,000 inhabitants",,353.9
2017,Mortality rate,Cardiovascular diseases,Male,,,,"Per 100,000 inhabitants",,257.1
2019,Mortality rate,Chronic respiratory diseases,Male,,,,"Per 100,000 inhabitants",,85.6
2012,Mortality rate,Cancer,Male,,,,"Per 100,000 inhabitants",,355.1
2014,Mortality rate,Cardiovascular diseases,Male,,,,"Per 100,000 inhabitants",,238.7
2021,Mortality rate,Diabetes,Male,,,,"Per 100,000 inhabitants",,18.7
2011,Mortality rate,Cardiovascular diseases,Male,,,,"Per 100,000 inhabitants",,253.9
2011,Mortality rate,Chronic respiratory diseases,Male,,,,"Per 100,000 inhabitants",,77.6
2011,Mortality rate,Diabetes,Male,,,,"Per 100,000 inhabitants",,19.5
2017,Mortality rate,Chronic respiratory diseases,Male,,,,"Per 100,000 inhabitants",,89.9
2022,Mortality rate,Diabetes,Male,,,,"Per 100,000 inhabitants",,21.5
2019,Mortality rate,Cardiovascular diseases,Male,,,,"Per 100,000 inhabitants",,251.5
2012,Mortality rate,Chronic respiratory diseases,Male,,,,"Per 100,000 inhabitants",,82.2
2023,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,,,,"Per 100,000 inhabitants",,678.7
2012,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,,,,"Per 100,000 inhabitants",,706.3
2017,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,,,,"Per 100,000 inhabitants",,716.5
2010,Mortality rate,Cardiovascular diseases,Male,,,,"Per 100,000 inhabitants",,260.1
2022,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,,,,"Per 100,000 inhabitants",,681.6
2016,Mortality rate,Cardiovascular diseases,Male,,,,"Per 100,000 inhabitants",,258.1
2018,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,,,,"Per 100,000 inhabitants",,721.4
2015,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,,,,"Per 100,000 inhabitants",,719.8
2021,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,,,,"Per 100,000 inhabitants",,681.7
2010,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,,,,"Per 100,000 inhabitants",,699.3
2014,Mortality rate,Diabetes,Male,,,,"Per 100,000 inhabitants",,17.6
2015,Mortality rate,Chronic respiratory diseases,Male,,,,"Per 100,000 inhabitants",,90.1
2011,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,,,,"Per 100,000 inhabitants",,702.9
2016,Mortality rate,Chronic respiratory diseases,Male,,,,"Per 100,000 inhabitants",,85.2
2021,Mortality rate,Chronic respiratory diseases,Male,,,,"Per 100,000 inhabitants",,66.0
2023,Mortality rate,Cardiovascular diseases,Male,,,,"Per 100,000 inhabitants",,251.8
2023,Mortality rate,Cancer,Male,,,,"Per 100,000 inhabitants",,340.0
2017,Mortality rate,Cancer,Male,,,,"Per 100,000 inhabitants",,353.3
2010,Mortality rate,Chronic respiratory diseases,Male,,,,"Per 100,000 inhabitants",,75.1
2010,Mortality rate,Cancer,Male,,,,"Per 100,000 inhabitants",,343.2
2013,Mortality rate,Cancer,Male,,,,"Per 100,000 inhabitants",,348.9
2012,Mortality rate,Cardiovascular diseases,Male,,,,"Per 100,000 inhabitants",,249.9
2015,Premature mortality rate (ages 30–70),"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,,,,PT,,14.0
2016,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,,,,"Per 100,000 inhabitants",,714.0
2020,Mortality rate,Cardiovascular diseases,Male,,,,"Per 100,000 inhabitants",,243.3
2014,Mortality rate,Chronic respiratory diseases,Male,,,,"Per 100,000 inhabitants",,77.9
2021,Mortality rate,Cardiovascular diseases,Male,,,,"Per 100,000 inhabitants",,260.7
2019,Premature mortality rate (ages 30–70),"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,,,,PT,,12.8
2015,Mortality rate,Cancer,Male,,,,"Per 100,000 inhabitants",,353.1
2019,Mortality rate,Diabetes,Male,,,,"Per 100,000 inhabitants",,18.4
2010,Mortality rate,Diabetes,Male,,,,"Per 100,000 inhabitants",,20.9
2020,Mortality rate,Diabetes,Male,,,,"Per 100,000 inhabitants",,22.3
2017,Mortality rate,Diabetes,Male,,,,"Per 100,000 inhabitants",,16.3
2014,Mortality rate,Cancer,Male,,,,"Per 100,000 inhabitants",,354.9
2023,Mortality rate,Chronic respiratory diseases,Male,,,,"Per 100,000 inhabitants",,67.0
2022,Mortality rate,Chronic respiratory diseases,Male,,,,"Per 100,000 inhabitants",,67.2
2022,Mortality rate,Cancer,Male,,,,"Per 100,000 inhabitants",,340.1
2013,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,,,,"Per 100,000 inhabitants",,691.4
2010,Premature mortality rate (ages 30–70),"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,,,,PT,,15.4
2013,Mortality rate,Cardiovascular diseases,Male,,,,"Per 100,000 inhabitants",,244.5
2013,Mortality rate,Chronic respiratory diseases,Male,,,,"Per 100,000 inhabitants",,78.8
2019,Mortality rate,Cancer,Male,,,,"Per 100,000 inhabitants",,343.8
2022,Mortality rate,Cardiovascular diseases,Male,,,,"Per 100,000 inhabitants",,252.9
2021,Mortality rate,Cancer,Male,,,,"Per 100,000 inhabitants",,336.3
2016,Mortality rate,Diabetes,Male,,,,"Per 100,000 inhabitants",,18.7
2016,Mortality rate,Cancer,Male,,,,"Per 100,000 inhabitants",,352.1
2018,Mortality rate,Diabetes,Male,,,,"Per 100,000 inhabitants",,18.7
2012,Mortality rate,Diabetes,Male,,,,"Per 100,000 inhabitants",,19.1
2015,Mortality rate,Chronic respiratory diseases,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,79.2
2010,Mortality rate,Chronic respiratory diseases,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,70.0
2023,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,595.0
2019,Mortality rate,Chronic respiratory diseases,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,92.1
2013,Mortality rate,Chronic respiratory diseases,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,85.7
2014,Mortality rate,Cancer,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,291.0
2019,Mortality rate,Cardiovascular diseases,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,203.3
2021,Mortality rate,Chronic respiratory diseases,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,53.0
2018,Mortality rate,Cancer,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,319.7
2023,Mortality rate,Cancer,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,292.9
2023,Mortality rate,Chronic respiratory diseases,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,65.3
2013,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,624.5
2016,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,641.5
2020,Mortality rate,Cancer,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,271.8
2012,Mortality rate,Chronic respiratory diseases,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,86.4
2013,Mortality rate,Cancer,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,318.9
2014,Mortality rate,Chronic respiratory diseases,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,67.4
2021,Mortality rate,Cancer,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,300.1
2018,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,630.8
2015,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,622.7
2020,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,559.6
2022,Mortality rate,Cardiovascular diseases,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,212.8
2022,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,579.0
2017,Mortality rate,Chronic respiratory diseases,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,76.3
2016,Mortality rate,Chronic respiratory diseases,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,77.2
2020,Mortality rate,Cardiovascular diseases,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,200.9
2017,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,636.3
2023,Mortality rate,Diabetes,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,19.5
2011,Mortality rate,Cardiovascular diseases,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,195.5
2016,Mortality rate,Cancer,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,325.8
2014,Mortality rate,Cardiovascular diseases,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,187.1
2018,Mortality rate,Diabetes,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,13.7
2019,Mortality rate,Diabetes,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,13.0
2020,Mortality rate,Diabetes,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,19.7
2022,Mortality rate,Chronic respiratory diseases,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,64.4
2011,Mortality rate,Diabetes,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,15.7
2015,Mortality rate,Diabetes,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,20.1
2018,Mortality rate,Cardiovascular diseases,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,221.5
2014,Mortality rate,Diabetes,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,10.1
2017,Mortality rate,Cancer,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,332.9
2023,Mortality rate,Cardiovascular diseases,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,217.2
2021,Mortality rate,Diabetes,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,23.4
2013,Mortality rate,Cardiovascular diseases,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,197.2
2021,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,610.6
2013,Mortality rate,Diabetes,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,22.7
2010,Mortality rate,Cardiovascular diseases,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,208.2
2010,Mortality rate,Diabetes,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,22.7
2017,Mortality rate,Diabetes,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,13.8
2017,Mortality rate,Cardiovascular diseases,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,213.4
2010,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,589.2
2011,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,626.0
2012,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,595.7
2019,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,623.6
2012,Mortality rate,Diabetes,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,19.4
2021,Mortality rate,Cardiovascular diseases,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,234.1
2022,Mortality rate,Diabetes,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,21.5
2014,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,555.5
2012,Mortality rate,Cancer,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,303.2
2010,Mortality rate,Cancer,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,288.3
2011,Mortality rate,Cancer,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,342.1
2015,Mortality rate,Cardiovascular diseases,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,215.5
2022,Mortality rate,Cancer,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,280.3
2020,Mortality rate,Chronic respiratory diseases,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,67.2
2019,Mortality rate,Cancer,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,315.2
2016,Mortality rate,Cardiovascular diseases,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,222.8
2016,Mortality rate,Diabetes,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,15.7
2015,Mortality rate,Cancer,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,307.9
2018,Mortality rate,Chronic respiratory diseases,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,75.9
2012,Mortality rate,Cardiovascular diseases,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,186.7
2011,Mortality rate,Chronic respiratory diseases,Male,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,72.7
2016,Mortality rate,Cardiovascular diseases,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,274.0
2015,Mortality rate,Cancer,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,377.0
2014,Mortality rate,Chronic respiratory diseases,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,80.8
2015,Mortality rate,Diabetes,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,21.7
2023,Mortality rate,Diabetes,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,17.6
2013,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,725.7
2011,Mortality rate,Cardiovascular diseases,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,277.8
2010,Mortality rate,Cardiovascular diseases,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,282.5
2022,Mortality rate,Cancer,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,361.8
2023,Mortality rate,Cancer,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,347.0
2019,Mortality rate,Cancer,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,374.8
2014,Mortality rate,Cancer,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,380.3
2017,Mortality rate,Cancer,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,369.6
2010,Mortality rate,Cancer,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,371.3
2012,Mortality rate,Cardiovascular diseases,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,272.5
2021,Mortality rate,Diabetes,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,18.2
2022,Mortality rate,Chronic respiratory diseases,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,71.0
