Year,Series,Non-communicable disease,Sex,Province,County,Municipality,Units,GeoCode,Value
2017,Mortality rate,Cancer,,,,,"Per 100,000 inhabitants",,282.4
2016,Mortality rate,Diabetes,,,,,"Per 100,000 inhabitants",,19.5
2014,Mortality rate,Cardiovascular diseases,,,,,"Per 100,000 inhabitants",,248.1
2020,Mortality rate,Diabetes,,,,,"Per 100,000 inhabitants",,22.8
2019,Mortality rate,Diabetes,,,,,"Per 100,000 inhabitants",,20.7
2023,Mortality rate,Cardiovascular diseases,,,,,"Per 100,000 inhabitants",,257.1
2018,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,,,,"Per 100,000 inhabitants",,648.9
2020,Mortality rate,Cancer,,,,,"Per 100,000 inhabitants",,273.5
2014,Mortality rate,Cancer,,,,,"Per 100,000 inhabitants",,283.9
2010,Mortality rate,Cardiovascular diseases,,,,,"Per 100,000 inhabitants",,261.3
2012,Mortality rate,Cardiovascular diseases,,,,,"Per 100,000 inhabitants",,263.2
2021,Mortality rate,Cancer,,,,,"Per 100,000 inhabitants",,276.7
2018,Mortality rate,Cardiovascular diseases,,,,,"Per 100,000 inhabitants",,265.0
2015,Premature mortality rate (ages 30–70),"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,,,,PT,,10.3
2015,Mortality rate,Diabetes,,,,,"Per 100,000 inhabitants",,22.2
2010,Premature mortality rate (ages 30–70),"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,,,,PT,,11.0
2018,Mortality rate,Chronic respiratory diseases,,,,,"Per 100,000 inhabitants",,81.7
2013,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,,,,"Per 100,000 inhabitants",,613.0
2013,Mortality rate,Diabetes,,,,,"Per 100,000 inhabitants",,23.2
2013,Mortality rate,Cardiovascular diseases,,,,,"Per 100,000 inhabitants",,248.6
2019,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,,,,"Per 100,000 inhabitants",,631.2
2022,Mortality rate,Diabetes,,,,,"Per 100,000 inhabitants",,22.1
2014,Mortality rate,Diabetes,,,,,"Per 100,000 inhabitants",,20.1
2010,Mortality rate,Chronic respiratory diseases,,,,,"Per 100,000 inhabitants",,63.5
2013,Mortality rate,Cancer,,,,,"Per 100,000 inhabitants",,272.0
2011,Mortality rate,Cardiovascular diseases,,,,,"Per 100,000 inhabitants",,259.7
2011,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,,,,"Per 100,000 inhabitants",,626.2
2021,Mortality rate,Diabetes,,,,,"Per 100,000 inhabitants",,21.0
2021,Mortality rate,Chronic respiratory diseases,,,,,"Per 100,000 inhabitants",,54.6
2017,Mortality rate,Diabetes,,,,,"Per 100,000 inhabitants",,17.4
2021,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,,,,"Per 100,000 inhabitants",,622.4
2016,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,,,,"Per 100,000 inhabitants",,641.2
2015,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,,,,"Per 100,000 inhabitants",,651.4
2012,Mortality rate,Cancer,,,,,"Per 100,000 inhabitants",,272.4
2021,Mortality rate,Cardiovascular diseases,,,,,"Per 100,000 inhabitants",,270.2
2015,Mortality rate,Cardiovascular diseases,,,,,"Per 100,000 inhabitants",,266.4
2022,Mortality rate,Cardiovascular diseases,,,,,"Per 100,000 inhabitants",,263.1
2023,Mortality rate,Chronic respiratory diseases,,,,,"Per 100,000 inhabitants",,59.1
2017,Mortality rate,Chronic respiratory diseases,,,,,"Per 100,000 inhabitants",,82.8
2022,Mortality rate,Chronic respiratory diseases,,,,,"Per 100,000 inhabitants",,58.3
2011,Mortality rate,Cancer,,,,,"Per 100,000 inhabitants",,279.1
2016,Mortality rate,Cancer,,,,,"Per 100,000 inhabitants",,281.6
2010,Mortality rate,Cancer,,,,,"Per 100,000 inhabitants",,267.5
2012,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,524.5
2014,Mortality rate,Chronic respiratory diseases,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,57.6
2022,Mortality rate,Cardiovascular diseases,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,218.9
2017,Mortality rate,Diabetes,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,16.9
2010,Mortality rate,Cardiovascular diseases,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,216.1
2023,Mortality rate,Cardiovascular diseases,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,232.4
2011,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,539.2
2020,Mortality rate,Diabetes,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,19.4
2019,Mortality rate,Cancer,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,250.4
2020,Mortality rate,Chronic respiratory diseases,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,57.8
2016,Mortality rate,Cardiovascular diseases,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,218.3
2019,Mortality rate,Cardiovascular diseases,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,204.2
2014,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,496.1
2012,Mortality rate,Chronic respiratory diseases,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,66.0
2013,Mortality rate,Diabetes,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,21.2
2016,Mortality rate,Diabetes,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,17.3
2016,Mortality rate,Cancer,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,250.5
2018,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,538.3
2010,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,521.0
2020,Mortality rate,Cardiovascular diseases,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,190.5
2013,Mortality rate,Cardiovascular diseases,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,206.2
2018,Mortality rate,Diabetes,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,17.1
2023,Mortality rate,Cancer,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,241.4
2010,Mortality rate,Cancer,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,224.0
2021,Mortality rate,Cancer,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,250.6
2014,Mortality rate,Cancer,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,234.3
2021,Mortality rate,Chronic respiratory diseases,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,45.1
2017,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,567.5
2015,Mortality rate,Cardiovascular diseases,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,220.1
2022,Mortality rate,Chronic respiratory diseases,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,56.0
2023,Mortality rate,Diabetes,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,19.5
2011,Mortality rate,Cardiovascular diseases,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,201.4
2017,Mortality rate,Chronic respiratory diseases,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,68.7
2018,Mortality rate,Chronic respiratory diseases,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,68.9
2019,Mortality rate,Diabetes,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,14.0
2017,Mortality rate,Cardiovascular diseases,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,213.2
2018,Mortality rate,Cancer,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,243.0
2020,Mortality rate,Cancer,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,224.1
2021,Mortality rate,Cardiovascular diseases,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,217.6
2019,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,546.4
2012,Mortality rate,Cancer,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,232.0
2011,Mortality rate,Cancer,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,257.9
2023,Mortality rate,Chronic respiratory diseases,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,51.5
2021,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,536.3
2022,Mortality rate,Cancer,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,243.6
2016,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,553.9
2022,Mortality rate,Diabetes,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,19.6
2019,Mortality rate,Chronic respiratory diseases,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,77.8
2015,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,574.1
2013,Mortality rate,Cancer,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,247.7
2010,Mortality rate,Chronic respiratory diseases,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,55.4
2016,Mortality rate,Chronic respiratory diseases,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,67.8
2012,Mortality rate,Cardiovascular diseases,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,207.1
2017,Mortality rate,Cancer,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,268.7
2013,Mortality rate,Chronic respiratory diseases,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,71.5
2022,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,538.1
2013,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,546.6
2015,Mortality rate,Diabetes,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,21.1
2012,Mortality rate,Diabetes,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,19.3
2018,Mortality rate,Cardiovascular diseases,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,209.3
2014,Mortality rate,Cardiovascular diseases,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,191.6
2021,Mortality rate,Diabetes,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,23.0
2020,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,491.8
2014,Mortality rate,Diabetes,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,12.5
2023,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,544.7
2011,Mortality rate,Diabetes,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,22.5
2015,Mortality rate,Cancer,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,263.6
2011,Mortality rate,Chronic respiratory diseases,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,57.4
2010,Mortality rate,Diabetes,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,25.5
2015,Mortality rate,Chronic respiratory diseases,,Araba/Álava,,,"Per 100,000 inhabitants",Araba/Álava,69.2
2017,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,684.1
2022,Mortality rate,Cancer,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,301.6
2016,Mortality rate,Cardiovascular diseases,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,285.3
2012,Mortality rate,Chronic respiratory diseases,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,72.9
2018,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,691.0
2023,Mortality rate,Cardiovascular diseases,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,259.4
2016,Mortality rate,Cancer,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,303.7
2012,Mortality rate,Cardiovascular diseases,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,285.8
2016,Mortality rate,Chronic respiratory diseases,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,79.5
2020,Mortality rate,Cancer,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,292.3
2015,Mortality rate,Diabetes,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,23.8
2020,Mortality rate,Diabetes,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,24.4
2013,Mortality rate,Cardiovascular diseases,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,263.0
2015,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,696.8
2015,Mortality rate,Chronic respiratory diseases,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,83.8
2013,Mortality rate,Diabetes,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,22.4
2020,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,651.0
2022,Mortality rate,Chronic respiratory diseases,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,61.3
2018,Mortality rate,Chronic respiratory diseases,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,89.1
2019,Mortality rate,Cardiovascular diseases,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,276.2
2014,Mortality rate,Cardiovascular diseases,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,274.4
2018,Mortality rate,Cancer,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,293.8
2012,Mortality rate,Diabetes,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,21.8
2022,Mortality rate,Cardiovascular diseases,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,275.1
2020,Mortality rate,Cardiovascular diseases,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,277.0
2017,Mortality rate,Cardiovascular diseases,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,285.9
2014,Mortality rate,Diabetes,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,22.3
2019,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,676.6
2010,Mortality rate,Cancer,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,287.6
2012,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,669.6
2018,Mortality rate,Cardiovascular diseases,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,287.8
2016,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,689.2
2013,Mortality rate,Cancer,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,285.8
2015,Mortality rate,Cancer,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,295.8
2019,Mortality rate,Chronic respiratory diseases,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,79.1
2023,Mortality rate,Diabetes,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,20.1
2014,Mortality rate,Cancer,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,303.4
2013,Mortality rate,Chronic respiratory diseases,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,71.0
2017,Mortality rate,Cancer,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,291.2
2012,Mortality rate,Cancer,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,289.1
2023,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,623.5
2021,Mortality rate,Diabetes,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,22.1
2014,Mortality rate,Chronic respiratory diseases,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,68.9
2017,Mortality rate,Chronic respiratory diseases,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,89.0
2021,Mortality rate,Cardiovascular diseases,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,276.1
2016,Mortality rate,Diabetes,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,20.7
2023,Mortality rate,Chronic respiratory diseases,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,61.7
2015,Mortality rate,Cardiovascular diseases,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,293.5
2010,Mortality rate,Cardiovascular diseases,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,280.5
2017,Mortality rate,Diabetes,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,18.0
2011,Mortality rate,Cancer,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,291.5
2021,Mortality rate,Cancer,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,291.9
2010,Mortality rate,Chronic respiratory diseases,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,64.1
2023,Mortality rate,Cancer,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,282.4
2019,Mortality rate,Diabetes,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,23.4
2013,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,642.3
2011,Mortality rate,Diabetes,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,21.9
2019,Mortality rate,Cancer,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,297.8
2010,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,654.2
2018,Mortality rate,Diabetes,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,20.4
2014,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,669.0
2022,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,659.6
2011,Mortality rate,Cardiovascular diseases,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,282.1
2021,Mortality rate,Chronic respiratory diseases,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,57.9
2021,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,648.0
2011,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,662.9
2022,Mortality rate,Diabetes,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,21.6
2020,Mortality rate,Chronic respiratory diseases,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,57.2
2010,Mortality rate,Diabetes,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,22.0
2011,Mortality rate,Chronic respiratory diseases,,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,67.4
2010,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,596.9
2011,Mortality rate,Cancer,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,268.4
2018,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,631.8
2017,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,624.4
2018,Mortality rate,Diabetes,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,22.2
2020,Mortality rate,Chronic respiratory diseases,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,53.2
2019,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,597.6
2010,Mortality rate,Chronic respiratory diseases,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,66.3
2018,Mortality rate,Cancer,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,280.0
2012,Mortality rate,Chronic respiratory diseases,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,70.5
2014,Mortality rate,Cancer,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,274.9
2020,Mortality rate,Cardiovascular diseases,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,251.1
2011,Mortality rate,Chronic respiratory diseases,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,65.7
2018,Mortality rate,Chronic respiratory diseases,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,75.7
2016,Mortality rate,Cancer,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,260.3
2015,Mortality rate,Cardiovascular diseases,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,244.0
2016,Mortality rate,Chronic respiratory diseases,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,75.0
2017,Mortality rate,Diabetes,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,16.7
2016,Mortality rate,Cardiovascular diseases,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,249.8
2014,Mortality rate,Chronic respiratory diseases,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,73.5
2013,Mortality rate,Chronic respiratory diseases,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,65.2
2012,Mortality rate,Cancer,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,263.6
2019,Mortality rate,Cardiovascular diseases,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,248.3
2021,Mortality rate,Cancer,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,264.4
2019,Mortality rate,Diabetes,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,19.5
2013,Mortality rate,Diabetes,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,25.3
2015,Mortality rate,Cancer,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,274.1
2013,Mortality rate,Cancer,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,260.5
2022,Mortality rate,Diabetes,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,24.1
2022,Mortality rate,Cancer,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,269.7
2022,Mortality rate,Chronic respiratory diseases,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,54.6
2023,Mortality rate,Cancer,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,278.5
2014,Mortality rate,Diabetes,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,19.9
2023,Mortality rate,Chronic respiratory diseases,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,58.7
2016,Mortality rate,Diabetes,,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,18.4
