Year,Territorio histórico,Sexo,Units,Value
2014,Araba/Álava,Mujer,Por 1.000 nacidos vivos,1.9
2013,Araba/Álava,Mujer,Por 1.000 nacidos vivos,0.0
2022,Araba/Álava,Mujer,Por 1.000 nacidos vivos,0.9
2012,Araba/Álava,Mujer,Por 1.000 nacidos vivos,2.6
2011,Araba/Álava,Mujer,Por 1.000 nacidos vivos,2.4
2017,Araba/Álava,Mujer,Por 1.000 nacidos vivos,1.4
2021,Araba/Álava,Mujer,Por 1.000 nacidos vivos,2.7
2019,Araba/Álava,Mujer,Por 1.000 nacidos vivos,2.4
2020,Araba/Álava,Mujer,Por 1.000 nacidos vivos,0.9
2018,Araba/Álava,Mujer,Por 1.000 nacidos vivos,0.0
2010,Araba/Álava,Mujer,Por 1.000 nacidos vivos,0.6
2024,Araba/Álava,Mujer,Por 1.000 nacidos vivos,2.9
2016,Araba/Álava,Mujer,Por 1.000 nacidos vivos,1.3
2017,Bizkaia,Mujer,Por 1.000 nacidos vivos,2.0
2020,Bizkaia,Mujer,Por 1.000 nacidos vivos,2.6
2024,Bizkaia,Mujer,Por 1.000 nacidos vivos,0.3
2022,Bizkaia,Mujer,Por 1.000 nacidos vivos,2.1
2011,Bizkaia,Mujer,Por 1.000 nacidos vivos,3.2
2010,Bizkaia,Mujer,Por 1.000 nacidos vivos,2.3
2018,Bizkaia,Mujer,Por 1.000 nacidos vivos,3.1
2014,Bizkaia,Mujer,Por 1.000 nacidos vivos,1.3
2012,Bizkaia,Mujer,Por 1.000 nacidos vivos,2.0
2016,Bizkaia,Mujer,Por 1.000 nacidos vivos,1.6
2013,Bizkaia,Mujer,Por 1.000 nacidos vivos,1.1
2015,Bizkaia,Mujer,Por 1.000 nacidos vivos,2.9
2019,Bizkaia,Mujer,Por 1.000 nacidos vivos,2.4
2021,Bizkaia,Mujer,Por 1.000 nacidos vivos,0.9
2023,Bizkaia,Mujer,Por 1.000 nacidos vivos,1.5
2010,Gipuzkoa,Mujer,Por 1.000 nacidos vivos,1.4
2024,Gipuzkoa,Mujer,Por 1.000 nacidos vivos,0.9
2023,Gipuzkoa,Mujer,Por 1.000 nacidos vivos,1.3
2022,Gipuzkoa,Mujer,Por 1.000 nacidos vivos,1.4
2021,Gipuzkoa,Mujer,Por 1.000 nacidos vivos,1.3
2020,Gipuzkoa,Mujer,Por 1.000 nacidos vivos,2.1
2019,Gipuzkoa,Mujer,Por 1.000 nacidos vivos,1.2
2018,Gipuzkoa,Mujer,Por 1.000 nacidos vivos,2.3
2017,Gipuzkoa,Mujer,Por 1.000 nacidos vivos,0.4
2016,Gipuzkoa,Mujer,Por 1.000 nacidos vivos,0.7
2015,Gipuzkoa,Mujer,Por 1.000 nacidos vivos,0.6
2014,Gipuzkoa,Mujer,Por 1.000 nacidos vivos,1.0
2013,Gipuzkoa,Mujer,Por 1.000 nacidos vivos,1.3
2012,Gipuzkoa,Mujer,Por 1.000 nacidos vivos,1.2
2011,Gipuzkoa,Mujer,Por 1.000 nacidos vivos,1.7
2018,,Hombre,Por 1.000 nacidos vivos,2.1
2013,,Hombre,Por 1.000 nacidos vivos,1.9
2016,,Hombre,Por 1.000 nacidos vivos,1.6
2023,,Hombre,Por 1.000 nacidos vivos,1.9
2024,,Hombre,Por 1.000 nacidos vivos,1.5
2014,,Hombre,Por 1.000 nacidos vivos,1.7
2010,,Hombre,Por 1.000 nacidos vivos,1.8
2017,,Hombre,Por 1.000 nacidos vivos,1.5
2020,,Hombre,Por 1.000 nacidos vivos,1.4
2011,,Hombre,Por 1.000 nacidos vivos,0.8
2012,,Hombre,Por 1.000 nacidos vivos,1.6
2015,,Hombre,Por 1.000 nacidos vivos,1.6
2019,,Hombre,Por 1.000 nacidos vivos,2.2
2021,,Hombre,Por 1.000 nacidos vivos,1.8
2022,,Hombre,Por 1.000 nacidos vivos,2.7
2010,Araba/Álava,Hombre,Por 1.000 nacidos vivos,2.3
2017,Araba/Álava,Hombre,Por 1.000 nacidos vivos,0.7
2021,Araba/Álava,Hombre,Por 1.000 nacidos vivos,3.2
2023,Araba/Álava,Hombre,Por 1.000 nacidos vivos,4.3
2013,Araba/Álava,Hombre,Por 1.000 nacidos vivos,2.5
2012,Araba/Álava,Hombre,Por 1.000 nacidos vivos,2.3
2015,Araba/Álava,Hombre,Por 1.000 nacidos vivos,1.2
2022,Araba/Álava,Hombre,Por 1.000 nacidos vivos,5.1
2016,Araba/Álava,Hombre,Por 1.000 nacidos vivos,1.9
2011,Araba/Álava,Hombre,Por 1.000 nacidos vivos,1.7
2024,Araba/Álava,Hombre,Por 1.000 nacidos vivos,2.8
2014,Araba/Álava,Hombre,Por 1.000 nacidos vivos,1.8
2020,Araba/Álava,Hombre,Por 1.000 nacidos vivos,1.6
2019,Araba/Álava,Hombre,Por 1.000 nacidos vivos,0.8
2018,Araba/Álava,Hombre,Por 1.000 nacidos vivos,2.9
2024,Bizkaia,Hombre,Por 1.000 nacidos vivos,1.2
2022,Bizkaia,Hombre,Por 1.000 nacidos vivos,2.3
2021,Bizkaia,Hombre,Por 1.000 nacidos vivos,1.4
2020,Bizkaia,Hombre,Por 1.000 nacidos vivos,1.0
2019,Bizkaia,Hombre,Por 1.000 nacidos vivos,2.8
2018,Bizkaia,Hombre,Por 1.000 nacidos vivos,2.2
2017,Bizkaia,Hombre,Por 1.000 nacidos vivos,1.8
2023,Bizkaia,Hombre,Por 1.000 nacidos vivos,1.8
2016,Bizkaia,Hombre,Por 1.000 nacidos vivos,1.7
2015,Bizkaia,Hombre,Por 1.000 nacidos vivos,1.4
2014,Bizkaia,Hombre,Por 1.000 nacidos vivos,1.4
2013,Bizkaia,Hombre,Por 1.000 nacidos vivos,1.0
2012,Bizkaia,Hombre,Por 1.000 nacidos vivos,1.5
2011,Bizkaia,Hombre,Por 1.000 nacidos vivos,0.9
2010,Bizkaia,Hombre,Por 1.000 nacidos vivos,2.4
2015,Gipuzkoa,Hombre,Por 1.000 nacidos vivos,2.2
2014,Gipuzkoa,Hombre,Por 1.000 nacidos vivos,2.2
2013,Gipuzkoa,Hombre,Por 1.000 nacidos vivos,3.1
2012,Gipuzkoa,Hombre,Por 1.000 nacidos vivos,1.4
2011,Gipuzkoa,Hombre,Por 1.000 nacidos vivos,0.3
2010,Gipuzkoa,Hombre,Por 1.000 nacidos vivos,0.5
2023,Gipuzkoa,Hombre,Por 1.000 nacidos vivos,0.9
2024,Gipuzkoa,Hombre,Por 1.000 nacidos vivos,1.3
2022,Gipuzkoa,Hombre,Por 1.000 nacidos vivos,2.1
2021,Gipuzkoa,Hombre,Por 1.000 nacidos vivos,1.6
2020,Gipuzkoa,Hombre,Por 1.000 nacidos vivos,1.9
2019,Gipuzkoa,Hombre,Por 1.000 nacidos vivos,1.9
2018,Gipuzkoa,Hombre,Por 1.000 nacidos vivos,1.4
2017,Gipuzkoa,Hombre,Por 1.000 nacidos vivos,1.4
2016,Gipuzkoa,Hombre,Por 1.000 nacidos vivos,1.3
