Year,Zerbitzu publikoak,Units,Value
2021,Gizarte zerbitzuak,%,59.6
2022,Gizarte zerbitzuak,%,51.6
2023,Gizarte zerbitzuak,%,62.2
2024,Gizarte zerbitzuak,%,50.7
2025,Gizarte zerbitzuak,%,50.9
2016,Gizarte zerbitzuak,%,60.2
2012,Gizarte zerbitzuak,%,47.6
2020,Garraio publikoa,%,82.9
2021,Garraio publikoa,%,85.2
2022,Garraio publikoa,%,81.0
2023,Garraio publikoa,%,81.2
2024,Garraio publikoa,%,76.4
2025,Garraio publikoa,%,83.5
2019,Garraio publikoa,%,86.3
2011,Garraio publikoa,%,78.1
2012,Garraio publikoa,%,78.0
2013,Garraio publikoa,%,70.2
2014,Garraio publikoa,%,72.6
2015,Garraio publikoa,%,83.2
2016,Garraio publikoa,%,83.9
2017,Garraio publikoa,%,87.9
2018,Garraio publikoa,%,83.1
2023,Herri-lanak,%,66.5
2024,Herri-lanak,%,50.5
2025,Herri-lanak,%,60.7
2011,Herri-lanak,%,59.8
2012,Herri-lanak,%,57.3
2013,Herri-lanak,%,50.0
2014,Herri-lanak,%,52.3
2015,Herri-lanak,%,55.0
2016,Herri-lanak,%,58.2
2017,Herri-lanak,%,66.4
2018,Herri-lanak,%,62.8
2019,Herri-lanak,%,65.2
2020,Herri-lanak,%,56.9
2021,Herri-lanak,%,63.4
2022,Herri-lanak,%,51.2
2014,Laguntza behar duten pertsonentzako laguntza,%,12.6
2024,Laguntza behar duten pertsonentzako laguntza,%,35.0
2020,Laguntza behar duten pertsonentzako laguntza,%,40.5
2025,Laguntza behar duten pertsonentzako laguntza,%,41.5
2019,Laguntza behar duten pertsonentzako laguntza,%,42.2
2016,Laguntza behar duten pertsonentzako laguntza,%,27.0
2012,Laguntza behar duten pertsonentzako laguntza,%,28.7
2011,Laguntza behar duten pertsonentzako laguntza,%,37.3
2021,Laguntza behar duten pertsonentzako laguntza,%,40.5
2015,Laguntza behar duten pertsonentzako laguntza,%,22.3
2022,Laguntza behar duten pertsonentzako laguntza,%,40.8
2013,Laguntza behar duten pertsonentzako laguntza,%,24.8
2023,Laguntza behar duten pertsonentzako laguntza,%,38.7
2018,Laguntza behar duten pertsonentzako laguntza,%,43.6
2017,Laguntza behar duten pertsonentzako laguntza,%,29.8
