Year,Series,Institution,Province,Units,Value
2023,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,Araba/Álava,Ratio,1.27
2014,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,Araba/Álava,Ratio,1.23
2011,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,Araba/Álava,Ratio,1.17
2017,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,Araba/Álava,Ratio,1.26
2018,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,Araba/Álava,Ratio,1.26
2013,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,Araba/Álava,Ratio,1.22
2021,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,Araba/Álava,Ratio,1.26
2012,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,Araba/Álava,Ratio,1.22
2013,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,Bizkaia,Ratio,0.89
2017,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,Bizkaia,Ratio,1.01
2020,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,Bizkaia,Ratio,1.05
2015,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,Bizkaia,Ratio,0.9
2012,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,Bizkaia,Ratio,0.89
2021,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,Bizkaia,Ratio,1.06
2016,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,Bizkaia,Ratio,0.92
2018,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,Bizkaia,Ratio,1.02
2014,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,Bizkaia,Ratio,0.89
2022,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,Bizkaia,Ratio,1.08
2023,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,Bizkaia,Ratio,1.08
2011,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,Bizkaia,Ratio,0.91
2019,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,Bizkaia,Ratio,1.03
2010,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,Bizkaia,Ratio,0.9
2010,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,Gipuzkoa,Ratio,1.01
2021,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,Gipuzkoa,Ratio,1.07
2023,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,Gipuzkoa,Ratio,1.09
2016,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,Gipuzkoa,Ratio,1.02
2017,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,Gipuzkoa,Ratio,1.04
2011,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,Gipuzkoa,Ratio,1.01
2014,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,Gipuzkoa,Ratio,1.01
2022,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,Gipuzkoa,Ratio,1.09
2020,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,Gipuzkoa,Ratio,1.07
2018,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,Gipuzkoa,Ratio,1.05
2012,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,Gipuzkoa,Ratio,1.01
2019,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,Gipuzkoa,Ratio,1.06
2013,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,Gipuzkoa,Ratio,1.03
2015,Proportion of women in public administration relative to the proportion of women in the population,Local Public Sector,Gipuzkoa,Ratio,1.02
2015,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,,Ratio,0.65
2020,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,,Ratio,0.64
2023,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,,Ratio,0.63
2011,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,,Ratio,0.65
2010,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,,Ratio,0.69
2016,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,,Ratio,0.65
2017,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,,Ratio,0.65
2022,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,,Ratio,0.65
2019,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,,Ratio,0.65
2013,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,,Ratio,0.63
2021,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,,Ratio,0.64
2012,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,,Ratio,0.63
2018,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,,Ratio,0.65
2014,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,,Ratio,0.63
2020,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,Araba/Álava,Ratio,0.57
2011,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,Araba/Álava,Ratio,0.6
2014,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,Araba/Álava,Ratio,0.58
2016,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,Araba/Álava,Ratio,0.55
2012,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,Araba/Álava,Ratio,0.58
2019,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,Araba/Álava,Ratio,0.58
2022,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,Araba/Álava,Ratio,0.61
2010,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,Araba/Álava,Ratio,0.6
2018,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,Araba/Álava,Ratio,0.58
2013,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,Araba/Álava,Ratio,0.57
2023,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,Araba/Álava,Ratio,0.62
2021,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,Araba/Álava,Ratio,0.57
2015,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,Araba/Álava,Ratio,0.56
2017,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,Araba/Álava,Ratio,0.57
2018,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,Bizkaia,Ratio,0.7
2016,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,Bizkaia,Ratio,0.7
2013,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,Bizkaia,Ratio,0.67
2017,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,Bizkaia,Ratio,0.7
2021,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,Bizkaia,Ratio,0.68
2010,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,Bizkaia,Ratio,0.72
2020,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,Bizkaia,Ratio,0.7
2011,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,Bizkaia,Ratio,0.69
2015,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,Bizkaia,Ratio,0.7
2022,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,Bizkaia,Ratio,0.7
2014,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,Bizkaia,Ratio,0.67
2012,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,Bizkaia,Ratio,0.66
2023,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,Bizkaia,Ratio,0.68
2019,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,Bizkaia,Ratio,0.69
2018,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,Gipuzkoa,Ratio,0.62
2014,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,Gipuzkoa,Ratio,0.61
2010,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,Gipuzkoa,Ratio,0.68
2017,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,Gipuzkoa,Ratio,0.62
2011,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,Gipuzkoa,Ratio,0.62
2016,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,Gipuzkoa,Ratio,0.62
2012,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,Gipuzkoa,Ratio,0.6
2019,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,Gipuzkoa,Ratio,0.63
2020,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,Gipuzkoa,Ratio,0.6
2022,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,Gipuzkoa,Ratio,0.6
2013,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,Gipuzkoa,Ratio,0.6
2015,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,Gipuzkoa,Ratio,0.63
2021,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,Gipuzkoa,Ratio,0.61
2023,Proportion of women in public administration relative to the proportion of women in the population,State Public Sector,Gipuzkoa,Ratio,0.57
2010,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,,Ratio,1.5
2011,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,,Ratio,1.49
2016,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,,Ratio,1.54
2014,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,,Ratio,1.53
2021,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,,Ratio,1.57
2019,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,,Ratio,1.56
2017,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,,Ratio,1.55
2015,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,,Ratio,1.53
2023,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,,Ratio,1.57
2022,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,,Ratio,1.57
2020,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,,Ratio,1.56
2012,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,,Ratio,1.51
2013,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,,Ratio,1.53
2018,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,,Ratio,1.47
2010,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,Araba/Álava,Ratio,1.53
2023,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,Araba/Álava,Ratio,1.57
2016,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,Araba/Álava,Ratio,1.55
2015,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,Araba/Álava,Ratio,1.54
2012,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,Araba/Álava,Ratio,1.54
2022,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,Araba/Álava,Ratio,1.57
2014,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,Araba/Álava,Ratio,1.54
2013,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,Araba/Álava,Ratio,1.55
2017,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,Araba/Álava,Ratio,1.55
2018,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,Araba/Álava,Ratio,1.56
2019,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,Araba/Álava,Ratio,1.55
2011,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,Araba/Álava,Ratio,1.53
2021,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,Araba/Álava,Ratio,1.55
2020,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,Araba/Álava,Ratio,1.55
2020,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,Bizkaia,Ratio,1.54
2023,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,Bizkaia,Ratio,1.54
2013,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,Bizkaia,Ratio,1.49
2011,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,Bizkaia,Ratio,1.46
2015,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,Bizkaia,Ratio,1.5
2018,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,Bizkaia,Ratio,1.42
2016,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,Bizkaia,Ratio,1.51
2012,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,Bizkaia,Ratio,1.48
2021,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,Bizkaia,Ratio,1.55
2017,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,Bizkaia,Ratio,1.52
2010,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,Bizkaia,Ratio,1.46
2019,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,Bizkaia,Ratio,1.53
2014,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,Bizkaia,Ratio,1.5
2022,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,Bizkaia,Ratio,1.56
2012,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,Gipuzkoa,Ratio,1.56
2022,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,Gipuzkoa,Ratio,1.61
2020,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,Gipuzkoa,Ratio,1.62
2018,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,Gipuzkoa,Ratio,1.48
2014,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,Gipuzkoa,Ratio,1.59
2010,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,Gipuzkoa,Ratio,1.54
2019,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,Gipuzkoa,Ratio,1.61
2016,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,Gipuzkoa,Ratio,1.59
2023,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,Gipuzkoa,Ratio,1.61
2021,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,Gipuzkoa,Ratio,1.62
2011,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,Gipuzkoa,Ratio,1.53
2013,Proportion of women in public administration relative to the proportion of women in the population,Regional Health Institutions,Gipuzkoa,Ratio,1.58
