Year,Institution,Province,Units,Value
2016,Elected in General Assemblies,Bizkaia,PT,49.0
2010,Elected in General Assemblies,Gipuzkoa,PT,43.1
2011,Elected in General Assemblies,Gipuzkoa,PT,49.0
2013,Elected in General Assemblies,Gipuzkoa,PT,49.0
2017,Elected in General Assemblies,Gipuzkoa,PT,50.0
2019,Elected in General Assemblies,Gipuzkoa,PT,54.9
2022,Elected in General Assemblies,Gipuzkoa,PT,54.9
2018,Elected in General Assemblies,Gipuzkoa,PT,50.0
2020,Elected in General Assemblies,Gipuzkoa,PT,54.9
2021,Elected in General Assemblies,Gipuzkoa,PT,54.9
2016,Elected in General Assemblies,Gipuzkoa,PT,50.0
2015,Elected in General Assemblies,Gipuzkoa,PT,50.0
2014,Elected in General Assemblies,Gipuzkoa,PT,49.0
2012,Elected in General Assemblies,Gipuzkoa,PT,49.0
2013,Mayors,,PT,22.3
2022,Mayors,,PT,30.3
2014,Mayors,,PT,23.1
2017,Mayors,,PT,25.2
2011,Mayors,,PT,22.0
2023,Mayors,,PT,33.1
2012,Mayors,,PT,22.0
2024,Mayors,,PT,34.3
2019,Mayors,,PT,29.2
2015,Mayors,,PT,25.2
2010,Mayors,,PT,19.9
2021,Mayors,,PT,30.3
2018,Mayors,,PT,25.2
2016,Mayors,,PT,25.2
2020,Mayors,,PT,29.2
2020,Council Members,,PT,47.8
2024,Council Members,,PT,46.5
2022,Council Members,,PT,47.5
2016,Council Members,,PT,41.4
2017,Council Members,,PT,41.4
2010,Council Members,,PT,27.8
2015,Council Members,,PT,41.4
2011,Council Members,,PT,40.4
2012,Council Members,,PT,40.4
2021,Council Members,,PT,47.5
2018,Council Members,,PT,41.4
2013,Council Members,,PT,40.5
2023,Council Members,,PT,48.3
2019,Council Members,,PT,47.8
2014,Council Members,,PT,40.3
