Year,Sex,Province,Units,Value
2013,Female,Bizkaia,"Per 100,000 inhabitants",3.9
2012,Female,Bizkaia,"Per 100,000 inhabitants",5.4
2011,Female,Bizkaia,"Per 100,000 inhabitants",4.5
2014,Female,Bizkaia,"Per 100,000 inhabitants",6.4
2010,Female,Bizkaia,"Per 100,000 inhabitants",2.5
2022,Female,Bizkaia,"Per 100,000 inhabitants",4.4
2016,Female,Bizkaia,"Per 100,000 inhabitants",4.2
2023,Female,Gipuzkoa,"Per 100,000 inhabitants",2.4
2022,Female,Gipuzkoa,"Per 100,000 inhabitants",4.4
2021,Female,Gipuzkoa,"Per 100,000 inhabitants",2.5
2020,Female,Gipuzkoa,"Per 100,000 inhabitants",4.3
2019,Female,Gipuzkoa,"Per 100,000 inhabitants",2.4
2018,Female,Gipuzkoa,"Per 100,000 inhabitants",4.6
2017,Female,Gipuzkoa,"Per 100,000 inhabitants",3.6
2016,Female,Gipuzkoa,"Per 100,000 inhabitants",5.0
2010,Female,Gipuzkoa,"Per 100,000 inhabitants",1.7
2015,Female,Gipuzkoa,"Per 100,000 inhabitants",3.3
2014,Female,Gipuzkoa,"Per 100,000 inhabitants",5.3
2013,Female,Gipuzkoa,"Per 100,000 inhabitants",5.3
2012,Female,Gipuzkoa,"Per 100,000 inhabitants",3.1
2011,Female,Gipuzkoa,"Per 100,000 inhabitants",4.5
2024,Female,Gipuzkoa,"Per 100,000 inhabitants",4.1
2012,Male,,"Per 100,000 inhabitants",12.5
2015,Male,,"Per 100,000 inhabitants",12.0
2022,Male,,"Per 100,000 inhabitants",11.7
2020,Male,,"Per 100,000 inhabitants",13.0
2013,Male,,"Per 100,000 inhabitants",12.1
2021,Male,,"Per 100,000 inhabitants",10.1
2016,Male,,"Per 100,000 inhabitants",12.6
2018,Male,,"Per 100,000 inhabitants",10.9
2019,Male,,"Per 100,000 inhabitants",10.9
2011,Male,,"Per 100,000 inhabitants",11.6
2014,Male,,"Per 100,000 inhabitants",11.6
2023,Male,,"Per 100,000 inhabitants",9.8
2024,Male,,"Per 100,000 inhabitants",10.9
2017,Male,,"Per 100,000 inhabitants",12.7
2010,Male,,"Per 100,000 inhabitants",10.0
2024,Male,Araba/Álava,"Per 100,000 inhabitants",7.9
2016,Male,Araba/Álava,"Per 100,000 inhabitants",11.9
2019,Male,Araba/Álava,"Per 100,000 inhabitants",12.4
2023,Male,Araba/Álava,"Per 100,000 inhabitants",11.0
2022,Male,Araba/Álava,"Per 100,000 inhabitants",14.1
2012,Male,Araba/Álava,"Per 100,000 inhabitants",10.6
2015,Male,Araba/Álava,"Per 100,000 inhabitants",8.8
2021,Male,Araba/Álava,"Per 100,000 inhabitants",11.7
2020,Male,Araba/Álava,"Per 100,000 inhabitants",12.3
2010,Male,Araba/Álava,"Per 100,000 inhabitants",15.1
2017,Male,Araba/Álava,"Per 100,000 inhabitants",8.1
2014,Male,Araba/Álava,"Per 100,000 inhabitants",10.1
2018,Male,Araba/Álava,"Per 100,000 inhabitants",10.6
2013,Male,Araba/Álava,"Per 100,000 inhabitants",11.3
2011,Male,Araba/Álava,"Per 100,000 inhabitants",9.4
2024,Male,Bizkaia,"Per 100,000 inhabitants",12.5
2023,Male,Bizkaia,"Per 100,000 inhabitants",7.4
2022,Male,Bizkaia,"Per 100,000 inhabitants",11.8
2021,Male,Bizkaia,"Per 100,000 inhabitants",8.7
2014,Male,Bizkaia,"Per 100,000 inhabitants",12.9
2020,Male,Bizkaia,"Per 100,000 inhabitants",14.1
2016,Male,Bizkaia,"Per 100,000 inhabitants",11.3
2019,Male,Bizkaia,"Per 100,000 inhabitants",10.0
2018,Male,Bizkaia,"Per 100,000 inhabitants",11.7
2017,Male,Bizkaia,"Per 100,000 inhabitants",13.5
2015,Male,Bizkaia,"Per 100,000 inhabitants",13.3
2013,Male,Bizkaia,"Per 100,000 inhabitants",11.9
2012,Male,Bizkaia,"Per 100,000 inhabitants",11.3
2011,Male,Bizkaia,"Per 100,000 inhabitants",11.3
2010,Male,Bizkaia,"Per 100,000 inhabitants",8.4
2018,Male,Gipuzkoa,"Per 100,000 inhabitants",9.7
2017,Male,Gipuzkoa,"Per 100,000 inhabitants",13.5
2016,Male,Gipuzkoa,"Per 100,000 inhabitants",14.9
2015,Male,Gipuzkoa,"Per 100,000 inhabitants",11.5
2011,Male,Gipuzkoa,"Per 100,000 inhabitants",13.0
2014,Male,Gipuzkoa,"Per 100,000 inhabitants",10.4
2013,Male,Gipuzkoa,"Per 100,000 inhabitants",12.7
2012,Male,Gipuzkoa,"Per 100,000 inhabitants",15.3
2010,Male,Gipuzkoa,"Per 100,000 inhabitants",10.2
2024,Male,Gipuzkoa,"Per 100,000 inhabitants",9.9
2023,Male,Gipuzkoa,"Per 100,000 inhabitants",13.1
2022,Male,Gipuzkoa,"Per 100,000 inhabitants",10.3
2021,Male,Gipuzkoa,"Per 100,000 inhabitants",11.4
2020,Male,Gipuzkoa,"Per 100,000 inhabitants",11.7
2019,Male,Gipuzkoa,"Per 100,000 inhabitants",11.7
