Year,Series,Sex,Province,Units,Value
2019,Fatal occupational injuries,Female,,"Per 100,000 employees",0.7
2022,Fatal occupational injuries,Female,,"Per 100,000 employees",0.7
2023,Fatal occupational injuries,Female,,"Per 100,000 employees",0.9
2016,Fatal occupational injuries,Female,,"Per 100,000 employees",1.4
2018,Fatal occupational injuries,Female,,"Per 100,000 employees",0.5
2015,Fatal occupational injuries,Female,,"Per 100,000 employees",0.5
2024,Fatal occupational injuries,Female,,"Per 100,000 employees",0.2
2021,Fatal occupational injuries,Female,,"Per 100,000 employees",0.2
2014,Fatal occupational injuries,Female,,"Per 100,000 employees",0.7
2023,Fatal occupational injuries,Female,Araba/Álava,"Per 100,000 employees",0.0
2024,Fatal occupational injuries,Female,Araba/Álava,"Per 100,000 employees",0.0
2013,Fatal occupational injuries,Female,Araba/Álava,"Per 100,000 employees",0.0
2019,Fatal occupational injuries,Female,Araba/Álava,"Per 100,000 employees",3.0
2018,Fatal occupational injuries,Female,Araba/Álava,"Per 100,000 employees",1.5
2020,Fatal occupational injuries,Female,Araba/Álava,"Per 100,000 employees",0.0
2022,Fatal occupational injuries,Female,Araba/Álava,"Per 100,000 employees",0.0
2015,Fatal occupational injuries,Female,Araba/Álava,"Per 100,000 employees",0.0
2017,Fatal occupational injuries,Female,Araba/Álava,"Per 100,000 employees",1.6
2014,Fatal occupational injuries,Female,Araba/Álava,"Per 100,000 employees",0.0
2021,Fatal occupational injuries,Female,Araba/Álava,"Per 100,000 employees",1.5
2016,Fatal occupational injuries,Female,Araba/Álava,"Per 100,000 employees",0.0
2013,Fatal occupational injuries,Female,Bizkaia,"Per 100,000 employees",0.5
2024,Fatal occupational injuries,Female,Bizkaia,"Per 100,000 employees",0.0
2020,Fatal occupational injuries,Female,Bizkaia,"Per 100,000 employees",0.0
2023,Fatal occupational injuries,Female,Bizkaia,"Per 100,000 employees",0.8
2015,Fatal occupational injuries,Female,Bizkaia,"Per 100,000 employees",0.0
2017,Fatal occupational injuries,Female,Bizkaia,"Per 100,000 employees",0.4
2018,Fatal occupational injuries,Female,Bizkaia,"Per 100,000 employees",0.0
2016,Fatal occupational injuries,Female,Bizkaia,"Per 100,000 employees",1.8
2014,Fatal occupational injuries,Female,Bizkaia,"Per 100,000 employees",1.4
2021,Fatal occupational injuries,Female,Bizkaia,"Per 100,000 employees",0.0
2022,Fatal occupational injuries,Female,Bizkaia,"Per 100,000 employees",0.4
2019,Fatal occupational injuries,Female,Bizkaia,"Per 100,000 employees",0.0
2018,Fatal occupational injuries,Female,Gipuzkoa,"Per 100,000 employees",0.7
2019,Fatal occupational injuries,Female,Gipuzkoa,"Per 100,000 employees",0.7
2024,Fatal occupational injuries,Female,Gipuzkoa,"Per 100,000 employees",0.6
2023,Fatal occupational injuries,Female,Gipuzkoa,"Per 100,000 employees",1.3
2016,Fatal occupational injuries,Female,Gipuzkoa,"Per 100,000 employees",1.4
2021,Fatal occupational injuries,Female,Gipuzkoa,"Per 100,000 employees",0.0
2020,Fatal occupational injuries,Female,Gipuzkoa,"Per 100,000 employees",0.7
2017,Fatal occupational injuries,Female,Gipuzkoa,"Per 100,000 employees",0.0
2022,Fatal occupational injuries,Female,Gipuzkoa,"Per 100,000 employees",1.3
2015,Fatal occupational injuries,Female,Gipuzkoa,"Per 100,000 employees",1.4
2014,Fatal occupational injuries,Female,Gipuzkoa,"Per 100,000 employees",0.0
2013,Fatal occupational injuries,Female,Gipuzkoa,"Per 100,000 employees",0.0
2014,Fatal occupational injuries,Male,,"Per 100,000 employees",5.8
2013,Fatal occupational injuries,Male,,"Per 100,000 employees",7.0
2020,Fatal occupational injuries,Male,,"Per 100,000 employees",5.4
2024,Fatal occupational injuries,Male,,"Per 100,000 employees",5.0
2023,Fatal occupational injuries,Male,,"Per 100,000 employees",5.1
2022,Fatal occupational injuries,Male,,"Per 100,000 employees",5.3
2021,Fatal occupational injuries,Male,,"Per 100,000 employees",6.9
2019,Fatal occupational injuries,Male,,"Per 100,000 employees",5.4
2016,Fatal occupational injuries,Male,,"Per 100,000 employees",7.1
2018,Fatal occupational injuries,Male,,"Per 100,000 employees",7.1
2017,Fatal occupational injuries,Male,,"Per 100,000 employees",6.2
2015,Fatal occupational injuries,Male,,"Per 100,000 employees",6.6
2015,Fatal occupational injuries,Male,Araba/Álava,"Per 100,000 employees",4.1
2021,Fatal occupational injuries,Male,Araba/Álava,"Per 100,000 employees",11.6
2014,Fatal occupational injuries,Male,Araba/Álava,"Per 100,000 employees",5.5
2016,Fatal occupational injuries,Male,Araba/Álava,"Per 100,000 employees",6.8
2020,Fatal occupational injuries,Male,Araba/Álava,"Per 100,000 employees",6.4
2022,Fatal occupational injuries,Male,Araba/Álava,"Per 100,000 employees",6.5
2017,Fatal occupational injuries,Male,Araba/Álava,"Per 100,000 employees",2.7
2023,Fatal occupational injuries,Male,Araba/Álava,"Per 100,000 employees",6.3
2024,Fatal occupational injuries,Male,Araba/Álava,"Per 100,000 employees",5.0
2019,Fatal occupational injuries,Male,Araba/Álava,"Per 100,000 employees",6.4
2018,Fatal occupational injuries,Male,Araba/Álava,"Per 100,000 employees",6.6
2013,Fatal occupational injuries,Male,Araba/Álava,"Per 100,000 employees",6.9
2013,Fatal occupational injuries,Male,Bizkaia,"Per 100,000 employees",7.0
2019,Fatal occupational injuries,Male,Bizkaia,"Per 100,000 employees",5.1
2024,Fatal occupational injuries,Male,Bizkaia,"Per 100,000 employees",3.0
2021,Fatal occupational injuries,Male,Bizkaia,"Per 100,000 employees",5.2
2018,Fatal occupational injuries,Male,Bizkaia,"Per 100,000 employees",8.8
2023,Fatal occupational injuries,Male,Bizkaia,"Per 100,000 employees",4.2
2022,Fatal occupational injuries,Male,Bizkaia,"Per 100,000 employees",3.5
2017,Fatal occupational injuries,Male,Bizkaia,"Per 100,000 employees",6.5
2020,Fatal occupational injuries,Male,Bizkaia,"Per 100,000 employees",6.5
2016,Fatal occupational injuries,Male,Bizkaia,"Per 100,000 employees",9.6
2015,Fatal occupational injuries,Male,Bizkaia,"Per 100,000 employees",6.3
2014,Fatal occupational injuries,Male,Bizkaia,"Per 100,000 employees",5.1
2020,Fatal occupational injuries,Male,Gipuzkoa,"Per 100,000 employees",3.1
2016,Fatal occupational injuries,Male,Gipuzkoa,"Per 100,000 employees",3.7
2023,Fatal occupational injuries,Male,Gipuzkoa,"Per 100,000 employees",5.9
2013,Fatal occupational injuries,Male,Gipuzkoa,"Per 100,000 employees",7.0
2021,Fatal occupational injuries,Male,Gipuzkoa,"Per 100,000 employees",7.3
2022,Fatal occupational injuries,Male,Gipuzkoa,"Per 100,000 employees",7.6
2017,Fatal occupational injuries,Male,Gipuzkoa,"Per 100,000 employees",7.4
2019,Fatal occupational injuries,Male,Gipuzkoa,"Per 100,000 employees",5.3
2014,Fatal occupational injuries,Male,Gipuzkoa,"Per 100,000 employees",7.0
2018,Fatal occupational injuries,Male,Gipuzkoa,"Per 100,000 employees",4.8
2024,Fatal occupational injuries,Male,Gipuzkoa,"Per 100,000 employees",8.1
2015,Fatal occupational injuries,Male,Gipuzkoa,"Per 100,000 employees",8.2
2018,Non-fatal occupational injuries,,,"Per 100,000 employees",3627.1
2013,Non-fatal occupational injuries,,,"Per 100,000 employees",3158.0
2023,Non-fatal occupational injuries,,,"Per 100,000 employees",3697.8
2014,Non-fatal occupational injuries,,,"Per 100,000 employees",3187.0
2017,Non-fatal occupational injuries,,,"Per 100,000 employees",3645.2
2021,Non-fatal occupational injuries,,,"Per 100,000 employees",3702.3
2022,Non-fatal occupational injuries,,,"Per 100,000 employees",3790.0
2015,Non-fatal occupational injuries,,,"Per 100,000 employees",3374.8
2016,Non-fatal occupational injuries,,,"Per 100,000 employees",3489.4
2020,Non-fatal occupational injuries,,,"Per 100,000 employees",3247.4
2024,Non-fatal occupational injuries,,,"Per 100,000 employees",3875.6
2019,Non-fatal occupational injuries,,,"Per 100,000 employees",3897.8
2018,Non-fatal occupational injuries,,Araba/Álava,"Per 100,000 employees",4347.1
2024,Non-fatal occupational injuries,,Araba/Álava,"Per 100,000 employees",5288.5
2013,Non-fatal occupational injuries,,Araba/Álava,"Per 100,000 employees",3862.4
2014,Non-fatal occupational injuries,,Araba/Álava,"Per 100,000 employees",4024.5
2019,Non-fatal occupational injuries,,Araba/Álava,"Per 100,000 employees",4799.4
2021,Non-fatal occupational injuries,,Araba/Álava,"Per 100,000 employees",4543.7
2023,Non-fatal occupational injuries,,Araba/Álava,"Per 100,000 employees",3724.6
2016,Non-fatal occupational injuries,,Araba/Álava,"Per 100,000 employees",4320.8
2017,Non-fatal occupational injuries,,Araba/Álava,"Per 100,000 employees",4336.5
2020,Non-fatal occupational injuries,,Araba/Álava,"Per 100,000 employees",3758.3
2022,Non-fatal occupational injuries,,Araba/Álava,"Per 100,000 employees",4487.9
2015,Non-fatal occupational injuries,,Araba/Álava,"Per 100,000 employees",4236.3
2018,Non-fatal occupational injuries,,Bizkaia,"Per 100,000 employees",3631.7
2020,Non-fatal occupational injuries,,Bizkaia,"Per 100,000 employees",3202.2
2021,Non-fatal occupational injuries,,Bizkaia,"Per 100,000 employees",3600.1
2015,Non-fatal occupational injuries,,Bizkaia,"Per 100,000 employees",3305.5
2019,Non-fatal occupational injuries,,Bizkaia,"Per 100,000 employees",3866.1
2024,Non-fatal occupational injuries,,Bizkaia,"Per 100,000 employees",3698.3
2013,Non-fatal occupational injuries,,Bizkaia,"Per 100,000 employees",3110.3
2014,Non-fatal occupational injuries,,Bizkaia,"Per 100,000 employees",3097.5
2017,Non-fatal occupational injuries,,Bizkaia,"Per 100,000 employees",3689.4
2022,Non-fatal occupational injuries,,Bizkaia,"Per 100,000 employees",3779.8
2016,Non-fatal occupational injuries,,Bizkaia,"Per 100,000 employees",3465.1
2023,Non-fatal occupational injuries,,Bizkaia,"Per 100,000 employees",3794.8
2020,Non-fatal occupational injuries,,Gipuzkoa,"Per 100,000 employees",3082.9
2013,Non-fatal occupational injuries,,Gipuzkoa,"Per 100,000 employees",2917.7
2022,Non-fatal occupational injuries,,Gipuzkoa,"Per 100,000 employees",3492.1
2018,Non-fatal occupational injuries,,Gipuzkoa,"Per 100,000 employees",3290.8
2024,Non-fatal occupational injuries,,Gipuzkoa,"Per 100,000 employees",3507.6
2014,Non-fatal occupational injuries,,Gipuzkoa,"Per 100,000 employees",2943.6
2021,Non-fatal occupational injuries,,Gipuzkoa,"Per 100,000 employees",3473.2
2023,Non-fatal occupational injuries,,Gipuzkoa,"Per 100,000 employees",3535.5
2016,Non-fatal occupational injuries,,Gipuzkoa,"Per 100,000 employees",3153.2
2019,Non-fatal occupational injuries,,Gipuzkoa,"Per 100,000 employees",3537.5
2015,Non-fatal occupational injuries,,Gipuzkoa,"Per 100,000 employees",3092.7
2017,Non-fatal occupational injuries,,Gipuzkoa,"Per 100,000 employees",3265.1
2016,Non-fatal occupational injuries,Female,,"Per 100,000 employees",2190.4
2024,Non-fatal occupational injuries,Female,,"Per 100,000 employees",2366.3
2015,Non-fatal occupational injuries,Female,,"Per 100,000 employees",2167.4
2019,Non-fatal occupational injuries,Female,,"Per 100,000 employees",2297.0
2017,Non-fatal occupational injuries,Female,,"Per 100,000 employees",2261.2
2020,Non-fatal occupational injuries,Female,,"Per 100,000 employees",1941.9
2023,Non-fatal occupational injuries,Female,,"Per 100,000 employees",2222.3
2014,Non-fatal occupational injuries,Female,,"Per 100,000 employees",2045.4
2018,Non-fatal occupational injuries,Female,,"Per 100,000 employees",2249.5
2021,Non-fatal occupational injuries,Female,,"Per 100,000 employees",2407.1
2013,Non-fatal occupational injuries,Female,,"Per 100,000 employees",2074.0
2022,Non-fatal occupational injuries,Female,,"Per 100,000 employees",2382.7
2024,Non-fatal occupational injuries,Female,Araba/Álava,"Per 100,000 employees",3287.1
2021,Non-fatal occupational injuries,Female,Araba/Álava,"Per 100,000 employees",3285.5
2020,Non-fatal occupational injuries,Female,Araba/Álava,"Per 100,000 employees",2324.6
2023,Non-fatal occupational injuries,Female,Araba/Álava,"Per 100,000 employees",2468.1
2022,Non-fatal occupational injuries,Female,Araba/Álava,"Per 100,000 employees",2825.4
2017,Non-fatal occupational injuries,Female,Araba/Álava,"Per 100,000 employees",2673.4
2015,Non-fatal occupational injuries,Female,Araba/Álava,"Per 100,000 employees",2958.9
2019,Non-fatal occupational injuries,Female,Araba/Álava,"Per 100,000 employees",2838.3
2014,Non-fatal occupational injuries,Female,Araba/Álava,"Per 100,000 employees",2662.3
2018,Non-fatal occupational injuries,Female,Araba/Álava,"Per 100,000 employees",2540.4
2016,Non-fatal occupational injuries,Female,Araba/Álava,"Per 100,000 employees",2762.5
2013,Non-fatal occupational injuries,Female,Araba/Álava,"Per 100,000 employees",2596.6
2019,Non-fatal occupational injuries,Female,Bizkaia,"Per 100,000 employees",2314.7
2015,Non-fatal occupational injuries,Female,Bizkaia,"Per 100,000 employees",2163.7
2021,Non-fatal occupational injuries,Female,Bizkaia,"Per 100,000 employees",2324.3
2014,Non-fatal occupational injuries,Female,Bizkaia,"Per 100,000 employees",2017.4
2017,Non-fatal occupational injuries,Female,Bizkaia,"Per 100,000 employees",2362.7
2020,Non-fatal occupational injuries,Female,Bizkaia,"Per 100,000 employees",1938.6
2022,Non-fatal occupational injuries,Female,Bizkaia,"Per 100,000 employees",2390.7
2024,Non-fatal occupational injuries,Female,Bizkaia,"Per 100,000 employees",2251.5
2023,Non-fatal occupational injuries,Female,Bizkaia,"Per 100,000 employees",2224.3
2018,Non-fatal occupational injuries,Female,Bizkaia,"Per 100,000 employees",2346.1
2016,Non-fatal occupational injuries,Female,Bizkaia,"Per 100,000 employees",2181.5
2013,Non-fatal occupational injuries,Female,Bizkaia,"Per 100,000 employees",2119.5
2013,Non-fatal occupational injuries,Female,Gipuzkoa,"Per 100,000 employees",1782.7
2014,Non-fatal occupational injuries,Female,Gipuzkoa,"Per 100,000 employees",1818.5
2017,Non-fatal occupational injuries,Female,Gipuzkoa,"Per 100,000 employees",1918.3
2018,Non-fatal occupational injuries,Female,Gipuzkoa,"Per 100,000 employees",1963.6
2019,Non-fatal occupational injuries,Female,Gipuzkoa,"Per 100,000 employees",2028.6
2021,Non-fatal occupational injuries,Female,Gipuzkoa,"Per 100,000 employees",2143.3
2022,Non-fatal occupational injuries,Female,Gipuzkoa,"Per 100,000 employees",2173.5
2024,Non-fatal occupational injuries,Female,Gipuzkoa,"Per 100,000 employees",2138.2
2020,Non-fatal occupational injuries,Female,Gipuzkoa,"Per 100,000 employees",1779.7
2016,Non-fatal occupational injuries,Female,Gipuzkoa,"Per 100,000 employees",1950.4
2015,Non-fatal occupational injuries,Female,Gipuzkoa,"Per 100,000 employees",1828.2
2023,Non-fatal occupational injuries,Female,Gipuzkoa,"Per 100,000 employees",2111.4
2015,Non-fatal occupational injuries,Male,,"Per 100,000 employees",4454.7
2020,Non-fatal occupational injuries,Male,,"Per 100,000 employees",4441.1
2014,Non-fatal occupational injuries,Male,,"Per 100,000 employees",4201.8
2019,Non-fatal occupational injuries,Male,,"Per 100,000 employees",5341.0
2021,Non-fatal occupational injuries,Male,,"Per 100,000 employees",4890.7
2017,Non-fatal occupational injuries,Male,,"Per 100,000 employees",4892.1
2018,Non-fatal occupational injuries,Male,,"Per 100,000 employees",4864.3
2022,Non-fatal occupational injuries,Male,,"Per 100,000 employees",5069.7
2024,Non-fatal occupational injuries,Male,,"Per 100,000 employees",5264.8
2016,Non-fatal occupational injuries,Male,,"Per 100,000 employees",4656.8
2013,Non-fatal occupational injuries,Male,,"Per 100,000 employees",4103.1
2023,Non-fatal occupational injuries,Male,,"Per 100,000 employees",5055.5
2015,Non-fatal occupational injuries,Male,Araba/Álava,"Per 100,000 employees",5293.2
2014,Non-fatal occupational injuries,Male,Araba/Álava,"Per 100,000 employees",5165.3
2019,Non-fatal occupational injuries,Male,Araba/Álava,"Per 100,000 employees",6483.3
2022,Non-fatal occupational injuries,Male,Araba/Álava,"Per 100,000 employees",5957.0
2020,Non-fatal occupational injuries,Male,Araba/Álava,"Per 100,000 employees",4953.6
2013,Non-fatal occupational injuries,Male,Araba/Álava,"Per 100,000 employees",4897.0
2024,Non-fatal occupational injuries,Male,Araba/Álava,"Per 100,000 employees",7054.9
2016,Non-fatal occupational injuries,Male,Araba/Álava,"Per 100,000 employees",5629.6
2023,Non-fatal occupational injuries,Male,Araba/Álava,"Per 100,000 employees",4824.9
2018,Non-fatal occupational injuries,Male,Araba/Álava,"Per 100,000 employees",5939.3
2017,Non-fatal occupational injuries,Male,Araba/Álava,"Per 100,000 employees",5764.1
2021,Non-fatal occupational injuries,Male,Araba/Álava,"Per 100,000 employees",5632.6
2013,Non-fatal occupational injuries,Male,Bizkaia,"Per 100,000 employees",3981.4
2014,Non-fatal occupational injuries,Male,Bizkaia,"Per 100,000 employees",4071.7
2015,Non-fatal occupational injuries,Male,Bizkaia,"Per 100,000 employees",4363.2
2016,Non-fatal occupational injuries,Male,Bizkaia,"Per 100,000 employees",4677.2
2017,Non-fatal occupational injuries,Male,Bizkaia,"Per 100,000 employees",4909.3
2018,Non-fatal occupational injuries,Male,Bizkaia,"Per 100,000 employees",4809.2
2019,Non-fatal occupational injuries,Male,Bizkaia,"Per 100,000 employees",5295.9
2020,Non-fatal occupational injuries,Male,Bizkaia,"Per 100,000 employees",4396.2
2021,Non-fatal occupational injuries,Male,Bizkaia,"Per 100,000 employees",4793.2
2022,Non-fatal occupational injuries,Male,Bizkaia,"Per 100,000 employees",5073.5
2023,Non-fatal occupational injuries,Male,Bizkaia,"Per 100,000 employees",5265.5
2024,Non-fatal occupational injuries,Male,Bizkaia,"Per 100,000 employees",5026.8
2022,Non-fatal occupational injuries,Male,Gipuzkoa,"Per 100,000 employees",4667.8
2017,Non-fatal occupational injuries,Male,Gipuzkoa,"Per 100,000 employees",4464.9
2013,Non-fatal occupational injuries,Male,Gipuzkoa,"Per 100,000 employees",3923.4
2015,Non-fatal occupational injuries,Male,Gipuzkoa,"Per 100,000 employees",4202.3
2016,Non-fatal occupational injuries,Male,Gipuzkoa,"Per 100,000 employees",4184.8
2019,Non-fatal occupational injuries,Male,Gipuzkoa,"Per 100,000 employees",4879.1
2020,Non-fatal occupational injuries,Male,Gipuzkoa,"Per 100,000 employees",4264.7
2023,Non-fatal occupational injuries,Male,Gipuzkoa,"Per 100,000 employees",4840.9
2024,Non-fatal occupational injuries,Male,Gipuzkoa,"Per 100,000 employees",4798.0
2014,Non-fatal occupational injuries,Male,Gipuzkoa,"Per 100,000 employees",3948.5
2018,Non-fatal occupational injuries,Male,Gipuzkoa,"Per 100,000 employees",4457.0
2021,Non-fatal occupational injuries,Male,Gipuzkoa,"Per 100,000 employees",4692.2
