Year,Series,Tratamiento,Territorio,Units,Value
2010,EN_HAZ_TREAT,WT_INCINRT_EGY,,PT,0.5
2013,EN_HAZ_TREAT,WT_INCINRT_EGY,,PT,0.5
2012,EN_HAZ_TREAT,WT_INCINRT_EGY,,PT,0.2
2017,EN_HAZ_TREAT,WT_INCINRT_EGY,,PT,0.9
2011,EN_HAZ_TREAT,WT_INCINRT_EGY,,PT,0.5
2018,EN_HAZ_TREAT,WT_INCINRT_EGY,,PT,0.9
2020,EN_HAZ_TREAT,WT_INCINRT_EGY,,PT,1.0
2016,EN_HAZ_TREAT,WT_INCINRT_EGY,,PT,1.0
2022,EN_HAZ_TREAT,WT_INCINRT,,PT,0.1
2019,EN_HAZ_TREAT,WT_INCINRT,,PT,0.2
2017,EN_HAZ_TREAT,WT_INCINRT,,PT,0.2
2018,EN_HAZ_TREAT,WT_INCINRT,,PT,0.1
2016,EN_HAZ_TREAT,WT_INCINRT,,PT,0.8
2014,EN_HAZ_TREAT,WT_INCINRT,,PT,0.8
2015,EN_HAZ_TREAT,WT_INCINRT,,PT,0.6
2020,EN_HAZ_TREAT,WT_INCINRT,,PT,0.3
2010,EN_HAZ_TREAT,WT_INCINRT,,PT,0.9
2011,EN_HAZ_TREAT,WT_INCINRT,,PT,0.1
2012,EN_HAZ_TREAT,WT_INCINRT,,PT,0.1
2013,EN_HAZ_TREAT,WT_INCINRT,,PT,0.1
2021,EN_HAZ_TREAT,WT_INCINRT,,PT,0.0
2022,EN_HAZ_TREAT,WT_LANDFIL,,PT,39.5
2016,EN_HAZ_TREAT,WT_LANDFIL,,PT,32.2
2017,EN_HAZ_TREAT,WT_LANDFIL,,PT,34.6
2020,EN_HAZ_TREAT,WT_LANDFIL,,PT,39.6
2013,EN_HAZ_TREAT,WT_LANDFIL,,PT,30.6
2019,EN_HAZ_TREAT,WT_LANDFIL,,PT,33.7
2012,EN_HAZ_TREAT,WT_LANDFIL,,PT,38.1
2021,EN_HAZ_TREAT,WT_LANDFIL,,PT,34.2
2015,EN_HAZ_TREAT,WT_LANDFIL,,PT,29.9
2011,EN_HAZ_TREAT,WT_LANDFIL,,PT,32.6
2010,EN_HAZ_TREAT,WT_LANDFIL,,PT,36.4
2014,EN_HAZ_TREAT,WT_LANDFIL,,PT,31.5
2018,EN_HAZ_TREAT,WT_LANDFIL,,PT,34.2
