Year,Sexo,Territorio histórico,Units,Value
2013,Mujer,Gipuzkoa,%,95.0
2012,Mujer,Gipuzkoa,%,92.6
2011,Mujer,Gipuzkoa,%,91.4
2010,Mujer,Gipuzkoa,%,89.7
2009,Mujer,Gipuzkoa,%,89.2
2008,Mujer,Gipuzkoa,%,88.1
2017,Mujer,Gipuzkoa,%,95.9
2022,Mujer,Gipuzkoa,%,98.2
2020,Mujer,Gipuzkoa,%,96.7
2013,Hombre,,%,92.5
2017,Hombre,,%,96.2
2012,Hombre,,%,91.7
2021,Hombre,,%,97.0
2008,Hombre,,%,87.4
2014,Hombre,,%,93.1
2010,Hombre,,%,89.9
2024,Hombre,,%,99.1
2015,Hombre,,%,95.7
2022,Hombre,,%,96.9
2018,Hombre,,%,95.5
2019,Hombre,,%,96.1
2011,Hombre,,%,91.0
2023,Hombre,,%,98.9
2009,Hombre,,%,87.3
2020,Hombre,,%,96.7
2016,Hombre,,%,96.2
2015,Hombre,Araba/Álava,%,95.8
2021,Hombre,Araba/Álava,%,97.0
2022,Hombre,Araba/Álava,%,97.3
2014,Hombre,Araba/Álava,%,94.3
2023,Hombre,Araba/Álava,%,97.6
2020,Hombre,Araba/Álava,%,96.7
2009,Hombre,Araba/Álava,%,84.7
2012,Hombre,Araba/Álava,%,90.7
2013,Hombre,Araba/Álava,%,91.6
2016,Hombre,Araba/Álava,%,98.4
2017,Hombre,Araba/Álava,%,99.0
2018,Hombre,Araba/Álava,%,96.8
2024,Hombre,Araba/Álava,%,99.5
2010,Hombre,Araba/Álava,%,89.0
2011,Hombre,Araba/Álava,%,91.1
2008,Hombre,Araba/Álava,%,87.5
2019,Hombre,Araba/Álava,%,96.9
2024,Hombre,Bizkaia,%,99.9
2023,Hombre,Bizkaia,%,99.2
2022,Hombre,Bizkaia,%,96.4
2021,Hombre,Bizkaia,%,96.3
2020,Hombre,Bizkaia,%,96.9
2019,Hombre,Bizkaia,%,96.7
2018,Hombre,Bizkaia,%,95.7
2017,Hombre,Bizkaia,%,96.6
2016,Hombre,Bizkaia,%,96.5
2015,Hombre,Bizkaia,%,95.6
2014,Hombre,Bizkaia,%,93.5
2013,Hombre,Bizkaia,%,93.1
2012,Hombre,Bizkaia,%,92.3
2011,Hombre,Bizkaia,%,91.8
2010,Hombre,Bizkaia,%,90.7
2009,Hombre,Bizkaia,%,87.9
2008,Hombre,Bizkaia,%,88.4
2010,Hombre,Gipuzkoa,%,89.1
2009,Hombre,Gipuzkoa,%,87.5
2008,Hombre,Gipuzkoa,%,85.7
2024,Hombre,Gipuzkoa,%,97.8
2023,Hombre,Gipuzkoa,%,99.0
2022,Hombre,Gipuzkoa,%,97.6
2021,Hombre,Gipuzkoa,%,98.0
2020,Hombre,Gipuzkoa,%,96.4
2019,Hombre,Gipuzkoa,%,94.9
2018,Hombre,Gipuzkoa,%,94.4
2017,Hombre,Gipuzkoa,%,94.3
2016,Hombre,Gipuzkoa,%,94.6
2015,Hombre,Gipuzkoa,%,95.7
2014,Hombre,Gipuzkoa,%,91.7
2013,Hombre,Gipuzkoa,%,91.8
2012,Hombre,Gipuzkoa,%,91.2
2011,Hombre,Gipuzkoa,%,89.7
