Year,Institución,Territorio histórico,Units,Value
2013,Electas en Juntas Generales,Bizkaia,Porcentaje,45.1
2012,Electas en Juntas Generales,Bizkaia,Porcentaje,45.1
2011,Electas en Juntas Generales,Bizkaia,Porcentaje,45.1
2010,Electas en Juntas Generales,Bizkaia,Porcentaje,39.2
2020,Electas en Juntas Generales,Bizkaia,Porcentaje,51.0
2016,Electas en Juntas Generales,Bizkaia,Porcentaje,49.0
2010,Electas en Juntas Generales,Gipuzkoa,Porcentaje,43.1
2011,Electas en Juntas Generales,Gipuzkoa,Porcentaje,49.0
2013,Electas en Juntas Generales,Gipuzkoa,Porcentaje,49.0
2017,Electas en Juntas Generales,Gipuzkoa,Porcentaje,50.0
2019,Electas en Juntas Generales,Gipuzkoa,Porcentaje,54.9
2022,Electas en Juntas Generales,Gipuzkoa,Porcentaje,54.9
2018,Electas en Juntas Generales,Gipuzkoa,Porcentaje,50.0
2020,Electas en Juntas Generales,Gipuzkoa,Porcentaje,54.9
2021,Electas en Juntas Generales,Gipuzkoa,Porcentaje,54.9
2016,Electas en Juntas Generales,Gipuzkoa,Porcentaje,50.0
2015,Electas en Juntas Generales,Gipuzkoa,Porcentaje,50.0
2014,Electas en Juntas Generales,Gipuzkoa,Porcentaje,49.0
2012,Electas en Juntas Generales,Gipuzkoa,Porcentaje,49.0
2013,Alcaldías,,Porcentaje,22.3
2022,Alcaldías,,Porcentaje,30.3
2014,Alcaldías,,Porcentaje,23.1
2017,Alcaldías,,Porcentaje,25.2
2011,Alcaldías,,Porcentaje,22.0
2023,Alcaldías,,Porcentaje,33.1
2012,Alcaldías,,Porcentaje,22.0
2024,Alcaldías,,Porcentaje,34.3
2019,Alcaldías,,Porcentaje,29.2
2015,Alcaldías,,Porcentaje,25.2
2010,Alcaldías,,Porcentaje,19.9
2021,Alcaldías,,Porcentaje,30.3
2018,Alcaldías,,Porcentaje,25.2
2016,Alcaldías,,Porcentaje,25.2
2020,Alcaldías,,Porcentaje,29.2
2020,Concejalías,,Porcentaje,47.8
2024,Concejalías,,Porcentaje,46.5
2022,Concejalías,,Porcentaje,47.5
2016,Concejalías,,Porcentaje,41.4
2017,Concejalías,,Porcentaje,41.4
2010,Concejalías,,Porcentaje,27.8
2015,Concejalías,,Porcentaje,41.4
2011,Concejalías,,Porcentaje,40.4
2012,Concejalías,,Porcentaje,40.4
2021,Concejalías,,Porcentaje,47.5
2018,Concejalías,,Porcentaje,41.4
2013,Concejalías,,Porcentaje,40.5
2023,Concejalías,,Porcentaje,48.3
2019,Concejalías,,Porcentaje,47.8
2014,Concejalías,,Porcentaje,40.3
