Year,Series,Edad,Sexo,Tipo de contrato,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2021,Tasa de ocupación,16 años y más,,,,,Aduna,%,Aduna,67.0
2019,Tasa de ocupación,16 años y más,,,,,Aduna,%,Aduna,65.3
2018,Tasa de ocupación,16 años y más,,,,,Aduna,%,Aduna,65.0
2016,Tasa de ocupación,16 años y más,,,,,Aduna,%,Aduna,62.5
2010,Tasa de ocupación,16 años y más,,,,,Aduna,%,Aduna,62.9
2022,Tasa de ocupación,16 años y más,,,,,Aduna,%,Aduna,65.7
2015,Tasa de ocupación,16 años y más,,,,,Aduna,%,Aduna,61.4
2020,Tasa de ocupación,16 años y más,,,,,Aduna,%,Aduna,65.4
2019,Tasa de ocupación,16 años y más,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,53.0
2016,Tasa de ocupación,16 años y más,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,52.8
2020,Tasa de ocupación,16 años y más,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,53.6
2023,Tasa de ocupación,16 años y más,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,54.8
2018,Tasa de ocupación,16 años y más,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,53.2
2022,Tasa de ocupación,16 años y más,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,55.4
2015,Tasa de ocupación,16 años y más,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,53.3
2010,Tasa de ocupación,16 años y más,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,55.8
2021,Tasa de ocupación,16 años y más,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,52.7
2015,Tasa de ocupación,16 años y más,,,,,Aia,%,Aia,56.3
2016,Tasa de ocupación,16 años y más,,,,,Aia,%,Aia,56.2
2020,Tasa de ocupación,16 años y más,,,,,Aia,%,Aia,60.5
2023,Tasa de ocupación,16 años y más,,,,,Aia,%,Aia,62.1
2022,Tasa de ocupación,16 años y más,,,,,Aia,%,Aia,61.3
2010,Tasa de ocupación,16 años y más,,,,,Aia,%,Aia,57.1
2021,Tasa de ocupación,16 años y más,,,,,Aia,%,Aia,60.3
2018,Tasa de ocupación,16 años y más,,,,,Aia,%,Aia,58.1
2019,Tasa de ocupación,16 años y más,,,,,Aia,%,Aia,60.1
2023,Tasa de ocupación,16 años y más,,,,,Aizarnazabal,%,Aizarnazabal,57.6
2016,Tasa de ocupación,16 años y más,,,,,Aizarnazabal,%,Aizarnazabal,53.8
2020,Tasa de ocupación,16 años y más,,,,,Aizarnazabal,%,Aizarnazabal,56.6
2015,Tasa de ocupación,16 años y más,,,,,Aizarnazabal,%,Aizarnazabal,54.0
2018,Tasa de ocupación,16 años y más,,,,,Aizarnazabal,%,Aizarnazabal,55.7
2010,Tasa de ocupación,16 años y más,,,,,Aizarnazabal,%,Aizarnazabal,57.5
2019,Tasa de ocupación,16 años y más,,,,,Aizarnazabal,%,Aizarnazabal,56.2
2022,Tasa de ocupación,16 años y más,,,,,Aizarnazabal,%,Aizarnazabal,55.1
2021,Tasa de ocupación,16 años y más,,,,,Aizarnazabal,%,Aizarnazabal,53.6
2023,Tasa de ocupación,16 años y más,,,,,Ajangiz,%,Ajangiz,54.8
2010,Tasa de ocupación,16 años y más,,,,,Ajangiz,%,Ajangiz,56.5
2019,Tasa de ocupación,16 años y más,,,,,Ajangiz,%,Ajangiz,58.7
2021,Tasa de ocupación,16 años y más,,,,,Ajangiz,%,Ajangiz,52.7
2018,Tasa de ocupación,16 años y más,,,,,Ajangiz,%,Ajangiz,56.8
2020,Tasa de ocupación,16 años y más,,,,,Ajangiz,%,Ajangiz,56.7
2015,Tasa de ocupación,16 años y más,,,,,Ajangiz,%,Ajangiz,55.7
2016,Tasa de ocupación,16 años y más,,,,,Ajangiz,%,Ajangiz,57.7
2022,Tasa de ocupación,16 años y más,,,,,Ajangiz,%,Ajangiz,54.5
2020,Tasa de ocupación,16 años y más,,,,,Albiztur,%,Albiztur,62.1
2022,Tasa de ocupación,16 años y más,,,,,Albiztur,%,Albiztur,59.1
2015,Tasa de ocupación,16 años y más,,,,,Albiztur,%,Albiztur,59.7
2018,Tasa de ocupación,16 años y más,,,,,Albiztur,%,Albiztur,57.9
2023,Tasa de ocupación,16 años y más,,,,,Albiztur,%,Albiztur,60.5
2016,Tasa de ocupación,16 años y más,,,,,Albiztur,%,Albiztur,56.6
2010,Tasa de ocupación,16 años y más,,,,,Albiztur,%,Albiztur,53.2
2019,Tasa de ocupación,16 años y más,,,,,Albiztur,%,Albiztur,62.4
2021,Tasa de ocupación,16 años y más,,,,,Albiztur,%,Albiztur,57.1
2019,Tasa de ocupación,16 años y más,,,,,Alegia,%,Alegia,51.1
2020,Tasa de ocupación,16 años y más,,,,,Alegia,%,Alegia,52.4
2023,Tasa de ocupación,16 años y más,,,,,Alegia,%,Alegia,53.2
2010,Tasa de ocupación,16 años y más,,,,,Alegia,%,Alegia,53.0
2015,Tasa de ocupación,16 años y más,,,,,Alegia,%,Alegia,49.2
2022,Tasa de ocupación,16 años y más,,,,,Alegia,%,Alegia,53.6
2021,Tasa de ocupación,16 años y más,,,,,Alegia,%,Alegia,51.3
2018,Tasa de ocupación,16 años y más,,,,,Alegia,%,Alegia,51.0
2016,Tasa de ocupación,16 años y más,,,,,Alegia,%,Alegia,48.2
2016,Tasa de ocupación,16 años y más,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,62.4
2019,Tasa de ocupación,16 años y más,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,61.7
2021,Tasa de ocupación,16 años y más,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,59.4
2023,Tasa de ocupación,16 años y más,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,62.0
2018,Tasa de ocupación,16 años y más,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,63.2
2020,Tasa de ocupación,16 años y más,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,61.8
2010,Tasa de ocupación,16 años y más,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,66.2
2015,Tasa de ocupación,16 años y más,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,64.0
2022,Tasa de ocupación,16 años y más,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,61.4
2018,Tasa de ocupación,16 años y más,,,,,Alkiza,%,Alkiza,63.3
2010,Tasa de ocupación,16 años y más,,,,,Alkiza,%,Alkiza,61.4
2019,Tasa de ocupación,16 años y más,,,,,Alkiza,%,Alkiza,61.0
2022,Tasa de ocupación,16 años y más,,,,,Alkiza,%,Alkiza,60.8
2015,Tasa de ocupación,16 años y más,,,,,Alkiza,%,Alkiza,63.5
2020,Tasa de ocupación,16 años y más,,,,,Alkiza,%,Alkiza,60.4
2021,Tasa de ocupación,16 años y más,,,,,Alkiza,%,Alkiza,55.7
2016,Tasa de ocupación,16 años y más,,,,,Alkiza,%,Alkiza,62.0
2023,Tasa de ocupación,16 años y más,,,,,Alkiza,%,Alkiza,58.5
2023,Tasa de ocupación,16 años y más,,,,,Alonsotegi,%,Alonsotegi,50.8
2022,Tasa de ocupación,16 años y más,,,,,Alonsotegi,%,Alonsotegi,50.7
2019,Tasa de ocupación,16 años y más,,,,,Alonsotegi,%,Alonsotegi,48.1
2016,Tasa de ocupación,16 años y más,,,,,Alonsotegi,%,Alonsotegi,46.0
2021,Tasa de ocupación,16 años y más,,,,,Alonsotegi,%,Alonsotegi,49.2
2015,Tasa de ocupación,16 años y más,,,,,Alonsotegi,%,Alonsotegi,45.8
2010,Tasa de ocupación,16 años y más,,,,,Alonsotegi,%,Alonsotegi,48.7
2018,Tasa de ocupación,16 años y más,,,,,Alonsotegi,%,Alonsotegi,49.2
2020,Tasa de ocupación,16 años y más,,,,,Alonsotegi,%,Alonsotegi,49.9
2022,Tasa de ocupación,16 años y más,,,,,Altzaga,%,Altzaga,57.9
2020,Tasa de ocupación,16 años y más,,,,,Altzaga,%,Altzaga,50.7
2019,Tasa de ocupación,16 años y más,,,,,Altzaga,%,Altzaga,53.6
2015,Tasa de ocupación,16 años y más,,,,,Altzaga,%,Altzaga,55.1
2021,Tasa de ocupación,16 años y más,,,,,Altzaga,%,Altzaga,50.8
2018,Tasa de ocupación,16 años y más,,,,,Altzaga,%,Altzaga,50.0
2023,Tasa de ocupación,16 años y más,,,,,Altzaga,%,Altzaga,52.6
2010,Tasa de ocupación,16 años y más,,,,,Altzaga,%,Altzaga,67.2
2016,Tasa de ocupación,16 años y más,,,,,Altzaga,%,Altzaga,53.9
2020,Tasa de ocupación,16 años y más,,,,,Altzo,%,Altzo,55.1
2010,Tasa de ocupación,16 años y más,,,,,Altzo,%,Altzo,61.6
2015,Tasa de ocupación,16 años y más,,,,,Altzo,%,Altzo,55.6
2019,Tasa de ocupación,16 años y más,,,,,Altzo,%,Altzo,62.5
2022,Tasa de ocupación,16 años y más,,,,,Altzo,%,Altzo,57.6
2023,Tasa de ocupación,16 años y más,,,,,Altzo,%,Altzo,57.4
2016,Tasa de ocupación,16 años y más,,,,,Altzo,%,Altzo,55.4
2021,Tasa de ocupación,16 años y más,,,,,Altzo,%,Altzo,54.7
2018,Tasa de ocupación,16 años y más,,,,,Altzo,%,Altzo,57.4
2018,Tasa de ocupación,16 años y más,,,,,Amezketa,%,Amezketa,53.4
2020,Tasa de ocupación,16 años y más,,,,,Amezketa,%,Amezketa,54.1
2016,Tasa de ocupación,16 años y más,,,,,Amezketa,%,Amezketa,50.9
2010,Tasa de ocupación,16 años y más,,,,,Amezketa,%,Amezketa,53.4
2019,Tasa de ocupación,16 años y más,,,,,Amezketa,%,Amezketa,54.3
2015,Tasa de ocupación,16 años y más,,,,,Amezketa,%,Amezketa,52.5
2022,Tasa de ocupación,16 años y más,,,,,Amezketa,%,Amezketa,56.3
2021,Tasa de ocupación,16 años y más,,,,,Amezketa,%,Amezketa,52.5
2023,Tasa de ocupación,16 años y más,,,,,Amezketa,%,Amezketa,53.2
2019,Tasa de ocupación,16 años y más,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,54.4
2021,Tasa de ocupación,16 años y más,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,53.4
2018,Tasa de ocupación,16 años y más,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,54.1
2016,Tasa de ocupación,16 años y más,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,52.4
2020,Tasa de ocupación,16 años y más,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,54.6
2010,Tasa de ocupación,16 años y más,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,52.8
2023,Tasa de ocupación,16 años y más,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,56.6
2015,Tasa de ocupación,16 años y más,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,52.1
2022,Tasa de ocupación,16 años y más,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,55.4
2019,Tasa de ocupación,16 años y más,,,,,Amoroto,%,Amoroto,50.9
2020,Tasa de ocupación,16 años y más,,,,,Amoroto,%,Amoroto,49.3
2015,Tasa de ocupación,16 años y más,,,,,Amoroto,%,Amoroto,53.3
2016,Tasa de ocupación,16 años y más,,,,,Amoroto,%,Amoroto,52.3
2018,Tasa de ocupación,16 años y más,,,,,Amoroto,%,Amoroto,51.0
2023,Tasa de ocupación,16 años y más,,,,,Amoroto,%,Amoroto,52.2
2010,Tasa de ocupación,16 años y más,,,,,Amoroto,%,Amoroto,52.5
2021,Tasa de ocupación,16 años y más,,,,,Amoroto,%,Amoroto,49.6
2022,Tasa de ocupación,16 años y más,,,,,Amoroto,%,Amoroto,49.7
2018,Tasa de ocupación,16 años y más,,,,,Amurrio,%,Amurrio,50.6
2020,Tasa de ocupación,16 años y más,,,,,Amurrio,%,Amurrio,51.1
2015,Tasa de ocupación,16 años y más,,,,,Amurrio,%,Amurrio,49.5
2022,Tasa de ocupación,16 años y más,,,,,Amurrio,%,Amurrio,52.4
2021,Tasa de ocupación,16 años y más,,,,,Amurrio,%,Amurrio,50.7
2016,Tasa de ocupación,16 años y más,,,,,Amurrio,%,Amurrio,49.1
2019,Tasa de ocupación,16 años y más,,,,,Amurrio,%,Amurrio,51.5
2010,Tasa de ocupación,16 años y más,,,,,Amurrio,%,Amurrio,51.0
2023,Tasa de ocupación,16 años y más,,,,,Amurrio,%,Amurrio,52.3
2021,Tasa de ocupación,16 años y más,,,,,Andoain,%,Andoain,51.3
2010,Tasa de ocupación,16 años y más,,,,,Andoain,%,Andoain,52.2
2023,Tasa de ocupación,16 años y más,,,,,Andoain,%,Andoain,53.0
2018,Tasa de ocupación,16 años y más,,,,,Andoain,%,Andoain,51.1
2019,Tasa de ocupación,16 años y más,,,,,Andoain,%,Andoain,51.9
2016,Tasa de ocupación,16 años y más,,,,,Andoain,%,Andoain,49.6
2020,Tasa de ocupación,16 años y más,,,,,Andoain,%,Andoain,52.4
2022,Tasa de ocupación,16 años y más,,,,,Andoain,%,Andoain,52.1
2015,Tasa de ocupación,16 años y más,,,,,Andoain,%,Andoain,50.1
2018,Tasa de ocupación,16 años y más,,,,,Anoeta,%,Anoeta,57.0
2020,Tasa de ocupación,16 años y más,,,,,Anoeta,%,Anoeta,58.3
2015,Tasa de ocupación,16 años y más,,,,,Anoeta,%,Anoeta,54.2
2010,Tasa de ocupación,16 años y más,,,,,Anoeta,%,Anoeta,55.3
2016,Tasa de ocupación,16 años y más,,,,,Anoeta,%,Anoeta,54.6
2021,Tasa de ocupación,16 años y más,,,,,Anoeta,%,Anoeta,56.6
2019,Tasa de ocupación,16 años y más,,,,,Anoeta,%,Anoeta,57.8
2023,Tasa de ocupación,16 años y más,,,,,Anoeta,%,Anoeta,58.0
2022,Tasa de ocupación,16 años y más,,,,,Anoeta,%,Anoeta,57.7
2010,Tasa de ocupación,16 años y más,,,,,Antzuola,%,Antzuola,55.9
2019,Tasa de ocupación,16 años y más,,,,,Antzuola,%,Antzuola,57.1
2020,Tasa de ocupación,16 años y más,,,,,Antzuola,%,Antzuola,57.1
2018,Tasa de ocupación,16 años y más,,,,,Antzuola,%,Antzuola,57.6
2016,Tasa de ocupación,16 años y más,,,,,Antzuola,%,Antzuola,55.7
2021,Tasa de ocupación,16 años y más,,,,,Antzuola,%,Antzuola,56.2
2015,Tasa de ocupación,16 años y más,,,,,Antzuola,%,Antzuola,55.4
2022,Tasa de ocupación,16 años y más,,,,,Antzuola,%,Antzuola,58.4
2023,Tasa de ocupación,16 años y más,,,,,Antzuola,%,Antzuola,57.2
2022,Tasa de ocupación,16 años y más,,,,,Añana,%,Añana,53.3
2016,Tasa de ocupación,16 años y más,,,,,Añana,%,Añana,49.7
2018,Tasa de ocupación,16 años y más,,,,,Añana,%,Añana,53.3
2021,Tasa de ocupación,16 años y más,,,,,Añana,%,Añana,54.3
2020,Tasa de ocupación,16 años y más,,,,,Añana,%,Añana,54.0
2019,Tasa de ocupación,16 años y más,,,,,Añana,%,Añana,55.7
2023,Tasa de ocupación,16 años y más,,,,,Añana,%,Añana,53.7
2015,Tasa de ocupación,16 años y más,,,,,Añana,%,Añana,43.7
2010,Tasa de ocupación,16 años y más,,,,,Añana,%,Añana,46.3
2016,Tasa de ocupación,16 años y más,,,,,Arakaldo,%,Arakaldo,62.2
2019,Tasa de ocupación,16 años y más,,,,,Arakaldo,%,Arakaldo,62.4
2022,Tasa de ocupación,16 años y más,,,,,Arakaldo,%,Arakaldo,63.1
2020,Tasa de ocupación,16 años y más,,,,,Arakaldo,%,Arakaldo,59.0
2021,Tasa de ocupación,16 años y más,,,,,Arakaldo,%,Arakaldo,58.0
2010,Tasa de ocupación,16 años y más,,,,,Arakaldo,%,Arakaldo,58.4
2015,Tasa de ocupación,16 años y más,,,,,Arakaldo,%,Arakaldo,54.0
2018,Tasa de ocupación,16 años y más,,,,,Arakaldo,%,Arakaldo,60.2
2023,Tasa de ocupación,16 años y más,,,,,Arakaldo,%,Arakaldo,64.2
2022,Tasa de ocupación,16 años y más,,,,,Arama,%,Arama,52.7
2016,Tasa de ocupación,16 años y más,,,,,Arama,%,Arama,55.6
2019,Tasa de ocupación,16 años y más,,,,,Arama,%,Arama,55.0
2018,Tasa de ocupación,16 años y más,,,,,Arama,%,Arama,58.4
2020,Tasa de ocupación,16 años y más,,,,,Arama,%,Arama,56.7
2015,Tasa de ocupación,16 años y más,,,,,Arama,%,Arama,54.1
2023,Tasa de ocupación,16 años y más,,,,,Arama,%,Arama,57.5
2010,Tasa de ocupación,16 años y más,,,,,Arama,%,Arama,53.5
2021,Tasa de ocupación,16 años y más,,,,,Arama,%,Arama,53.3
2019,Tasa de ocupación,16 años y más,,,,,Aramaio,%,Aramaio,55.3
2023,Tasa de ocupación,16 años y más,,,,,Aramaio,%,Aramaio,53.8
2016,Tasa de ocupación,16 años y más,,,,,Aramaio,%,Aramaio,52.9
2010,Tasa de ocupación,16 años y más,,,,,Aramaio,%,Aramaio,55.9
2015,Tasa de ocupación,16 años y más,,,,,Aramaio,%,Aramaio,52.9
2018,Tasa de ocupación,16 años y más,,,,,Aramaio,%,Aramaio,54.8
2022,Tasa de ocupación,16 años y más,,,,,Aramaio,%,Aramaio,53.1
2021,Tasa de ocupación,16 años y más,,,,,Aramaio,%,Aramaio,51.5
2020,Tasa de ocupación,16 años y más,,,,,Aramaio,%,Aramaio,53.6
2010,Tasa de ocupación,16 años y más,,,,,Arantzazu,%,Arantzazu,52.7
2020,Tasa de ocupación,16 años y más,,,,,Arantzazu,%,Arantzazu,54.1
2018,Tasa de ocupación,16 años y más,,,,,Arantzazu,%,Arantzazu,53.5
2022,Tasa de ocupación,16 años y más,,,,,Arantzazu,%,Arantzazu,53.3
2019,Tasa de ocupación,16 años y más,,,,,Arantzazu,%,Arantzazu,54.2
2021,Tasa de ocupación,16 años y más,,,,,Arantzazu,%,Arantzazu,51.1
2016,Tasa de ocupación,16 años y más,,,,,Arantzazu,%,Arantzazu,54.3
2023,Tasa de ocupación,16 años y más,,,,,Arantzazu,%,Arantzazu,55.1
2015,Tasa de ocupación,16 años y más,,,,,Arantzazu,%,Arantzazu,53.4
2015,Tasa de ocupación,16 años y más,,,,,Areatza,%,Areatza,51.0
2016,Tasa de ocupación,16 años y más,,,,,Areatza,%,Areatza,51.4
2019,Tasa de ocupación,16 años y más,,,,,Areatza,%,Areatza,55.8
2010,Tasa de ocupación,16 años y más,,,,,Areatza,%,Areatza,51.8
2021,Tasa de ocupación,16 años y más,,,,,Areatza,%,Areatza,51.7
2022,Tasa de ocupación,16 años y más,,,,,Areatza,%,Areatza,53.5
2018,Tasa de ocupación,16 años y más,,,,,Areatza,%,Areatza,54.0
2020,Tasa de ocupación,16 años y más,,,,,Areatza,%,Areatza,54.1
2023,Tasa de ocupación,16 años y más,,,,,Areatza,%,Areatza,56.0
2016,Tasa de ocupación,16 años y más,,,,,Aretxabaleta,%,Aretxabaleta,53.1
2015,Tasa de ocupación,16 años y más,,,,,Aretxabaleta,%,Aretxabaleta,52.6
2020,Tasa de ocupación,16 años y más,,,,,Aretxabaleta,%,Aretxabaleta,54.6
2010,Tasa de ocupación,16 años y más,,,,,Aretxabaleta,%,Aretxabaleta,55.2
2021,Tasa de ocupación,16 años y más,,,,,Aretxabaleta,%,Aretxabaleta,53.2
2018,Tasa de ocupación,16 años y más,,,,,Aretxabaleta,%,Aretxabaleta,54.2
2019,Tasa de ocupación,16 años y más,,,,,Aretxabaleta,%,Aretxabaleta,54.2
2022,Tasa de ocupación,16 años y más,,,,,Aretxabaleta,%,Aretxabaleta,54.4
2023,Tasa de ocupación,16 años y más,,,,,Aretxabaleta,%,Aretxabaleta,55.3
2015,Tasa de ocupación,16 años y más,,,,,Armiñón,%,Armiñón,62.3
2018,Tasa de ocupación,16 años y más,,,,,Armiñón,%,Armiñón,63.4
2021,Tasa de ocupación,16 años y más,,,,,Armiñón,%,Armiñón,58.9
2010,Tasa de ocupación,16 años y más,,,,,Armiñón,%,Armiñón,53.2
2022,Tasa de ocupación,16 años y más,,,,,Armiñón,%,Armiñón,64.2
2019,Tasa de ocupación,16 años y más,,,,,Armiñón,%,Armiñón,62.9
2020,Tasa de ocupación,16 años y más,,,,,Armiñón,%,Armiñón,61.5
2023,Tasa de ocupación,16 años y más,,,,,Armiñón,%,Armiñón,59.7
2016,Tasa de ocupación,16 años y más,,,,,Armiñón,%,Armiñón,61.6
2022,Tasa de ocupación,16 años y más,,,,,Arraia-Maeztu,%,Arraia-Maeztu,58.6
2019,Tasa de ocupación,16 años y más,,,,,Arraia-Maeztu,%,Arraia-Maeztu,57.0
2018,Tasa de ocupación,16 años y más,,,,,Arraia-Maeztu,%,Arraia-Maeztu,56.1
2023,Tasa de ocupación,16 años y más,,,,,Arraia-Maeztu,%,Arraia-Maeztu,58.1
2010,Tasa de ocupación,16 años y más,,,,,Arraia-Maeztu,%,Arraia-Maeztu,55.3
2021,Tasa de ocupación,16 años y más,,,,,Arraia-Maeztu,%,Arraia-Maeztu,55.7
2016,Tasa de ocupación,16 años y más,,,,,Arraia-Maeztu,%,Arraia-Maeztu,54.5
2015,Tasa de ocupación,16 años y más,,,,,Arraia-Maeztu,%,Arraia-Maeztu,53.7
2020,Tasa de ocupación,16 años y más,,,,,Arraia-Maeztu,%,Arraia-Maeztu,58.2
2020,Tasa de ocupación,16 años y más,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,54.8
2015,Tasa de ocupación,16 años y más,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,52.9
2018,Tasa de ocupación,16 años y más,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,56.3
2010,Tasa de ocupación,16 años y más,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,53.2
2021,Tasa de ocupación,16 años y más,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,56.2
2023,Tasa de ocupación,16 años y más,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,58.4
2019,Tasa de ocupación,16 años y más,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,55.8
2016,Tasa de ocupación,16 años y más,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,54.6
2022,Tasa de ocupación,16 años y más,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,58.0
2023,Tasa de ocupación,16 años y más,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,49.6
2010,Tasa de ocupación,16 años y más,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,49.5
2021,Tasa de ocupación,16 años y más,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,47.6
2020,Tasa de ocupación,16 años y más,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,48.6
2016,Tasa de ocupación,16 años y más,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,46.4
2019,Tasa de ocupación,16 años y más,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,48.1
2022,Tasa de ocupación,16 años y más,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,48.8
2018,Tasa de ocupación,16 años y más,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,48.4
2015,Tasa de ocupación,16 años y más,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,46.4
2021,Tasa de ocupación,16 años y más,,,,,Arratzu,%,Arratzu,49.0
2022,Tasa de ocupación,16 años y más,,,,,Arratzu,%,Arratzu,51.7
2016,Tasa de ocupación,16 años y más,,,,,Arratzu,%,Arratzu,54.2
2023,Tasa de ocupación,16 años y más,,,,,Arratzu,%,Arratzu,55.9
2010,Tasa de ocupación,16 años y más,,,,,Arratzu,%,Arratzu,54.8
2018,Tasa de ocupación,16 años y más,,,,,Arratzu,%,Arratzu,53.7
2015,Tasa de ocupación,16 años y más,,,,,Arratzu,%,Arratzu,54.0
2019,Tasa de ocupación,16 años y más,,,,,Arratzu,%,Arratzu,51.3
2020,Tasa de ocupación,16 años y más,,,,,Arratzu,%,Arratzu,52.5
2010,Tasa de ocupación,16 años y más,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,60.3
