Year,Sexo,Territorio histórico,Units,Value
2015,Mujer,Araba/Álava,Por 100.000 habitantes,4.3
2020,Mujer,Araba/Álava,Por 100.000 habitantes,4.2
2019,Mujer,Araba/Álava,Por 100.000 habitantes,1.2
2017,Mujer,Araba/Álava,Por 100.000 habitantes,6.1
2013,Mujer,Araba/Álava,Por 100.000 habitantes,5.0
2011,Mujer,Araba/Álava,Por 100.000 habitantes,3.7
2023,Mujer,Araba/Álava,Por 100.000 habitantes,4.1
2012,Mujer,Araba/Álava,Por 100.000 habitantes,2.5
2010,Mujer,Araba/Álava,Por 100.000 habitantes,2.5
2014,Mujer,Araba/Álava,Por 100.000 habitantes,3.7
2016,Mujer,Araba/Álava,Por 100.000 habitantes,2.4
2021,Mujer,Araba/Álava,Por 100.000 habitantes,5.4
2018,Mujer,Araba/Álava,Por 100.000 habitantes,4.2
2023,Mujer,Bizkaia,Por 100.000 habitantes,3.4
2024,Mujer,Bizkaia,Por 100.000 habitantes,4.5
2021,Mujer,Bizkaia,Por 100.000 habitantes,3.9
2020,Mujer,Bizkaia,Por 100.000 habitantes,3.7
2017,Mujer,Bizkaia,Por 100.000 habitantes,4.1
2019,Mujer,Bizkaia,Por 100.000 habitantes,3.0
2018,Mujer,Bizkaia,Por 100.000 habitantes,4.1
2015,Mujer,Bizkaia,Por 100.000 habitantes,3.6
2013,Mujer,Bizkaia,Por 100.000 habitantes,3.9
2012,Mujer,Bizkaia,Por 100.000 habitantes,5.4
2011,Mujer,Bizkaia,Por 100.000 habitantes,4.5
2014,Mujer,Bizkaia,Por 100.000 habitantes,6.4
2010,Mujer,Bizkaia,Por 100.000 habitantes,2.5
2022,Mujer,Bizkaia,Por 100.000 habitantes,4.4
2016,Mujer,Bizkaia,Por 100.000 habitantes,4.2
2023,Mujer,Gipuzkoa,Por 100.000 habitantes,2.4
2022,Mujer,Gipuzkoa,Por 100.000 habitantes,4.4
2021,Mujer,Gipuzkoa,Por 100.000 habitantes,2.5
2020,Mujer,Gipuzkoa,Por 100.000 habitantes,4.3
2019,Mujer,Gipuzkoa,Por 100.000 habitantes,2.4
2018,Mujer,Gipuzkoa,Por 100.000 habitantes,4.6
2017,Mujer,Gipuzkoa,Por 100.000 habitantes,3.6
2016,Mujer,Gipuzkoa,Por 100.000 habitantes,5.0
2010,Mujer,Gipuzkoa,Por 100.000 habitantes,1.7
2015,Mujer,Gipuzkoa,Por 100.000 habitantes,3.3
2014,Mujer,Gipuzkoa,Por 100.000 habitantes,5.3
2013,Mujer,Gipuzkoa,Por 100.000 habitantes,5.3
2012,Mujer,Gipuzkoa,Por 100.000 habitantes,3.1
2011,Mujer,Gipuzkoa,Por 100.000 habitantes,4.5
2024,Mujer,Gipuzkoa,Por 100.000 habitantes,4.1
2012,Hombre,,Por 100.000 habitantes,12.5
2015,Hombre,,Por 100.000 habitantes,12.0
2022,Hombre,,Por 100.000 habitantes,11.7
2020,Hombre,,Por 100.000 habitantes,13.0
2013,Hombre,,Por 100.000 habitantes,12.1
2021,Hombre,,Por 100.000 habitantes,10.1
2016,Hombre,,Por 100.000 habitantes,12.6
2018,Hombre,,Por 100.000 habitantes,10.9
2019,Hombre,,Por 100.000 habitantes,10.9
2011,Hombre,,Por 100.000 habitantes,11.6
2014,Hombre,,Por 100.000 habitantes,11.6
2023,Hombre,,Por 100.000 habitantes,9.8
2024,Hombre,,Por 100.000 habitantes,10.9
2017,Hombre,,Por 100.000 habitantes,12.7
2010,Hombre,,Por 100.000 habitantes,10.0
2024,Hombre,Araba/Álava,Por 100.000 habitantes,7.9
2016,Hombre,Araba/Álava,Por 100.000 habitantes,11.9
2019,Hombre,Araba/Álava,Por 100.000 habitantes,12.4
2023,Hombre,Araba/Álava,Por 100.000 habitantes,11.0
2022,Hombre,Araba/Álava,Por 100.000 habitantes,14.1
2012,Hombre,Araba/Álava,Por 100.000 habitantes,10.6
2015,Hombre,Araba/Álava,Por 100.000 habitantes,8.8
2021,Hombre,Araba/Álava,Por 100.000 habitantes,11.7
2020,Hombre,Araba/Álava,Por 100.000 habitantes,12.3
2010,Hombre,Araba/Álava,Por 100.000 habitantes,15.1
2017,Hombre,Araba/Álava,Por 100.000 habitantes,8.1
2014,Hombre,Araba/Álava,Por 100.000 habitantes,10.1
2018,Hombre,Araba/Álava,Por 100.000 habitantes,10.6
2013,Hombre,Araba/Álava,Por 100.000 habitantes,11.3
2011,Hombre,Araba/Álava,Por 100.000 habitantes,9.4
2024,Hombre,Bizkaia,Por 100.000 habitantes,12.5
2023,Hombre,Bizkaia,Por 100.000 habitantes,7.4
2022,Hombre,Bizkaia,Por 100.000 habitantes,11.8
2021,Hombre,Bizkaia,Por 100.000 habitantes,8.7
2014,Hombre,Bizkaia,Por 100.000 habitantes,12.9
2020,Hombre,Bizkaia,Por 100.000 habitantes,14.1
2016,Hombre,Bizkaia,Por 100.000 habitantes,11.3
2019,Hombre,Bizkaia,Por 100.000 habitantes,10.0
2018,Hombre,Bizkaia,Por 100.000 habitantes,11.7
2017,Hombre,Bizkaia,Por 100.000 habitantes,13.5
2015,Hombre,Bizkaia,Por 100.000 habitantes,13.3
2013,Hombre,Bizkaia,Por 100.000 habitantes,11.9
2012,Hombre,Bizkaia,Por 100.000 habitantes,11.3
2011,Hombre,Bizkaia,Por 100.000 habitantes,11.3
2010,Hombre,Bizkaia,Por 100.000 habitantes,8.4
2018,Hombre,Gipuzkoa,Por 100.000 habitantes,9.7
2017,Hombre,Gipuzkoa,Por 100.000 habitantes,13.5
2016,Hombre,Gipuzkoa,Por 100.000 habitantes,14.9
2015,Hombre,Gipuzkoa,Por 100.000 habitantes,11.5
2011,Hombre,Gipuzkoa,Por 100.000 habitantes,13.0
2014,Hombre,Gipuzkoa,Por 100.000 habitantes,10.4
2013,Hombre,Gipuzkoa,Por 100.000 habitantes,12.7
2012,Hombre,Gipuzkoa,Por 100.000 habitantes,15.3
2010,Hombre,Gipuzkoa,Por 100.000 habitantes,10.2
2024,Hombre,Gipuzkoa,Por 100.000 habitantes,9.9
2023,Hombre,Gipuzkoa,Por 100.000 habitantes,13.1
2022,Hombre,Gipuzkoa,Por 100.000 habitantes,10.3
2021,Hombre,Gipuzkoa,Por 100.000 habitantes,11.4
2020,Hombre,Gipuzkoa,Por 100.000 habitantes,11.7
2019,Hombre,Gipuzkoa,Por 100.000 habitantes,11.7
