Year,Series,Sexo,Territorio histórico,Units,Value
2023, Lesiones ocupacionales mortales ,Mujer,Gipuzkoa,"Por 100,000 empleados",0.0
2016, Lesiones ocupacionales mortales ,Mujer,Gipuzkoa,"Por 100,000 empleados",0.0
2021, Lesiones ocupacionales mortales ,Mujer,Gipuzkoa,"Por 100,000 empleados",0.0
2020, Lesiones ocupacionales mortales ,Mujer,Gipuzkoa,"Por 100,000 empleados",0.7
2017, Lesiones ocupacionales mortales ,Mujer,Gipuzkoa,"Por 100,000 empleados",0.0
2022, Lesiones ocupacionales mortales ,Mujer,Gipuzkoa,"Por 100,000 empleados",0.7
2015, Lesiones ocupacionales mortales ,Mujer,Gipuzkoa,"Por 100,000 empleados",0.7
2014, Lesiones ocupacionales mortales ,Mujer,Gipuzkoa,"Por 100,000 empleados",0.0
2013, Lesiones ocupacionales mortales ,Mujer,Gipuzkoa,"Por 100,000 empleados",0.0
2014, Lesiones ocupacionales mortales ,Hombre,,"Por 100,000 empleados",0.4
2013, Lesiones ocupacionales mortales ,Hombre,,"Por 100,000 empleados",1.3
2020, Lesiones ocupacionales mortales ,Hombre,,"Por 100,000 empleados",1.0
2024, Lesiones ocupacionales mortales ,Hombre,,"Por 100,000 empleados",0.8
2023, Lesiones ocupacionales mortales ,Hombre,,"Por 100,000 empleados",0.8
2022, Lesiones ocupacionales mortales ,Hombre,,"Por 100,000 empleados",0.6
2021, Lesiones ocupacionales mortales ,Hombre,,"Por 100,000 empleados",0.6
2019, Lesiones ocupacionales mortales ,Hombre,,"Por 100,000 empleados",0.8
2016, Lesiones ocupacionales mortales ,Hombre,,"Por 100,000 empleados",1.0
2018, Lesiones ocupacionales mortales ,Hombre,,"Por 100,000 empleados",0.6
2017, Lesiones ocupacionales mortales ,Hombre,,"Por 100,000 empleados",1.2
2015, Lesiones ocupacionales mortales ,Hombre,,"Por 100,000 empleados",0.8
2015, Lesiones ocupacionales mortales ,Hombre,Araba/Álava,"Por 100,000 empleados",0.0
2021, Lesiones ocupacionales mortales ,Hombre,Araba/Álava,"Por 100,000 empleados",0.0
2014, Lesiones ocupacionales mortales ,Hombre,Araba/Álava,"Por 100,000 empleados",0.0
2016, Lesiones ocupacionales mortales ,Hombre,Araba/Álava,"Por 100,000 empleados",1.4
2020, Lesiones ocupacionales mortales ,Hombre,Araba/Álava,"Por 100,000 empleados",1.3
2022, Lesiones ocupacionales mortales ,Hombre,Araba/Álava,"Por 100,000 empleados",1.3
2017, Lesiones ocupacionales mortales ,Hombre,Araba/Álava,"Por 100,000 empleados",1.3
2023, Lesiones ocupacionales mortales ,Hombre,Araba/Álava,"Por 100,000 empleados",0.0
2024, Lesiones ocupacionales mortales ,Hombre,Araba/Álava,"Por 100,000 empleados",1.2
2019, Lesiones ocupacionales mortales ,Hombre,Araba/Álava,"Por 100,000 empleados",1.3
2018, Lesiones ocupacionales mortales ,Hombre,Araba/Álava,"Por 100,000 empleados",1.3
2013, Lesiones ocupacionales mortales ,Hombre,Araba/Álava,"Por 100,000 empleados",1.4
2013, Lesiones ocupacionales mortales ,Hombre,Bizkaia,"Por 100,000 empleados",1.2
2019, Lesiones ocupacionales mortales ,Hombre,Bizkaia,"Por 100,000 empleados",0.4
2024, Lesiones ocupacionales mortales ,Hombre,Bizkaia,"Por 100,000 empleados",0.8
2021, Lesiones ocupacionales mortales ,Hombre,Bizkaia,"Por 100,000 empleados",0.8
2018, Lesiones ocupacionales mortales ,Hombre,Bizkaia,"Por 100,000 empleados",0.4
2023, Lesiones ocupacionales mortales ,Hombre,Bizkaia,"Por 100,000 empleados",0.8
2022, Lesiones ocupacionales mortales ,Hombre,Bizkaia,"Por 100,000 empleados",0.8
2017, Lesiones ocupacionales mortales ,Hombre,Bizkaia,"Por 100,000 empleados",0.8
2020, Lesiones ocupacionales mortales ,Hombre,Bizkaia,"Por 100,000 empleados",0.8
2016, Lesiones ocupacionales mortales ,Hombre,Bizkaia,"Por 100,000 empleados",1.2
2015, Lesiones ocupacionales mortales ,Hombre,Bizkaia,"Por 100,000 empleados",0.4
2014, Lesiones ocupacionales mortales ,Hombre,Bizkaia,"Por 100,000 empleados",0.4
2020, Lesiones ocupacionales mortales ,Hombre,Gipuzkoa,"Por 100,000 empleados",1.2
2016, Lesiones ocupacionales mortales ,Hombre,Gipuzkoa,"Por 100,000 empleados",0.6
2023, Lesiones ocupacionales mortales ,Hombre,Gipuzkoa,"Por 100,000 empleados",1.2
2013, Lesiones ocupacionales mortales ,Hombre,Gipuzkoa,"Por 100,000 empleados",1.3
2021, Lesiones ocupacionales mortales ,Hombre,Gipuzkoa,"Por 100,000 empleados",0.6
2022, Lesiones ocupacionales mortales ,Hombre,Gipuzkoa,"Por 100,000 empleados",0.0
2017, Lesiones ocupacionales mortales ,Hombre,Gipuzkoa,"Por 100,000 empleados",1.8
2019, Lesiones ocupacionales mortales ,Hombre,Gipuzkoa,"Por 100,000 empleados",1.2
2014, Lesiones ocupacionales mortales ,Hombre,Gipuzkoa,"Por 100,000 empleados",0.6
2018, Lesiones ocupacionales mortales ,Hombre,Gipuzkoa,"Por 100,000 empleados",0.6
2024, Lesiones ocupacionales mortales ,Hombre,Gipuzkoa,"Por 100,000 empleados",0.6
2015, Lesiones ocupacionales mortales ,Hombre,Gipuzkoa,"Por 100,000 empleados",1.9
2018, Lesiones ocupacionales no mortales ,,,"Por 100,000 empleados",6849.5
2013, Lesiones ocupacionales no mortales ,,,"Por 100,000 empleados",5944.2
2023, Lesiones ocupacionales no mortales ,,,"Por 100,000 empleados",6988.6
2014, Lesiones ocupacionales no mortales ,,,"Por 100,000 empleados",6008.3
2017, Lesiones ocupacionales no mortales ,,,"Por 100,000 empleados",6868.8
2021, Lesiones ocupacionales no mortales ,,,"Por 100,000 empleados",7026.7
2022, Lesiones ocupacionales no mortales ,,,"Por 100,000 empleados",7178.9
2015, Lesiones ocupacionales no mortales ,,,"Por 100,000 empleados",6356.3
2016, Lesiones ocupacionales no mortales ,,,"Por 100,000 empleados",6598.8
2020, Lesiones ocupacionales no mortales ,,,"Por 100,000 empleados",6150.9
2024, Lesiones ocupacionales no mortales ,,,"Por 100,000 empleados",7304.1
2019, Lesiones ocupacionales no mortales ,,,"Por 100,000 empleados",7370.6
2018, Lesiones ocupacionales no mortales ,,Araba/Álava,"Por 100,000 empleados",8200.6
2024, Lesiones ocupacionales no mortales ,,Araba/Álava,"Por 100,000 empleados",9923.7
2013, Lesiones ocupacionales no mortales ,,Araba/Álava,"Por 100,000 empleados",7277.4
2014, Lesiones ocupacionales no mortales ,,Araba/Álava,"Por 100,000 empleados",7569.5
2019, Lesiones ocupacionales no mortales ,,Araba/Álava,"Por 100,000 empleados",9053.3
2021, Lesiones ocupacionales no mortales ,,Araba/Álava,"Por 100,000 empleados",8565.9
2023, Lesiones ocupacionales no mortales ,,Araba/Álava,"Por 100,000 empleados",6950.6
2016, Lesiones ocupacionales no mortales ,,Araba/Álava,"Por 100,000 empleados",8196.2
2017, Lesiones ocupacionales no mortales ,,Araba/Álava,"Por 100,000 empleados",8154.9
2020, Lesiones ocupacionales no mortales ,,Araba/Álava,"Por 100,000 empleados",7085.0
2022, Lesiones ocupacionales no mortales ,,Araba/Álava,"Por 100,000 empleados",8421.5
2015, Lesiones ocupacionales no mortales ,,Araba/Álava,"Por 100,000 empleados",7914.8
2018, Lesiones ocupacionales no mortales ,,Bizkaia,"Por 100,000 empleados",6854.7
2020, Lesiones ocupacionales no mortales ,,Bizkaia,"Por 100,000 empleados",6072.1
2021, Lesiones ocupacionales no mortales ,,Bizkaia,"Por 100,000 empleados",6853.3
2015, Lesiones ocupacionales no mortales ,,Bizkaia,"Por 100,000 empleados",6220.8
2019, Lesiones ocupacionales no mortales ,,Bizkaia,"Por 100,000 empleados",7319.3
2024, Lesiones ocupacionales no mortales ,,Bizkaia,"Por 100,000 empleados",6991.3
2013, Lesiones ocupacionales no mortales ,,Bizkaia,"Por 100,000 empleados",5831.4
2014, Lesiones ocupacionales no mortales ,,Bizkaia,"Por 100,000 empleados",5835.8
2017, Lesiones ocupacionales no mortales ,,Bizkaia,"Por 100,000 empleados",6948.6
2022, Lesiones ocupacionales no mortales ,,Bizkaia,"Por 100,000 empleados",7180.5
2016, Lesiones ocupacionales no mortales ,,Bizkaia,"Por 100,000 empleados",6558.8
2023, Lesiones ocupacionales no mortales ,,Bizkaia,"Por 100,000 empleados",7201.9
2020, Lesiones ocupacionales no mortales ,,Gipuzkoa,"Por 100,000 empleados",5844.2
2013, Lesiones ocupacionales no mortales ,,Gipuzkoa,"Por 100,000 empleados",5524.2
2022, Lesiones ocupacionales no mortales ,,Gipuzkoa,"Por 100,000 empleados",6618.1
2018, Lesiones ocupacionales no mortales ,,Gipuzkoa,"Por 100,000 empleados",6223.8
2024, Lesiones ocupacionales no mortales ,,Gipuzkoa,"Por 100,000 empleados",6597.6
2014, Lesiones ocupacionales no mortales ,,Gipuzkoa,"Por 100,000 empleados",5562.8
2021, Lesiones ocupacionales no mortales ,,Gipuzkoa,"Por 100,000 empleados",6587.1
2023, Lesiones ocupacionales no mortales ,,Gipuzkoa,"Por 100,000 empleados",6675.8
2016, Lesiones ocupacionales no mortales ,,Gipuzkoa,"Por 100,000 empleados",5942.3
2019, Lesiones ocupacionales no mortales ,,Gipuzkoa,"Por 100,000 empleados",6686.1
2015, Lesiones ocupacionales no mortales ,,Gipuzkoa,"Por 100,000 empleados",5861.2
2017, Lesiones ocupacionales no mortales ,,Gipuzkoa,"Por 100,000 empleados",6165.6
2016, Lesiones ocupacionales no mortales ,Mujer,,"Por 100,000 empleados",3918.2
2024, Lesiones ocupacionales no mortales ,Mujer,,"Por 100,000 empleados",4212.9
2015, Lesiones ocupacionales no mortales ,Mujer,,"Por 100,000 empleados",3845.6
2019, Lesiones ocupacionales no mortales ,Mujer,,"Por 100,000 empleados",4084.5
2017, Lesiones ocupacionales no mortales ,Mujer,,"Por 100,000 empleados",4012.8
2020, Lesiones ocupacionales no mortales ,Mujer,,"Por 100,000 empleados",3465.3
2023, Lesiones ocupacionales no mortales ,Mujer,,"Por 100,000 empleados",3978.4
2014, Lesiones ocupacionales no mortales ,Mujer,,"Por 100,000 empleados",3626.9
2018, Lesiones ocupacionales no mortales ,Mujer,,"Por 100,000 empleados",4007.9
2021, Lesiones ocupacionales no mortales ,Mujer,,"Por 100,000 empleados",4361.3
2013, Lesiones ocupacionales no mortales ,Mujer,,"Por 100,000 empleados",3673.5
2022, Lesiones ocupacionales no mortales ,Mujer,,"Por 100,000 empleados",4289.3
2024, Lesiones ocupacionales no mortales ,Mujer,Araba/Álava,"Por 100,000 empleados",5878.4
2021, Lesiones ocupacionales no mortales ,Mujer,Araba/Álava,"Por 100,000 empleados",5917.8
2020, Lesiones ocupacionales no mortales ,Mujer,Araba/Álava,"Por 100,000 empleados",4131.4
2023, Lesiones ocupacionales no mortales ,Mujer,Araba/Álava,"Por 100,000 empleados",4375.4
2022, Lesiones ocupacionales no mortales ,Mujer,Araba/Álava,"Por 100,000 empleados",5025.1
2017, Lesiones ocupacionales no mortales ,Mujer,Araba/Álava,"Por 100,000 empleados",4724.7
2015, Lesiones ocupacionales no mortales ,Mujer,Araba/Álava,"Por 100,000 empleados",5205.3
2019, Lesiones ocupacionales no mortales ,Mujer,Araba/Álava,"Por 100,000 empleados",5003.0
2014, Lesiones ocupacionales no mortales ,Mujer,Araba/Álava,"Por 100,000 empleados",4709.6
2018, Lesiones ocupacionales no mortales ,Mujer,Araba/Álava,"Por 100,000 empleados",4531.4
2016, Lesiones ocupacionales no mortales ,Mujer,Araba/Álava,"Por 100,000 empleados",5000.0
2013, Lesiones ocupacionales no mortales ,Mujer,Araba/Álava,"Por 100,000 empleados",4591.6
2019, Lesiones ocupacionales no mortales ,Mujer,Bizkaia,"Por 100,000 empleados",4146.2
2015, Lesiones ocupacionales no mortales ,Mujer,Bizkaia,"Por 100,000 empleados",3840.3
2021, Lesiones ocupacionales no mortales ,Mujer,Bizkaia,"Por 100,000 empleados",4246.0
2014, Lesiones ocupacionales no mortales ,Mujer,Bizkaia,"Por 100,000 empleados",3579.0
2017, Lesiones ocupacionales no mortales ,Mujer,Bizkaia,"Por 100,000 empleados",4204.2
2020, Lesiones ocupacionales no mortales ,Mujer,Bizkaia,"Por 100,000 empleados",3469.1
2022, Lesiones ocupacionales no mortales ,Mujer,Bizkaia,"Por 100,000 empleados",4328.5
2024, Lesiones ocupacionales no mortales ,Mujer,Bizkaia,"Por 100,000 empleados",4017.7
2023, Lesiones ocupacionales no mortales ,Mujer,Bizkaia,"Por 100,000 empleados",3996.3
2018, Lesiones ocupacionales no mortales ,Mujer,Bizkaia,"Por 100,000 empleados",4183.5
2016, Lesiones ocupacionales no mortales ,Mujer,Bizkaia,"Por 100,000 empleados",3907.5
2013, Lesiones ocupacionales no mortales ,Mujer,Bizkaia,"Por 100,000 empleados",3736.0
2013, Lesiones ocupacionales no mortales ,Mujer,Gipuzkoa,"Por 100,000 empleados",3188.0
2014, Lesiones ocupacionales no mortales ,Mujer,Gipuzkoa,"Por 100,000 empleados",3227.0
2017, Lesiones ocupacionales no mortales ,Mujer,Gipuzkoa,"Por 100,000 empleados",3395.2
2018, Lesiones ocupacionales no mortales ,Mujer,Gipuzkoa,"Por 100,000 empleados",3490.7
2019, Lesiones ocupacionales no mortales ,Mujer,Gipuzkoa,"Por 100,000 empleados",3579.6
2021, Lesiones ocupacionales no mortales ,Mujer,Gipuzkoa,"Por 100,000 empleados",3845.4
2022, Lesiones ocupacionales no mortales ,Mujer,Gipuzkoa,"Por 100,000 empleados",3900.8
2024, Lesiones ocupacionales no mortales ,Mujer,Gipuzkoa,"Por 100,000 empleados",3781.6
2020, Lesiones ocupacionales no mortales ,Mujer,Gipuzkoa,"Por 100,000 empleados",3168.2
2016, Lesiones ocupacionales no mortales ,Mujer,Gipuzkoa,"Por 100,000 empleados",3454.7
2015, Lesiones ocupacionales no mortales ,Mujer,Gipuzkoa,"Por 100,000 empleados",3261.3
2023, Lesiones ocupacionales no mortales ,Mujer,Gipuzkoa,"Por 100,000 empleados",3776.6
2015, Lesiones ocupacionales no mortales ,Hombre,,"Por 100,000 empleados",8601.7
2020, Lesiones ocupacionales no mortales ,Hombre,,"Por 100,000 empleados",8606.3
2014, Lesiones ocupacionales no mortales ,Hombre,,"Por 100,000 empleados",8125.1
2019, Lesiones ocupacionales no mortales ,Hombre,,"Por 100,000 empleados",10333.0
2021, Lesiones ocupacionales no mortales ,Hombre,,"Por 100,000 empleados",9472.5
2017, Lesiones ocupacionales no mortales ,Hombre,,"Por 100,000 empleados",9442.0
2018, Lesiones ocupacionales no mortales ,Hombre,,"Por 100,000 empleados",9401.4
2022, Lesiones ocupacionales no mortales ,Hombre,,"Por 100,000 empleados",9806.7
2024, Lesiones ocupacionales no mortales ,Hombre,,"Por 100,000 empleados",10149.5
2016, Lesiones ocupacionales no mortales ,Hombre,,"Por 100,000 empleados",9007.6
2013, Lesiones ocupacionales no mortales ,Hombre,,"Por 100,000 empleados",7924.2
2023, Lesiones ocupacionales no mortales ,Hombre,,"Por 100,000 empleados",9758.5
2015, Lesiones ocupacionales no mortales ,Hombre,Araba/Álava,"Por 100,000 empleados",10155.4
2014, Lesiones ocupacionales no mortales ,Hombre,Araba/Álava,"Por 100,000 empleados",9964.5
2019, Lesiones ocupacionales no mortales ,Hombre,Araba/Álava,"Por 100,000 empleados",12530.8
2022, Lesiones ocupacionales no mortales ,Hombre,Araba/Álava,"Por 100,000 empleados",11421.9
2020, Lesiones ocupacionales no mortales ,Hombre,Araba/Álava,"Por 100,000 empleados",9547.7
2013, Lesiones ocupacionales no mortales ,Hombre,Araba/Álava,"Por 100,000 empleados",9472.5
2024, Lesiones ocupacionales no mortales ,Hombre,Araba/Álava,"Por 100,000 empleados",13494.4
2016, Lesiones ocupacionales no mortales ,Hombre,Araba/Álava,"Por 100,000 empleados",10880.6
2023, Lesiones ocupacionales no mortales ,Hombre,Araba/Álava,"Por 100,000 empleados",9205.6
2018, Lesiones ocupacionales no mortales ,Hombre,Araba/Álava,"Por 100,000 empleados",11434.0
2017, Lesiones ocupacionales no mortales ,Hombre,Araba/Álava,"Por 100,000 empleados",11100.5
2021, Lesiones ocupacionales no mortales ,Hombre,Araba/Álava,"Por 100,000 empleados",10857.7
2013, Lesiones ocupacionales no mortales ,Hombre,Bizkaia,"Por 100,000 empleados",7673.6
2014, Lesiones ocupacionales no mortales ,Hombre,Bizkaia,"Por 100,000 empleados",7871.4
2015, Lesiones ocupacionales no mortales ,Hombre,Bizkaia,"Por 100,000 empleados",8426.4
2016, Lesiones ocupacionales no mortales ,Hombre,Bizkaia,"Por 100,000 empleados",9062.4
2017, Lesiones ocupacionales no mortales ,Hombre,Bizkaia,"Por 100,000 empleados",9471.9
2018, Lesiones ocupacionales no mortales ,Hombre,Bizkaia,"Por 100,000 empleados",9301.5
2019, Lesiones ocupacionales no mortales ,Hombre,Bizkaia,"Por 100,000 empleados",10243.5
2020, Lesiones ocupacionales no mortales ,Hombre,Bizkaia,"Por 100,000 empleados",8531.5
2021, Lesiones ocupacionales no mortales ,Hombre,Bizkaia,"Por 100,000 empleados",9291.6
2022, Lesiones ocupacionales no mortales ,Hombre,Bizkaia,"Por 100,000 empleados",9836.4
2023, Lesiones ocupacionales no mortales ,Hombre,Bizkaia,"Por 100,000 empleados",10203.9
2024, Lesiones ocupacionales no mortales ,Hombre,Bizkaia,"Por 100,000 empleados",9722.1
2022, Lesiones ocupacionales no mortales ,Hombre,Gipuzkoa,"Por 100,000 empleados",9041.0
2017, Lesiones ocupacionales no mortales ,Hombre,Gipuzkoa,"Por 100,000 empleados",8633.8
2013, Lesiones ocupacionales no mortales ,Hombre,Gipuzkoa,"Por 100,000 empleados",7594.0
2015, Lesiones ocupacionales no mortales ,Hombre,Gipuzkoa,"Por 100,000 empleados",8142.6
2016, Lesiones ocupacionales no mortales ,Hombre,Gipuzkoa,"Por 100,000 empleados",8075.8
2019, Lesiones ocupacionales no mortales ,Hombre,Gipuzkoa,"Por 100,000 empleados",9448.5
2020, Lesiones ocupacionales no mortales ,Hombre,Gipuzkoa,"Por 100,000 empleados",8270.8
2023, Lesiones ocupacionales no mortales ,Hombre,Gipuzkoa,"Por 100,000 empleados",9332.9
2024, Lesiones ocupacionales no mortales ,Hombre,Gipuzkoa,"Por 100,000 empleados",9250.7
2014, Lesiones ocupacionales no mortales ,Hombre,Gipuzkoa,"Por 100,000 empleados",7649.1
2018, Lesiones ocupacionales no mortales ,Hombre,Gipuzkoa,"Por 100,000 empleados",8624.9
2021, Lesiones ocupacionales no mortales ,Hombre,Gipuzkoa,"Por 100,000 empleados",9100.4
