Year,Series,Sexo,Tipo de tenencia,Territorio histórico,Units,Value
2013,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,Mujer,,Gipuzkoa,Porcentaje,57.5
2016,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,Mujer,,Gipuzkoa,Porcentaje,53.2
2009,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",Mujer,En propiedad,,Porcentaje,35.1
2016,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",Mujer,En propiedad,,Porcentaje,40.4
2013,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",Mujer,En propiedad,,Porcentaje,38.4
2013,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",Mujer,En propiedad,Araba/Álava,Porcentaje,28.2
2016,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",Mujer,En propiedad,Araba/Álava,Porcentaje,35.6
2009,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",Mujer,En propiedad,Araba/Álava,Porcentaje,30.7
2009,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",Mujer,En propiedad,Bizkaia,Porcentaje,39.0
2016,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",Mujer,En propiedad,Bizkaia,Porcentaje,43.3
2013,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",Mujer,En propiedad,Bizkaia,Porcentaje,42.9
2009,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",Mujer,En propiedad,Gipuzkoa,Porcentaje,32.5
2013,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",Mujer,En propiedad,Gipuzkoa,Porcentaje,37.3
2016,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",Mujer,En propiedad,Gipuzkoa,Porcentaje,38.4
2013,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",Mujer,En arrendamiento,,Porcentaje,33.9
2016,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",Mujer,En arrendamiento,,Porcentaje,29.8
2009,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",Mujer,En arrendamiento,,Porcentaje,26.4
2016,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",Mujer,En arrendamiento,Araba/Álava,Porcentaje,28.9
2013,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",Mujer,En arrendamiento,Araba/Álava,Porcentaje,33.0
2009,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",Mujer,En arrendamiento,Araba/Álava,Porcentaje,23.2
2016,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",Mujer,En arrendamiento,Bizkaia,Porcentaje,35.5
2013,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",Mujer,En arrendamiento,Bizkaia,Porcentaje,36.7
2009,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",Mujer,En arrendamiento,Bizkaia,Porcentaje,30.6
2013,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",Mujer,En arrendamiento,Gipuzkoa,Porcentaje,30.3
2009,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",Mujer,En arrendamiento,Gipuzkoa,Porcentaje,23.1
2016,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",Mujer,En arrendamiento,Gipuzkoa,Porcentaje,19.0
2009,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,Hombre,,,Porcentaje,53.9
2013,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,Hombre,,,Porcentaje,56.7
2016,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,Hombre,,,Porcentaje,50.7
2009,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,Hombre,,Araba/Álava,Porcentaje,49.2
2013,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,Hombre,,Araba/Álava,Porcentaje,48.5
2016,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,Hombre,,Araba/Álava,Porcentaje,42.6
2013,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,Hombre,,Bizkaia,Porcentaje,61.4
2009,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,Hombre,,Bizkaia,Porcentaje,57.1
2016,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,Hombre,,Bizkaia,Porcentaje,52.9
2013,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,Hombre,,Gipuzkoa,Porcentaje,56.9
2009,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,Hombre,,Gipuzkoa,Porcentaje,53.4
2016,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,Hombre,,Gipuzkoa,Porcentaje,52.8
