Year,Sexo,Territorio histórico,Units,Value
2009,Hombre,,%,60.5
2014,Hombre,,%,78.4
2015,Hombre,,%,83.1
2011,Hombre,,%,66.5
2022,Hombre,,%,93.8
2013,Hombre,,%,77.4
2021,Hombre,,%,93.4
2022,Hombre,Araba/Álava,%,95.0
2014,Hombre,Araba/Álava,%,77.8
2021,Hombre,Araba/Álava,%,93.0
2023,Hombre,Araba/Álava,%,95.5
2010,Hombre,Araba/Álava,%,62.9
2013,Hombre,Araba/Álava,%,77.9
2009,Hombre,Araba/Álava,%,58.4
2017,Hombre,Araba/Álava,%,85.9
2012,Hombre,Araba/Álava,%,66.5
2016,Hombre,Araba/Álava,%,86.0
2008,Hombre,Araba/Álava,%,57.5
2018,Hombre,Araba/Álava,%,92.2
2011,Hombre,Araba/Álava,%,62.1
2019,Hombre,Araba/Álava,%,89.2
2015,Hombre,Araba/Álava,%,84.2
2020,Hombre,Araba/Álava,%,89.8
2023,Hombre,Bizkaia,%,96.3
2022,Hombre,Bizkaia,%,94.1
2021,Hombre,Bizkaia,%,93.6
2020,Hombre,Bizkaia,%,91.2
2019,Hombre,Bizkaia,%,91.3
2018,Hombre,Bizkaia,%,89.6
2014,Hombre,Bizkaia,%,79.1
2017,Hombre,Bizkaia,%,83.9
2016,Hombre,Bizkaia,%,85.0
2015,Hombre,Bizkaia,%,83.8
2013,Hombre,Bizkaia,%,78.5
2012,Hombre,Bizkaia,%,65.3
2011,Hombre,Bizkaia,%,67.3
2010,Hombre,Bizkaia,%,58.1
2009,Hombre,Bizkaia,%,61.2
2008,Hombre,Bizkaia,%,58.8
2014,Hombre,Gipuzkoa,%,77.5
2009,Hombre,Gipuzkoa,%,60.1
2013,Hombre,Gipuzkoa,%,75.4
2012,Hombre,Gipuzkoa,%,71.6
2011,Hombre,Gipuzkoa,%,67.2
2010,Hombre,Gipuzkoa,%,65.4
2023,Hombre,Gipuzkoa,%,94.8
2022,Hombre,Gipuzkoa,%,92.9
2021,Hombre,Gipuzkoa,%,93.2
2020,Hombre,Gipuzkoa,%,92.3
2019,Hombre,Gipuzkoa,%,87.2
2018,Hombre,Gipuzkoa,%,87.3
2008,Hombre,Gipuzkoa,%,57.9
2017,Hombre,Gipuzkoa,%,84.8
2016,Hombre,Gipuzkoa,%,83.4
2015,Hombre,Gipuzkoa,%,81.5
