Value,Number of indicators
"EAEn eskuragarri dagoen adierazleak ez ditu Nazio Batuen adierazlearen metadatuak betetzen, baina  antzeko informazioa ematen du.",1
"EAEn eskuragarri dagoen adierazleak ez ditu Nazio Batuen adierazlearen metadatuak betetzen, baina antzeko informazioa  eskaintzen du. Datuak eurotan aurkezten dira, ez Estatu Batuetako dolarretan.",1
"EAEn eskuragarri dagoen adierazleak ez ditu Nazio Batuen adierazlearen metadatuak betetzen, baina antzeko informazioa ematen du. Definizio ofizialaren arabera, adierazleak erreferentziako biztanleria gisa 20 eta 24 urte bitarteko emakumeak  hartzen ditu neurketa unean. Hala ere, Euskadiko AEan kalkulatzeko, urte erreferenteko 16 eta 17 urteko emakumeen  biztanleria hartzen da izendatzaile gisa.",1
"EAEn eskuragarri dagoen adierazleak ez ditu Nazio Batuen adierazlearen metadatuak betetzen, baina antzeko informazioa eskaintzen du.",3
"EAEn eskuragarri dagoen adierazleak ez ditu Nazio Batuen metadatuak betetzen, baina  antzeko informazioa ematen du  ",1
"EAEn eskuragarri dagoen adierazleak ez ditu Nazio Batuen metadatuak betetzen, baina antzeko informazioa ematen du.  ",1
"EAEn eskuragarri dagoen adierazleak ez ditu Nazio Batuen metadatuak betetzen, baina antzeko informazioa ematen du. Elikagaien segurtasunik eza modu desberdinean puntuatzen da.",1
"EAEn eskuragarri dagoen adierazleak ez ditu Nazio Batuen metadatuak betetzen, baina antzeko informazioa ematen du.",2
"EAEn eskuragarri dagoen adierazleak ez ditu Nazio Batuen metadatuak betetzen, baina antzeko informazioa ematen du",1
"EAEn eskuragarri dagoen adierazleak ez ditu Nazio Batuen metadatuak betetzen, baliabide hidrikoen  erauzketa neurtzen du, baina ez estres hidrikoa.",1
"EAEn eskuragarri dagoen adierazleak ez ditu zorrotz betetzen Nazio Batuen adierazlearen metadatuak, adin-talde desberdina erabiltzen duelako, baina antzeko informazioa ematen du.",1
"EAEn eskuragarri dagoen adierazleak ez ditu zorrotz betetzen Nazio Batuen adierazlearen metadatuak, baina antzeko informazioa eskaintzen du.",1
"EAEn eskuragarri dagoen adierazleak ez ditu zorrotz betetzen Nazio Batuen metadatuak, ez baitu kuantifikatzen  infektatu gabeko biztanleriaren gaineko tasa, populazio osoarena baizik.",1
EAEn eskuragarri dagoen adierazleak Nazio Batuek proposatutako adierazlearen 4. azpiadierazleari erantzuten dio.,1
EAEn eskuragarri dagoen adierazleak Nazio Batuen adierazlearen metadatuak betetzen ditu ,1
EAEn eskuragarri dagoen adierazleak Nazio Batuen adierazlearen metadatuak betetzen ditu.,46
EAEn eskuragarri dagoen adierazleak Nazio Batuen adierazlearen metadatuak betetzen ditu,5
EAEn eskuragarri dagoen adierazleak Nazio Batuen adierazlearen serie nagusia (1a) betetzen du.,1
"EAEn eskuragarri dagoen adierazleak Nazio Batuen metadatuak betetzen ditu aztertutako serieetarako. Beste serie batzuk plataforma honetako garapen jasangarriaren beste adierazle batzuetan aurkezten dira (3-8-1, 4-1-1, 7-1-2, 9-1-1, 9-c-1, 11-2-1, 11-6-1)",1
EAEn eskuragarri dagoen adierazleak Nazio Batuen metadatuak betetzen ditu aztertutako serieetarako.,1
EAEn eskuragarri dagoen adierazleak Nazio Batuen metadatuak betetzen ditu.,11
Eaen eskuragarri dagoen adierazleak Nazio Batuen metadatuak betetzen ditu.,1
EAEn eskuragarri dagoen adierazleak partzialki betetzen ditu Nazio Batuen adierazlearen metadatuak.,1
EAEn eskuragarri dagoen adierazleak partzialki betetzen ditu Nazio Batuen metadatuak. Adierazlea Euskal AEko testuingurura egokitu da. ,1
EAEn eskuragarri dagoen adierazleak partzialki betetzen ditu Nazio Batuen metadatuak.,9
"Eskuragarri dagoen adierazlea Nazio Batuen adierazlearen serieetako bat da, baina ez da adierazle nagusia.",1
"Eskuragarri dagoen adierazleak ez ditu Nazio Batuen metadatuak betetzen, baina antzeko informazioa ematen du",1
"Eskuragarri dagoen adierazleak ez ditu Nazio Batuen metadatuak betetzen, baina informazio  osagarria ematen du. Nazio Batuen adierazleak zerga-sarrerak gastu publiko osoarekin lotzen  dituen bitartean, Euskal AEko adierazleak zergetatik datozen euskal administrazio publikoen  guztizko diru-sarrera bateratuen proportzioa neurtzen du. Beraz, euskal sektore publikoaren  finantzaketa-egituran zentratzen da, eta ez aurrekontu-betearazpenean. ",1
Eskuragarri dagoen adierazleak Nazio Batuen adierazlearen metadatuak betetzen ditu.,3
Eskuragarri dagoen adierazleak Nazio Batuen metadatuak betetzen ditu.,2
Eskuragarri dagoen adierazleak partzialki betetzen ditu Nazio Batuen metadatuak,1
"Euskal AEn eskuragarri dagoen adierazlea Europako ""Bizi-itxaropena jaiotzean (demo_mlexpec)"" adierazlearekin aldera daiteke. ",1
Euskal Autonomia Erkidegoan eskuragarri dagoen adierazlea Europako adierazlearekin aldera daiteke.,1
"Euskal Autonomia Erkidegoan eskuragarri dagoen adierazleak COFOG sailkapena erabiltzen du.  Sailkapen horrek ez ditu betetzen Nazio Batuen adierazlearen metadatuak, baina antzeko  informazioa ematen du. Munduko adierazleak gobernu finantzen estatistiken eskuliburua  (GFEE) erabiltzen du, non gastuaren kontzeptua pixka bat desberdin aplikatzen den.  ",1
Helduen obesitate-tasa Europako adierazlearekin aldera daiteke.,1
"""Instalazio kontrolatuetan bildu eta kudeatutako hiri-hondakinen proportzioa"" serieak
 Nazio Batuen adierazlearen metadatuak betetzen ditu",1
