Year,Series,Tipo de alimento,Territorio histórico,Units,Value
2011,Indicador de anomalías en los precios de los alimentos,Pan,,Índice,-0.1
2017,Indicador de anomalías en los precios de los alimentos,Pan,,Índice,-1.0
2007,Indicador de anomalías en los precios de los alimentos,Pan,,Índice,1.3
2010,Indicador de anomalías en los precios de los alimentos,Cereales y derivados,,Índice,-0.7
2003,Indicador de anomalías en los precios de los alimentos,Cereales y derivados,,Índice,-0.4
2014,Indicador de anomalías en los precios de los alimentos,Cereales y derivados,,Índice,-0.8
2007,Indicador de anomalías en los precios de los alimentos,Cereales y derivados,,Índice,0.1
2004,Indicador de anomalías en los precios de los alimentos,Cereales y derivados,,Índice,-0.2
2022,Indicador de anomalías en los precios de los alimentos,Cereales y derivados,,Índice,2.6
2009,Indicador de anomalías en los precios de los alimentos,Cereales y derivados,,Índice,-0.4
2011,Indicador de anomalías en los precios de los alimentos,Cereales y derivados,,Índice,0.3
2020,Indicador de anomalías en los precios de los alimentos,Cereales y derivados,,Índice,-0.3
2015,Indicador de anomalías en los precios de los alimentos,Cereales y derivados,,Índice,-0.5
2021,Indicador de anomalías en los precios de los alimentos,Cereales y derivados,,Índice,-0.1
2013,Indicador de anomalías en los precios de los alimentos,Cereales y derivados,,Índice,-0.1
2016,Indicador de anomalías en los precios de los alimentos,Cereales y derivados,,Índice,-0.2
2024,Indicador de anomalías en los precios de los alimentos,Cereales y derivados,,Índice,0.0
2005,Indicador de anomalías en los precios de los alimentos,Cereales y derivados,,Índice,-0.2
2018,Indicador de anomalías en los precios de los alimentos,Cereales y derivados,,Índice,-0.2
2019,Indicador de anomalías en los precios de los alimentos,Cereales y derivados,,Índice,-0.4
2012,Indicador de anomalías en los precios de los alimentos,Cereales y derivados,,Índice,-0.1
2008,Indicador de anomalías en los precios de los alimentos,Cereales y derivados,,Índice,1.2
2017,Indicador de anomalías en los precios de los alimentos,Cereales y derivados,,Índice,-0.7
2006,Indicador de anomalías en los precios de los alimentos,Cereales y derivados,,Índice,-0.1
2023,Indicador de anomalías en los precios de los alimentos,Cereales y derivados,,Índice,1.6
2016,Indicador de anomalías en los precios de los alimentos,Huevos,,Índice,-0.6
2020,Indicador de anomalías en los precios de los alimentos,Huevos,,Índice,-0.4
2019,Indicador de anomalías en los precios de los alimentos,Huevos,,Índice,-0.4
2017,Indicador de anomalías en los precios de los alimentos,Huevos,,Índice,-0.5
2021,Indicador de anomalías en los precios de los alimentos,Huevos,,Índice,-0.1
2015,Indicador de anomalías en los precios de los alimentos,Huevos,,Índice,-0.5
2014,Indicador de anomalías en los precios de los alimentos,Huevos,,Índice,-0.7
2022,Indicador de anomalías en los precios de los alimentos,Huevos,,Índice,1.9
2024,Indicador de anomalías en los precios de los alimentos,Huevos,,Índice,-0.3
2013,Indicador de anomalías en los precios de los alimentos,Huevos,,Índice,0.1
2004,Indicador de anomalías en los precios de los alimentos,Huevos,,Índice,0.6
2006,Indicador de anomalías en los precios de los alimentos,Huevos,,Índice,-0.4
2003,Indicador de anomalías en los precios de los alimentos,Huevos,,Índice,0.6
2018,Indicador de anomalías en los precios de los alimentos,Huevos,,Índice,0.2
2007,Indicador de anomalías en los precios de los alimentos,Huevos,,Índice,0.6
2011,Indicador de anomalías en los precios de los alimentos,Huevos,,Índice,-0.3
2009,Indicador de anomalías en los precios de los alimentos,Huevos,,Índice,-0.5
2012,Indicador de anomalías en los precios de los alimentos,Huevos,,Índice,1.3
2010,Indicador de anomalías en los precios de los alimentos,Huevos,,Índice,-0.6
2005,Indicador de anomalías en los precios de los alimentos,Huevos,,Índice,-0.8
2008,Indicador de anomalías en los precios de los alimentos,Huevos,,Índice,0.6
2023,Indicador de anomalías en los precios de los alimentos,Huevos,,Índice,0.5
2016,Indicador de anomalías en los precios de los alimentos,Leche,,Índice,-0.7
2006,Indicador de anomalías en los precios de los alimentos,Leche,,Índice,0.1
2004,Indicador de anomalías en los precios de los alimentos,Leche,,Índice,0.2
2008,Indicador de anomalías en los precios de los alimentos,Leche,,Índice,0.8
2010,Indicador de anomalías en los precios de los alimentos,Leche,,Índice,-1.1
2003,Indicador de anomalías en los precios de los alimentos,Leche,,Índice,0.1
2007,Indicador de anomalías en los precios de los alimentos,Leche,,Índice,1.1
2014,Indicador de anomalías en los precios de los alimentos,Leche,,Índice,-0.2
2013,Indicador de anomalías en los precios de los alimentos,Leche,,Índice,-0.1
2020,Indicador de anomalías en los precios de los alimentos,Leche,,Índice,-0.2
2012,Indicador de anomalías en los precios de los alimentos,Leche,,Índice,0.0
2022,Indicador de anomalías en los precios de los alimentos,Leche,,Índice,2.1
2011,Indicador de anomalías en los precios de los alimentos,Leche,,Índice,-0.3
2021,Indicador de anomalías en los precios de los alimentos,Leche,,Índice,-0.1
2017,Indicador de anomalías en los precios de los alimentos,Leche,,Índice,-0.4
2024,Indicador de anomalías en los precios de los alimentos,Leche,,Índice,-0.4
2009,Indicador de anomalías en los precios de los alimentos,Leche,,Índice,-0.9
2023,Indicador de anomalías en los precios de los alimentos,Leche,,Índice,1.3
2019,Indicador de anomalías en los precios de los alimentos,Leche,,Índice,-0.2
2005,Indicador de anomalías en los precios de los alimentos,Leche,,Índice,0.0
2018,Indicador de anomalías en los precios de los alimentos,Leche,,Índice,-0.4
2015,Indicador de anomalías en los precios de los alimentos,Leche,,Índice,-0.5
2004,Indicador de anomalías en los precios de los alimentos,Aceites y grasas,,Índice,0.4
2008,Indicador de anomalías en los precios de los alimentos,Aceites y grasas,,Índice,-0.2
2022,Indicador de anomalías en los precios de los alimentos,Aceites y grasas,,Índice,1.4
2017,Indicador de anomalías en los precios de los alimentos,Aceites y grasas,,Índice,-0.2
2013,Indicador de anomalías en los precios de los alimentos,Aceites y grasas,,Índice,0.4
2023,Indicador de anomalías en los precios de los alimentos,Aceites y grasas,,Índice,1.3
2007,Indicador de anomalías en los precios de los alimentos,Aceites y grasas,,Índice,-1.1
2019,Indicador de anomalías en los precios de los alimentos,Aceites y grasas,,Índice,-1.0
2020,Indicador de anomalías en los precios de los alimentos,Aceites y grasas,,Índice,-0.6
2016,Indicador de anomalías en los precios de los alimentos,Aceites y grasas,,Índice,0.0
2011,Indicador de anomalías en los precios de los alimentos,Aceites y grasas,,Índice,-0.3
2024,Indicador de anomalías en los precios de los alimentos,Aceites y grasas,,Índice,0.9
2018,Indicador de anomalías en los precios de los alimentos,Aceites y grasas,,Índice,-0.6
2012,Indicador de anomalías en los precios de los alimentos,Aceites y grasas,,Índice,0.2
2015,Indicador de anomalías en los precios de los alimentos,Aceites y grasas,,Índice,0.8
2005,Indicador de anomalías en los precios de los alimentos,Aceites y grasas,,Índice,0.2
2003,Indicador de anomalías en los precios de los alimentos,Aceites y grasas,,Índice,-0.2
2009,Indicador de anomalías en los precios de los alimentos,Aceites y grasas,,Índice,-0.8
2010,Indicador de anomalías en los precios de los alimentos,Aceites y grasas,,Índice,-0.6
2014,Indicador de anomalías en los precios de los alimentos,Aceites y grasas,,Índice,-0.8
2006,Indicador de anomalías en los precios de los alimentos,Aceites y grasas,,Índice,0.7
2021,Indicador de anomalías en los precios de los alimentos,Aceites y grasas,,Índice,0.6
2020,Indicador de anomalías en los precios de los alimentos,Frutas frescas,,Índice,0.7
2012,Indicador de anomalías en los precios de los alimentos,Frutas frescas,,Índice,-0.1
2006,Indicador de anomalías en los precios de los alimentos,Frutas frescas,,Índice,-0.8
2010,Indicador de anomalías en los precios de los alimentos,Frutas frescas,,Índice,-0.7
2024,Indicador de anomalías en los precios de los alimentos,Frutas frescas,,Índice,0.1
2015,Indicador de anomalías en los precios de los alimentos,Frutas frescas,,Índice,-0.3
2003,Indicador de anomalías en los precios de los alimentos,Frutas frescas,,Índice,0.7
2021,Indicador de anomalías en los precios de los alimentos,Frutas frescas,,Índice,0.1
2013,Indicador de anomalías en los precios de los alimentos,Frutas frescas,,Índice,0.6
2009,Indicador de anomalías en los precios de los alimentos,Frutas frescas,,Índice,-0.4
2008,Indicador de anomalías en los precios de los alimentos,Frutas frescas,,Índice,0.6
2022,Indicador de anomalías en los precios de los alimentos,Frutas frescas,,Índice,0.7
2019,Indicador de anomalías en los precios de los alimentos,Frutas frescas,,Índice,-0.5
2011,Indicador de anomalías en los precios de los alimentos,Frutas frescas,,Índice,-0.4
2007,Indicador de anomalías en los precios de los alimentos,Frutas frescas,,Índice,-0.2
2018,Indicador de anomalías en los precios de los alimentos,Frutas frescas,,Índice,0.0
2005,Indicador de anomalías en los precios de los alimentos,Frutas frescas,,Índice,0.1
2016,Indicador de anomalías en los precios de los alimentos,Frutas frescas,,Índice,-0.2
2017,Indicador de anomalías en los precios de los alimentos,Frutas frescas,,Índice,0.4
2014,Indicador de anomalías en los precios de los alimentos,Frutas frescas,,Índice,-0.8
2004,Indicador de anomalías en los precios de los alimentos,Frutas frescas,,Índice,0.7
2023,Indicador de anomalías en los precios de los alimentos,Frutas frescas,,Índice,0.2
2019,Indicador de anomalías en los precios de los alimentos,Legumbres y hortalizas frescas,,Índice,0.1
2011,Indicador de anomalías en los precios de los alimentos,Legumbres y hortalizas frescas,,Índice,-0.7
2023,Indicador de anomalías en los precios de los alimentos,Legumbres y hortalizas frescas,,Índice,0.8
2021,Indicador de anomalías en los precios de los alimentos,Legumbres y hortalizas frescas,,Índice,-0.3
2005,Indicador de anomalías en los precios de los alimentos,Legumbres y hortalizas frescas,,Índice,0.3
2016,Indicador de anomalías en los precios de los alimentos,Legumbres y hortalizas frescas,,Índice,-0.4
2009,Indicador de anomalías en los precios de los alimentos,Legumbres y hortalizas frescas,,Índice,-0.1
2015,Indicador de anomalías en los precios de los alimentos,Legumbres y hortalizas frescas,,Índice,0.5
2020,Indicador de anomalías en los precios de los alimentos,Legumbres y hortalizas frescas,,Índice,0.1
2018,Indicador de anomalías en los precios de los alimentos,Legumbres y hortalizas frescas,,Índice,-0.3
2024,Indicador de anomalías en los precios de los alimentos,Legumbres y hortalizas frescas,,Índice,-0.3
2006,Indicador de anomalías en los precios de los alimentos,Legumbres y hortalizas frescas,,Índice,-0.3
2010,Indicador de anomalías en los precios de los alimentos,Legumbres y hortalizas frescas,,Índice,-0.4
2022,Indicador de anomalías en los precios de los alimentos,Legumbres y hortalizas frescas,,Índice,1.4
2007,Indicador de anomalías en los precios de los alimentos,Legumbres y hortalizas frescas,,Índice,0.2
2003,Indicador de anomalías en los precios de los alimentos,Legumbres y hortalizas frescas,,Índice,0.3
2014,Indicador de anomalías en los precios de los alimentos,Legumbres y hortalizas frescas,,Índice,-0.7
2017,Indicador de anomalías en los precios de los alimentos,Legumbres y hortalizas frescas,,Índice,0.7
2008,Indicador de anomalías en los precios de los alimentos,Legumbres y hortalizas frescas,,Índice,0.0
2012,Indicador de anomalías en los precios de los alimentos,Legumbres y hortalizas frescas,,Índice,-0.2
2004,Indicador de anomalías en los precios de los alimentos,Legumbres y hortalizas frescas,,Índice,0.0
2013,Indicador de anomalías en los precios de los alimentos,Legumbres y hortalizas frescas,,Índice,-0.3
2024,Índice de precio de los alimentos,,,Índice,129.1
2019,Índice de precio de los alimentos,,,Índice,95.6
2009,Índice de precio de los alimentos,,,Índice,83.9
2012,Índice de precio de los alimentos,,,Índice,87.3
2021,Índice de precio de los alimentos,,,Índice,100.0
2016,Índice de precio de los alimentos,,,Índice,92.1
2002,Índice de precio de los alimentos,,,Índice,64.9
2004,Índice de precio de los alimentos,,,Índice,70.6
2003,Índice de precio de los alimentos,,,Índice,67.7
2018,Índice de precio de los alimentos,,,Índice,94.7
2011,Índice de precio de los alimentos,,,Índice,85.0
2020,Índice de precio de los alimentos,,,Índice,98.2
2008,Índice de precio de los alimentos,,,Índice,84.1
2023,Índice de precio de los alimentos,,,Índice,123.7
2005,Índice de precio de los alimentos,,,Índice,73.2
2010,Índice de precio de los alimentos,,,Índice,83.3
2015,Índice de precio de los alimentos,,,Índice,90.6
2017,Índice de precio de los alimentos,,,Índice,93.3
2007,Índice de precio de los alimentos,,,Índice,79.1
2013,Índice de precio de los alimentos,,,Índice,89.9
2006,Índice de precio de los alimentos,,,Índice,76.2
2022,Índice de precio de los alimentos,,,Índice,111.4
2014,Índice de precio de los alimentos,,,Índice,89.3
2009,Índice de precio de los alimentos,Pan y cereales,,Índice,92.7
2014,Índice de precio de los alimentos,Pan y cereales,,Índice,97.1
2019,Índice de precio de los alimentos,Pan y cereales,,Índice,98.4
2017,Índice de precio de los alimentos,Pan y cereales,,Índice,95.5
2020,Índice de precio de los alimentos,Pan y cereales,,Índice,99.9
2002,Índice de precio de los alimentos,Pan y cereales,,Índice,70.2
2004,Índice de precio de los alimentos,Pan y cereales,,Índice,75.3
2012,Índice de precio de los alimentos,Pan y cereales,,Índice,97.0
2010,Índice de precio de los alimentos,Pan y cereales,,Índice,92.2
2007,Índice de precio de los alimentos,Pan y cereales,,Índice,84.1
2022,Índice de precio de los alimentos,Pan y cereales,,Índice,113.9
2003,Índice de precio de los alimentos,Pan y cereales,,Índice,72.4
2018,Índice de precio de los alimentos,Pan y cereales,,Índice,96.9
2016,Índice de precio de los alimentos,Pan y cereales,,Índice,97.2
2021,Índice de precio de los alimentos,Pan y cereales,,Índice,100.0
2011,Índice de precio de los alimentos,Pan y cereales,,Índice,95.0
2008,Índice de precio de los alimentos,Pan y cereales,,Índice,91.9
2013,Índice de precio de los alimentos,Pan y cereales,,Índice,98.3
2006,Índice de precio de los alimentos,Pan y cereales,,Índice,80.4
2023,Índice de precio de los alimentos,Pan y cereales,,Índice,126.4
2024,Índice de precio de los alimentos,Pan y cereales,,Índice,129.5
2015,Índice de precio de los alimentos,Pan y cereales,,Índice,96.8
2005,Índice de precio de los alimentos,Pan y cereales,,Índice,78.0
