Year,Series,Province,Units,Value
2014,Gross debt of regional public administrations according to the excessive deficit protocol as a proportion of GDP,,%,13.4
2012,Gross debt of regional public administrations according to the excessive deficit protocol as a proportion of GDP,,%,11.0
2020,Gross debt of regional public administrations according to the excessive deficit protocol as a proportion of GDP,,%,15.0
2019,Gross debt of regional public administrations according to the excessive deficit protocol as a proportion of GDP,,%,11.8
2021,Gross debt of regional public administrations according to the excessive deficit protocol as a proportion of GDP,,%,14.3
2015,Gross debt of regional public administrations according to the excessive deficit protocol as a proportion of GDP,,%,13.8
2011,Gross debt of regional public administrations according to the excessive deficit protocol as a proportion of GDP,,%,8.3
2013,Gross debt of regional public administrations according to the excessive deficit protocol as a proportion of GDP,,%,12.8
2017,Fiscal balance of regional public administrations as a proportion of GDP,,%,1.5
2021,Fiscal balance of regional public administrations as a proportion of GDP,,%,0.8
2011,Fiscal balance of regional public administrations as a proportion of GDP,,%,-2.6
2018,Fiscal balance of regional public administrations as a proportion of GDP,,%,0.7
2020,Fiscal balance of regional public administrations as a proportion of GDP,,%,-1.0
2014,Fiscal balance of regional public administrations as a proportion of GDP,,%,-1.0
2010,Fiscal balance of regional public administrations as a proportion of GDP,,%,-2.7
2015,Fiscal balance of regional public administrations as a proportion of GDP,,%,-0.6
2012,Fiscal balance of regional public administrations as a proportion of GDP,,%,-1.4
2019,Fiscal balance of regional public administrations as a proportion of GDP,,%,0.5
2016,Fiscal balance of regional public administrations as a proportion of GDP,,%,-0.6
2013,Fiscal balance of regional public administrations as a proportion of GDP,,%,-1.2
