Year,Series,Sexo,Edad,Territorio histórico,Units,Value
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Bizkaia,%,20.7
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Bizkaia,%,21.4
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Bizkaia,%,21.7
2024,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Bizkaia,%,24.6
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Bizkaia,%,21.0
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Bizkaia,%,18.0
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Bizkaia,%,11.0
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Bizkaia,%,17.7
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Bizkaia,%,23.4
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Bizkaia,%,10.8
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Bizkaia,%,12.1
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Bizkaia,%,18.8
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Bizkaia,%,23.0
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Bizkaia,%,24.3
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Gipuzkoa,%,23.8
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Gipuzkoa,%,21.9
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Gipuzkoa,%,17.8
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Gipuzkoa,%,20.6
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Gipuzkoa,%,24.4
2024,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Gipuzkoa,%,25.0
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Gipuzkoa,%,18.4
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Gipuzkoa,%,20.1
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Gipuzkoa,%,13.2
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Gipuzkoa,%,20.6
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Gipuzkoa,%,13.7
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Gipuzkoa,%,13.5
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Gipuzkoa,%,22.9
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Gipuzkoa,%,25.9
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Gipuzkoa,%,17.4
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,,%,8.5
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,,%,11.7
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,,%,14.0
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,,%,12.7
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,,%,9.6
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,,%,13.5
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,,%,10.5
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,,%,2.8
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,,%,10.6
2024,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,,%,14.1
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,,%,3.0
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,,%,12.2
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,,%,15.7
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,,%,3.0
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,,%,9.1
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Araba/Álava,%,13.1
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Araba/Álava,%,16.8
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Araba/Álava,%,2.0
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Araba/Álava,%,13.2
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Araba/Álava,%,10.0
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Araba/Álava,%,10.7
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Araba/Álava,%,2.3
2024,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Araba/Álava,%,15.5
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Araba/Álava,%,9.8
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Araba/Álava,%,10.7
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Araba/Álava,%,2.3
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Araba/Álava,%,16.6
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Araba/Álava,%,13.4
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Araba/Álava,%,11.1
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Araba/Álava,%,15.7
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Bizkaia,%,14.6
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Bizkaia,%,9.5
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Bizkaia,%,11.5
2024,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Bizkaia,%,14.2
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Bizkaia,%,11.3
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Bizkaia,%,11.1
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Bizkaia,%,14.0
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Bizkaia,%,13.1
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Bizkaia,%,8.5
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Bizkaia,%,1.9
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Bizkaia,%,12.4
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Bizkaia,%,2.8
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Bizkaia,%,2.2
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Bizkaia,%,11.7
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Bizkaia,%,9.4
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Gipuzkoa,%,11.7
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Gipuzkoa,%,7.8
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Gipuzkoa,%,9.3
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Gipuzkoa,%,4.7
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Gipuzkoa,%,8.1
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Gipuzkoa,%,4.4
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Gipuzkoa,%,4.0
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Gipuzkoa,%,9.5
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Gipuzkoa,%,12.6
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Gipuzkoa,%,11.0
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Gipuzkoa,%,15.4
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Gipuzkoa,%,17.2
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Gipuzkoa,%,12.0
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Gipuzkoa,%,9.0
2024,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Gipuzkoa,%,13.5
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,,%,79.7
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,,%,76.3
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,,%,85.1
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,,%,81.6
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,,%,73.1
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,,%,80.2
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,,%,78.5
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,,%,72.1
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,,%,81.4
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,,%,75.7
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,,%,81.1
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,,%,82.6
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,,%,82.2
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,,%,82.9
2024,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,,%,83.1
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Araba/Álava,%,78.8
2024,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Araba/Álava,%,82.7
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Araba/Álava,%,87.5
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Araba/Álava,%,69.7
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Araba/Álava,%,77.3
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Araba/Álava,%,81.3
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Araba/Álava,%,81.0
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Araba/Álava,%,79.5
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Araba/Álava,%,71.9
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Araba/Álava,%,77.2
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Araba/Álava,%,80.4
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Araba/Álava,%,76.7
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Araba/Álava,%,85.3
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Araba/Álava,%,84.6
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Araba/Álava,%,78.8
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Bizkaia,%,72.3
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Bizkaia,%,83.2
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Bizkaia,%,76.3
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Bizkaia,%,81.1
2024,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Bizkaia,%,85.3
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Bizkaia,%,78.0
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Bizkaia,%,82.2
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Bizkaia,%,73.0
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Bizkaia,%,81.5
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Bizkaia,%,76.8
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Bizkaia,%,86.9
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Bizkaia,%,82.8
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Bizkaia,%,79.6
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Bizkaia,%,84.6
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Bizkaia,%,80.3
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Gipuzkoa,%,79.9
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Gipuzkoa,%,78.5
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Gipuzkoa,%,71.7
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Gipuzkoa,%,74.2
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Gipuzkoa,%,75.0
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Gipuzkoa,%,81.7
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Gipuzkoa,%,75.2
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Gipuzkoa,%,77.9
