Year,Sexo,Territorio histórico,Units,Value
2014,Hombre,Bizkaia,Porcentaje,79.1
2017,Hombre,Bizkaia,Porcentaje,83.9
2016,Hombre,Bizkaia,Porcentaje,85.0
2015,Hombre,Bizkaia,Porcentaje,83.8
2013,Hombre,Bizkaia,Porcentaje,78.5
2012,Hombre,Bizkaia,Porcentaje,65.3
2011,Hombre,Bizkaia,Porcentaje,67.3
2010,Hombre,Bizkaia,Porcentaje,58.1
2009,Hombre,Bizkaia,Porcentaje,61.2
2008,Hombre,Bizkaia,Porcentaje,58.8
2014,Hombre,Gipuzkoa,Porcentaje,77.5
2009,Hombre,Gipuzkoa,Porcentaje,60.1
2013,Hombre,Gipuzkoa,Porcentaje,75.4
2012,Hombre,Gipuzkoa,Porcentaje,71.6
2011,Hombre,Gipuzkoa,Porcentaje,67.2
2010,Hombre,Gipuzkoa,Porcentaje,65.4
2023,Hombre,Gipuzkoa,Porcentaje,94.8
2022,Hombre,Gipuzkoa,Porcentaje,92.9
2021,Hombre,Gipuzkoa,Porcentaje,93.2
2020,Hombre,Gipuzkoa,Porcentaje,92.3
2019,Hombre,Gipuzkoa,Porcentaje,87.2
2018,Hombre,Gipuzkoa,Porcentaje,87.3
2008,Hombre,Gipuzkoa,Porcentaje,57.9
2017,Hombre,Gipuzkoa,Porcentaje,84.8
2016,Hombre,Gipuzkoa,Porcentaje,83.4
2015,Hombre,Gipuzkoa,Porcentaje,81.5
