Year,Series,NCD,Sexo,Territorio,Comarca,Municipio,Units,GeoCode,Value
2015,EU_SH_DTH_NCOM,,,,,ES48032,PER_100000_POP,ES48032,778.1
2011,EU_SH_DTH_NCOM,,,,,ES48032,PER_100000_POP,ES48032,549.9
2024,EU_SH_DTH_NCOM,,,,,ES48032,PER_100000_POP,ES48032,595.6
2010,EU_SH_DTH_NCOM,,,,,ES48032,PER_100000_POP,ES48032,675.6
2024,EU_SH_DTH_NCOM,,,,,ES01023,PER_100000_POP,ES01023,611.6
2014,EU_SH_DTH_NCOM,,,,,ES01023,PER_100000_POP,ES01023,582.2
2013,EU_SH_DTH_NCOM,,,,,ES01023,PER_100000_POP,ES01023,1746.7
2022,EU_SH_DTH_NCOM,,,,,ES01023,PER_100000_POP,ES01023,892.9
2019,EU_SH_DTH_NCOM,,,,,ES01023,PER_100000_POP,ES01023,282.9
2010,EU_SH_DTH_NCOM,,,,,ES01023,PER_100000_POP,ES01023,1118.9
2023,EU_SH_DTH_NCOM,,,,,ES01023,PER_100000_POP,ES01023,914.6
2011,EU_SH_DTH_NCOM,,,,,ES01023,PER_100000_POP,ES01023,280.5
2021,EU_SH_DTH_NCOM,,,,,ES01023,PER_100000_POP,ES01023,879.8
2020,EU_SH_DTH_NCOM,,,,,ES01023,PER_100000_POP,ES01023,860.8
2015,EU_SH_DTH_NCOM,,,,,ES01023,PER_100000_POP,ES01023,576.4
2016,EU_SH_DTH_NCOM,,,,,ES01023,PER_100000_POP,ES01023,559.4
2018,EU_SH_DTH_NCOM,,,,,ES01023,PER_100000_POP,ES01023,553.3
2012,EU_SH_DTH_NCOM,,,,,ES01023,PER_100000_POP,ES01023,568.2
2017,EU_SH_DTH_NCOM,,,,,ES01023,PER_100000_POP,ES01023,544.2
2023,EU_SH_DTH_NCOM,,,,,ES48902,PER_100000_POP,ES48902,623.2
2010,EU_SH_DTH_NCOM,,,,,ES48902,PER_100000_POP,ES48902,575.5
2022,EU_SH_DTH_NCOM,,,,,ES48902,PER_100000_POP,ES48902,684.0
2014,EU_SH_DTH_NCOM,,,,,ES48902,PER_100000_POP,ES48902,695.9
2016,EU_SH_DTH_NCOM,,,,,ES48902,PER_100000_POP,ES48902,642.2
2017,EU_SH_DTH_NCOM,,,,,ES48902,PER_100000_POP,ES48902,609.8
2024,EU_SH_DTH_NCOM,,,,,ES48902,PER_100000_POP,ES48902,553.9
2012,EU_SH_DTH_NCOM,,,,,ES48902,PER_100000_POP,ES48902,632.6
2021,EU_SH_DTH_NCOM,,,,,ES48902,PER_100000_POP,ES48902,628.3
2011,EU_SH_DTH_NCOM,,,,,ES48902,PER_100000_POP,ES48902,600.8
2015,EU_SH_DTH_NCOM,,,,,ES48902,PER_100000_POP,ES48902,585.1
2018,EU_SH_DTH_NCOM,,,,,ES48902,PER_100000_POP,ES48902,689.3
2019,EU_SH_DTH_NCOM,,,,,ES48902,PER_100000_POP,ES48902,632.1
2020,EU_SH_DTH_NCOM,,,,,ES48902,PER_100000_POP,ES48902,515.6
2013,EU_SH_DTH_NCOM,,,,,ES48902,PER_100000_POP,ES48902,592.4
2022,EU_SH_DTH_NCOM,,,,,ES48033,PER_100000_POP,ES48033,706.7
2017,EU_SH_DTH_NCOM,,,,,ES48033,PER_100000_POP,ES48033,1165.0
2012,EU_SH_DTH_NCOM,,,,,ES48033,PER_100000_POP,ES48033,1923.1
2016,EU_SH_DTH_NCOM,,,,,ES48033,PER_100000_POP,ES48033,1156.1
2015,EU_SH_DTH_NCOM,,,,,ES48033,PER_100000_POP,ES48033,385.4
2014,EU_SH_DTH_NCOM,,,,,ES48033,PER_100000_POP,ES48033,784.3
2011,EU_SH_DTH_NCOM,,,,,ES48033,PER_100000_POP,ES48033,742.1
2019,EU_SH_DTH_NCOM,,,,,ES48033,PER_100000_POP,ES48033,740.7
2021,EU_SH_DTH_NCOM,,,,,ES48033,PER_100000_POP,ES48033,362.3
2024,EU_SH_DTH_NCOM,,,,,ES48033,PER_100000_POP,ES48033,716.8
2013,EU_SH_DTH_NCOM,,,,,ES48033,PER_100000_POP,ES48033,1581.0
2023,EU_SH_DTH_NCOM,,,,,ES48034,PER_100000_POP,ES48034,601.3
2021,EU_SH_DTH_NCOM,,,,,ES48034,PER_100000_POP,ES48034,757.2
2011,EU_SH_DTH_NCOM,,,,,ES48034,PER_100000_POP,ES48034,455.0
2010,EU_SH_DTH_NCOM,,,,,ES48034,PER_100000_POP,ES48034,468.8
2018,EU_SH_DTH_NCOM,,,,,ES48034,PER_100000_POP,ES48034,722.1
2024,EU_SH_DTH_NCOM,,,,,ES48034,PER_100000_POP,ES48034,569.5
2019,EU_SH_DTH_NCOM,,,,,ES48034,PER_100000_POP,ES48034,561.5
2016,EU_SH_DTH_NCOM,,,,,ES48034,PER_100000_POP,ES48034,642.5
2013,EU_SH_DTH_NCOM,,,,,ES48034,PER_100000_POP,ES48034,421.0
2012,EU_SH_DTH_NCOM,,,,,ES48034,PER_100000_POP,ES48034,652.2
2017,EU_SH_DTH_NCOM,,,,,ES48034,PER_100000_POP,ES48034,478.8
2015,EU_SH_DTH_NCOM,,,,,ES48034,PER_100000_POP,ES48034,612.0
2020,EU_SH_DTH_NCOM,,,,,ES48034,PER_100000_POP,ES48034,729.0
2014,EU_SH_DTH_NCOM,,,,,ES48034,PER_100000_POP,ES48034,467.1
2022,EU_SH_DTH_NCOM,,,,,ES48034,PER_100000_POP,ES48034,604.0
2022,EU_SH_DTH_NCOM,,,,,ES20067,PER_100000_POP,ES20067,580.2
2012,EU_SH_DTH_NCOM,,,,,ES20067,PER_100000_POP,ES20067,645.1
2024,EU_SH_DTH_NCOM,,,,,ES20067,PER_100000_POP,ES20067,653.4
2014,EU_SH_DTH_NCOM,,,,,ES20067,PER_100000_POP,ES20067,570.2
2010,EU_SH_DTH_NCOM,,,,,ES20067,PER_100000_POP,ES20067,587.8
2018,EU_SH_DTH_NCOM,,,,,ES20067,PER_100000_POP,ES20067,586.2
2013,EU_SH_DTH_NCOM,,,,,ES20067,PER_100000_POP,ES20067,563.1
2017,EU_SH_DTH_NCOM,,,,,ES20067,PER_100000_POP,ES20067,594.7
2016,EU_SH_DTH_NCOM,,,,,ES20067,PER_100000_POP,ES20067,573.1
2011,EU_SH_DTH_NCOM,,,,,ES20067,PER_100000_POP,ES20067,586.4
2015,EU_SH_DTH_NCOM,,,,,ES20067,PER_100000_POP,ES20067,584.6
2019,EU_SH_DTH_NCOM,,,,,ES20067,PER_100000_POP,ES20067,595.1
2020,EU_SH_DTH_NCOM,,,,,ES20067,PER_100000_POP,ES20067,605.5
2021,EU_SH_DTH_NCOM,,,,,ES20067,PER_100000_POP,ES20067,567.6
2023,EU_SH_DTH_NCOM,,,,,ES20067,PER_100000_POP,ES20067,657.3
2016,EU_SH_DTH_NCOM,,,,,ES20066,PER_100000_POP,ES20066,970.9
2021,EU_SH_DTH_NCOM,,,,,ES20066,PER_100000_POP,ES20066,866.6
2011,EU_SH_DTH_NCOM,,,,,ES20066,PER_100000_POP,ES20066,325.7
2012,EU_SH_DTH_NCOM,,,,,ES20066,PER_100000_POP,ES20066,971.7
2020,EU_SH_DTH_NCOM,,,,,ES20066,PER_100000_POP,ES20066,331.7
2022,EU_SH_DTH_NCOM,,,,,ES20066,PER_100000_POP,ES20066,1213.2
2018,EU_SH_DTH_NCOM,,,,,ES20066,PER_100000_POP,ES20066,633.9
2014,EU_SH_DTH_NCOM,,,,,ES20066,PER_100000_POP,ES20066,831.3
2024,EU_SH_DTH_NCOM,,,,,ES20066,PER_100000_POP,ES20066,680.3
2010,EU_SH_DTH_NCOM,,,,,ES20066,PER_100000_POP,ES20066,163.3
2015,EU_SH_DTH_NCOM,,,,,ES20066,PER_100000_POP,ES20066,827.1
2017,EU_SH_DTH_NCOM,,,,,ES20066,PER_100000_POP,ES20066,317.0
2013,EU_SH_DTH_NCOM,,,,,ES20066,PER_100000_POP,ES20066,657.4
2023,EU_SH_DTH_NCOM,,,,,ES20066,PER_100000_POP,ES20066,338.4
2019,EU_SH_DTH_NCOM,,,,,ES20066,PER_100000_POP,ES20066,320.3
2016,EU_SH_DTH_NCOM,,,,,ES01046,PER_100000_POP,ES01046,607.5
2011,EU_SH_DTH_NCOM,,,,,ES01046,PER_100000_POP,ES01046,575.7
2012,EU_SH_DTH_NCOM,,,,,ES01046,PER_100000_POP,ES01046,578.0
2023,EU_SH_DTH_NCOM,,,,,ES01046,PER_100000_POP,ES01046,807.4
2015,EU_SH_DTH_NCOM,,,,,ES01046,PER_100000_POP,ES01046,594.2
2014,EU_SH_DTH_NCOM,,,,,ES01046,PER_100000_POP,ES01046,235.0
2010,EU_SH_DTH_NCOM,,,,,ES01046,PER_100000_POP,ES01046,593.8
2019,EU_SH_DTH_NCOM,,,,,ES01046,PER_100000_POP,ES01046,600.2
2024,EU_SH_DTH_NCOM,,,,,ES01046,PER_100000_POP,ES01046,785.6
2013,EU_SH_DTH_NCOM,,,,,ES01046,PER_100000_POP,ES01046,236.1
2017,EU_SH_DTH_NCOM,,,,,ES01046,PER_100000_POP,ES01046,121.2
2021,EU_SH_DTH_NCOM,,,,,ES01046,PER_100000_POP,ES01046,687.3
2022,EU_SH_DTH_NCOM,,,,,ES01046,PER_100000_POP,ES01046,465.1
2018,EU_SH_DTH_NCOM,,,,,ES01046,PER_100000_POP,ES01046,360.8
2018,EU_SH_DTH_NCOM,,,,,ES48079,PER_100000_POP,ES48079,1228.2
2020,EU_SH_DTH_NCOM,,,,,ES48079,PER_100000_POP,ES48079,409.4
2016,EU_SH_DTH_NCOM,,,,,ES48079,PER_100000_POP,ES48079,403.2
2011,EU_SH_DTH_NCOM,,,,,ES48079,PER_100000_POP,ES48079,739.4
2021,EU_SH_DTH_NCOM,,,,,ES48079,PER_100000_POP,ES48079,604.2
2023,EU_SH_DTH_NCOM,,,,,ES48079,PER_100000_POP,ES48079,785.9
2022,EU_SH_DTH_NCOM,,,,,ES48079,PER_100000_POP,ES48079,392.2
2024,EU_SH_DTH_NCOM,,,,,ES48079,PER_100000_POP,ES48079,785.9
2017,EU_SH_DTH_NCOM,,,,,ES48079,PER_100000_POP,ES48079,1213.3
2015,EU_SH_DTH_NCOM,,,,,ES48079,PER_100000_POP,ES48079,405.7
2013,EU_SH_DTH_NCOM,,,,,ES48079,PER_100000_POP,ES48079,583.7
2010,EU_SH_DTH_NCOM,,,,,ES48079,PER_100000_POP,ES48079,557.1
2014,EU_SH_DTH_NCOM,,,,,ES48079,PER_100000_POP,ES48079,601.8
2012,EU_SH_DTH_NCOM,,,,,ES48079,PER_100000_POP,ES48079,1522.4
2019,EU_SH_DTH_NCOM,,,,,ES48079,PER_100000_POP,ES48079,1437.4
2018,EU_SH_DTH_NCOM,,,,,ES20034,PER_100000_POP,ES20034,588.7
2022,EU_SH_DTH_NCOM,,,,,ES20034,PER_100000_POP,ES20034,671.1
2017,EU_SH_DTH_NCOM,,,,,ES20034,PER_100000_POP,ES20034,635.0
2023,EU_SH_DTH_NCOM,,,,,ES20034,PER_100000_POP,ES20034,713.1
2011,EU_SH_DTH_NCOM,,,,,ES20034,PER_100000_POP,ES20034,763.2
2021,EU_SH_DTH_NCOM,,,,,ES20034,PER_100000_POP,ES20034,578.8
2015,EU_SH_DTH_NCOM,,,,,ES20034,PER_100000_POP,ES20034,682.4
2016,EU_SH_DTH_NCOM,,,,,ES20034,PER_100000_POP,ES20034,561.2
2020,EU_SH_DTH_NCOM,,,,,ES20034,PER_100000_POP,ES20034,510.1
2019,EU_SH_DTH_NCOM,,,,,ES20034,PER_100000_POP,ES20034,367.3
2013,EU_SH_DTH_NCOM,,,,,ES20034,PER_100000_POP,ES20034,559.7
2024,EU_SH_DTH_NCOM,,,,,ES20034,PER_100000_POP,ES20034,565.9
2014,EU_SH_DTH_NCOM,,,,,ES20034,PER_100000_POP,ES20034,801.9
2012,EU_SH_DTH_NCOM,,,,,ES20034,PER_100000_POP,ES20034,514.1
2010,EU_SH_DTH_NCOM,,,,,ES20034,PER_100000_POP,ES20034,616.8
2022,EU_SH_DTH_NCOM,,,,,ES48029,PER_100000_POP,ES48029,279.9
2010,EU_SH_DTH_NCOM,,,,,ES48029,PER_100000_POP,ES48029,242.9
2014,EU_SH_DTH_NCOM,,,,,ES48029,PER_100000_POP,ES48029,381.1
2015,EU_SH_DTH_NCOM,,,,,ES48029,PER_100000_POP,ES48029,275.6
2018,EU_SH_DTH_NCOM,,,,,ES48029,PER_100000_POP,ES48029,276.4
2020,EU_SH_DTH_NCOM,,,,,ES48029,PER_100000_POP,ES48029,313.1
2019,EU_SH_DTH_NCOM,,,,,ES48029,PER_100000_POP,ES48029,368.5
2012,EU_SH_DTH_NCOM,,,,,ES48029,PER_100000_POP,ES48029,374.1
2024,EU_SH_DTH_NCOM,,,,,ES48029,PER_100000_POP,ES48029,397.6
2023,EU_SH_DTH_NCOM,,,,,ES48029,PER_100000_POP,ES48029,278.5
2016,EU_SH_DTH_NCOM,,,,,ES48029,PER_100000_POP,ES48029,346.0
2013,EU_SH_DTH_NCOM,,,,,ES48029,PER_100000_POP,ES48029,499.3
2021,EU_SH_DTH_NCOM,,,,,ES48029,PER_100000_POP,ES48029,370.6
2017,EU_SH_DTH_NCOM,,,,,ES48029,PER_100000_POP,ES48029,343.8
2011,EU_SH_DTH_NCOM,,,,,ES48029,PER_100000_POP,ES48029,283.8
2018,EU_SH_DTH_NCOM,,,,,ES48030,PER_100000_POP,ES48030,672.9
2022,EU_SH_DTH_NCOM,,,,,ES48030,PER_100000_POP,ES48030,1283.9
2024,EU_SH_DTH_NCOM,,,,,ES48030,PER_100000_POP,ES48030,874.6
2020,EU_SH_DTH_NCOM,,,,,ES48030,PER_100000_POP,ES48030,412.9
2015,EU_SH_DTH_NCOM,,,,,ES48030,PER_100000_POP,ES48030,701.3
2013,EU_SH_DTH_NCOM,,,,,ES48030,PER_100000_POP,ES48030,1093.6
2011,EU_SH_DTH_NCOM,,,,,ES48030,PER_100000_POP,ES48030,812.5
2017,EU_SH_DTH_NCOM,,,,,ES48030,PER_100000_POP,ES48030,1095.1
2012,EU_SH_DTH_NCOM,,,,,ES48030,PER_100000_POP,ES48030,678.0
2023,EU_SH_DTH_NCOM,,,,,ES48030,PER_100000_POP,ES48030,1459.9
2021,EU_SH_DTH_NCOM,,,,,ES48030,PER_100000_POP,ES48030,424.9
2014,EU_SH_DTH_NCOM,,,,,ES48030,PER_100000_POP,ES48030,1108.0
2010,EU_SH_DTH_NCOM,,,,,ES48030,PER_100000_POP,ES48030,803.8
2019,EU_SH_DTH_NCOM,,,,,ES48030,PER_100000_POP,ES48030,1069.5
2016,EU_SH_DTH_NCOM,,,,,ES48030,PER_100000_POP,ES48030,698.3
2020,EU_SH_DTH_NCOM,,,,,ES20035,PER_100000_POP,ES20035,314.5
2018,EU_SH_DTH_NCOM,,,,,ES20035,PER_100000_POP,ES20035,779.4
2016,EU_SH_DTH_NCOM,,,,,ES20035,PER_100000_POP,ES20035,798.7
2011,EU_SH_DTH_NCOM,,,,,ES20035,PER_100000_POP,ES20035,165.8
2012,EU_SH_DTH_NCOM,,,,,ES20035,PER_100000_POP,ES20035,490.6
2024,EU_SH_DTH_NCOM,,,,,ES20035,PER_100000_POP,ES20035,326.8
2013,EU_SH_DTH_NCOM,,,,,ES20035,PER_100000_POP,ES20035,162.7
2023,EU_SH_DTH_NCOM,,,,,ES20035,PER_100000_POP,ES20035,161.3
2010,EU_SH_DTH_NCOM,,,,,ES20035,PER_100000_POP,ES20035,675.1
2015,EU_SH_DTH_NCOM,,,,,ES20035,PER_100000_POP,ES20035,480.8
2019,EU_SH_DTH_NCOM,,,,,ES20035,PER_100000_POP,ES20035,939.0
2022,EU_SH_DTH_NCOM,,,,,ES20035,PER_100000_POP,ES20035,627.0
2021,EU_SH_DTH_NCOM,,,,,ES20035,PER_100000_POP,ES20035,471.7
2017,EU_SH_DTH_NCOM,,,,,ES20035,PER_100000_POP,ES20035,315.2
2014,EU_SH_DTH_NCOM,,,,,ES20035,PER_100000_POP,ES20035,321.5
2016,EU_SH_DTH_NCOM,,,,,ES48906,PER_100000_POP,ES48906,1399.4
2014,EU_SH_DTH_NCOM,,,,,ES48906,PER_100000_POP,ES48906,526.3
2023,EU_SH_DTH_NCOM,,,,,ES48906,PER_100000_POP,ES48906,1065.0
2018,EU_SH_DTH_NCOM,,,,,ES48906,PER_100000_POP,ES48906,869.1
2013,EU_SH_DTH_NCOM,,,,,ES48906,PER_100000_POP,ES48906,729.9
2021,EU_SH_DTH_NCOM,,,,,ES48906,PER_100000_POP,ES48906,652.2
2015,EU_SH_DTH_NCOM,,,,,ES48906,PER_100000_POP,ES48906,636.9
2011,EU_SH_DTH_NCOM,,,,,ES48906,PER_100000_POP,ES48906,828.2
2010,EU_SH_DTH_NCOM,,,,,ES48906,PER_100000_POP,ES48906,607.9
2022,EU_SH_DTH_NCOM,,,,,ES48906,PER_100000_POP,ES48906,852.0
2019,EU_SH_DTH_NCOM,,,,,ES48906,PER_100000_POP,ES48906,329.7
2017,EU_SH_DTH_NCOM,,,,,ES48906,PER_100000_POP,ES48906,865.3
2020,EU_SH_DTH_NCOM,,,,,ES48906,PER_100000_POP,ES48906,548.2
2024,EU_SH_DTH_NCOM,,,,,ES48906,PER_100000_POP,ES48906,1037.3
2012,EU_SH_DTH_NCOM,,,,,ES48906,PER_100000_POP,ES48906,518.4
2013,EU_SH_DTH_NCOM,,,,,ES48035,PER_100000_POP,ES48035,543.0
2020,EU_SH_DTH_NCOM,,,,,ES48035,PER_100000_POP,ES48035,722.7
2011,EU_SH_DTH_NCOM,,,,,ES48035,PER_100000_POP,ES48035,398.0
2010,EU_SH_DTH_NCOM,,,,,ES48035,PER_100000_POP,ES48035,436.2
2022,EU_SH_DTH_NCOM,,,,,ES48035,PER_100000_POP,ES48035,718.1
2012,EU_SH_DTH_NCOM,,,,,ES48035,PER_100000_POP,ES48035,921.7
2015,EU_SH_DTH_NCOM,,,,,ES48035,PER_100000_POP,ES48035,1090.9
2019,EU_SH_DTH_NCOM,,,,,ES48035,PER_100000_POP,ES48035,181.5
2023,EU_SH_DTH_NCOM,,,,,ES48035,PER_100000_POP,ES48035,181.5
2018,EU_SH_DTH_NCOM,,,,,ES48035,PER_100000_POP,ES48035,367.0
2024,EU_SH_DTH_NCOM,,,,,ES48035,PER_100000_POP,ES48035,520.8
2021,EU_SH_DTH_NCOM,,,,,ES48035,PER_100000_POP,ES48035,729.9
2016,EU_SH_DTH_NCOM,,,,,ES48035,PER_100000_POP,ES48035,182.1
2017,EU_SH_DTH_NCOM,,,,,ES48035,PER_100000_POP,ES48035,364.3
2014,EU_SH_DTH_NCOM,,,,,ES48035,PER_100000_POP,ES48035,180.2
2020,EU_SH_DTH_NCOM,,,,,ES20038,PER_100000_POP,ES20038,577.5
2021,EU_SH_DTH_NCOM,,,,,ES20038,PER_100000_POP,ES20038,951.5
2024,EU_SH_DTH_NCOM,,,,,ES20038,PER_100000_POP,ES20038,1113.2
2012,EU_SH_DTH_NCOM,,,,,ES20038,PER_100000_POP,ES20038,590.6
2022,EU_SH_DTH_NCOM,,,,,ES20038,PER_100000_POP,ES20038,756.1
2017,EU_SH_DTH_NCOM,,,,,ES20038,PER_100000_POP,ES20038,1376.6
2023,EU_SH_DTH_NCOM,,,,,ES20038,PER_100000_POP,ES20038,377.4
2013,EU_SH_DTH_NCOM,,,,,ES20038,PER_100000_POP,ES20038,585.9
2018,EU_SH_DTH_NCOM,,,,,ES20038,PER_100000_POP,ES20038,790.5
2016,EU_SH_DTH_NCOM,,,,,ES20038,PER_100000_POP,ES20038,392.9
2015,EU_SH_DTH_NCOM,,,,,ES20038,PER_100000_POP,ES20038,393.7
2011,EU_SH_DTH_NCOM,,,,,ES20038,PER_100000_POP,ES20038,197.6
2010,EU_SH_DTH_NCOM,,,,,ES20038,PER_100000_POP,ES20038,603.6
2011,EU_SH_DTH_NCOM,,,,,ES20037,PER_100000_POP,ES20037,796.8
2019,EU_SH_DTH_NCOM,,,,,ES20037,PER_100000_POP,ES20037,1716.7
2023,EU_SH_DTH_NCOM,,,,,ES20037,PER_100000_POP,ES20037,800.0
2010,EU_SH_DTH_NCOM,,,,,ES20037,PER_100000_POP,ES20037,781.3
2024,EU_SH_DTH_NCOM,,,,,ES20037,PER_100000_POP,ES20037,800.0
2021,EU_SH_DTH_NCOM,,,,,ES20037,PER_100000_POP,ES20037,1550.4
2013,EU_SH_DTH_NCOM,,,,,ES20037,PER_100000_POP,ES20037,826.4
2012,EU_SH_DTH_NCOM,,,,,ES20037,PER_100000_POP,ES20037,1646.1
2020,EU_SH_DTH_NCOM,,,,,ES20037,PER_100000_POP,ES20037,823.0
2018,EU_SH_DTH_NCOM,,,,,ES20037,PER_100000_POP,ES20037,1673.6
2010,EU_SH_DTH_NCOM,,,,,ES48036,PER_100000_POP,ES48036,529.1
2012,EU_SH_DTH_NCOM,,,,,ES48036,PER_100000_POP,ES48036,494.9
2021,EU_SH_DTH_NCOM,,,,,ES48036,PER_100000_POP,ES48036,578.7
2015,EU_SH_DTH_NCOM,,,,,ES48036,PER_100000_POP,ES48036,590.9
2011,EU_SH_DTH_NCOM,,,,,ES48036,PER_100000_POP,ES48036,640.6
2017,EU_SH_DTH_NCOM,,,,,ES48036,PER_100000_POP,ES48036,613.5
2013,EU_SH_DTH_NCOM,,,,,ES48036,PER_100000_POP,ES48036,523.7
2014,EU_SH_DTH_NCOM,,,,,ES48036,PER_100000_POP,ES48036,570.2
2022,EU_SH_DTH_NCOM,,,,,ES48036,PER_100000_POP,ES48036,538.5
2024,EU_SH_DTH_NCOM,,,,,ES48036,PER_100000_POP,ES48036,596.7
2016,EU_SH_DTH_NCOM,,,,,ES48036,PER_100000_POP,ES48036,573.5
2023,EU_SH_DTH_NCOM,,,,,ES48036,PER_100000_POP,ES48036,540.4
2018,EU_SH_DTH_NCOM,,,,,ES48036,PER_100000_POP,ES48036,582.1
2020,EU_SH_DTH_NCOM,,,,,ES48036,PER_100000_POP,ES48036,583.8
2019,EU_SH_DTH_NCOM,,,,,ES48036,PER_100000_POP,ES48036,601.2
2015,EU_SH_DTH_NCOM,,,,,ES48037,PER_100000_POP,ES48037,731.7
2011,EU_SH_DTH_NCOM,,,,,ES48037,PER_100000_POP,ES48037,233.6
2014,EU_SH_DTH_NCOM,,,,,ES48037,PER_100000_POP,ES48037,486.3
2022,EU_SH_DTH_NCOM,,,,,ES48037,PER_100000_POP,ES48037,835.3
2020,EU_SH_DTH_NCOM,,,,,ES48037,PER_100000_POP,ES48037,712.6
2019,EU_SH_DTH_NCOM,,,,,ES48037,PER_100000_POP,ES48037,357.1
2024,EU_SH_DTH_NCOM,,,,,ES48037,PER_100000_POP,ES48037,604.6
2013,EU_SH_DTH_NCOM,,,,,ES48037,PER_100000_POP,ES48037,1207.0
2016,EU_SH_DTH_NCOM,,,,,ES48037,PER_100000_POP,ES48037,972.1
2023,EU_SH_DTH_NCOM,,,,,ES48037,PER_100000_POP,ES48037,1067.6
2021,EU_SH_DTH_NCOM,,,,,ES48037,PER_100000_POP,ES48037,716.4
2018,EU_SH_DTH_NCOM,,,,,ES48037,PER_100000_POP,ES48037,959.8
2017,EU_SH_DTH_NCOM,,,,,ES48037,PER_100000_POP,ES48037,723.8
2010,EU_SH_DTH_NCOM,,,,,ES48037,PER_100000_POP,ES48037,586.9
2012,EU_SH_DTH_NCOM,,,,,ES48037,PER_100000_POP,ES48037,711.7
2021,EU_SH_DTH_NCOM,,,,,ES48038,PER_100000_POP,ES48038,217.2
2010,EU_SH_DTH_NCOM,,,,,ES48038,PER_100000_POP,ES48038,902.3
2014,EU_SH_DTH_NCOM,,,,,ES48038,PER_100000_POP,ES48038,446.9
2012,EU_SH_DTH_NCOM,,,,,ES48038,PER_100000_POP,ES48038,594.1
2016,EU_SH_DTH_NCOM,,,,,ES48038,PER_100000_POP,ES48038,803.5
2015,EU_SH_DTH_NCOM,,,,,ES48038,PER_100000_POP,ES48038,664.0
2011,EU_SH_DTH_NCOM,,,,,ES48038,PER_100000_POP,ES48038,672.1
2019,EU_SH_DTH_NCOM,,,,,ES48038,PER_100000_POP,ES48038,804.4
2024,EU_SH_DTH_NCOM,,,,,ES48038,PER_100000_POP,ES48038,145.5
2020,EU_SH_DTH_NCOM,,,,,ES48038,PER_100000_POP,ES48038,803.2
2023,EU_SH_DTH_NCOM,,,,,ES48038,PER_100000_POP,ES48038,800.6
2022,EU_SH_DTH_NCOM,,,,,ES48038,PER_100000_POP,ES48038,578.0
2018,EU_SH_DTH_NCOM,,,,,ES48038,PER_100000_POP,ES48038,1019.7
2017,EU_SH_DTH_NCOM,,,,,ES48038,PER_100000_POP,ES48038,728.9
2013,EU_SH_DTH_NCOM,,,,,ES48038,PER_100000_POP,ES48038,744.6
2010,EU_SH_DTH_NCOM,,,,,ES48039,PER_100000_POP,ES48039,1217.7
2018,EU_SH_DTH_NCOM,,,,,ES48039,PER_100000_POP,ES48039,624.0
2013,EU_SH_DTH_NCOM,,,,,ES48039,PER_100000_POP,ES48039,621.1
2024,EU_SH_DTH_NCOM,,,,,ES48039,PER_100000_POP,ES48039,604.2
2011,EU_SH_DTH_NCOM,,,,,ES48039,PER_100000_POP,ES48039,592.6
2012,EU_SH_DTH_NCOM,,,,,ES48039,PER_100000_POP,ES48039,598.8
2014,EU_SH_DTH_NCOM,,,,,ES48039,PER_100000_POP,ES48039,958.5
2020,EU_SH_DTH_NCOM,,,,,ES48039,PER_100000_POP,ES48039,311.5
2022,EU_SH_DTH_NCOM,,,,,ES48039,PER_100000_POP,ES48039,946.4
2016,EU_SH_DTH_NCOM,,,,,ES48039,PER_100000_POP,ES48039,1284.1
2019,EU_SH_DTH_NCOM,,,,,ES48039,PER_100000_POP,ES48039,309.1
2021,EU_SH_DTH_NCOM,,,,,ES48039,PER_100000_POP,ES48039,623.1
2019,EU_SH_DTH_NCOM,,,,,ES48040,PER_100000_POP,ES48040,546.0
2021,EU_SH_DTH_NCOM,,,,,ES48040,PER_100000_POP,ES48040,423.3
2016,EU_SH_DTH_NCOM,,,,,ES48040,PER_100000_POP,ES48040,419.7
2020,EU_SH_DTH_NCOM,,,,,ES48040,PER_100000_POP,ES48040,482.4
2022,EU_SH_DTH_NCOM,,,,,ES48040,PER_100000_POP,ES48040,856.3
2024,EU_SH_DTH_NCOM,,,,,ES48040,PER_100000_POP,ES48040,797.1
2023,EU_SH_DTH_NCOM,,,,,ES48040,PER_100000_POP,ES48040,863.1
2013,EU_SH_DTH_NCOM,,,,,ES48040,PER_100000_POP,ES48040,495.4
2010,EU_SH_DTH_NCOM,,,,,ES48040,PER_100000_POP,ES48040,510.9
2017,EU_SH_DTH_NCOM,,,,,ES48040,PER_100000_POP,ES48040,719.6
2018,EU_SH_DTH_NCOM,,,,,ES48040,PER_100000_POP,ES48040,664.9
2014,EU_SH_DTH_NCOM,,,,,ES48040,PER_100000_POP,ES48040,427.6
2011,EU_SH_DTH_NCOM,,,,,ES48040,PER_100000_POP,ES48040,376.1
2015,EU_SH_DTH_NCOM,,,,,ES48040,PER_100000_POP,ES48040,361.6
2012,EU_SH_DTH_NCOM,,,,,ES48040,PER_100000_POP,ES48040,928.8
2014,EU_SH_DTH_NCOM,,,,,ES48041,PER_100000_POP,ES48041,809.7
2011,EU_SH_DTH_NCOM,,,,,ES48041,PER_100000_POP,ES48041,334.4
2012,EU_SH_DTH_NCOM,,,,,ES48041,PER_100000_POP,ES48041,331.5
2013,EU_SH_DTH_NCOM,,,,,ES48041,PER_100000_POP,ES48041,565.0
2018,EU_SH_DTH_NCOM,,,,,ES48041,PER_100000_POP,ES48041,584.1
